listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17212480,HASTINGS,3915,590,2564.0,"Friday, 26 September 2025",2025-08-29,11,3.0,2,1.0,Townhouse,2/4 Pinewood Drive,-38.302586,145.18716,2025-09-09 16:20:14,17212480,MN-8007-LE,10,0,0,False,Townhouse/Villa,Townhouse,Tallon Estate Agents,13664,"Carley Bridger, Ashley Armstrong","Heating, Ensuite",https://www.domain.com.au/2-4-pinewood-drive-hastings-vic-3915-17212480
17690289,HASTINGS,3915,550,2390.0,"Monday, 11 August 2025",2025-07-29,42,2.0,1,1.0,House,3/7 Rankin Road,-38.30516,145.18797,2025-09-09 16:20:14,17690289,,5,0,0,False,House,House,Harcourts Coast & Lifestyle,16708,Jamie Dexter,"Built in wardrobes, Gas, Secure Parking, Bath, Heating, Dishwasher",https://www.domain.com.au/3-7-rankin-road-hastings-vic-3915-17690289
17704483,HASTINGS,3915,650,,"Thursday, 18 September 2025",2025-08-07,33,4.0,2,2.0,House,7 Alexandro Grove,-38.299328,145.17867,2025-09-09 16:20:14,17704483,,5,0,0,False,House,House,Robert Partners Real Estate,28272,Jess Rollins,"Gas, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/7-alexandro-grove-hastings-vic-3915-17704483
17714801,HASTINGS,3915,670,2911.0,"Wednesday, 17 September 2025",2025-08-14,26,5.0,2,2.0,House,8 Olivia Way,-38.30875,145.17317,2025-09-09 16:20:14,17714801,,7,0,0,False,House,House,Warlimont & Nutt Pty Ltd,8510,Jessica Stevens,Heating,https://www.domain.com.au/8-olivia-way-hastings-vic-3915-17714801
17717798,HASTINGS,3915,560,2433.0,"Friday, 03 October 2025",2025-08-15,25,3.0,2,2.0,House,33 James Hird Drive,-38.31731,145.18896,2025-09-09 16:20:14,17717798,,5,0,0,False,House,House,Tallon Estate Agents,13664,"Carley Bridger, Ashley Armstrong","Built in wardrobes, Secure Parking",https://www.domain.com.au/33-james-hird-drive-hastings-vic-3915-17717798
17722225,HASTINGS,3915,550,2390.0,"Tuesday, 30 September 2025",2025-08-19,21,3.0,1,4.0,House,182 Hodgins Road,-38.299625,145.17455,2025-09-09 16:20:14,17722225,,5,0,0,False,House,House,Baywest Real Estate,21590,Kylie Roberts,"Heating, Fully fenced",https://www.domain.com.au/182-hodgins-road-hastings-vic-3915-17722225
17731653,HASTINGS,3915,380,1651.0,"Monday, 15 September 2025",2025-08-26,14,2.0,1,1.0,House,Marine Pde,-38.297295,145.18977,2025-09-09 16:20:14,17731653,,6,0,0,False,House,House,Mornington Peninsula Rentals,30582,Jacqui Mark,"Built in wardrobes, Internal Laundry, Bath, Heating",https://www.domain.com.au/marine-pde-hastings-vic-3915-17731653
17741050,HASTINGS,3915,560,2433.0,"Monday, 01 September 2025",2025-09-01,8,3.0,1,2.0,House,30 Edward Street,-38.311756,145.19037,2025-09-09 16:20:14,17741050,,14,0,0,False,House,House,Harcourts Coast & Lifestyle,16708,Jamison Edwards,,https://www.domain.com.au/30-edward-street-hastings-vic-3915-17741050
17742607,HASTINGS,3915,550,2200.0,"Saturday, 27 September 2025",2025-09-02,7,3.0,1,2.0,House,6 Gascoyne Ct,-38.298664,145.17607,2025-09-09 16:20:14,17742607,,7,0,0,False,House,House, Exclusive Property Management,37735,Caroline Masik,"Secure Parking, Bath, Heating",https://www.domain.com.au/6-gascoyne-ct-hastings-vic-3915-17742607
17748882,HASTINGS,3915,450,1955.0,"Friday, 05 September 2025",2025-09-05,4,2.0,1,1.0,Apartment / Unit / Flat,12/10 Kingfisher Court,-38.2992,145.1693,2025-09-09 16:20:14,17748882,,5,0,0,False,Apartment,Apartment / Unit / Flat,Harcourts Coast & Lifestyle,16708,Jamison Edwards,"Air conditioning, Built in wardrobes, Secure Parking, Bath, Heating",https://www.domain.com.au/12-10-kingfisher-court-hastings-vic-3915-17748882
17749114,HASTINGS,3915,185,804.0,"Friday, 19 September 2025",2025-09-05,4,,2,,Studio,7/9 Edward Street,-38.31218,145.19211,2025-09-09 16:20:14,17749114,,9,0,0,False,Apartment,Studio,Aquire,23741,Emily Dowel Aquire Leasing,"Heating, Dishwasher",https://www.domain.com.au/7-9-edward-street-hastings-vic-3915-17749114
