listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
14908400,HAWTHORN EAST,3123,530.0,2303.0,"Friday, 05 September 2025",2025-09-02,7,2.0,1,1.0,Apartment / Unit / Flat,6/126 Rathmines Road,-37.820778,145.05199,2025-09-09 16:31:37,14908400,CH-7182-VJ,7,0,1,False,Apartment,Apartment / Unit / Flat,LongView Real Estate,7797,Alison Ball,"Gas, Internal Laundry, Heating, Intercom, Built in wardrobes, Dishwasher, Balcony",https://www.domain.com.au/6-126-rathmines-road-hawthorn-east-vic-3123-14908400
16109618,HAWTHORN EAST,3123,500.0,2173.0,"Sunday, 24 August 2025",2025-09-08,1,1.0,1,1.0,Apartment / Unit / Flat,209/8 Montrose Street,-37.822987,145.04619,2025-09-09 16:31:37,16109618,JV-0036-PQ,11,0,1,False,Apartment,Apartment / Unit / Flat,Motion Property,8551,Mark Reading,"Floorboards, Built in wardrobes, Dishwasher, Split System Heating, Split System Air Conditioning, Balcony, Secure Parking, Pets Allowed, Energy Eff. Rating: 5",https://www.domain.com.au/209-8-montrose-street-hawthorn-east-vic-3123-16109618
17464333,HAWTHORN EAST,3123,540.0,2346.0,"Friday, 10 October 2025",2025-09-08,1,1.0,1,1.0,Apartment / Unit / Flat,1/309 Riversdale Rd,-37.830173,145.04796,2025-09-09 16:31:37,17464333,UW-4520-MA,5,0,0,False,Apartment,Apartment / Unit / Flat,Buyer's Advocate,18698,"Liz Haughey, Leasing Team",Pets Allowed,https://www.domain.com.au/1-309-riversdale-rd-hawthorn-east-vic-3123-17464333
17653452,HAWTHORN EAST,3123,1550.0,9300.0,"Monday, 28 July 2025",2025-07-04,67,5.0,2,2.0,House,6 Laurel Court,-37.81941,145.04999,2025-09-09 16:31:37,17653452,,10,0,1,False,House,House,Marshall White Boroondara,18210,Nadia Blyth,"Split System Air Con, Split System Heating, Built in wardrobes, Workshop, Balcony / Deck, Dishwasher, Intercom, Outdoor Entertainment Area, Remote Garage, Shed, Intergrated Frige/Freezer",https://www.domain.com.au/6-laurel-court-hawthorn-east-vic-3123-17653452
17673962,HAWTHORN EAST,3123,800.0,3476.0,"Monday, 04 August 2025",2025-07-17,54,3.0,1,1.0,Apartment / Unit / Flat,4/4 Mowbray Street,-37.842686,145.05008,2025-09-09 16:31:37,17673962,,9,0,1,False,Apartment,Apartment / Unit / Flat, Jellis Craig & Company Pty Ltd,6525,Leo Zuo,Built in wardrobes,https://www.domain.com.au/4-4-mowbray-street-hawthorn-east-vic-3123-17673962
17679994,HAWTHORN EAST,3123,500.0,2173.0,"Friday, 15 August 2025",2025-07-22,49,1.0,1,1.0,Apartment / Unit / Flat,507/12 Albert Street,-37.823456,145.04839,2025-09-09 16:31:37,17679994,,14,0,0,False,Apartment,Apartment / Unit / Flat,Woodards Blackburn,3599,"Sharliese Orchard, Angelica Martinez","Internal Laundry, Heating, Balcony / Deck",https://www.domain.com.au/507-12-albert-street-hawthorn-east-vic-3123-17679994
17691934,HAWTHORN EAST,3123,500.0,2173.0,"Thursday, 21 August 2025",2025-07-30,41,2.0,1,1.0,Apartment / Unit / Flat,4/35 Mayston Street,-37.826626,145.05344,2025-09-09 16:31:37,17691934,,10,0,0,False,Apartment,Apartment / Unit / Flat,Buxton Camberwell,28347,Emily Katiforis,"Air conditioning, Built in wardrobes",https://www.domain.com.au/4-35-mayston-street-hawthorn-east-vic-3123-17691934
17710636,HAWTHORN EAST,3123,525.0,2281.0,"Thursday, 04 September 2025",2025-08-12,28,2.0,1,1.0,Apartment / Unit / Flat,11/50 Leura Grove,-37.8378,145.05235,2025-09-09 16:31:37,17710636,,7,0,1,False,Apartment,Apartment / Unit / Flat, Jellis Craig & Company Pty Ltd,6525,Leo Zuo,"Balcony / Deck, Garden / Courtyard, Built in wardrobes",https://www.domain.com.au/11-50-leura-grove-hawthorn-east-vic-3123-17710636
17717829,HAWTHORN EAST,3123,1800.0,11732.0,"Monday, 25 August 2025",2025-08-15,25,4.0,3,2.0,House,15 Denmark Hill Road,-37.83241,145.0546,2025-09-09 16:31:37,17717829,,7,0,1,False,House,House, Jellis Craig & Company Pty Ltd,6525,Heather Kirk,,https://www.domain.com.au/15-denmark-hill-road-hawthorn-east-vic-3123-17717829
17724114,HAWTHORN EAST,3123,1400.0,8400.0,"Wednesday, 20 August 2025",2025-08-20,20,3.0,3,2.0,Townhouse,7/257 Riversdale Road,-37.829628,145.04597,2025-09-09 16:31:37,17724114,,7,0,1,False,Townhouse/Villa,Townhouse,Marshall White Boroondara,18210,"Larissa Rael, Nadia Blyth",,https://www.domain.com.au/7-257-riversdale-road-hawthorn-east-vic-3123-17724114
17731957,HAWTHORN EAST,3123,700.0,3041.0,"Saturday, 30 August 2025",2025-08-26,14,2.0,2,1.0,Apartment / Unit / Flat,215/12 Albert Street,-37.823456,145.04839,2025-09-09 16:31:37,17731957,,15,0,0,False,Apartment,Apartment / Unit / Flat,Areal Property - Hawthorn,12104,Renata Xiang,,https://www.domain.com.au/215-12-albert-street-hawthorn-east-vic-3123-17731957
