listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16412341,HEIDELBERG,3084,580,2520.0,"Wednesday, 24 September 2025",2025-09-04,5,2,1,2,Apartment / Unit / Flat,1/30 St James Road,-37.747105,145.06264,2025-09-09 16:48:19,16412341,RK-9647-HG,12,0,0,False,Apartment,Apartment / Unit / Flat,Bricks and Mortar RE,31967,Juliet Gallen,"Internal Laundry, Floorboards, Built in wardrobes, Dishwasher, Gas Appliances, Split System Heating, Split System Air Conditioning, Courtyard, Pets Allowed",https://www.domain.com.au/1-30-st-james-road-heidelberg-vic-3084-16412341
16678640,HEIDELBERG,3084,510,2216.0,"Friday, 15 August 2025",2025-07-21,50,2,1,1,Apartment / Unit / Flat,9/127 Hawdon Street,-37.75284,145.06499,2025-09-09 16:48:19,16678640,KC-5796-WK,7,0,0,False,Apartment,Apartment / Unit / Flat,Miles Real Estate Ivanhoe,6011,Alana Akkari,"Heating, Garden / Courtyard, Built in wardrobes, Dishwasher, Floorboards, Gas",https://www.domain.com.au/9-127-hawdon-street-heidelberg-vic-3084-16678640
17687745,HEIDELBERG,3084,500,2173.0,"Saturday, 23 August 2025",2025-07-28,43,2,1,1,Apartment / Unit / Flat,310/76 Darebin Street,-37.753147,145.06148,2025-09-09 16:48:19,17687745,,4,0,0,False,Apartment,Apartment / Unit / Flat,Miles Real Estate Ivanhoe,6011,Carly Sedgwick,"Built in wardrobes, Gas, Internal Laundry, Secure Parking, Dishwasher, Balcony / Deck",https://www.domain.com.au/310-76-darebin-street-heidelberg-vic-3084-17687745
17701646,HEIDELBERG,3084,420,1825.0,"Saturday, 09 August 2025",2025-08-05,35,1,1,1,Apartment / Unit / Flat,10/14 Stradbroke Avenue,-37.754272,145.0626,2025-09-09 16:48:19,17701646,,5,0,0,False,Apartment,Apartment / Unit / Flat,Miles Real Estate Ivanhoe,6011,Carly Sedgwick,"Built in wardrobes, Gas, Intercom, Heating, Balcony / Deck",https://www.domain.com.au/10-14-stradbroke-avenue-heidelberg-vic-3084-17701646
17717123,HEIDELBERG,3084,470,2042.0,"Tuesday, 26 August 2025",2025-08-15,25,1,1,1,Apartment / Unit / Flat,407/4 Villa Street,-37.75726,145.06868,2025-09-09 16:48:19,17717123,,6,0,0,False,Apartment,Apartment / Unit / Flat,Miles Real Estate Ivanhoe,6011,Linh Truong,"Intercom, Heating, Balcony / Deck, Built in wardrobes",https://www.domain.com.au/407-4-villa-street-heidelberg-vic-3084-17717123
17727752,HEIDELBERG,3084,600,2607.0,"Monday, 25 August 2025",2025-08-22,18,3,1,1,House,117 Beverley Road,-37.746838,145.07898,2025-09-09 16:48:19,17727752,,10,0,0,False,House,House,Jellis Craig Ivanhoe,30455,"Maria Psarras, Michelle De Luca","Internal Laundry, Secure Parking, Balcony / Deck, Garden / Courtyard, Floorboards",https://www.domain.com.au/117-beverley-road-heidelberg-vic-3084-17727752
17733711,HEIDELBERG,3084,580,2520.0,"Saturday, 06 September 2025",2025-08-27,13,2,1,2,Apartment / Unit / Flat,1/66 Yarra Street,-37.75769,145.06348,2025-09-09 16:48:19,17733711,,7,0,1,False,Apartment,Apartment / Unit / Flat,Miles Real Estate Ivanhoe,6011,Claudia Hartin,"Heating, Secure Parking, Air conditioning, Balcony / Deck, Garden / Courtyard, Fully fenced, Built in wardrobes, Dishwasher, Floorboards, Gas",https://www.domain.com.au/1-66-yarra-street-heidelberg-vic-3084-17733711
17734867,HEIDELBERG,3084,520,2260.0,"Friday, 19 September 2025",2025-08-27,13,2,1,2,Apartment / Unit / Flat,1/56 Banksia Street,-37.758793,145.06297,2025-09-09 16:48:19,17734867,,9,0,1,False,Apartment,Apartment / Unit / Flat,Miles Real Estate Ivanhoe,6011,Lucy Scott,"Built in wardrobes, Bath, Heating, Balcony / Deck, Secure Parking, Air conditioning, Garden / Courtyard, Gas",https://www.domain.com.au/1-56-banksia-street-heidelberg-vic-3084-17734867
17735812,HEIDELBERG,3084,875,3802.0,"Wednesday, 17 September 2025",2025-08-28,12,3,2,2,Townhouse,1/198 Hawdon Street,-37.74793,145.06612,2025-09-09 16:48:19,17735812,,8,0,0,False,Townhouse/Villa,Townhouse,Jellis Craig Ivanhoe,30455,Michelle Skerritt,"Internal Laundry, Secure Parking, Bath, Heating",https://www.domain.com.au/1-198-hawdon-street-heidelberg-vic-3084-17735812
17739554,HEIDELBERG,3084,415,2167.0,"Monday, 01 September 2025",2025-08-31,8,1,1,1,Apartment / Unit / Flat,56 Berkeley Ave,-37.746033,145.08228,2025-09-09 16:48:19,17739554,,10,0,0,False,Apartment,Apartment / Unit / Flat,RentBetter,27499,,"Gas, Air conditioning, Built in wardrobes, Heating",https://www.domain.com.au/56-berkeley-ave-heidelberg-vic-3084-17739554
17739597,HEIDELBERG,3084,640,2781.0,"Monday, 22 September 2025",2025-09-01,8,4,1,2,House,42 Gloucester Drive,-37.747063,145.08107,2025-09-09 16:48:19,17739597,,6,0,0,False,House,House,Lock Bulmer Property Group,11948,Gail Thompson,"Courtyard, Fully fenced, Built in wardrobes, Dishwasher, Floorboards, Study, Air conditioning, Gas Heating, Split-System Air Conditioning, Split-System Heating, Ensuite",https://www.domain.com.au/42-gloucester-drive-heidelberg-vic-3084-17739597
17740664,HEIDELBERG,3084,450,1955.0,"Thursday, 11 September 2025",2025-09-01,8,2,1,1,Apartment / Unit / Flat,403/8 Martin Street,-37.75456,145.05997,2025-09-09 16:48:19,17740664,,6,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Ivanhoe,30455,Steven D'Agostino,"Air conditioning, Gas, Internal Laundry, Intercom, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/403-8-martin-street-heidelberg-vic-3084-17740664
17743468,HEIDELBERG,3084,420,1825.0,"Saturday, 06 September 2025",2025-09-02,7,1,1,1,Apartment / Unit / Flat,2/14 Stradbroke Avenue,-37.754272,145.0626,2025-09-09 16:48:19,17743468,,6,0,0,False,Apartment,Apartment / Unit / Flat,Miles Real Estate Ivanhoe,6011,Carly Sedgwick,"Built in wardrobes, Gas, Intercom, Bath, Heating, Balcony / Deck",https://www.domain.com.au/2-14-stradbroke-avenue-heidelberg-vic-3084-17743468
17743864,HEIDELBERG,3084,500,2173.0,"Saturday, 13 September 2025",2025-09-02,7,2,1,1,Apartment / Unit / Flat,28/45 Rosanna Road,-37.753716,145.06993,2025-09-09 16:48:19,17743864,,6,0,0,False,Apartment,Apartment / Unit / Flat,Miles Real Estate Ivanhoe,6011,Carly Sedgwick,"Built in wardrobes, Internal Laundry, Heating, Dishwasher",https://www.domain.com.au/28-45-rosanna-road-heidelberg-vic-3084-17743864
17745865,HEIDELBERG,3084,410,1782.0,"Friday, 03 October 2025",2025-09-03,6,1,1,1,Apartment / Unit / Flat,5/49 Hawdon Street,-37.758823,145.06392,2025-09-09 16:48:19,17745865,,6,0,1,False,Apartment,Apartment / Unit / Flat,Miles Real Estate Ivanhoe,6011,Maggie Rough,"Heating, Garden / Courtyard, Built in wardrobes",https://www.domain.com.au/5-49-hawdon-street-heidelberg-vic-3084-17745865
17747775,HEIDELBERG,3084,430,1868.0,"Friday, 12 September 2025",2025-09-04,5,2,1,1,Apartment / Unit / Flat,2/3 Vine Street,-37.75802,145.0721,2025-09-09 16:48:19,17747775,,8,0,0,False,Apartment,Apartment / Unit / Flat,LITTLE Real Estate Victoria,24974,Chaya Varsani,"Built in wardrobes, Internal Laundry, Bath, Heating, Pool/Spa Count: 0",https://www.domain.com.au/2-3-vine-street-heidelberg-vic-3084-17747775
17747801,HEIDELBERG,3084,650,2824.0,"Saturday, 13 September 2025",2025-09-04,5,2,2,1,Apartment / Unit / Flat,G03/1 Vine Street,-37.758068,145.07187,2025-09-09 16:48:19,17747801,,6,0,0,False,Apartment,Apartment / Unit / Flat,Miles Real Estate Ivanhoe,6011,Linh Truong,"Heating, Air conditioning, Intercom, Balcony / Deck, Outdoor Entertainment Area, Built in wardrobes, Dishwasher, Floorboards",https://www.domain.com.au/g03-1-vine-street-heidelberg-vic-3084-17747801
17749853,HEIDELBERG,3084,600,2607.0,"Friday, 05 September 2025",2025-09-05,4,2,1,1,Townhouse,4/66 Banksia Street,-37.7586,145.06134,2025-09-09 16:48:19,17749853,,6,0,0,False,Townhouse/Villa,Townhouse,Ray White Preston,28013,Susie Liu,"Built in wardrobes, Heating, Dishwasher",https://www.domain.com.au/4-66-banksia-street-heidelberg-vic-3084-17749853
17754054,HEIDELBERG,3084,610,2650.0,"Friday, 10 October 2025",2025-09-09,0,2,2,1,Apartment / Unit / Flat,201/1 Powlett St,-37.754803,145.05818,2025-09-09 16:48:19,17754054,,10,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Greensborough and Hurstbridge.,30457,Sarah Craigie,"Gas, Secure Parking, Dishwasher, Balcony / Deck",https://www.domain.com.au/201-1-powlett-st-heidelberg-vic-3084-17754054
17754172,HEIDELBERG,3084,560,2433.0,"Saturday, 20 September 2025",2025-09-09,0,2,2,1,Apartment / Unit / Flat,107/12 Powlett Street,-37.754295,145.05905,2025-09-09 16:48:19,17754172,,6,0,0,False,Apartment,Apartment / Unit / Flat,Miles Real Estate Ivanhoe,6011,Linh Truong,"Internal Laundry, Heating, Secure Parking, Air conditioning, Intercom, Balcony / Deck, Outdoor Entertainment Area, Built in wardrobes, Dishwasher, Floorboards",https://www.domain.com.au/107-12-powlett-street-heidelberg-vic-3084-17754172
15311174,HEIDELBERG,3084,550,2390.0,"Friday, 19 September 2025",2025-08-22,18,2,2,1,Apartment / Unit / Flat,"Level 4, 7/9 Martin Street",-37.754276,145.05966,2025-09-09 16:48:24,15311174,,9,1,1,False,Apartment,Apartment / Unit / Flat,Motion Property,8551,"Mark Reading, Yashu Sood","Intercom, Floorboards, Cable or Satellite, Built in wardrobes, Dishwasher, Broadband, Gas Appliances, Split System Heating, Split System Air Conditioning, Electric Hot Water, Outdoor Entertainment Area, Balcony, Secure Parking, Pets Allowed",https://www.domain.com.au/level-4-7-9-martin-street-heidelberg-vic-3084-15311174
17405241,HEIDELBERG,3084,580,,"Tuesday, 10 September 2024",2025-08-20,19,2,1,1,Apartment / Unit / Flat,401/82 Hawdon street,-37.756638,145.06491,2025-09-09 16:48:24,17405241,,20,0,0,False,Apartment,Apartment / Unit / Flat,DPG Property Group,29532,Patsy He,"Gas, Balcony, Secure Parking, Alarm System, Built in wardrobes, Dishwasher, Floorboards, Intercom, Air conditioning, Split-System Air Conditioning, Split-System Heating, Furnished",https://www.domain.com.au/401-82-hawdon-street-heidelberg-vic-3084-17405241
17626236,HEIDELBERG,3084,790,3433.0,"Monday, 14 July 2025",2025-06-18,83,3,1,2,House,1/12 Manton Street,-37.75083,145.06732,2025-09-09 16:48:24,17626236,,8,0,0,False,House,House,Barry Plant Manningham,7015,"Paul Sim, Corina Carter","Gas, Internal Laundry, Secure Parking, Dishwasher, Bathtub, Ducted Heating, Split System Air Conditioning",https://www.domain.com.au/1-12-manton-street-heidelberg-vic-3084-17626236
17658631,HEIDELBERG,3084,1299,7794.0,"Monday, 07 July 2025",2025-07-08,63,4,2,3,House,128 Hawdon Street,-37.75309,145.06541,2025-09-09 16:48:24,17658631,,13,0,0,False,House,House,Nelson Alexander Ivanhoe,15501,Danielle Cristini,"Heating, Dishwasher",https://www.domain.com.au/128-hawdon-street-heidelberg-vic-3084-17658631
17676017,HEIDELBERG,3084,575,2499.0,"Friday, 18 July 2025",2025-07-18,53,3,1,2,Townhouse,2/16 Edgar Street,-37.74911,145.07065,2025-09-09 16:48:24,17676017,,9,0,0,False,Townhouse/Villa,Townhouse,Miles Real Estate Ivanhoe,6011,Jessica Bryceson,"Gas, Internal Laundry, Bath, Balcony / Deck, Air conditioning, Garden / Courtyard, Fully fenced",https://www.domain.com.au/2-16-edgar-street-heidelberg-vic-3084-17676017
17711138,HEIDELBERG,3084,500,2173.0,"Friday, 05 September 2025",2025-08-12,28,1,1,1,Apartment / Unit / Flat,108/109 Cape Street,-37.755367,145.06705,2025-09-09 16:48:24,17711138,,7,0,0,False,Apartment,Apartment / Unit / Flat,Nelson Alexander Ivanhoe,15501,Isabella Di Palma,"Built in wardrobes, Gas, Secure Parking, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/108-109-cape-street-heidelberg-vic-3084-17711138
17713149,HEIDELBERG,3084,750,3259.0,"Saturday, 16 August 2025",2025-08-13,27,3,1,2,House,10 Olive Grove,-37.75069,145.06328,2025-09-09 16:48:24,17713149,,17,0,0,True,House,House,Love & Co Reservoir,7121,David Quattrocchi,"Gas, Internal Laundry, Bath, Dishwasher, Balcony / Deck, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Car Parking - Surface",https://www.domain.com.au/10-olive-grove-heidelberg-vic-3084-17713149
