listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
11643528,HEIDELBERG HEIGHTS,3081,490,2129,"Wednesday, 17 September 2025",2025-09-08,1,2,1,1.0,House,11 Southern Road,-37.743156,145.05644,2025-09-09 16:51:47,11643528,ZN-7845-JT,9,0,0,False,House,House,Barry Plant North Eastern Group,4902,Christian Robortella,Heating,https://www.domain.com.au/11-southern-road-heidelberg-heights-vic-3081-11643528
12004354,HEIDELBERG HEIGHTS,3081,740,3215,"Friday, 12 September 2025",2025-09-01,8,3,2,2.0,Townhouse,2/39 Marie Avenue,-37.735912,145.04945,2025-09-09 16:51:47,12004354,UZ-1331-VP,8,0,1,False,Townhouse/Villa,Townhouse,LITTLE Real Estate Victoria,24974,Cooper Modica,"Car Accom: Double Garage, Heating: Reverse Cycle Air Conditioning, Cooling: Reverse Cycle Air Conditioning, Kitchen: Open Plan, Cooking: Gas Hotplates and Electric Oven",https://www.domain.com.au/2-39-marie-avenue-heidelberg-heights-vic-3081-12004354
17118882,HEIDELBERG HEIGHTS,3081,520,2260,"Monday, 01 September 2025",2025-07-31,40,3,1,2.0,House,1/97 Dougharty Road,-37.734753,145.04971,2025-09-09 16:51:47,17118882,IS-9291-QY,10,0,0,False,House,House,Ray White Northcote,37294,George Boutsiavaras,"Heating, Balcony / Deck",https://www.domain.com.au/1-97-dougharty-road-heidelberg-heights-vic-3081-17118882
17688882,HEIDELBERG HEIGHTS,3081,495,2151,"Tuesday, 02 September 2025",2025-07-28,43,2,1,1.0,Townhouse,4/108 Outhwaite Road,-37.738964,145.04773,2025-09-09 16:51:47,17688882,,8,0,1,False,Townhouse/Villa,Townhouse,Miles Real Estate Ivanhoe,6011,Ming Kok,"Internal Laundry, Air conditioning, Balcony / Deck, Outdoor Entertainment Area, Shed, Built in wardrobes, Dishwasher, Floorboards",https://www.domain.com.au/4-108-outhwaite-road-heidelberg-heights-vic-3081-17688882
17703835,HEIDELBERG HEIGHTS,3081,475,2064,"Wednesday, 13 August 2025",2025-08-06,34,2,1,1.0,Apartment / Unit / Flat,4/157 Northern Road,-37.730278,145.05836,2025-09-09 16:51:47,17703835,,7,0,1,False,Apartment,Apartment / Unit / Flat,Miles Real Estate Ivanhoe,6011,Lucy Scott,"Internal Laundry, Heating, Secure Parking, Air conditioning, Intercom, Balcony / Deck, Outdoor Entertainment Area, Built in wardrobes, Dishwasher",https://www.domain.com.au/4-157-northern-road-heidelberg-heights-vic-3081-17703835
17705990,HEIDELBERG HEIGHTS,3081,690,2998,"Friday, 05 September 2025",2025-08-07,33,3,2,2.0,Townhouse,2/3 Bamfield Road,-37.74377,145.05478,2025-09-09 16:51:47,17705990,,7,0,0,False,Townhouse/Villa,Townhouse,Nelson Alexander Ivanhoe,15501,Isabella Di Palma,"Gas, Internal Laundry, Secure Parking, Bath, Heating, Dishwasher",https://www.domain.com.au/2-3-bamfield-road-heidelberg-heights-vic-3081-17705990
17712094,HEIDELBERG HEIGHTS,3081,700,3042,"Saturday, 16 August 2025",2025-08-12,28,3,2,1.0,House,7 Elliott Street,-37.74627,145.05072,2025-09-09 16:51:47,17712094,,9,0,1,False,House,House,Miles Real Estate Ivanhoe,6011,Lucy Scott,"Internal Laundry, Secure Parking, Bath, Heating, Dishwasher, Air conditioning, Garden / Courtyard, Fully fenced, Built in wardrobes, Gas",https://www.domain.com.au/7-elliott-street-heidelberg-heights-vic-3081-17712094
17723690,HEIDELBERG HEIGHTS,3081,700,3042,"Saturday, 23 August 2025",2025-08-20,20,3,2,2.0,Townhouse,12 Arnold Avenue,-37.741226,145.05167,2025-09-09 16:51:47,17723690,,7,0,1,False,Townhouse/Villa,Townhouse,Miles Real Estate Ivanhoe,6011,Claudia Hartin,"Internal Laundry, Heating, Secure Parking, Air conditioning, Balcony / Deck, Garden / Courtyard, Outdoor Entertainment Area, Shed, Fully fenced, Built in wardrobes, Dishwasher, Floorboards",https://www.domain.com.au/12-arnold-avenue-heidelberg-heights-vic-3081-17723690
17725229,HEIDELBERG HEIGHTS,3081,700,3041,"Friday, 19 September 2025",2025-08-21,19,3,2,2.0,House,9 Elliott Street,-37.746105,145.05074,2025-09-09 16:51:47,17725229,,5,0,1,False,House,House,Jellis Craig Ivanhoe,30455,"Maria Psarras, Michelle De Luca","Secure Parking, Heating, Solar panels, Air conditioning, Balcony / Deck, Garden / Courtyard, Dishwasher, Floorboards, Gas",https://www.domain.com.au/9-elliott-street-heidelberg-heights-vic-3081-17725229
17735226,HEIDELBERG HEIGHTS,3081,680,2955,"Friday, 26 September 2025",2025-08-27,13,3,2,2.0,Townhouse,1/79 Waiora Road,-37.740864,145.05869,2025-09-09 16:51:47,17735226,,7,0,0,False,Townhouse/Villa,Townhouse,Miles Real Estate Ivanhoe,6011,Emily Micallef,"Secure Parking, Heating, Garden / Courtyard, Built in wardrobes, Dishwasher, Floorboards, Study, Ensuite",https://www.domain.com.au/1-79-waiora-road-heidelberg-heights-vic-3081-17735226
17738015,HEIDELBERG HEIGHTS,3081,795,3454,"Monday, 01 September 2025",2025-08-29,11,4,3,2.0,Townhouse,1/8 Spencer Street,-37.73875,145.05222,2025-09-09 16:51:47,17738015,,8,0,0,True,Townhouse/Villa,Townhouse,BLACK & WHITE ESTATE AGENTS (VIC) PTY LTD,12640,"Jake Peters, Kurt  Rimes","Study, Built in wardrobes, Garden / Courtyard, Dishwasher, Floorboards, Remote Garage, Air conditioning, Heating",https://www.domain.com.au/1-8-spencer-street-heidelberg-heights-vic-3081-17738015
17738046,HEIDELBERG HEIGHTS,3081,750,3256,"Monday, 01 September 2025",2025-08-29,11,3,2,2.0,Townhouse,2/8 Spencer Street,-37.73875,145.05222,2025-09-09 16:51:47,17738046,,8,0,0,True,Townhouse/Villa,Townhouse,BLACK & WHITE ESTATE AGENTS (VIC) PTY LTD,12640,"Jake Peters, Kurt  Rimes","Built in wardrobes, Garden / Courtyard, Dishwasher, Floorboards, Remote Garage, Secure Parking, Air conditioning, Heating",https://www.domain.com.au/2-8-spencer-street-heidelberg-heights-vic-3081-17738046
17738067,HEIDELBERG HEIGHTS,3081,750,3256,"Monday, 01 September 2025",2025-08-29,11,3,2,2.0,Townhouse,3/8 Spencer Street,-37.73875,145.05222,2025-09-09 16:51:47,17738067,,8,0,0,True,Townhouse/Villa,Townhouse,BLACK & WHITE ESTATE AGENTS (VIC) PTY LTD,12640,"Jake Peters, Kurt  Rimes","Built in wardrobes, Garden / Courtyard, Floorboards, Remote Garage, Secure Parking, Air conditioning, Heating",https://www.domain.com.au/3-8-spencer-street-heidelberg-heights-vic-3081-17738067
17739485,HEIDELBERG HEIGHTS,3081,465,2015,"Tuesday, 16 September 2025",2025-08-30,9,2,1,1.0,Apartment / Unit / Flat,6/23 McEwan Road,-37.74032,145.0528,2025-09-09 16:51:47,17739485,,8,0,1,False,Apartment,Apartment / Unit / Flat,For Sale By Owner,20095,Available For Rent,"Air conditioning, Balcony/Patio/Terrace, Bath, Built in wardrobes, Heating, Modern Kitchen, Renovated Kitchen, Entertainment Area, Alarm System, Security Lights, Close to Parklands, Close to schools, Close to shops, Close to transport, Quiet Location, Non Smoking, Internal Laundry, Broadband, Dishwasher, Balcony, Living Area",https://www.domain.com.au/6-23-mcewan-road-heidelberg-heights-vic-3081-17739485
17740686,HEIDELBERG HEIGHTS,3081,500,2173,"Friday, 26 September 2025",2025-09-01,8,3,1,3.0,House,96 Southern Road,-37.74199,145.04875,2025-09-09 16:51:47,17740686,,8,0,0,False,House,House,Love & Co Reservoir,7121,Rebecca Imbrosciano,"Internal Laundry, Bath, Heating",https://www.domain.com.au/96-southern-road-heidelberg-heights-vic-3081-17740686
17745121,HEIDELBERG HEIGHTS,3081,520,2260,"Sunday, 14 September 2025",2025-09-03,6,2,1,2.0,House,17 Leonard Street,-37.74778,145.052,2025-09-09 16:51:47,17745121,,5,0,0,False,House,House,Miles Real Estate Ivanhoe,6011,Claudia Hartin,"Internal Laundry, Bath, Study, Air conditioning, Fully fenced, Dishwasher, Floorboards",https://www.domain.com.au/17-leonard-street-heidelberg-heights-vic-3081-17745121
17745159,HEIDELBERG HEIGHTS,3081,850,3693,"Tuesday, 26 April 2022",2025-09-03,6,3,2,2.0,Townhouse,4/10 James Street,-37.750538,145.05394,2025-09-09 16:51:47,17745159,,15,0,0,False,Townhouse/Villa,Townhouse,Jellis Craig Eltham,30467,Sharon Zuo,"Built in wardrobes, Gas, Internal Laundry, Secure Parking, Heating, Shed, Balcony / Deck",https://www.domain.com.au/4-10-james-street-heidelberg-heights-vic-3081-17745159
17746258,HEIDELBERG HEIGHTS,3081,590,2564,"Friday, 12 September 2025",2025-09-03,5,3,1,1.0,House,60 McEwan Road,-37.737362,145.05379,2025-09-09 16:51:47,17746258,,11,0,1,False,House,House,Miles Real Estate Ivanhoe,6011,Maggie Rough,"Internal Laundry, Bath, Heating, Air conditioning, Garden / Courtyard, Built in wardrobes, Dishwasher",https://www.domain.com.au/60-mcewan-road-heidelberg-heights-vic-3081-17746258
17753085,HEIDELBERG HEIGHTS,3081,485,2107,"Tuesday, 09 September 2025",2025-09-09,0,1,1,1.0,Apartment / Unit / Flat,201/98 Bell Street,-37.753498,145.05275,2025-09-09 16:51:47,17753085,,5,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Ivanhoe,30455,"Karin Kaine, Edward Wordsworth","Internal Laundry, Secure Parking, Air conditioning, Intercom, Balcony / Deck, Built in wardrobes, Dishwasher",https://www.domain.com.au/201-98-bell-street-heidelberg-heights-vic-3081-17753085
17753910,HEIDELBERG HEIGHTS,3081,760,3302,"Friday, 10 October 2025",2025-09-09,0,3,2,2.0,House,1 Monash Street,-37.746788,145.05307,2025-09-09 16:51:47,17753910,,8,0,0,False,House,House,Nelson Alexander Ivanhoe,15501,Bec Quanchi,"Internal Laundry, Secure Parking, Bath, Balcony / Deck, Air conditioning",https://www.domain.com.au/1-monash-street-heidelberg-heights-vic-3081-17753910
16579198,HEIDELBERG HEIGHTS,3081,600,2600,"Tuesday, 19 August 2025",2025-08-18,22,2,1,1.0,House,31 Law Street,-37.74398,145.04865,2025-09-09 16:51:53,16579198,VJ-4712-DR,11,0,1,False,House,House,Collings Real Estate,11934,Daniel Mendonca,"Air conditioning, Built in wardrobes, Internal Laundry, Fireplace(s), Balcony / Deck",https://www.domain.com.au/31-law-street-heidelberg-heights-vic-3081-16579198
17039560,HEIDELBERG HEIGHTS,3081,280,1120,"Thursday, 30 May 2024",2024-05-30,467,1,1,,House,203 Waiora Road,-37.732063,145.06012,2025-09-09 16:51:53,17039560,XP-2094-BT,2,0,1,False,House,House,Stockdale & Leggo Bundoora,12274,"Thanuja Kannangara, Raelene Stojanovic","Gas, Broadband internet access",https://www.domain.com.au/203-waiora-road-heidelberg-heights-vic-3081-17039560
17294358,HEIDELBERG HEIGHTS,3081,760,3293,"Tuesday, 29 July 2025",2025-07-03,68,3,2,2.0,Townhouse,4/78 Porter Road,-37.738667,145.05841,2025-09-09 16:51:53,17294358,LS-1179-LR,12,0,0,False,Townhouse/Villa,Townhouse,Collings Real Estate,11934,Daniel Mendonca,"Built in wardrobes, Internal Laundry, Secure Parking",https://www.domain.com.au/4-78-porter-road-heidelberg-heights-vic-3081-17294358
17537702,HEIDELBERG HEIGHTS,3081,695,3020,"Friday, 22 August 2025",2025-08-22,18,3,2,1.0,House,52 Collins Street,-37.7371,145.05006,2025-09-09 16:51:53,17537702,IK-5885-AA,16,0,1,False,House,House,Darren Jones Real Estate,11759,Claire Morrow,"Air conditioning, Secure Parking",https://www.domain.com.au/52-collins-street-heidelberg-heights-vic-3081-17537702
17635554,HEIDELBERG HEIGHTS,3081,570,2477,"Tuesday, 01 July 2025",2025-06-24,77,2,2,1.0,Apartment / Unit / Flat,301/1 Eden Street,-37.751137,145.04697,2025-09-09 16:51:53,17635554,,8,0,2,False,Apartment,Apartment / Unit / Flat,Harcourts Rata & Co,30123,"George Stavrakis, Adriana Lagaris","Internal Laundry, Balcony / Deck, Air conditioning, Heating, Area Views, Built in wardrobes, Close to transport, Close to shops, Intercom, Close to schools, Ensuite, Car Parking - Basement, Openable Windows, Roller Door Access, Cooling, Split System Cooling",https://www.domain.com.au/301-1-eden-street-heidelberg-heights-vic-3081-17635554
17660982,HEIDELBERG HEIGHTS,3081,685,2976,"Friday, 15 August 2025",2025-07-09,62,3,2,2.0,Townhouse,18 Heffernan Walk,-37.745247,145.0514,2025-09-09 16:51:53,17660982,,10,0,0,False,Townhouse/Villa,Townhouse,Hudson Bond,15409,Hudson Bond Rentals,"Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ensuite, Car Parking - Surface, Openable Windows, Toilet Facilities",https://www.domain.com.au/18-heffernan-walk-heidelberg-heights-vic-3081-17660982
17683443,HEIDELBERG HEIGHTS,3081,720,3129,"Friday, 29 August 2025",2025-07-24,47,3,2,2.0,Townhouse,2/60 Altona Street,-37.746708,145.05191,2025-09-09 16:51:53,17683443,,19,0,0,False,Townhouse/Villa,Townhouse,Nelson Alexander Ivanhoe,15501,Xin Li,"Secure Parking, Heating, Dishwasher",https://www.domain.com.au/2-60-altona-street-heidelberg-heights-vic-3081-17683443
17686164,HEIDELBERG HEIGHTS,3081,595,2585,"Tuesday, 05 August 2025",2025-07-25,46,3,2,2.0,House,86 McEwan Road,-37.735374,145.05405,2025-09-09 16:51:53,17686164,,10,0,1,False,House,House,Harcourts Rata & Co,30123,"Anna Keys, Harcourts Rata & Co","Heating, Area Views, Built in wardrobes, Close to schools, Car Parking - Surface, Openable Windows, Split System Cooling",https://www.domain.com.au/86-mcewan-road-heidelberg-heights-vic-3081-17686164
17688916,HEIDELBERG HEIGHTS,3081,725,3150,"Friday, 29 August 2025",2025-07-28,43,4,2,2.0,Townhouse,3/53 Lloyd ST,-37.744274,145.0528,2025-09-09 16:51:53,17688916,,8,0,1,False,Townhouse/Villa,Townhouse,Barry Plant Manningham,7015,"Jorja Ierardo, Barry Plant Eastern Group Rentals","Internal Laundry, Study, Floorboards, Built in wardrobes, Dishwasher, Broadband, Gas Appliances, Split System Heating, Split System Air Conditioning, Deck, Remote Garage, Secure Parking, Fully fenced, Water Tank, Pets Allowed",https://www.domain.com.au/3-53-lloyd-st-heidelberg-heights-vic-3081-17688916
17698875,HEIDELBERG HEIGHTS,3081,510,2216,"Monday, 08 September 2025",2025-08-04,36,2,1,1.0,Apartment / Unit / Flat,1/5 James Street,-37.750935,145.05432,2025-09-09 16:51:53,17698875,,6,0,0,False,Apartment,Apartment / Unit / Flat,Area Specialist Keysborough,31225,Property Management,"Built in wardrobes, Internal Laundry",https://www.domain.com.au/1-5-james-street-heidelberg-heights-vic-3081-17698875
17735831,HEIDELBERG HEIGHTS,3081,770,3336,"Thursday, 04 September 2025",2025-08-28,12,3,2,1.0,House,81A St Hellier Street,-37.749958,145.05344,2025-09-09 16:51:53,17735831,,12,0,0,False,House,House,Collings Real Estate,11934,Daniel Mendonca,"Built in wardrobes, Internal Laundry, Secure Parking, Heating, Balcony / Deck",https://www.domain.com.au/81a-st-hellier-street-heidelberg-heights-vic-3081-17735831
17736009,HEIDELBERG HEIGHTS,3081,626,2719,"Monday, 01 September 2025",2025-08-28,12,2,2,1.0,Apartment / Unit / Flat,108/452 Waterdale Road,-37.74461,145.04773,2025-09-09 16:51:53,17736009,,11,0,1,False,Apartment,Apartment / Unit / Flat,For Sale By Owner,20095,For Rent (VIC),"Air conditioning, Internal Laundry, Intercom, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/108-452-waterdale-road-heidelberg-heights-vic-3081-17736009
17736783,HEIDELBERG HEIGHTS,3081,450,1955,"Sunday, 31 August 2025",2025-08-28,12,2,1,4.0,House,562 Waterdale Road,-37.735996,145.04916,2025-09-09 16:51:53,17736783,,7,0,0,False,House,House,Dons Premier Estate Agents,36898,Jessica Gale,"Bedrooms, Bathrooms, Secure Parking",https://www.domain.com.au/562-waterdale-road-heidelberg-heights-vic-3081-17736783
