listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15168318,HIGHETT,3190,650,2825,"Friday, 12 September 2025",2025-09-04,5,2,2,1.0,Apartment / Unit / Flat,5/1163 Nepean Highway,-37.95176,145.04883,2025-09-09 16:16:44,15168318,KW-5702-ED,8,1,0,True,Apartment,Apartment / Unit / Flat,Ray White The Bayside Group,6378,"Ildiko Orsos, Isabella Dinelli","Gas, Internal Laundry, Secure Parking, Bath, Dishwasher",https://www.domain.com.au/5-1163-nepean-highway-highett-vic-3190-15168318
17692627,HIGHETT,3190,800,3693,"Monday, 25 August 2025",2025-07-30,41,2,2,,Apartment / Unit / Flat,604/9B Remington Drive,-37.953354,145.04852,2025-09-09 16:16:44,17692627,,9,0,0,False,Apartment,Apartment / Unit / Flat,Zed Real Estate,30678,Elham Bakhtani,"Intercom, Heating, Balcony / Deck",https://www.domain.com.au/604-9b-remington-drive-highett-vic-3190-17692627
17699801,HIGHETT,3190,1060,4606,"Friday, 12 September 2025",2025-08-04,35,4,3,3.0,Townhouse,19A Dawn Street,-37.953533,145.05516,2025-09-09 16:16:44,17699801,,12,0,0,False,Townhouse/Villa,Townhouse,Fletchers Glen Eira (Bentleigh),3604,Helna Bigaignon,"Internal Laundry, Secure Parking, Bath, Fireplace(s), Heating, Dishwasher, Solar panels",https://www.domain.com.au/19a-dawn-street-highett-vic-3190-17699801
17716837,HIGHETT,3190,630,2738,"Friday, 15 August 2025",2025-08-15,25,4,2,2.0,House,1 Rowans Rd,-37.948616,145.04668,2025-09-09 16:16:44,17716837,,9,0,0,False,House,House,Leyton Real Estate,17482,Andrew Chhang,,https://www.domain.com.au/1-rowans-rd-highett-vic-3190-17716837
17721852,HIGHETT,3190,595,2585,"Wednesday, 24 September 2025",2025-08-19,21,2,1,1.0,Apartment / Unit / Flat,2/21 Highland Avenue,-37.951927,145.02867,2025-09-09 16:16:44,17721852,,6,0,0,False,Apartment,Apartment / Unit / Flat,Buxton Hampton East,3938,Luisa Abbate,"Gas, Heating, Air conditioning, Built in wardrobes, Garden / Courtyard, Dishwasher, Floorboards, Fully fenced, Intercom, Remote Garage, Shed",https://www.domain.com.au/2-21-highland-avenue-highett-vic-3190-17721852
17722765,HIGHETT,3190,525,2281,"Monday, 01 September 2025",2025-08-19,20,2,1,1.0,Apartment / Unit / Flat,6/535 Highett Road,-37.94882,145.04391,2025-09-09 16:16:44,17722765,,6,0,2,False,Apartment,Apartment / Unit / Flat,Buxton Real Estate Brighton,3934,Ben McDonald,,https://www.domain.com.au/6-535-highett-road-highett-vic-3190-17722765
17724544,HIGHETT,3190,1100,5500,"Wednesday, 27 August 2025",2025-08-20,20,4,3,2.0,House,76a Middleton St,-37.950283,145.03958,2025-09-09 16:16:44,17724544,,7,0,0,False,House,House,Hodges Real Estate Sandringham,3917,Molly Rogerson,,https://www.domain.com.au/76a-middleton-st-highett-vic-3190-17724544
17742473,HIGHETT,3190,500,2173,"Monday, 06 October 2025",2025-09-02,7,1,1,1.0,Apartment / Unit / Flat,103/10 Major St,-37.94728,145.03998,2025-09-09 16:16:44,17742473,,9,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Bayside,16215,Dimmy Alevizos,"Built in wardrobes, Heating, Dishwasher, Balcony / Deck, Secure Parking",https://www.domain.com.au/103-10-major-st-highett-vic-3190-17742473
17743426,HIGHETT,3190,1275,7650,"Wednesday, 01 October 2025",2025-09-02,7,3,2,2.0,House,8 Telford Street,-37.945896,145.02783,2025-09-09 16:16:44,17743426,,10,0,0,False,House,House,Buxton Hampton East,3938,Rose Patterson,"Gas, Internal Laundry, Bath, Study, Balcony / Deck, Built in wardrobes, Dishwasher, Ducted Cooling, Ducted Heating, Remote Garage, Floorboards",https://www.domain.com.au/8-telford-street-highett-vic-3190-17743426
17744858,HIGHETT,3190,1190,5950,"Monday, 08 September 2025",2025-09-03,6,3,2,2.0,Townhouse,7A Panorama Avenue,-37.946667,145.0336,2025-09-09 16:16:44,17744858,,6,1,0,False,Townhouse/Villa,Townhouse,Beck & Small Property,32041,Elizabeth Lopez,"Study, Garden / Courtyard, Balcony / Deck, Dishwasher, Fully fenced, Remote Garage, Air conditioning, Split System Heating, Built in wardrobes, Split System Air Con, Floorboards, Gas, Outdoor Entertainment Area, Reverse Cycle Air Con, Ensuite",https://www.domain.com.au/7a-panorama-avenue-highett-vic-3190-17744858
