listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16507781,HILLSIDE,3037,500,2173,"Friday, 26 September 2025",2025-09-05,4,3,2,3,House,6 King Drive,-37.689175,144.7317,2025-09-09 16:26:17,16507781,LR-6107-XH,10,0,0,False,House,House,Ray White Taylors Lakes,19113,"Kristine Ikonomou, Jack Desira","Internal Laundry, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/6-king-drive-hillside-vic-3037-16507781
17453278,HILLSIDE,3037,550,2389,"Monday, 08 September 2025",2025-09-05,4,4,2,1,Apartment / Unit / Flat,2/29 Longhurst Crescent,-37.69046,144.74623,2025-09-09 16:26:17,17453278,US-2755-KF,10,0,0,False,Apartment,Apartment / Unit / Flat,Q6 Real Estate Pty The Trustee for Q6 Real Estate Trust,18250,Yousef Khalifa,"Secure Parking, Dishwasher, Built in wardrobes, Ducted Heating, Evaporative Cooling",https://www.domain.com.au/2-29-longhurst-crescent-hillside-vic-3037-17453278
17478540,HILLSIDE,3037,850,3690,"Wednesday, 09 April 2025",2025-03-12,181,4,2,4,House,,-37.692062,144.7442,2025-09-09 16:26:17,17478540,,12,0,0,False,House,House,No Agent Property ,20869,No Agent Property - VIC,"Heating, Air conditioning, Furnished, Remote Garage, Study, Broadband, Dishwasher, Energy Eff. Rating: 6",https://www.domain.com.au/hillside-vic-3037-17478540
17678261,HILLSIDE,3037,590,2564,"Thursday, 21 August 2025",2025-07-21,50,4,2,2,House,14 Beattys Rd,-37.691322,144.7318,2025-09-09 16:26:17,17678261,,10,0,0,False,House,House,McDonald Upton,11154,Tamara Petrevska,"Secure Parking, Heating, Air conditioning, Built in wardrobes, Study, Internal Laundry",https://www.domain.com.au/14-beattys-rd-hillside-vic-3037-17678261
17694862,HILLSIDE,3037,730,3172,"Thursday, 31 July 2025",2025-07-31,40,4,2,2,House,14 James Court,-37.68512,144.73474,2025-09-09 16:26:17,17694862,,10,0,0,False,House,House,YPA Estate Agents Sydenham,18194,"Amanda Galea, Cynthia Mercieca","Secure Parking, Heating, Dishwasher",https://www.domain.com.au/14-james-court-hillside-vic-3037-17694862
17703096,HILLSIDE,3037,420,1825,"Wednesday, 27 August 2025",2025-08-06,34,2,1,3,House,8 Kate Way,-37.693016,144.74522,2025-09-09 16:26:17,17703096,,6,1,0,False,House,House,OBrien Real Estate Sydenham,20080,Jack Darcy,"Secure Parking, Dishwasher, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ensuite, Carpeted",https://www.domain.com.au/8-kate-way-hillside-vic-3037-17703096
17709128,HILLSIDE,3037,450,1955,"Friday, 05 September 2025",2025-08-11,29,3,2,1,Apartment / Unit / Flat,6 Mathisen Terrace,-37.683815,144.75476,2025-09-09 16:26:17,17709128,,8,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Taylors Lakes,4692,"Shari Jansz, Stephanie Karras","Secure Parking, Heating",https://www.domain.com.au/6-mathisen-terrace-hillside-vic-3037-17709128
17727825,HILLSIDE,3037,500,2172,"Friday, 12 September 2025",2025-08-22,18,4,2,3,House,60 Botanic Drive,-37.683247,144.74382,2025-09-09 16:26:17,17727825,,2,1,0,False,House,House,Barry Plant Taylors Lakes,4692,"Shari Jansz, Jihanne Anastasiadis","Gas, Secure Parking, Heating, Study, Air conditioning, Alarm System",https://www.domain.com.au/60-botanic-drive-hillside-vic-3037-17727825
17742805,HILLSIDE,3037,600,2600,"Saturday, 06 September 2025",2025-09-02,7,4,2,2,House,7 Torquita Court,-37.696285,144.7441,2025-09-09 16:26:17,17742805,,9,0,0,False,House,House,Ray White Taylors Lakes,19113,"Katherine Kowalczyk, Jack Desira","Secure Parking, Dishwasher",https://www.domain.com.au/7-torquita-court-hillside-vic-3037-17742805
17743387,HILLSIDE,3037,450,1955,"Sunday, 05 October 2025",2025-09-02,7,4,1,2,House,8 Marner Avenue,-37.70391,144.74911,2025-09-09 16:26:17,17743387,,13,0,0,False,House,House,YPA Estate Agents Sydenham,18194,"Cynthia Mercieca, Amanda Galea","Air conditioning, Internal Laundry, Secure Parking, Heating, Dishwasher, Ensuite",https://www.domain.com.au/8-marner-avenue-hillside-vic-3037-17743387
17743717,HILLSIDE,3037,650,2824,"Tuesday, 02 September 2025",2025-09-02,7,4,2,2,House,6 Favaro Place,-37.69462,144.74744,2025-09-09 16:26:17,17743717,,13,0,0,False,House,House,OBrien Real Estate Sydenham,20080,Jack Darcy,"Gas, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ensuite, Car Parking - Surface, Carpeted",https://www.domain.com.au/6-favaro-place-hillside-vic-3037-17743717
17744587,HILLSIDE,3037,550,2390,"Monday, 22 September 2025",2025-09-03,6,3,2,2,House,7 Celendine Place,-37.702957,144.74365,2025-09-09 16:26:17,17744587,,7,0,0,False,House,House,Professionals Taylors Lakes,8505,Julia Crisara,"Secure Parking, Heating, Dishwasher, Laundry",https://www.domain.com.au/7-celendine-place-hillside-vic-3037-17744587
17745325,HILLSIDE,3037,540,2346,"Wednesday, 03 September 2025",2025-09-03,6,4,2,2,House,89 John Paul Drive,-37.69592,144.7486,2025-09-09 16:26:17,17745325,,11,0,0,False,House,House,Barry Plant St Albans,4690,"Peter D'aloia, Annali Wijewardene","Pets Allowed, Air conditioning, Heating, Built in wardrobes, Ensuite, Carpeted",https://www.domain.com.au/89-john-paul-drive-hillside-vic-3037-17745325
