listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15617438,HOPPERS CROSSING,3029,460.0,1999.0,"Wednesday, 10 September 2025",2025-09-04,4,3,1,2.0,House,13 Priestley Avenue,-37.86897,144.70123,2025-09-09 16:37:11,15617438,KE-9990-YW,11,0,0,False,House,House,RAM International,35131,Hema Ramoo,"Bath, Fully fenced, Outdoor Entertainment Area, Broadband Internet Available, Built in wardrobes, Dishwasher, Floorboards, Air conditioning, Ducted Heating, Pets Allowed",https://www.domain.com.au/13-priestley-avenue-hoppers-crossing-vic-3029-15617438
15954677,HOPPERS CROSSING,3029,520.0,2253.0,"Saturday, 19 August 2023",2025-08-27,13,4,2,2.0,House,358 Heaths Road,-37.875534,144.6681,2025-09-09 16:37:11,15954677,UY-8966-KY,9,0,0,False,House,House,Shaw Estate Agents,30491,Sophie Shaw,,https://www.domain.com.au/358-heaths-road-hoppers-crossing-vic-3029-15954677
17182003,HOPPERS CROSSING,3029,490.0,2129.0,"Friday, 15 August 2025",2025-08-11,29,3,2,2.0,House,6 Elliot Court,-37.869778,144.68501,2025-09-09 16:37:11,17182003,CE-8541-RH,14,0,0,False,House,House,Stockdale & Leggo Laverton / Altona / Point Cook,27481,SUNNY KUMAR,"Built in wardrobes, Secure Parking, Heating",https://www.domain.com.au/6-elliot-court-hoppers-crossing-vic-3029-17182003
17195654,HOPPERS CROSSING,3029,630.0,2730.0,"Wednesday, 02 October 2024",2025-09-08,1,4,2,2.0,House,22B Kenmore Close,-37.867886,144.66663,2025-09-09 16:37:11,17195654,,9,0,0,False,House,House,Shaw Estate Agents,30491,Sophie Shaw,"Internal Laundry, Heating",https://www.domain.com.au/22b-kenmore-close-hoppers-crossing-vic-3029-17195654
17591298,HOPPERS CROSSING,3029,530.0,2296.0,"Saturday, 23 August 2025",2025-08-01,39,4,2,4.0,House,34 Sandleford Way,-37.847668,144.67241,2025-09-09 16:37:11,17591298,BI-0669-SY,22,0,0,False,House,House,Compton Green Geelong,21762,Sarah Milner,"Gas, Ensuite, Floorboards, Built in wardrobes, Internal Laundry, Pets Allowed, Bath, Heating, Dishwasher, Fully fenced, Garden / Courtyard",https://www.domain.com.au/34-sandleford-way-hoppers-crossing-vic-3029-17591298
17718797,HOPPERS CROSSING,3029,440.0,1912.0,"Tuesday, 02 September 2025",2025-09-02,6,3,1,2.0,House,21 Strickland Avenue,-37.871243,144.70854,2025-09-09 16:37:11,17718797,,11,0,0,False,House,House,Ray White Werribee,29214,"Marc Tanti, Maya Hunak",Heating,https://www.domain.com.au/21-strickland-avenue-hoppers-crossing-vic-3029-17718797
17722454,HOPPERS CROSSING,3029,450.0,1955.0,"Saturday, 06 September 2025",2025-08-19,21,3,1,1.0,House,12 Hawkhurst Court,-37.851,144.67014,2025-09-09 16:37:11,17722454,,1,0,0,False,House,House,Ray White Tarneit,23886,"Marvin Paed, Savi Sarain","Built in wardrobes, Secure Parking, Heating",https://www.domain.com.au/12-hawkhurst-court-hoppers-crossing-vic-3029-17722454
17726387,HOPPERS CROSSING,3029,430.0,1868.0,"Thursday, 21 August 2025",2025-08-21,19,3,1,,House,93 Huntingfield Drive,-37.890457,144.68158,2025-09-09 16:37:11,17726387,,13,0,0,False,House,House,LJ Hooker Property Point,22180,"Dema Haddad, Nathan Long","Built in wardrobes, Internal Laundry, Pets Allowed",https://www.domain.com.au/93-huntingfield-drive-hoppers-crossing-vic-3029-17726387
17738575,HOPPERS CROSSING,3029,470.0,2042.0,"Thursday, 28 August 2025",2025-08-29,11,3,2,2.0,House,30 Don Avenue,-37.873203,144.69109,2025-09-09 16:37:11,17738575,,9,0,0,False,House,House,Ray White West Realty,28524,"Louise Ericksen, Chantae Jones",Balcony / Deck,https://www.domain.com.au/30-don-avenue-hoppers-crossing-vic-3029-17738575
17747751,HOPPERS CROSSING,3029,480.0,2086.0,"Thursday, 04 September 2025",2025-09-04,5,4,2,2.0,House,40 Bernhardt Avenue,-37.88602,144.6905,2025-09-09 16:37:11,17747751,,21,0,0,False,House,House,Ray White Werribee,29214,"Marc Tanti, Maya Hunak",Heating,https://www.domain.com.au/40-bernhardt-avenue-hoppers-crossing-vic-3029-17747751
17748182,HOPPERS CROSSING,3029,500.0,2173.0,"Thursday, 04 September 2025",2025-09-04,4,3,2,2.0,House,13 Palmer Court,-37.86218,144.70815,2025-09-09 16:37:11,17748182,,12,0,0,False,House,House,361 WYNDHAM CITY,34918,"Pooja Kundu, Nick Miglani","Internal Laundry, Shed, Heating, Close to transport, Close to shops, Close to schools, Ensuite, Exhaust, Openable Windows, Toilet Facilities",https://www.domain.com.au/13-palmer-court-hoppers-crossing-vic-3029-17748182
17748220,HOPPERS CROSSING,3029,470.0,2042.0,"Tuesday, 09 September 2025",2025-09-04,4,3,2,2.0,House,8 Tamboritha Street,-37.87399,144.70677,2025-09-09 16:37:11,17748220,,19,0,0,False,House,House,Engage Real Estate,36137,Engage Leasing Team,"Heating, Study, Solar panels",https://www.domain.com.au/8-tamboritha-street-hoppers-crossing-vic-3029-17748220
17749238,HOPPERS CROSSING,3029,490.0,2129.0,"Monday, 06 October 2025",2025-09-05,4,4,2,4.0,House,52 Canberra Avenue,-37.879333,144.68878,2025-09-09 16:37:11,17749238,,10,0,0,False,House,House,Reliance Werribee,35358,"Vipul Gaba, Kamini Dogra","Pets Allowed, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ensuite",https://www.domain.com.au/52-canberra-avenue-hoppers-crossing-vic-3029-17749238
17749310,HOPPERS CROSSING,3029,550.0,2390.0,"Friday, 12 September 2025",2025-09-05,4,4,2,,House,310 Heaths Road,-37.876087,144.67291,2025-09-09 16:37:11,17749310,,7,0,0,False,House,House,First National Westwood ,6441,"Jai Grant, Shenay Caglar","Gas, Internal Laundry, Shed, Ensuite, Dishwasher, Built in wardrobes, Floorboards, Ducted Heating, Evaporative Cooling",https://www.domain.com.au/310-heaths-road-hoppers-crossing-vic-3029-17749310
17749693,HOPPERS CROSSING,3029,995.0,5970.0,"Friday, 12 September 2025",2025-09-05,4,4,2,5.0,House,11 Kingston Boulevard,-37.85342,144.69215,2025-09-09 16:37:11,17749693,,13,0,0,False,House,House,Xynergy Realty Oakleigh,26633,Parker Wang,"Secure Parking, Fireplace(s), Shed, Dishwasher, Bathtub",https://www.domain.com.au/11-kingston-boulevard-hoppers-crossing-vic-3029-17749693
17751218,HOPPERS CROSSING,3029,475.0,2058.0,"Tuesday, 09 September 2025",2025-09-08,1,3,2,1.0,House,12 Marion Walk,-37.874084,144.66943,2025-09-09 16:37:11,17751218,,12,0,0,False,House,House,Compton Green Geelong,21762,Sarah Milner,"Secure Parking, Air conditioning, Internal Laundry, Pets Allowed, Bath, Heating, Shed",https://www.domain.com.au/12-marion-walk-hoppers-crossing-vic-3029-17751218
17753306,HOPPERS CROSSING,3029,550.0,2390.0,"Friday, 12 September 2025",2025-09-09,0,4,2,2.0,House,113 Birchwood Boulevard,-37.861275,144.71278,2025-09-09 16:37:11,17753306,,17,0,0,False,House,House,hockingstuart Wyndham City,16107,"Brittany McCormack, Jessica Tong",Secure Parking,https://www.domain.com.au/113-birchwood-boulevard-hoppers-crossing-vic-3029-17753306
17753315,HOPPERS CROSSING,3029,420.0,1825.0,"Friday, 10 October 2025",2025-09-09,0,2,1,1.0,House,2/4 Paruna Place,-37.859856,144.68279,2025-09-09 16:37:11,17753315,,6,0,0,False,House,House,LJ Hooker Property Point,22180,"Nathan Long, Dema Haddad","Built in wardrobes, Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/2-4-paruna-place-hoppers-crossing-vic-3029-17753315
17753729,HOPPERS CROSSING,3029,460.0,1999.0,"Tuesday, 09 September 2025",2025-09-09,0,3,1,2.0,House,58 Barber Drive,-37.87087,144.6775,2025-09-09 16:37:11,17753729,,11,0,0,False,House,House,361 Degree Real Estate,28162,Celina Rashim,"Heating, Dishwasher, Air conditioning, Built in wardrobes, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/58-barber-drive-hoppers-crossing-vic-3029-17753729
17753863,HOPPERS CROSSING,3029,570.0,2477.0,"Friday, 03 October 2025",2025-09-09,0,3,2,4.0,House,4 Albion court,-37.85105,144.70818,2025-09-09 16:37:11,17753863,,9,0,0,False,House,House,"Sweeney Altona, Altona Meadows & Altona North",81,Sweeney Rentals,"Air conditioning, Ensuite, Built in wardrobes, Internal Laundry, Bath, Heating, Secure Parking, Shed, Balcony / Deck, Garden / Courtyard",https://www.domain.com.au/4-albion-court-hoppers-crossing-vic-3029-17753863
16291365,HOPPERS CROSSING,3029,470.0,2042.0,"Friday, 26 September 2025",2025-09-01,8,2,2,1.0,Townhouse,112 Mossfiel Drive,-37.869724,144.6913,2025-09-09 16:37:16,16291365,,8,0,0,False,Townhouse/Villa,Townhouse,Victoria Real Estate Agency Pty Ltd,27202,Sonita Dawood,"Floorboards, Built in wardrobes, Dishwasher, Split System Heating, Split System Air Conditioning, Balcony, Remote Garage, Pets Allowed",https://www.domain.com.au/112-mossfiel-drive-hoppers-crossing-vic-3029-16291365
17404109,HOPPERS CROSSING,3029,400.0,1738.0,"Tuesday, 07 October 2025",2025-09-04,5,3,1,1.0,House,7 Shearer Close,-37.86352,144.70688,2025-09-09 16:37:16,17404109,XF-2422-RW,9,0,0,False,House,House,Ray White Werribee,29214,"Maya Hunak, Marc Tanti",,https://www.domain.com.au/7-shearer-close-hoppers-crossing-vic-3029-17404109
17669391,HOPPERS CROSSING,3029,420.0,1825.0,"Tuesday, 15 July 2025",2025-07-15,56,3,1,1.0,Apartment / Unit / Flat,39B Minogue Crescent,-37.87359,144.68732,2025-09-09 16:37:16,17669391,,13,0,0,False,Apartment,Apartment / Unit / Flat,P Di Natale Real Estate,15264,Anthony Amanatidis,"Built in wardrobes, Split-System Air Conditioning",https://www.domain.com.au/39b-minogue-crescent-hoppers-crossing-vic-3029-17669391
17691134,HOPPERS CROSSING,3029,410.0,1782.0,"Tuesday, 29 July 2025",2025-07-29,41,3,2,1.0,House,216 Heaths Road,-37.877487,144.68555,2025-09-09 16:37:16,17691134,,18,0,0,False,House,House,ACE Real Estate,19089,"Pooja Sharma, Riya Sharma",,https://www.domain.com.au/216-heaths-road-hoppers-crossing-vic-3029-17691134
17703140,HOPPERS CROSSING,3029,680.0,2955.0,"Wednesday, 06 August 2025",2025-08-06,34,4,2,2.0,House,17 Roberts Avenue,-37.870144,144.70064,2025-09-09 16:37:16,17703140,,21,0,2,False,House,House,.established Property,4979,Established Property Leasing,"Heating, Study",https://www.domain.com.au/17-roberts-avenue-hoppers-crossing-vic-3029-17703140
17713894,HOPPERS CROSSING,3029,430.0,1868.0,"Wednesday, 13 August 2025",2025-08-13,27,3,2,2.0,House,27 Kathleen Crescent,-37.87451,144.66591,2025-09-09 16:37:16,17713894,,10,0,0,False,House,House,Ray White Werribee,29214,"Marc Tanti, Maya Hunak","Secure Parking, Heating",https://www.domain.com.au/27-kathleen-crescent-hoppers-crossing-vic-3029-17713894
17733496,HOPPERS CROSSING,3029,460.0,1999.0,"Friday, 05 September 2025",2025-08-27,13,3,1,1.0,House,2 Dauphine Mews,-37.855663,144.67627,2025-09-09 16:37:16,17733496,,11,0,0,False,House,House,Barry Plant Tarneit,20379,Vanessa Nedelkovski,"Pets Allowed, Secure Parking, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/2-dauphine-mews-hoppers-crossing-vic-3029-17733496
17733724,HOPPERS CROSSING,3029,420.0,1825.0,"Tuesday, 26 August 2025",2025-08-27,13,3,2,2.0,House,12 Woolpack Street,-37.869705,144.66844,2025-09-09 16:37:16,17733724,,16,0,0,False,House,House,Reliance Werribee,35358,"Nuzhat Miller, Vipul Gaba","Air conditioning, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ensuite, Garage Space, Ducted Heating",https://www.domain.com.au/12-woolpack-street-hoppers-crossing-vic-3029-17733724
17734068,HOPPERS CROSSING,3029,420.0,1825.0,"Friday, 12 September 2025",2025-08-27,13,2,1,1.0,Apartment / Unit / Flat,3/71 Powell Drive,-37.88479,144.69656,2025-09-09 16:37:16,17734068,,7,0,0,False,Apartment,Apartment / Unit / Flat,First National Westwood ,6441,"Shenay Caglar, Sharni carlton","Gas, Internal Laundry, Dishwasher, Built in wardrobes, Floorboards, Air-Conditioner, Split System Heating, Alarm, Remote Garage, Secure Parking, Courtyard, Fully fenced",https://www.domain.com.au/3-71-powell-drive-hoppers-crossing-vic-3029-17734068
17734086,HOPPERS CROSSING,3029,480.0,2086.0,"Friday, 19 September 2025",2025-08-27,13,3,2,1.0,Townhouse,2/71 Powell Drive,-37.884644,144.69647,2025-09-09 16:37:16,17734086,,7,0,0,False,Townhouse/Villa,Townhouse,First National Westwood ,6441,"Shenay Caglar, Sharni carlton","Gas, Internal Laundry, Ensuite, Dishwasher, Built in wardrobes, Floorboards, Air-Conditioner, Split System Heating, Alarm, Remote Garage, Secure Parking, Courtyard, Fully fenced",https://www.domain.com.au/2-71-powell-drive-hoppers-crossing-vic-3029-17734086
