listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16878242,HORSHAM,3400,360.0,1560,"Thursday, 07 August 2025",2025-07-30,41,3,1,1.0,House,14 Tucker Street,-36.708492,142.21082,2025-09-09 16:46:31,16878242,WY-7261-IF,10,0,0,False,House,House,Harcourts Horsham,27443,Macey Maybery,"Built in wardrobes, Bath, Heating, Dishwasher, Study, Shed",https://www.domain.com.au/14-tucker-street-horsham-vic-3400-16878242
17202654,HORSHAM,3400,470.0,2042,"Wednesday, 15 October 2025",2025-09-04,5,3,1,3.0,House,5 Colla Court,-36.728615,142.20813,2025-09-09 16:46:31,17202654,UM-7518-RF,11,0,0,False,House,House,Harcourts Horsham,27443,Olivia Treacy,"Bath, Heating, Dishwasher, Shed, Fully fenced",https://www.domain.com.au/5-colla-court-horsham-vic-3400-17202654
17232866,HORSHAM,3400,480.0,2080,"Friday, 17 October 2025",2025-09-04,5,3,2,,House,33 Arthur Drive,-36.714977,142.17564,2025-09-09 16:46:31,17232866,DB-6592-OG,13,0,0,False,House,House,Harcourts Horsham,27443,Macey Maybery,"Gas, Secure Parking, Bath, Dishwasher",https://www.domain.com.au/33-arthur-drive-horsham-vic-3400-17232866
17686324,HORSHAM,3400,360.0,1564,"Monday, 18 August 2025",2025-07-25,46,2,1,1.0,House,6 Philip Street,-36.71851,142.1835,2025-09-09 16:46:31,17686324,,8,0,0,False,House,House,AL Property Agents,8448,Pearl Lee,"Bath, Heating, Shed",https://www.domain.com.au/6-philip-street-horsham-vic-3400-17686324
17687609,HORSHAM,3400,365.0,1586,"Wednesday, 06 August 2025",2025-07-28,43,2,1,1.0,Apartment / Unit / Flat,4/10 Gleed Street,-36.713573,142.19522,2025-09-09 16:46:31,17687609,,8,0,0,False,Apartment,Apartment / Unit / Flat,Wes Davidson Real Estate,14364,Bethany Horton,"Built in wardrobes, Secure Parking, Heating",https://www.domain.com.au/4-10-gleed-street-horsham-vic-3400-17687609
17690514,HORSHAM,3400,850.0,3693,"Tuesday, 29 July 2025",2025-07-29,42,5,4,1.0,House,4 Natimuk Road,-36.718376,142.1868,2025-09-09 16:46:31,17690514,,11,0,0,False,House,House,AL Property Agents,8448,Kim Carter,"Heating, Dishwasher, Furnished",https://www.domain.com.au/4-natimuk-road-horsham-vic-3400-17690514
17695059,HORSHAM,3400,750.0,3258,"Thursday, 31 July 2025",2025-07-31,40,3,2,2.0,House,16 Evans Way,-36.728886,142.20067,2025-09-09 16:46:31,17695059,,12,0,0,False,House,House,AL Property Agents,8448,Pearl Lee,Furnished,https://www.domain.com.au/16-evans-way-horsham-vic-3400-17695059
17707882,HORSHAM,3400,315.0,1368,"Monday, 11 August 2025",2025-08-08,32,3,1,,House,54 Elizabeth Street,-36.716564,142.1826,2025-09-09 16:46:31,17707882,,9,0,0,False,House,House,AL Property Agents,8448,Jed Dickerson,"Internal Laundry, Bath, Heating",https://www.domain.com.au/54-elizabeth-street-horsham-vic-3400-17707882
17709348,HORSHAM,3400,460.0,1998,"Monday, 15 September 2025",2025-08-11,29,3,2,2.0,House,47 Hickson St,-36.69984,142.18925,2025-09-09 16:46:31,17709348,,22,0,0,False,House,House,NorthWest Real Estate,26079,"Fiona Knight, Rental Team","Bath, Remote garage, Built in wardrobes, Air conditioning, Evaporative Cooling, Ducted Heating",https://www.domain.com.au/47-hickson-st-horsham-vic-3400-17709348
17709975,HORSHAM,3400,420.0,1825,"Friday, 19 September 2025",2025-08-11,29,3,2,,House,1 Kalimna Avenue,-36.720856,142.18297,2025-09-09 16:46:31,17709975,,13,0,0,False,House,House,Wimmera Property Agents,38727,Caitlin Devlin,"Internal Laundry, Bath, Dishwasher, Shed",https://www.domain.com.au/1-kalimna-avenue-horsham-vic-3400-17709975
17712152,HORSHAM,3400,380.0,1651,"Monday, 01 September 2025",2025-08-12,28,2,1,1.0,Apartment / Unit / Flat,2/8 Dougherty Street,-36.712933,142.1857,2025-09-09 16:46:31,17712152,,8,0,0,False,Apartment,Apartment / Unit / Flat,Wimmera Property Agents,38727,Caitlin Devlin,"Secure Parking, Bath, Dishwasher, Built in wardrobes, Courtyard",https://www.domain.com.au/2-8-dougherty-street-horsham-vic-3400-17712152
17721130,HORSHAM,3400,360.0,1564,"Friday, 29 August 2025",2025-08-19,21,3,1,,House,32 Gardenia Street,-36.720917,142.19267,2025-09-09 16:46:31,17721130,,9,0,0,False,House,House,Harcourts Horsham,27443,Olivia Treacy,"Heating, Shed",https://www.domain.com.au/32-gardenia-street-horsham-vic-3400-17721130
17731910,HORSHAM,3400,440.0,1911,"Friday, 26 September 2025",2025-08-26,14,3,2,1.0,Townhouse,1B Shade Court,-36.728027,142.20119,2025-09-09 16:46:31,17731910,,11,0,0,False,Townhouse/Villa,Townhouse,Wes Davidson Real Estate,14364,Joe Richardson,"Gas, Secure Parking, Bath, Dishwasher",https://www.domain.com.au/1b-shade-court-horsham-vic-3400-17731910
17732511,HORSHAM,3400,330.0,1434,"Friday, 26 September 2025",2025-08-26,14,3,1,2.0,Apartment / Unit / Flat,4/27 Dimboola Road,-36.709835,142.19331,2025-09-09 16:46:31,17732511,,8,0,0,False,Apartment,Apartment / Unit / Flat,Wes Davidson Real Estate,14364,Joe Richardson,"Built in wardrobes, Heating",https://www.domain.com.au/4-27-dimboola-road-horsham-vic-3400-17732511
17733680,HORSHAM,3400,470.0,2042,"Friday, 26 September 2025",2025-08-27,13,3,2,2.0,House,12 Hogan Court,-36.728085,142.21133,2025-09-09 16:46:31,17733680,,12,0,0,False,House,House,Wes Davidson Real Estate,14364,Bethany Horton,"Built in wardrobes, Secure Parking, Bath, Heating",https://www.domain.com.au/12-hogan-court-horsham-vic-3400-17733680
17737379,HORSHAM,3400,650.0,2824,"Thursday, 28 August 2025",2025-08-28,11,3,2,2.0,House,2/21 Johnson Street,-36.70909,142.21321,2025-09-09 16:46:31,17737379,,21,0,0,False,House,House,Harcourts Horsham,27443,Corrie Munn,"Secure Parking, Ensuite, Heating, Dishwasher",https://www.domain.com.au/2-21-johnson-street-horsham-vic-3400-17737379
