listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15019148,HUGHESDALE,3166,795,3454.0,"Friday, 25 July 2025",2025-07-11,60,4,2,3.0,House,12 Wilbur Crescent,-37.893497,145.0815,2025-09-09 16:54:09,15019148,QG-8724-XM,9,1,0,False,House,House,Ray White Oakleigh,12122,"Matthew Swinnerton, Tom Fulop","Air conditioning, Floorboards, Built in wardrobes, Separate Dining Room, Secure Parking",https://www.domain.com.au/12-wilbur-crescent-hughesdale-vic-3166-15019148
17614433,HUGHESDALE,3166,546,1092.0,"Tuesday, 10 June 2025",2025-08-18,21,1,1,1.0,Apartment / Unit / Flat,117/1384 Dandenong Road,-37.893265,145.08762,2025-09-09 16:54:09,17614433,,11,0,0,False,Apartment,Apartment / Unit / Flat,For Sale By Owner,20095,For Rent (VIC),"Air conditioning, Internal Laundry, Secure Parking, Furnished, Heating, Dishwasher",https://www.domain.com.au/117-1384-dandenong-road-hughesdale-vic-3166-17614433
17655353,HUGHESDALE,3166,950,6028.0,"Friday, 25 July 2025",2025-07-07,64,4,2,4.0,House,1368 Dandenong Road,-37.893078,145.0862,2025-09-09 16:54:09,17655353,,12,0,1,False,House,House,Buxton Oakleigh,18667,"Emily Katiforis, Alex Mayne","Built in wardrobes, Dishwasher, Ducted Cooling, Ducted Heating, Shed, Ensuite",https://www.domain.com.au/1368-dandenong-road-hughesdale-vic-3166-17655353
17686063,HUGHESDALE,3166,860,3737.0,"Tuesday, 19 August 2025",2025-07-25,46,4,2,2.0,House,30 Moorookyle Ave,-37.90741,145.08272,2025-09-09 16:54:09,17686063,,11,0,0,False,House,House,Eighth Quarter Real Estate,22013,"Jane Huang, Charles Gao","Internal Laundry, Secure Parking, Bath, Heating, Balcony / Deck",https://www.domain.com.au/30-moorookyle-ave-hughesdale-vic-3166-17686063
17717399,HUGHESDALE,3166,750,3259.0,"Monday, 15 September 2025",2025-08-15,25,3,2,1.0,Apartment / Unit / Flat,310/28 Swindon Rd,-37.89721,145.08684,2025-09-09 16:54:09,17717399,,10,1,0,False,Apartment,Apartment / Unit / Flat,Eighth Quarter Real Estate,22013,Jane Huang,"Secure Parking, Air conditioning, Balcony, Floorboards, Built in wardrobes, Dishwasher",https://www.domain.com.au/310-28-swindon-rd-hughesdale-vic-3166-17717399
17718127,HUGHESDALE,3166,750,,"Saturday, 23 August 2025",2025-08-15,25,3,2,2.0,Townhouse,2/4 Carlisle Crescent,-37.898346,145.07837,2025-09-09 16:54:09,17718127,,8,0,0,False,Townhouse/Villa,Townhouse,Ausky Group,20742,"Vivi Liana, Leanna Li","Gas, Internal Laundry, Dishwasher, Air conditioning, Built in wardrobes",https://www.domain.com.au/2-4-carlisle-crescent-hughesdale-vic-3166-17718127
17739617,HUGHESDALE,3166,850,3693.0,"Wednesday, 01 October 2025",2025-09-01,8,4,3,,Townhouse,1/37 Darling St,-37.903385,145.07962,2025-09-09 16:54:09,17739617,,7,0,0,False,Townhouse/Villa,Townhouse,Eighth Quarter Real Estate,22013,Jane Huang,"Gas, Internal Laundry, Heating, Air conditioning, Built in wardrobes, Dishwasher",https://www.domain.com.au/1-37-darling-st-hughesdale-vic-3166-17739617
17741678,HUGHESDALE,3166,600,2564.0,"Tuesday, 30 September 2025",2025-09-01,8,3,1,1.0,Apartment / Unit / Flat,9/590 Neerim Road,-37.89127,145.08076,2025-09-09 16:54:09,17741678,,9,0,0,False,Apartment,Apartment / Unit / Flat,Matthew Iaco & Associates,3428,"Matthew Iaco, Adrian Iacovangelo","Built in wardrobes, Internal Laundry, Secure Parking, Bath, Heating, Air conditioning, Floorboards, Garden / Courtyard, Gas",https://www.domain.com.au/9-590-neerim-road-hughesdale-vic-3166-17741678
17744952,HUGHESDALE,3166,500,2173.0,"Tuesday, 30 September 2025",2025-09-03,6,2,1,1.0,Apartment / Unit / Flat,2/575 Neerim Road,-37.89238,145.08087,2025-09-09 16:54:09,17744952,,5,0,0,False,Apartment,Apartment / Unit / Flat,Biggin Scott Glen Waverley,24636,"Leasing Team, Davis  Fung","Internal Laundry, Secure Parking, Bath, Heating",https://www.domain.com.au/2-575-neerim-road-hughesdale-vic-3166-17744952
17749789,HUGHESDALE,3166,550,2390.0,"Friday, 05 September 2025",2025-09-05,4,2,1,1.0,Apartment / Unit / Flat,2/10 Rugby Road,-37.89421,145.08629,2025-09-09 16:54:09,17749789,,10,0,0,False,Apartment,Apartment / Unit / Flat,Ray White Carnegie,5958,"Dale Browning, Nick Giannopoulos","Built in wardrobes, Secure Parking, Intercom, Heating",https://www.domain.com.au/2-10-rugby-road-hughesdale-vic-3166-17749789
17753232,HUGHESDALE,3166,525,2281.0,"Monday, 27 October 2025",2025-09-09,0,1,1,1.0,Apartment / Unit / Flat,207/59-63 Warrigal Road,-37.898884,145.08691,2025-09-09 16:54:09,17753232,,9,1,0,False,Apartment,Apartment / Unit / Flat,MRE,20795,"Naomi Saba, Jarrod O'donnell","Built in wardrobes, Internal Laundry, Dishwasher, Balcony / Deck, Car Accom: Carport, Pool/Spa Count: 0",https://www.domain.com.au/207-59-63-warrigal-road-hughesdale-vic-3166-17753232
