listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15750993,HUNTLY,3551,520,2254,"Friday, 13 September 2024",2025-09-02,7,4,2,,House,43 Daisy Street,-36.66001,144.348,2025-09-09 17:01:34,15750993,BQ-2584-SJ,12,0,1,True,House,House,PRD Nationwide Bendigo,6502,"Janelle Fiedler, Carter Hampton","Gas, Air conditioning, Built in wardrobes, Secure Parking, Dishwasher, Heating",https://www.domain.com.au/43-daisy-street-huntly-vic-3551-15750993
17316726,HUNTLY,3551,600,2607,"Wednesday, 06 August 2025",2025-08-12,28,4,2,2.0,House,9 Gallic Way,-36.657818,144.34682,2025-09-09 17:01:34,17316726,OX-7878-CJ,24,0,0,False,House,House,Ray White Bendigo,25162,Daragh Browne,"Ensuite, Heating, Dishwasher, Study, Fully fenced, Garden / Courtyard, Energy efficient appliances, Water efficient appliances",https://www.domain.com.au/9-gallic-way-huntly-vic-3551-17316726
17382505,HUNTLY,3551,580,2514,"Wednesday, 15 October 2025",2025-08-27,13,4,2,2.0,House,5 Crowley Street,-36.661392,144.36012,2025-09-09 17:01:34,17382505,PD-1289-US,18,0,1,True,House,House,PRD Nationwide Bendigo,6502,"Jessica Walsh, Lily Blabey","Air conditioning, Internal Laundry, Secure Parking, Heating, Study",https://www.domain.com.au/5-crowley-street-huntly-vic-3551-17382505
17616456,HUNTLY,3551,510,2216,"Monday, 16 June 2025",2025-06-11,90,4,2,2.0,House,26 Delawarr Parade,-36.65787,144.36153,2025-09-09 17:01:34,17616456,,10,1,1,False,House,House,Bendigo Real Estate,12758,"Ella O'Donnell, Reception BRE","Air conditioning, Secure Parking, Garden / Courtyard, Fully fenced, Dishwasher, Floorboards, Gas Heating",https://www.domain.com.au/26-delawarr-parade-huntly-vic-3551-17616456
17696010,HUNTLY,3551,580,2520,"Monday, 01 September 2025",2025-08-01,39,4,2,2.0,House,17 Sendock Parade,-36.658554,144.34753,2025-09-09 17:01:34,17696010,,8,0,0,False,House,House,Ray White Bendigo,25162,Daragh Browne,"Secure Parking, Fully fenced",https://www.domain.com.au/17-sendock-parade-huntly-vic-3551-17696010
17710960,HUNTLY,3551,540,2340,"Wednesday, 13 August 2025",2025-08-12,28,4,2,2.0,House,154 Sawmill Road,-36.65955,144.3461,2025-09-09 17:01:34,17710960,,16,0,1,True,House,House,PRD Nationwide Bendigo,6502,"Jessica Walsh, Lily Blabey","Gas, Secure Parking, Heating",https://www.domain.com.au/154-sawmill-road-huntly-vic-3551-17710960
17713610,HUNTLY,3551,580,2514,"Tuesday, 26 August 2025",2025-08-13,27,4,2,2.0,House,10 Fluke Street,-36.662247,144.36256,2025-09-09 17:01:34,17713610,,13,0,1,True,House,House,PRD Nationwide Bendigo,6502,"Jessica Walsh, Lily Blabey","Internal Laundry, Heating, Dishwasher",https://www.domain.com.au/10-fluke-street-huntly-vic-3551-17713610
17714972,HUNTLY,3551,525,2281,"Friday, 19 September 2025",2025-08-14,26,4,2,2.0,House,42 Aspiring Dr,-36.667645,144.34816,2025-09-09 17:01:34,17714972,,10,0,1,False,House,House,Bendigo Real Estate,12758,"Ella O'Donnell, Reception BRE","Bath, Air conditioning, Secure Parking, Garden / Courtyard, Fully fenced, Dishwasher, Gas Heating",https://www.domain.com.au/42-aspiring-dr-huntly-vic-3551-17714972
17722440,HUNTLY,3551,595,2579,"Monday, 25 August 2025",2025-08-19,21,4,2,2.0,House,12 Betoota Ave,-36.6584,144.35144,2025-09-09 17:01:34,17722440,,15,0,1,True,House,House,PRD Nationwide Bendigo,6502,"Jessica Walsh, Lily Blabey","Internal Laundry, Secure Parking, Bath, Heating, Dishwasher",https://www.domain.com.au/12-betoota-ave-huntly-vic-3551-17722440
17725321,HUNTLY,3551,525,2281,"Monday, 15 September 2025",2025-09-08,1,4,2,2.0,House,22 Aspiring Drive,-36.666332,144.34695,2025-09-09 17:01:34,17725321,,7,0,1,False,House,House,Bendigo Real Estate,12758,"Lyndall Joiner, Reception BRE","Bath, Air conditioning, Secure Parking, Fully fenced, Dishwasher, Gas Heating",https://www.domain.com.au/22-aspiring-drive-huntly-vic-3551-17725321
