listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17628839,IRYMPLE,3498,460,1840,"Friday, 27 June 2025",2025-06-19,82,3,1,,House,55 Sultana Avenue,-34.263626,142.21329,2025-09-09 16:31:22,17628839,11,0,0,True,House,House,Ray White Mildura,30752,Charlotte McKendrick,"Gas, Furnished",https://www.domain.com.au/55-sultana-avenue-irymple-vic-3498-17628839
17660874,IRYMPLE,3498,1550,6735,"Wednesday, 13 August 2025",2025-08-26,14,4,1,2.0,Acreage / Semi-Rural,9335 Calder Highway,-34.2483,142.18167,2025-09-09 16:31:22,17660874,12,0,0,False,Any,Acreage / Semi-Rural,Professionals Mildura,8839,"Property Management, Jason Lawler","Built in wardrobes, Heating",https://www.domain.com.au/9335-calder-highway-irymple-vic-3498-17660874
17685654,IRYMPLE,3498,650,2824,"Friday, 25 July 2025",2025-07-25,46,3,2,2.0,House,5B Como Drive,-34.234913,142.17972,2025-09-09 16:31:22,17685654,11,0,0,False,House,House,Collie & Tierney First National,13656,Holly Lush,Heating,https://www.domain.com.au/5b-como-drive-irymple-vic-3498-17685654
17717706,IRYMPLE,3498,590,2564,"Friday, 19 September 2025",2025-08-15,25,3,2,2.0,House,20 Verdi Boulevard,-34.23044,142.17264,2025-09-09 16:31:22,17717706,19,0,0,False,House,House,Professionals Mildura,8839,Property Management,"Air conditioning, Close to shops",https://www.domain.com.au/20-verdi-boulevard-irymple-vic-3498-17717706
17718319,IRYMPLE,3498,570,2280,"Monday, 18 August 2025",2025-08-15,24,3,2,2.0,House,13 Wilkie Drive,-34.236073,142.17572,2025-09-09 16:31:22,17718319,24,0,1,True,House,House,Ray White Mildura,30752,Bella Allomes,"Secure Parking, Bath, Shed",https://www.domain.com.au/13-wilkie-drive-irymple-vic-3498-17718319
17722338,IRYMPLE,3498,720,3120,"Thursday, 21 August 2025",2025-08-19,21,4,2,2.0,House,9 Karingal Court,-34.230404,142.16354,2025-09-09 16:31:22,17722338,23,0,0,False,House,House,PRD Nationwide Mildura,28775,Casey Kiel,"Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher, Study, Secure Parking, Fully fenced, Garden / Courtyard",https://www.domain.com.au/9-karingal-court-irymple-vic-3498-17722338
17741669,IRYMPLE,3498,450,1955,"Monday, 01 September 2025",2025-09-01,8,4,1,1.0,House,2169 Fifteenth Street,-34.23847,142.17502,2025-09-09 16:31:22,17741669,15,0,0,False,House,House,Collie & Tierney First National,13656,Holly Lush,"Secure Parking, Shed, Solar panels",https://www.domain.com.au/2169-fifteenth-street-irymple-vic-3498-17741669
17741864,IRYMPLE,3498,540,2346,"Monday, 01 September 2025",2025-09-01,7,3,2,2.0,Apartment / Unit / Flat,4/6 Giovanna Court,-34.235516,142.17079,2025-09-09 16:31:22,17741864,19,0,0,False,Apartment,Apartment / Unit / Flat,Professionals Mildura,8839,Property Management,"Built in wardrobes, Internal Laundry, Bath, Dishwasher",https://www.domain.com.au/4-6-giovanna-court-irymple-vic-3498-17741864
17746927,IRYMPLE,3498,560,2426,"Thursday, 04 September 2025",2025-09-04,5,3,2,2.0,House,7 Holney Grove,-34.23276,142.16943,2025-09-09 16:31:22,17746927,14,0,0,False,House,House,Barry Plant Mildura,22607,Lisa Stoica,"Secure Parking, Heating, Air conditioning, Built in wardrobes, Close to transport, Close to shops, Ensuite, Dishwasher",https://www.domain.com.au/7-holney-grove-irymple-vic-3498-17746927
17721987,Irymple,3498,470,1880,"Wednesday, 03 September 2025",2025-08-19,21,3,1,1.0,House,,,,2025-09-09 16:31:38,17721987,14,0,0,False,House,House,Ray White Mildura,30752,Davin DeMarco,,https://www.domain.com.au/17-jenkins-place-mildura-vic-3500-17721987
