listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
14024048,IVANHOE,3079,600,2607.0,"Friday, 10 October 2025",2025-09-08,1,2,2,1.0,Townhouse,1/54 Liberty Parade,-37.75718,145.03426,2025-09-09 16:33:34,14024048,GE-9748-NH,8,0,1,True,Townhouse/Villa,Townhouse,LITTLE Real Estate Victoria,24974,Sarah Charmand,"Car Accom: Single Garage, Heating: Reverse Cycle Air Conditioning, Cooling: Reverse Cycle Air Conditioning, Cooking: Gas Hotplates and Electric Oven, Furnished",https://www.domain.com.au/1-54-liberty-parade-ivanhoe-vic-3079-14024048
16770257,IVANHOE,3079,500,2173.0,"Friday, 07 November 2025",2025-09-09,0,1,1,1.0,Apartment / Unit / Flat,502/58 Myrtle Street,-37.754364,145.05338,2025-09-09 16:33:34,16770257,,7,1,0,False,Apartment,Apartment / Unit / Flat,Motion Property,8551,Mark Reading,"Gym, Intercom, Floorboards, Built in wardrobes, Remote Garage",https://www.domain.com.au/502-58-myrtle-street-ivanhoe-vic-3079-16770257
16990633,IVANHOE,3079,750,3259.0,"Monday, 25 August 2025",2025-07-30,40,3,2,2.0,Apartment / Unit / Flat,806/125 Bell Street,-37.75353,145.05179,2025-09-09 16:33:34,16990633,SA-2257-VN,21,0,1,False,Apartment,Apartment / Unit / Flat,Samma Real Estate,15424,Ismaeel Hussain,"Dishwasher, Bathtub, Pets Allowed",https://www.domain.com.au/806-125-bell-street-ivanhoe-vic-3079-16990633
17649973,IVANHOE,3079,550,2390.0,"Friday, 08 August 2025",2025-07-02,69,1,1,1.0,Apartment / Unit / Flat,G05/45 Linden Avenue,-37.754837,145.05443,2025-09-09 16:33:34,17649973,,18,0,1,False,Apartment,Apartment / Unit / Flat,Motion Property,8551,Mark Reading,"Gym, Intercom, Study, Floorboards, Built in wardrobes, Dishwasher, Gas Appliances, Split System Heating, Split System Air Conditioning, Balcony, Remote Garage, Energy Eff. Rating: 5",https://www.domain.com.au/g05-45-linden-avenue-ivanhoe-vic-3079-17649973
17675634,IVANHOE,3079,475,2063.0,"Friday, 15 August 2025",2025-07-18,53,1,1,,Apartment / Unit / Flat,204/443 Upper Heidelberg Road,-37.75501,145.0558,2025-09-09 16:33:34,17675634,,10,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Ivanhoe,30455,"Maria Psarras, Michelle De Luca","Internal Laundry, Heating, Intercom, Swimming Pool, Balcony / Deck, Built in wardrobes, Dishwasher, Floorboards, Gym",https://www.domain.com.au/204-443-upper-heidelberg-road-ivanhoe-vic-3079-17675634
17679270,IVANHOE,3079,615,2672.0,"Friday, 25 July 2025",2025-07-22,49,3,1,1.0,Apartment / Unit / Flat,5/96 Locksley Road,-37.767754,145.05058,2025-09-09 16:33:34,17679270,,7,0,0,False,Apartment,Apartment / Unit / Flat,Miles Real Estate Ivanhoe,6011,Gemma Ferola,"Heating, Dishwasher, Balcony / Deck, Secure Parking, Air conditioning, Garden / Courtyard, Built in wardrobes",https://www.domain.com.au/5-96-locksley-road-ivanhoe-vic-3079-17679270
17702735,IVANHOE,3079,820,3563.0,"Friday, 12 September 2025",2025-09-08,1,3,1,3.0,House,14 Robbins Street,-37.761032,145.04288,2025-09-09 16:33:34,17702735,,7,0,0,False,House,House,Miles Real Estate Ivanhoe,6011,Maggie Rough,"Heating, Air conditioning, Built in wardrobes, Floorboards",https://www.domain.com.au/14-robbins-street-ivanhoe-vic-3079-17702735
17703053,IVANHOE,3079,460,1999.0,"Wednesday, 13 August 2025",2025-08-06,34,2,1,1.0,Apartment / Unit / Flat,1/14 Athelstane Grove,-37.763443,145.04095,2025-09-09 16:33:34,17703053,,8,0,0,False,Apartment,Apartment / Unit / Flat,Miles Real Estate Ivanhoe,6011,Lucy Scott,"Heating, Air conditioning, Garden / Courtyard, Built in wardrobes, Floorboards",https://www.domain.com.au/1-14-athelstane-grove-ivanhoe-vic-3079-17703053
17711629,IVANHOE,3079,1100,4779.0,"Tuesday, 19 August 2025",2025-08-12,28,4,3,1.0,Townhouse,70A Hawker Street,-37.75954,145.03665,2025-09-09 16:33:34,17711629,,12,0,0,False,Townhouse/Villa,Townhouse,Jellis Craig Ivanhoe,30455,Sabrina Rechichi,"Built in wardrobes, Secure Parking",https://www.domain.com.au/70a-hawker-street-ivanhoe-vic-3079-17711629
17723504,IVANHOE,3079,500,2173.0,"Friday, 05 September 2025",2025-08-20,20,1,1,1.0,Apartment / Unit / Flat,412/443 Upper Heidelberg Road,-37.75501,145.0558,2025-09-09 16:33:34,17723504,,12,0,0,False,Apartment,Apartment / Unit / Flat,Buxton Stonnington,122,Cameron  Gibson,"Air conditioning, Split System Air Con, Balcony / Deck, Split System Heating, Built in wardrobes, Floorboards, Intercom, Swimming Pool, Secure Parking, Gym",https://www.domain.com.au/412-443-upper-heidelberg-road-ivanhoe-vic-3079-17723504
17725035,IVANHOE,3079,710,3086.0,"Monday, 01 September 2025",2025-08-20,19,2,2,1.0,Townhouse,15/1007 Heidelberg Road,-37.775978,145.03839,2025-09-09 16:33:34,17725035,,15,0,1,False,Townhouse/Villa,Townhouse,Marvelli Town & Associates,3530,Charles Marvelli,"Pets Allowed, Furnished, Floorboards, Indoor Spa, Gym, Alarm System, Intercom, Built in wardrobes, Cable or Satellite, Broadband internet access, Dishwasher, Study, Ensuite, Bath, Air conditioning, Gas, Fireplace(s), Heating, Secure Parking, Shed, Fully fenced, Balcony / Deck, Garden / Courtyard, Swimming Pool, Outdoor Spa, Greywater system, Rainwater storage tank, Solar hot water, Solar panels",https://www.domain.com.au/15-1007-heidelberg-road-ivanhoe-vic-3079-17725035
17725767,IVANHOE,3079,620,2694.0,"Saturday, 30 August 2025",2025-08-21,19,2,2,1.0,Apartment / Unit / Flat,405/1031 Heidelberg Road,-37.775284,145.03888,2025-09-09 16:33:34,17725767,,6,0,0,False,Apartment,Apartment / Unit / Flat,Miles Real Estate Ivanhoe,6011,Estelle Riley,"Gas, Internal Laundry, Secure Parking, Air conditioning, Intercom, Balcony / Deck, Built in wardrobes, Dishwasher, Floorboards, Study",https://www.domain.com.au/405-1031-heidelberg-road-ivanhoe-vic-3079-17725767
17730198,IVANHOE,3079,590,2564.0,"Saturday, 13 September 2025",2025-08-25,15,2,2,1.0,Apartment / Unit / Flat,108/1045-1059 Heidelberg Road,-37.774788,145.03918,2025-09-09 16:33:34,17730198,,5,0,1,False,Apartment,Apartment / Unit / Flat,Miles Real Estate Ivanhoe,6011,Jessica Bryceson,"Internal Laundry, Secure Parking, Air conditioning, Intercom, Balcony / Deck, Built in wardrobes, Dishwasher, Floorboards",https://www.domain.com.au/108-1045-1059-heidelberg-road-ivanhoe-vic-3079-17730198
17736789,IVANHOE,3079,500,2173.0,"Friday, 26 September 2025",2025-08-28,12,1,1,1.0,Apartment / Unit / Flat,603/125 Bell Street,-37.75353,145.05179,2025-09-09 16:33:34,17736789,,9,0,1,False,Apartment,Apartment / Unit / Flat,Gotham Property,32563,Michelle Chiu,,https://www.domain.com.au/603-125-bell-street-ivanhoe-vic-3079-17736789
17736873,IVANHOE,3079,650,2824.0,"Saturday, 06 September 2025",2025-08-28,12,2,1,1.0,Apartment / Unit / Flat,4/35 Myrtle Street,-37.755302,145.05081,2025-09-09 16:33:34,17736873,,10,0,1,False,Apartment,Apartment / Unit / Flat,Miles Real Estate Ivanhoe,6011,Claudia Hartin,"Secure Parking, Air conditioning, Balcony / Deck, Garden / Courtyard, Outdoor Entertainment Area, Fully fenced, Built in wardrobes, Dishwasher, Floorboards, Gas",https://www.domain.com.au/4-35-myrtle-street-ivanhoe-vic-3079-17736873
17740297,IVANHOE,3079,660,2868.0,"Saturday, 18 October 2025",2025-09-01,8,2,1,1.0,Townhouse,6/5 Edward Court,-37.767765,145.03238,2025-09-09 16:33:34,17740297,,9,0,0,False,Townhouse/Villa,Townhouse, Woodards Manningham ,21971,"Virginia Sier, Manningham Rentals","Internal Laundry, Split System Air Con, Split System Heating, Built in wardrobes, Garden / Courtyard, Dishwasher, Floorboards, Fully fenced, Outdoor Entertainment Area, Pets Allowed, Remote Garage, Secure Parking, Balcony / Deck",https://www.domain.com.au/6-5-edward-court-ivanhoe-vic-3079-17740297
17748383,IVANHOE,3079,850,3693.0,"Tuesday, 30 September 2025",2025-09-05,4,4,2,2.0,House,116 Bond Street,-37.761524,145.03204,2025-09-09 16:33:34,17748383,,10,0,1,False,House,House,Jellis Craig Ivanhoe,30455,"Kiana Arriagada, Edward Wordsworth","Air conditioning, Internal Laundry, Secure Parking",https://www.domain.com.au/116-bond-street-ivanhoe-vic-3079-17748383
17748729,IVANHOE,3079,320,1390.0,"Wednesday, 17 September 2025",2025-09-05,4,1,1,1.0,Apartment / Unit / Flat,12/14-16 Merton Street,-37.77527,145.04189,2025-09-09 16:33:34,17748729,,5,0,0,False,Apartment,Apartment / Unit / Flat,Miles Real Estate Ivanhoe,6011,Ming Kok,"Built in wardrobes, Internal Laundry, Bath, Balcony / Deck",https://www.domain.com.au/12-14-16-merton-street-ivanhoe-vic-3079-17748729
17749167,IVANHOE,3079,625,2716.0,"Wednesday, 17 September 2025",2025-09-05,4,2,2,1.0,Apartment / Unit / Flat,1401/45 Linden Avenue,-37.754433,145.05385,2025-09-09 16:33:34,17749167,,22,1,1,False,Apartment,Apartment / Unit / Flat,Motion Property,8551,Mark Reading,Pets Allowed,https://www.domain.com.au/1401-45-linden-avenue-ivanhoe-vic-3079-17749167
17752733,IVANHOE,3079,725,3150.0,"Tuesday, 07 October 2025",2025-09-09,0,3,2,1.0,Townhouse,6/20 Myrtle Street,-37.75699,145.05092,2025-09-09 16:33:34,17752733,,8,0,1,False,Townhouse/Villa,Townhouse,Jellis Craig Ivanhoe,30455,Maria Psarras,"Internal Laundry, Secure Parking, Heating, Air conditioning, Balcony / Deck, Garden / Courtyard, Outdoor Entertainment Area, Shed, Built in wardrobes, Dishwasher, Floorboards",https://www.domain.com.au/6-20-myrtle-street-ivanhoe-vic-3079-17752733
14434769,IVANHOE,3079,470,2042.0,"Thursday, 18 September 2025",2025-09-01,8,1,1,1.0,Apartment / Unit / Flat,514/443 Upper Heidelberg Road,-37.75501,145.0558,2025-09-09 16:33:40,14434769,,12,0,0,False,Apartment,Apartment / Unit / Flat,LITTLE Real Estate Victoria,24974,Cooper Modica,"Car Accom: Basement Carspace, Pool/Spa Count: 0",https://www.domain.com.au/514-443-upper-heidelberg-road-ivanhoe-vic-3079-14434769
16325157,IVANHOE,3079,590,2563.0,"Friday, 26 September 2025",2025-08-26,14,2,2,1.0,House,206B/56-58 Myrtle Street,-37.754555,145.0532,2025-09-09 16:33:40,16325157,,7,0,1,False,House,House,LITTLE Real Estate Victoria,24974,Cooper Modica,"Pets Allowed, Secure Parking, Intercom, Dishwasher, Balcony / Deck, Heating: Reverse Cycle Air Conditioning, Cooling: Reverse Cycle Air Conditioning, Kitchen: Open Plan, Cooking: Gas Hotplates and Electric Oven, Laundry: Euro, Storage: 206, Pool/Spa Count: 0, Pool/Spa: Inground Spa",https://www.domain.com.au/206b-56-58-myrtle-street-ivanhoe-vic-3079-16325157
17108833,IVANHOE,3079,620,2695.0,"Friday, 19 September 2025",2025-08-29,10,2,2,1.0,Apartment / Unit / Flat,204/125 Bell Street,-37.75353,145.05179,2025-09-09 16:33:40,17108833,CV-4810-ZU,8,0,0,False,Apartment,Apartment / Unit / Flat,Samma Real Estate,15424,Ismaeel Hussain,Pets Allowed,https://www.domain.com.au/204-125-bell-street-ivanhoe-vic-3079-17108833
17152554,IVANHOE,3079,650,2824.0,"Friday, 03 October 2025",2025-09-02,7,2,2,1.0,Apartment / Unit / Flat,301/45 Linden Avenue,-37.754433,145.05385,2025-09-09 16:33:40,17152554,,20,1,1,False,Apartment,Apartment / Unit / Flat,Motion Property,8551,Mark Reading,,https://www.domain.com.au/301-45-linden-avenue-ivanhoe-vic-3079-17152554
