listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
14616716,KALKALLO,3064,485,2101.0,"Friday, 18 July 2025",2025-07-18,53,4,2,2,House,55 Cooney Circuit,-37.529465,144.96263,2025-09-09 16:19:30,14616716,LA-9851-LP,9,1,0,False,House,House,Bombay Real Estate Pty Ltd,29247,Samantha Ashley,"Heating, Floorboards, Built in wardrobes, Secure Parking",https://www.domain.com.au/55-cooney-circuit-kalkallo-vic-3064-14616716
14784690,KALKALLO,3064,470,2042.0,"Friday, 15 August 2025",2025-07-18,53,3,2,1,House,91 Antares Parade,-37.521236,144.95424,2025-09-09 16:19:30,14784690,IB-5619-JS,13,0,0,False,House,House,Bombay Real Estate Pty Ltd,29247,Samantha Ashley,"Built in wardrobes, Internal Laundry, Heating",https://www.domain.com.au/91-antares-parade-kalkallo-vic-3064-14784690
15190662,KALKALLO,3064,530,2303.0,"Friday, 15 August 2025",2025-08-01,39,4,2,2,House,12 Roscoe Avenue,-37.526047,144.95992,2025-09-09 16:19:30,15190662,PS-3260-LJ,17,0,0,True,House,House,Stockdale & Leggo Craigieburn/Mickleham,31877,"Ebony Montebello, Lauren Vicary","Air conditioning, Ensuite, Floorboards, Built in wardrobes, Bath, Heating, Dishwasher, Secure Parking",https://www.domain.com.au/12-roscoe-avenue-kalkallo-vic-3064-15190662
16630187,KALKALLO,3064,500,2173.0,"Friday, 03 October 2025",2025-08-27,13,4,2,2,House,20 Cilantro Street,-37.52253,144.95929,2025-09-09 16:19:30,16630187,TK-8654-WJ,12,0,0,False,House,House,Bombay Real Estate Pty Ltd,29247,"Eminda Ruwin, Julie Easterbrook","Secure Parking, Built in wardrobes, Bath, Solar panels",https://www.domain.com.au/20-cilantro-street-kalkallo-vic-3064-16630187
17105161,KALKALLO,3064,440,1912.0,"Monday, 22 September 2025",2025-07-30,41,3,2,2,House,33 Times Street,-37.51855,144.96297,2025-09-09 16:19:30,17105161,KS-7461-EM,12,0,0,False,House,House,Stockdale & Leggo Craigieburn/Mickleham,31877,"Daniel Morlacci-Fortuna, Lauren Vicary","Secure Parking, Air conditioning, Ensuite, Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher",https://www.domain.com.au/33-times-street-kalkallo-vic-3064-17105161
17126636,KALKALLO,3064,440,1906.0,"Thursday, 04 September 2025",2025-08-04,35,3,2,1,House,11 Cilantro Street,-37.5221,144.9584,2025-09-09 16:19:30,17126636,DT-4716-RY,13,0,0,False,House,House,Bombay Real Estate Pty Ltd,29247,Eminda Ruwin,"Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/11-cilantro-street-kalkallo-vic-3064-17126636
17318686,KALKALLO,3064,460,1999.0,"Friday, 12 September 2025",2025-09-04,5,4,2,2,House,28 Fenska Street,-37.520565,144.9521,2025-09-09 16:19:30,17318686,CX-3793-BF,10,0,0,False,House,House,Bombay Real Estate Pty Ltd,29247,Samantha Ashley,"Air conditioning, Built in wardrobes, Dishwasher, Garden / Courtyard",https://www.domain.com.au/28-fenska-street-kalkallo-vic-3064-17318686
17427139,KALKALLO,3064,500,2173.0,"Tuesday, 12 August 2025",2025-08-11,29,4,2,2,House,11 Knockturn Road,-37.51655,144.96039,2025-09-09 16:19:30,17427139,TA-4291-LV,12,0,0,False,House,House,Bombay Real Estate Pty Ltd,29247,Samantha Ashley,,https://www.domain.com.au/11-knockturn-road-kalkallo-vic-3064-17427139
17647980,KALKALLO,3064,500,2173.0,"Saturday, 06 September 2025",2025-07-01,69,4,2,2,House,6 Magnesium Road,-37.51654,144.9565,2025-09-09 16:19:30,17647980,,10,0,0,False,House,House,Stockdale & Leggo Craigieburn/Mickleham,31877,"Lauren Vicary, Daniel Morlacci-Fortuna","Ensuite, Floorboards, Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher, Secure Parking, Energy Eff. Rating: 7",https://www.domain.com.au/6-magnesium-road-kalkallo-vic-3064-17647980
17654144,KALKALLO,3064,425,1847.0,"Saturday, 05 July 2025",2025-07-04,67,3,2,2,House,24 Oxygen Street,-37.518303,144.95096,2025-09-09 16:19:30,17654144,,10,0,0,False,House,House,Stockdale & Leggo Craigieburn/Mickleham,31877,"Daniel Morlacci-Fortuna, Lauren Vicary","Air conditioning, Gas, Broadband internet access, Ensuite, Floorboards, Built in wardrobes, Heating, Dishwasher, Secure Parking",https://www.domain.com.au/24-oxygen-street-kalkallo-vic-3064-17654144
17681165,KALKALLO,3064,510,2216.0,"Monday, 18 August 2025",2025-07-23,48,4,2,2,House,47 Railway Parade,-37.516815,144.9561,2025-09-09 16:19:30,17681165,,13,0,0,False,House,House,Bombay Real Estate Pty Ltd,29247,Eminda Ruwin,"Secure Parking, Floorboards, Built in wardrobes, Bath, Heating",https://www.domain.com.au/47-railway-parade-kalkallo-vic-3064-17681165
17696140,KALKALLO,3064,460,1999.0,"Wednesday, 06 August 2025",2025-08-01,39,3,2,2,Townhouse,143 Railway Parade,-37.51753,144.96289,2025-09-09 16:19:30,17696140,,13,0,1,False,Townhouse/Villa,Townhouse,Bombay Real Estate Pty Ltd,29247,Samantha Ashley,"Secure Parking, Internal Laundry",https://www.domain.com.au/143-railway-parade-kalkallo-vic-3064-17696140
17703017,KALKALLO,3064,485,2107.0,"Friday, 08 August 2025",2025-08-06,34,4,2,2,Townhouse,18 Quill Circuit,-37.535603,144.96455,2025-09-09 16:19:30,17703017,,14,0,0,False,Townhouse/Villa,Townhouse,Bombay Real Estate Pty Ltd,29247,Samantha Ashley,"Pets Allowed, Heating",https://www.domain.com.au/18-quill-circuit-kalkallo-vic-3064-17703017
17714736,KALKALLO,3064,460,1999.0,"Friday, 22 August 2025",2025-08-14,26,3,2,1,Townhouse,4 Camellia Walk,-37.520634,144.96165,2025-09-09 16:19:30,17714736,,1,0,0,False,Townhouse/Villa,Townhouse,Bombay Real Estate Pty Ltd,29247,Eminda Ruwin,"Built in wardrobes, Gas, Internal Laundry, Heating, Balcony / Deck",https://www.domain.com.au/4-camellia-walk-kalkallo-vic-3064-17714736
17717418,KALKALLO,3064,550,2383.0,"Friday, 22 August 2025",2025-08-15,25,4,2,2,House,10 Goodman Avenue,-37.529728,144.96245,2025-09-09 16:19:30,17717418,,16,0,1,False,House,House,Bombay Real Estate Pty Ltd,29247,Eminda Ruwin,"Secure Parking, Heating",https://www.domain.com.au/10-goodman-avenue-kalkallo-vic-3064-17717418
17719501,KALKALLO,3064,510,2216.0,"Friday, 05 September 2025",2025-08-18,22,4,2,2,House,29 Danzig Street,-37.52524,144.96233,2025-09-09 16:19:30,17719501,,21,0,0,False,House,House,Bombay Real Estate Pty Ltd,29247,"Eminda Ruwin, Samantha Ashley","Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/29-danzig-street-kalkallo-vic-3064-17719501
17742501,KALKALLO,3064,550,2390.0,"Saturday, 13 September 2025",2025-09-02,7,4,2,2,House,5 Bookham Circuit,-37.52673,144.96242,2025-09-09 16:19:30,17742501,,10,0,0,False,House,House,Ray White Mill Park,12621,"Emmanuela Kanavos, Mill Park Office","Built in wardrobes, Secure Parking, Heating, Study",https://www.domain.com.au/5-bookham-circuit-kalkallo-vic-3064-17742501
17748631,KALKALLO,3064,460,1998.0,"Friday, 05 September 2025",2025-09-05,4,3,2,1,House,10 Camellia Walk,-37.520473,144.96167,2025-09-09 16:19:30,17748631,,13,0,0,True,House,House,COMPASS REAL ESTATE (VIC) PTY LTD,38477,Sonita Dawood,"Study, Floorboards, Built in wardrobes, Dishwasher, Split System Heating, Split System Air Conditioning, Balcony, Remote Garage",https://www.domain.com.au/10-camellia-walk-kalkallo-vic-3064-17748631
17750665,KALKALLO,3064,500,2173.0,"Monday, 28 July 2025",2025-09-08,1,4,2,2,House,28 Stilt Street,-37.515457,144.9575,2025-09-09 16:19:30,17750665,,10,0,0,False,House,House,Brik Realty,39353,"Gaurika Kohli, Tarwinder Kullar","Secure Parking, Heating, Ensuite",https://www.domain.com.au/28-stilt-street-kalkallo-vic-3064-17750665
17752340,KALKALLO,3064,520,2260.0,"Monday, 15 September 2025",2025-09-08,0,4,2,2,House,43 Danzig Street,-37.526394,144.96222,2025-09-09 16:19:30,17752340,,14,0,0,False,House,House,V Group Real Estate,37013,Rental Department,"Secure Parking, Intercom, Bath, Heating, Dishwasher",https://www.domain.com.au/43-danzig-street-kalkallo-vic-3064-17752340
15131009,KALKALLO,3064,520,2260.0,"Monday, 01 September 2025",2025-08-07,33,4,2,2,House,43 Bunting Crescent,-37.52814,144.96434,2025-09-09 16:19:36,15131009,PY-7733-DL,14,1,0,False,House,House,Ray White Craigieburn,4110,Ray White Craigieburn,"Internal Laundry, Bath, Dishwasher, Built in wardrobes, Heating, Secure Parking",https://www.domain.com.au/43-bunting-crescent-kalkallo-vic-3064-15131009
16563191,KALKALLO,3064,540,2347.0,"Wednesday, 17 September 2025",2025-08-22,18,4,2,2,House,61 Railway Parade,-37.51703,144.95757,2025-09-09 16:19:36,16563191,MQ-7076-WG,10,0,0,False,House,House,Stockdale & Leggo Craigieburn/Mickleham,31877,"Ebony Montebello, Lauren Vicary","Ensuite, Floorboards, Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher, Secure Parking",https://www.domain.com.au/61-railway-parade-kalkallo-vic-3064-16563191
16693537,KALKALLO,3064,1738,2173.0,"Wednesday, 03 September 2025",2025-08-14,26,3,2,2,House,65 Roscoe Avenue,-37.525097,144.96164,2025-09-09 16:19:36,16693537,GQ-9852-SB,12,0,0,False,House,House,Harcourts Hume,22388,Lexie Steele,"Secure Parking, Bath, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/65-roscoe-avenue-kalkallo-vic-3064-16693537
16775432,KALKALLO,3064,530,2303.0,"Monday, 15 September 2025",2025-08-28,12,4,2,2,House,8 Maryland Road,-37.51944,144.96033,2025-09-09 16:19:36,16775432,RE-9951-PG,11,0,0,False,House,House,Capital & Co. Real Estate,32201,Jess Grewal,"Internal Laundry, Heating, Dishwasher, Study, Ensuite",https://www.domain.com.au/8-maryland-road-kalkallo-vic-3064-16775432
16971785,KALKALLO,3064,510,2216.0,"Friday, 05 September 2025",2025-08-12,28,4,2,2,House,44 Dwyer Street,-37.536877,144.95596,2025-09-09 16:19:36,16971785,LX-4483-MO,16,0,1,False,House,House,Csquare Craigieburn Group Pty Ltd,34921,"Preet Bhamra, Rental Management","Secure Parking, Dishwasher",https://www.domain.com.au/44-dwyer-street-kalkallo-vic-3064-16971785
17159613,KALKALLO,3064,530,2303.0,"Friday, 05 September 2025",2025-09-03,6,4,2,2,House,46 Tucholsky Dr,-37.519127,144.95874,2025-09-09 16:19:36,17159613,WP-5134-JA,11,0,0,False,House,House,Capital & Co. Real Estate,32201,Jess Grewal,"Secure Parking, Ensuite",https://www.domain.com.au/46-tucholsky-dr-kalkallo-vic-3064-17159613
17622450,KALKALLO,3064,450,1950.0,"Monday, 16 June 2025",2025-06-16,85,3,2,1,House,15 Jaffa Street,-37.532936,144.9656,2025-09-09 16:19:36,17622450,,13,0,0,False,House,House,YPA Hume City,12708,Gonul Yesilkaya,"Built in wardrobes, Dishwasher, Heating, Air conditioning, Floorboards, Remote Garage",https://www.domain.com.au/15-jaffa-street-kalkallo-vic-3064-17622450
17642881,KALKALLO,3064,470,2037.0,"Friday, 27 June 2025",2025-06-27,74,4,2,2,House,22 Yorkville Road,-37.519005,144.96257,2025-09-09 16:19:36,17642881,,19,0,0,False,House,House,YPA Craigieburn,21927,Ypa Craigieburn,Secure Parking,https://www.domain.com.au/22-yorkville-road-kalkallo-vic-3064-17642881
17672676,KALKALLO,3064,410,1781.0,"Thursday, 17 July 2025",2025-07-17,54,3,2,1,House,19 Cassette Street,-37.535183,144.96075,2025-09-09 16:19:36,17672676,,14,0,1,False,House,House,Ray White West Realty,28524,"Enza Rossitto, Chantae Jones","Secure Parking, Heating, Balcony / Deck",https://www.domain.com.au/19-cassette-street-kalkallo-vic-3064-17672676
17677202,KALKALLO,3064,580,2521.0,"Friday, 25 July 2025",2025-07-21,50,4,2,2,House,10 Margot Circuit,-37.5254,144.96785,2025-09-09 16:19:36,17677202,,6,0,0,False,House,House,Ray White Sunbury Pty Ltd,12373,Ruby Conte-Scott,"Air conditioning, Built in wardrobes, Secure Parking, Fully fenced, Pets Allowed",https://www.domain.com.au/10-margot-circuit-kalkallo-vic-3064-17677202
