listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
13643984,KANGAROO FLAT,3555,480,2086.0,"Friday, 05 September 2025",2025-09-02,7,4,1,2,House,16 Longmore Street,-36.810547,144.23851,2025-09-09 16:29:36,13643984,UO-9656-ZA,12,0,1,False,House,House,Luke Goggin Real Estate,20759,"Georgina Hill, Brooke Browning","Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/16-longmore-street-kangaroo-flat-vic-3555-13643984
16658040,KANGAROO FLAT,3555,550,2389.0,"Friday, 21 November 2025",2025-08-18,22,3,2,2,House,10 Eldridge Court,-36.800175,144.228,2025-09-09 16:29:36,16658040,DD-2965-EU,16,0,0,False,House,House,Ray White Bendigo,25162,Sophie Boxshall,"Built in wardrobes, Secure Parking",https://www.domain.com.au/10-eldridge-court-kangaroo-flat-vic-3555-16658040
17698703,KANGAROO FLAT,3555,600,,"Friday, 03 October 2025",2025-08-04,36,4,2,2,House,5 Gold Hill Court,-36.78448,144.2272,2025-09-09 16:29:36,17698703,,12,0,0,False,House,House,Priority1 Property,22037,Louisa Turnbull,"Secure Parking, Study, Balcony / Deck, Air conditioning, Heating",https://www.domain.com.au/5-gold-hill-court-kangaroo-flat-vic-3555-17698703
17708742,KANGAROO FLAT,3555,535,2325.0,"Monday, 11 August 2025",2025-08-11,29,4,2,2,House,11 Howell Crescent,-36.78793,144.23044,2025-09-09 16:29:36,17708742,,10,0,1,False,House,House,DCK Real Estate,4596,Holly Kellett,"Built in wardrobes, Close to transport, Close to schools, Split System Heating, Split System Cooling",https://www.domain.com.au/11-howell-crescent-kangaroo-flat-vic-3555-17708742
17713283,KANGAROO FLAT,3555,520,2259.0,"Tuesday, 07 October 2025",2025-08-13,27,3,1,2,House,11 Jerribong Way,-36.815247,144.24097,2025-09-09 16:29:36,17713283,,15,0,0,False,House,House,Ray White Bendigo,25162,Daragh Browne,"Secure Parking, Solar panels, Furnished",https://www.domain.com.au/11-jerribong-way-kangaroo-flat-vic-3555-17713283
17714335,KANGAROO FLAT,3555,450,1950.0,"Friday, 12 September 2025",2025-08-13,26,3,1,1,House,4/6 St George Park Drive,-36.798893,144.22832,2025-09-09 16:29:36,17714335,,8,0,0,True,House,House,PRD Nationwide Bendigo,6502,"Jordyn Saunders, Carter Hampton","Air conditioning, Built in wardrobes, Secure Parking, Dishwasher, Heating",https://www.domain.com.au/4-6-st-george-park-drive-kangaroo-flat-vic-3555-17714335
17725129,KANGAROO FLAT,3555,490,2129.0,"Friday, 26 September 2025",2025-08-21,19,3,2,1,Apartment / Unit / Flat,1/6a Barnett Dr,-36.81784,144.23637,2025-09-09 16:29:36,17725129,,5,0,0,False,Apartment,Apartment / Unit / Flat,Tweed Sutherland First National,20881,Anthea Hamilton,"Ensuite, Air conditioning, Shed, Fully fenced, Built in wardrobes, Dishwasher, Gas Heating",https://www.domain.com.au/1-6a-barnett-dr-kangaroo-flat-vic-3555-17725129
17731460,KANGAROO FLAT,3555,460,1994.0,"Thursday, 04 September 2025",2025-08-29,11,3,2,2,House,6/2 Eldridge Court,-36.79855,144.22781,2025-09-09 16:29:36,17731460,,10,0,0,True,House,House,PRD Nationwide Bendigo,6502,"Jordyn Saunders, Carter Hampton","Gas, Bath, Air conditioning, Built in wardrobes, Secure Parking, Dishwasher, Heating",https://www.domain.com.au/6-2-eldridge-court-kangaroo-flat-vic-3555-17731460
17732966,KANGAROO FLAT,3555,350,1520.0,"Friday, 29 August 2025",2025-08-26,13,1,1,1,Apartment / Unit / Flat,1/24 Thomas St,-36.797817,144.23666,2025-09-09 16:29:36,17732966,,5,0,0,False,Apartment,Apartment / Unit / Flat,Tweed Sutherland First National,20881,Samantha Lee,"Air conditioning, Built in wardrobes, Dishwasher, Floorboards, Internal Laundry",https://www.domain.com.au/1-24-thomas-st-kangaroo-flat-vic-3555-17732966
17737233,KANGAROO FLAT,3555,530,2297.0,"Thursday, 04 September 2025",2025-08-28,12,3,2,1,House,1 Symes St,-36.811115,144.23918,2025-09-09 16:29:36,17737233,,17,0,1,True,House,House,PRD Nationwide Bendigo,6502,"Jessica Walsh, Lily Blabey","Built in wardrobes, Internal Laundry, Bath, Dishwasher",https://www.domain.com.au/1-symes-st-kangaroo-flat-vic-3555-17737233
17737637,KANGAROO FLAT,3555,490,2129.0,"Friday, 05 September 2025",2025-08-29,11,3,1,2,House,14 Goodenia Avenue,-36.805195,144.22862,2025-09-09 16:29:36,17737637,,10,0,0,False,House,House,PH Property,11863,Gretel Hitchcock,"Built in wardrobes, Heating, Dishwasher, Shed, Balcony / Deck, Air conditioning",https://www.domain.com.au/14-goodenia-avenue-kangaroo-flat-vic-3555-17737637
17738936,KANGAROO FLAT,3555,420,1680.0,"Thursday, 28 August 2025",2025-08-29,11,2,1,1,Apartment / Unit / Flat,7/9 Crusoe Road,-36.806404,144.23988,2025-09-09 16:29:36,17738936,,10,0,0,False,Apartment,Apartment / Unit / Flat,Property Plus Real Estate,17493,"Katie Ross, Nick Chamouras","Built in wardrobes, Courtyard, Fully fenced, Air conditioning, Split-System Air Conditioning, Split-System Heating",https://www.domain.com.au/7-9-crusoe-road-kangaroo-flat-vic-3555-17738936
17739871,KANGAROO FLAT,3555,530,2302.0,"Tuesday, 02 September 2025",2025-09-01,8,3,1,1,House,20 Wesley Street,-36.801914,144.23871,2025-09-09 16:29:36,17739871,,8,0,0,True,House,House,Property Plus Real Estate,17493,"Katie Ross, Nick Chamouras","Fully fenced, Shed, Built in wardrobes, Split-System Air Conditioning, Split-System Heating",https://www.domain.com.au/20-wesley-street-kangaroo-flat-vic-3555-17739871
17743870,KANGAROO FLAT,3555,530,2297.0,"Friday, 05 September 2025",2025-09-02,7,3,2,2,House,65 Morrison St,-36.80614,144.2349,2025-09-09 16:29:36,17743870,,16,0,1,True,House,House,PRD Nationwide Bendigo,6502,"Jessica Walsh, Lily Blabey","Built in wardrobes, Gas, Internal Laundry, Pets Allowed, Secure Parking, Fireplace(s), Heating, Dishwasher",https://www.domain.com.au/65-morrison-st-kangaroo-flat-vic-3555-17743870
17743891,KANGAROO FLAT,3555,430,1868.0,"Friday, 03 October 2025",2025-09-02,7,2,1,1,House,28B Jerribong Way,-36.81396,144.24263,2025-09-09 16:29:36,17743891,,6,0,0,False,House,House,Buxton Bendigo,37944,Saskia Heeney,,https://www.domain.com.au/28b-jerribong-way-kangaroo-flat-vic-3555-17743891
17745243,KANGAROO FLAT,3555,500,2172.0,"Monday, 08 September 2025",2025-09-03,6,4,1,3,House,7 Waugh Street,-36.79871,144.23814,2025-09-09 16:29:36,17745243,,12,0,0,False,House,House,Ray White Bendigo,25162,Sophie Boxshall,,https://www.domain.com.au/7-waugh-street-kangaroo-flat-vic-3555-17745243
17746778,KANGAROO FLAT,3555,500,2167.0,"Tuesday, 09 September 2025",2025-09-04,5,3,1,1,House,32 Hope St,-36.795475,144.23473,2025-09-09 16:29:36,17746778,,13,0,1,True,House,House,PRD Nationwide Bendigo,6502,Jessica Walsh,"Built in wardrobes, Bath, Heating",https://www.domain.com.au/32-hope-st-kangaroo-flat-vic-3555-17746778
17749469,KANGAROO FLAT,3555,470,2037.0,"Monday, 08 September 2025",2025-09-05,4,3,1,2,House,22 John St,-36.785786,144.24005,2025-09-09 16:29:36,17749469,,14,0,1,True,House,House,PRD Nationwide Bendigo,6502,"Jessica Walsh, Lily Blabey","Built in wardrobes, Gas, Internal Laundry, Bath, Dishwasher",https://www.domain.com.au/22-john-st-kangaroo-flat-vic-3555-17749469
17749734,KANGAROO FLAT,3555,550,2384.0,"Friday, 12 September 2025",2025-09-05,4,4,2,2,House,5 Timberview Terrace,-36.8059,144.23334,2025-09-09 16:29:36,17749734,,17,0,1,True,House,House,PRD Nationwide Bendigo,6502,"Jessica Walsh, Lily Blabey","Internal Laundry, Pets Allowed, Heating",https://www.domain.com.au/5-timberview-terrace-kangaroo-flat-vic-3555-17749734
17750219,KANGAROO FLAT,3555,550,2389.0,"Monday, 15 September 2025",2025-09-05,3,3,2,2,House,18 Collins Street,-36.792824,144.2348,2025-09-09 16:29:36,17750219,,15,0,1,False,House,House,Bendigo Ballarat Real Estate,17276,Sonya Hancock,"Air conditioning, Heating, Built in wardrobes, Pets Allowed",https://www.domain.com.au/18-collins-street-kangaroo-flat-vic-3555-17750219
17669881,KANGAROO FLAT,3555,550,2390.0,"Wednesday, 23 July 2025",2025-07-15,56,4,2,2,House,82 Crusoe Road,-36.811024,144.23483,2025-09-09 16:29:41,17669881,,11,0,0,False,House,House,Luke Goggin Real Estate,20759,"Georgina Hill, Brooke Browning","Bath, Dishwasher, Shed, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ducted Cooling, Split System Heating & Cooling",https://www.domain.com.au/82-crusoe-road-kangaroo-flat-vic-3555-17669881
17678281,KANGAROO FLAT,3555,230,999.0,"Monday, 21 July 2025",2025-07-21,50,5,1,2,House,176 Aspinall Street,-36.783745,144.23822,2025-09-09 16:29:41,17678281,,14,0,0,False,House,House,Ray White Bendigo,25162,Daragh Browne,"Built in wardrobes, Internal Laundry, Furnished, Broadband internet access",https://www.domain.com.au/176-aspinall-street-kangaroo-flat-vic-3555-17678281
17683442,KANGAROO FLAT,3555,475,1900.0,"Friday, 29 August 2025",2025-07-24,47,3,2,1,House,201a Aspinall St,-36.785416,144.23529,2025-09-09 16:29:41,17683442,,1,0,1,False,House,House,Tweed Sutherland First National,20881,Anthea Hamilton,"Ensuite, Air conditioning, Secure Parking, Balcony / Deck, Shed, Fully fenced, Built in wardrobes, Dishwasher, Gas Heating",https://www.domain.com.au/201a-aspinall-st-kangaroo-flat-vic-3555-17683442
