listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17042518,KEILOR DOWNS,3038,570,2476,"Saturday, 20 September 2025",2025-09-04,5,3,2,2,House,31 Swindon Crescent,-37.717255,144.80515,2025-09-09 16:49:41,17042518,JF-0622-IQ,9,0,0,False,House,House,Ray White Taylors Lakes,19113,"Jade McKendrick, Jack Desira","Gas, Secure Parking, Heating, Shed",https://www.domain.com.au/31-swindon-crescent-keilor-downs-vic-3038-17042518
17646896,KEILOR DOWNS,3038,550,2390,"Monday, 14 July 2025",2025-07-01,70,2,2,1,Townhouse,63 Fisken Way,-37.725624,144.80817,2025-09-09 16:49:41,17646896,,7,0,0,False,Townhouse/Villa,Townhouse,Douglas Kay Estate Agents,4216,Douglas Kay Rental,"Gas, Secure Parking, Heating",https://www.domain.com.au/63-fisken-way-keilor-downs-vic-3038-17646896
17691601,KEILOR DOWNS,3038,460,1998,"Monday, 11 August 2025",2025-07-30,41,2,1,1,Apartment / Unit / Flat,2/18 Oncidium Gardens,-37.718494,144.78857,2025-09-09 16:49:41,17691601,,10,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Taylors Lakes,4692,"Shari Jansz, Stevo Sekulic","Secure Parking, Heating, Study",https://www.domain.com.au/2-18-oncidium-gardens-keilor-downs-vic-3038-17691601
17710438,KEILOR DOWNS,3038,730,3172,"Monday, 11 August 2025",2025-08-11,28,4,2,4,House,7 Strahan Court,-37.71875,144.80862,2025-09-09 16:49:41,17710438,,11,0,0,False,House,House,Barry Plant Glenroy,11897,Elly Emini,Heating,https://www.domain.com.au/7-strahan-court-keilor-downs-vic-3038-17710438
17720734,KEILOR DOWNS,3038,520,2259,"Monday, 08 September 2025",2025-08-18,21,3,2,2,House,31 Proctor Crescent,-37.71298,144.78491,2025-09-09 16:49:41,17720734,,13,0,0,False,House,House,Barry Plant Taylors Lakes,4692,"Shari Jansz, Stevo Sekulic",Heating,https://www.domain.com.au/31-proctor-crescent-keilor-downs-vic-3038-17720734
17722091,KEILOR DOWNS,3038,550,2389,"Monday, 25 August 2025",2025-08-19,21,3,2,2,House,31 Belmont Avenue,-37.724503,144.79826,2025-09-09 16:49:41,17722091,,14,0,0,False,House,House,Barry Plant Taylors Lakes,4692,"Shari Jansz, Stevo Sekulic",,https://www.domain.com.au/31-belmont-avenue-keilor-downs-vic-3038-17722091
17725650,KEILOR DOWNS,3038,650,2816,"Thursday, 21 August 2025",2025-08-21,19,3,2,7,House,20 Hispano Drive,-37.72718,144.79883,2025-09-09 16:49:41,17725650,,14,0,0,False,House,House,Raine & Horne St Albans,19493,"Loredana Parisi, Danny Trkulja",Ensuite,https://www.domain.com.au/20-hispano-drive-keilor-downs-vic-3038-17725650
17748515,KEILOR DOWNS,3038,510,2215,"Friday, 05 September 2025",2025-09-05,4,3,1,2,House,27 Wimmera Crescent,-37.72469,144.81332,2025-09-09 16:49:41,17748515,,14,0,1,False,House,House,Barry Plant St Albans,4690,"Peter D'aloia, Queenie Bui","Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/27-wimmera-crescent-keilor-downs-vic-3038-17748515
17748539,KEILOR DOWNS,3038,480,2086,"Sunday, 19 October 2025",2025-09-05,4,3,2,1,Villa,2/39 Saratoga Cres,-37.71471,144.78691,2025-09-09 16:49:41,17748539,,8,0,0,False,Townhouse/Villa,Villa,Frank Dowling,8167,"Holly Hayward, Reception Frank Dowling","Gas, Internal Laundry, Bath, Air conditioning, Secure Parking, Garden / Courtyard, Fully fenced, Built in wardrobes",https://www.domain.com.au/2-39-saratoga-cres-keilor-downs-vic-3038-17748539
17752637,KEILOR DOWNS,3038,480,2085,"Friday, 19 September 2025",2025-09-09,0,3,2,1,Apartment / Unit / Flat,1/5 Carbine Way,-37.727264,144.79698,2025-09-09 16:49:41,17752637,,11,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Taylors Lakes,4692,"Shari Jansz, Stevo Sekulic",Built in wardrobes,https://www.domain.com.au/1-5-carbine-way-keilor-downs-vic-3038-17752637
