listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17548941,KEILOR EAST,3033,595,2585,"Monday, 12 August 2024",2025-05-09,123,3,1,2,House,20 Ash Grove,-37.749634,144.86859,2025-09-09 16:51:47,17548941,BR-5962-RB,11,0,0,False,House,House,Nelson Alexander Keilor East,15596,"Silvia Cavallin, Kassandra Talajic","Built in wardrobes, Internal Laundry, Fireplace(s), Dishwasher",https://www.domain.com.au/20-ash-grove-keilor-east-vic-3033-17548941
17640582,KEILOR EAST,3033,700,3033,"Monday, 25 August 2025",2025-06-26,75,3,2,2,Townhouse,1/53 Surrey Drive,-37.750584,144.8795,2025-09-09 16:51:47,17640582,,13,0,0,False,Townhouse/Villa,Townhouse,SLEIMAN REAL ESTATE,35539,Sleiman Real Estate,"Floorboards, Internal Laundry, Heating, Secure Parking",https://www.domain.com.au/1-53-surrey-drive-keilor-east-vic-3033-17640582
17676964,KEILOR EAST,3033,680,2955,"Thursday, 21 August 2025",2025-07-21,50,3,2,1,Townhouse,2/32 Woorite Pl,-37.729576,144.8665,2025-09-09 16:51:47,17676964,,8,0,0,False,Townhouse/Villa,Townhouse,Barry Plant Keilor East,27626,"Adrian Morris, Melissa Stringile","Secure Parking, Heating, Garden / Courtyard, Built in wardrobes, Dishwasher, Floorboards",https://www.domain.com.au/2-32-woorite-pl-keilor-east-vic-3033-17676964
17698014,KEILOR EAST,3033,460,1999,"Monday, 04 August 2025",2025-08-04,36,2,1,1,Apartment / Unit / Flat,3/1 Cudgewa Pl,-37.732555,144.8624,2025-09-09 16:51:47,17698014,,5,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Keilor East,27626,"Simone Shiells, Isabella Prestia","Internal Laundry, Secure Parking, Garden / Courtyard, Built in wardrobes",https://www.domain.com.au/3-1-cudgewa-pl-keilor-east-vic-3033-17698014
17728967,KEILOR EAST,3033,450,1955,"Friday, 12 September 2025",2025-08-23,17,1,1,1,Apartment / Unit / Flat,41 Dinah Parade,-37.744656,144.86728,2025-09-09 16:51:47,17728967,,7,0,1,False,Apartment,Apartment / Unit / Flat,Pennisi Real Estate,7307,Pennisi Leasing Team,"Gas, Secure Parking, Balcony / Deck, Built in wardrobes, Dishwasher, Floorboards",https://www.domain.com.au/41-dinah-parade-keilor-east-vic-3033-17728967
17741498,KEILOR EAST,3033,580,2521,"Wednesday, 01 October 2025",2025-09-01,8,2,1,1,Townhouse,1/56B Rosehill Rd,-37.74751,144.87993,2025-09-09 16:51:47,17741498,,7,0,0,False,Townhouse/Villa,Townhouse,Barry Plant Keilor East,27626,"Simone Shiells, Helena  Krilis","Air conditioning, Heating, Secure Parking, Built in wardrobes, Dishwasher, Floorboards",https://www.domain.com.au/1-56b-rosehill-rd-keilor-east-vic-3033-17741498
17741971,KEILOR EAST,3033,490,2129,"Friday, 12 September 2025",2025-09-01,7,2,1,2,House,1b Wunnamurra Drive,-37.73481,144.86317,2025-09-09 16:51:47,17741971,,10,0,0,True,House,House,Dingle Partners,345,Audrey Piperno,,https://www.domain.com.au/1b-wunnamurra-drive-keilor-east-vic-3033-17741971
17749334,KEILOR EAST,3033,900,3911,"Monday, 08 September 2025",2025-09-05,4,4,3,2,Townhouse,8 Pennington Street,-37.745823,144.86557,2025-09-09 16:51:47,17749334,,10,0,1,False,Townhouse/Villa,Townhouse,Nelson Alexander Keilor East,15596,"Kassandra Talajic, Silvia Cavallin","Internal Laundry, Secure Parking, Study, Air conditioning, Ducted Heating, Gas",https://www.domain.com.au/8-pennington-street-keilor-east-vic-3033-17749334
17749722,KEILOR EAST,3033,600,2608,"Monday, 08 September 2025",2025-09-05,4,3,1,1,House,5 Warren Court,-37.741665,144.86264,2025-09-09 16:51:47,17749722,,9,0,0,False,House,House,CROZIERS & CO,26116,Brant Cooper,,https://www.domain.com.au/5-warren-court-keilor-east-vic-3033-17749722
17750252,KEILOR EAST,3033,650,2824,"Monday, 08 September 2025",2025-09-06,3,3,1,1,Townhouse,4/570 Buckley Street,-37.750156,144.85872,2025-09-09 16:51:47,17750252,,10,0,1,False,Townhouse/Villa,Townhouse,Moonee Valley Real Estate,11740,Rental Department,,https://www.domain.com.au/4-570-buckley-street-keilor-east-vic-3033-17750252
17754156,KEILOR EAST,3033,680,2955,"Tuesday, 09 September 2025",2025-09-09,0,3,2,1,House,32A Park Drive,-37.747295,144.85928,2025-09-09 16:51:47,17754156,,6,0,0,False,House,House,Barry Plant Keilor East,27626,Shenel Van Arkadie,"Secure Parking, Heating, Garden / Courtyard, Built in wardrobes, Dishwasher, Floorboards",https://www.domain.com.au/32a-park-drive-keilor-east-vic-3033-17754156
17754212,KEILOR EAST,3033,500,2173,"Tuesday, 09 September 2025",2025-09-09,0,2,1,1,Apartment / Unit / Flat,3/3 Burley Griffin Close,-37.74922,144.85567,2025-09-09 16:51:47,17754212,,8,0,0,False,Apartment,Apartment / Unit / Flat,Nelson Alexander Essendon,4722,Ankita Chhabra,"Built in wardrobes, Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/3-3-burley-griffin-close-keilor-east-vic-3033-17754212
