listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
13447525,KENNINGTON,3550,550,2390.0,"Wednesday, 10 September 2025",2025-09-03,6,3.0,2.0,2.0,Townhouse,23/1 Edwards Road,-36.767464,144.30595,2025-09-09 16:58:44,13447525,NM-6486-JN,10,0,1,False,Townhouse/Villa,Townhouse,DCK Real Estate,4596,Holly Kellett,"Gas, Internal Laundry, Secure Parking, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ensuite, Carpeted, Split System Heating, Split System Cooling, Walk-In Robe, Dishwasher",https://www.domain.com.au/23-1-edwards-road-kennington-vic-3550-13447525
15213583,KENNINGTON,3550,250,1086.0,"Tuesday, 05 August 2025",2025-06-16,85,7.0,3.0,2.0,House,30 Skene Street,-36.762505,144.296,2025-09-09 16:58:44,15213583,PS-7249-GI,17,0,1,False,House,House,Ray White Bendigo,25162,Daragh Browne,"Internal Laundry, Balcony / Deck, Furnished",https://www.domain.com.au/30-skene-street-kennington-vic-3550-15213583
16361328,KENNINGTON,3550,480,2086.0,"Wednesday, 26 November 2025",2025-09-09,0,3.0,1.0,,House,18 Owen Street,-36.76608,144.3012,2025-09-09 16:58:44,16361328,QJ-4249-RZ,6,0,1,False,House,House,DCK Real Estate,4596,Holly Kellett,"Built in wardrobes, Internal Laundry, Bath, Shed, Close to transport, Close to shops, Close to schools, Ducted Heating, Evaporative Cooling",https://www.domain.com.au/18-owen-street-kennington-vic-3550-16361328
16480392,KENNINGTON,3550,0,2780.0,"Friday, 31 October 2025",2023-05-23,840,3.0,2.0,1.0,House,1A Carola Court,-36.76008,144.30186,2025-09-09 16:58:44,16480392,SV-8591-JG,6,0,1,False,House,House,McKean McGregor Real Estate Pty Ltd,28695,Nathan Ludeman,"Gas, Internal Laundry, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/1a-carola-court-kennington-vic-3550-16480392
16951017,KENNINGTON,3550,750,,"Wednesday, 03 April 2024",2024-04-03,524,3.0,2.0,2.0,House,5C McIvor Court,-36.760223,144.30315,2025-09-09 16:58:44,16951017,NG-3002-IG,18,0,0,False,House,House,Ray White Bendigo,25162,,"Built in wardrobes, Secure Parking, Furnished, Heating, Dishwasher, Balcony / Deck, Air conditioning, Study",https://www.domain.com.au/5c-mcivor-court-kennington-vic-3550-16951017
16962529,KENNINGTON,3550,400,,"Friday, 12 April 2024",2024-04-10,517,,,,House,6/8 Clarke Street,-36.76718,144.29504,2025-09-09 16:58:44,16962529,EQ-9387-QK,10,0,0,False,House,House,Ray White Bendigo,25162,,Built in wardrobes,https://www.domain.com.au/6-8-clarke-street-kennington-vic-3550-16962529
17213752,KENNINGTON,3550,430,1868.0,"Monday, 08 September 2025",2024-09-18,356,1.0,1.0,1.0,Apartment / Unit / Flat,Apartment 2 5/8 Dale St,-36.761757,144.30159,2025-09-09 16:58:44,17213752,UB-2410-GN,8,0,0,False,Apartment,Apartment / Unit / Flat,Buxton Bendigo,37944,Saskia Heeney,"Air conditioning, Dishwasher, Furnished",https://www.domain.com.au/apartment-2-5-8-dale-st-kennington-vic-3550-17213752
17251813,KENNINGTON,3550,450,1955.0,"Friday, 21 November 2025",2024-10-14,330,1.0,1.0,1.0,Apartment / Unit / Flat,3/8 Dale St,-36.761757,144.30159,2025-09-09 16:58:44,17251813,NZ-5041-XQ,5,0,0,False,Apartment,Apartment / Unit / Flat,Buxton Bendigo,37944,Saskia Heeney,"Air conditioning, Dishwasher, Furnished",https://www.domain.com.au/3-8-dale-st-kennington-vic-3550-17251813
17417236,KENNINGTON,3550,0,2911.0,"Tuesday, 10 February 2026",2025-01-31,221,3.0,2.0,1.0,House,6B Heyington Place,-36.764095,144.30458,2025-09-09 16:58:44,17417236,ES-1663-PV,8,0,0,False,House,House,McKean McGregor Real Estate Pty Ltd,28695,Nathan Ludeman,"Secure Parking, Furnished, Bath, Heating",https://www.domain.com.au/6b-heyington-place-kennington-vic-3550-17417236
17443207,KENNINGTON,3550,0,2563.0,"Thursday, 19 March 2026",2025-02-17,204,2.0,1.0,1.0,House,14 Steane Street,-36.7608,144.29926,2025-09-09 16:58:44,17443207,HW-0046-ZB,9,0,0,False,House,House,McKean McGregor Real Estate Pty Ltd,28695,Nathan Ludeman,"Furnished, Bath, Heating, Balcony / Deck",https://www.domain.com.au/14-steane-street-kennington-vic-3550-17443207
