listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
12341956,KENSINGTON,3031,450.0,1955,"Tuesday, 30 September 2025",2025-08-29,11,2.0,1.0,,Apartment / Unit / Flat,4/46 Bayswater Road,-37.793327,144.92363,2025-09-09 17:01:29,12341956,LK-3877-YF,9,1,0,False,Apartment,Apartment / Unit / Flat,LITTLE Real Estate Victoria,24974,Pelin Vural,"Car Accom: None, Cooking: Electric Hotplates & Oven, Pool/Spa Count: 0",https://www.domain.com.au/4-46-bayswater-road-kensington-vic-3031-12341956
17178929,KENSINGTON,3031,620.0,2694,"Thursday, 25 September 2025",2025-09-02,7,2.0,1.0,,House,46 Smith Street,-37.791786,144.93372,2025-09-09 17:01:29,17178929,KW-3585-DF,11,0,0,False,House,House,Xynergy Realty South Yarra,21571,Cameron Egri,"Fireplace(s), Built in wardrobes, Bathtub, Split System Heating, Split System Air Conditioning, Gas Hot Water, Courtyard",https://www.domain.com.au/46-smith-street-kensington-vic-3031-17178929
17626390,KENSINGTON,3031,950.0,4120,"Friday, 04 July 2025",2025-06-18,83,3.0,1.0,1.0,House,7 Gordon Crescent,-37.791157,144.92702,2025-09-09 17:01:29,17626390,,12,0,1,False,House,House,Bricks and Mortar RE,31967,Madeleine Cahill,"Internal Laundry, Floorboards, Built in wardrobes, Dishwasher, Open Fire Place, Bathtub, Gas Appliances, Hyrdonic Heating, Ducted Air Conditioning, Outdoor Entertainment Area, Balcony, Remote Garage, Fully fenced, Pets Allowed",https://www.domain.com.au/7-gordon-crescent-kensington-vic-3031-17626390
17698417,KENSINGTON,3031,560.0,2433,"Wednesday, 03 September 2025",2025-08-04,36,2.0,1.0,,House,50 Westbourne Road,-37.79244,144.92319,2025-09-09 17:01:29,17698417,,10,0,0,False,House,House,Jellis Craig Moonee Valley,13365,"Megan Reddy, Mohammed Eleter","Air conditioning, Built in wardrobes, Internal Laundry, Bath, Dishwasher, Split System Heating, Balcony / Deck",https://www.domain.com.au/50-westbourne-road-kensington-vic-3031-17698417
17725632,KENSINGTON,3031,650.0,2824,"Thursday, 21 August 2025",2025-08-21,19,2.0,1.0,,House,86 Barnett Street,-37.793858,144.93181,2025-09-09 17:01:29,17725632,,6,0,1,False,House,House,Nelson Alexander Kew,3909,Sylva Fraser,Heating,https://www.domain.com.au/86-barnett-street-kensington-vic-3031-17725632
17735374,KENSINGTON,3031,890.0,1000,"Wednesday, 03 September 2025",2025-08-27,13,2.0,2.0,,New Apartments / Off the Plan,F405/348 Macaulay Road,-37.79477,144.93425,2025-09-09 17:01:29,17735374,,19,0,1,False,New Developments,New Apartments / Off the Plan,Local Residential,38208,Alisha Mehta,"Air conditioning, Balcony / Deck, Broadband internet access, Built in wardrobes, Garden / Courtyard, Dishwasher, Floorboards, Gym, Intercom, Outdoor Entertainment Area, Pets Allowed, Pool (Above Ground), Swimming Pool, Remote Garage, Reverse Cycle Air Con, Secure Parking, Split System Air Con, Split System Heating, Workshop, Furnished",https://www.domain.com.au/f405-348-macaulay-road-kensington-vic-3031-17735374
17737406,KENSINGTON,3031,588.0,2552,"Thursday, 28 August 2025",2025-08-28,11,1.0,1.0,,Apartment / Unit / Flat,4.13/27 Thompson Street,-37.792645,144.93475,2025-09-09 17:01:29,17737406,,13,0,1,False,Apartment,Apartment / Unit / Flat,Assemble Communities Pty Ltd,39145,"Danielle Lourdes, Ricky Walker","Heating, North Facing, Double glazed windows, Energy efficient appliances, Balcony / Deck, Internal Laundry, Pets Allowed, Air conditioning, Floorboards, Alarm System, Intercom, Built in wardrobes, Dishwasher",https://www.domain.com.au/4-13-27-thompson-street-kensington-vic-3031-17737406
17737450,KENSINGTON,3031,700.0,3042,"Thursday, 28 August 2025",2025-08-28,11,2.0,2.0,,Apartment / Unit / Flat,1.02/15 Thompson Street,-37.79222,144.93483,2025-09-09 17:01:29,17737450,,14,0,1,False,Apartment,Apartment / Unit / Flat,Assemble Communities Pty Ltd,39145,"Danielle Lourdes, Ricky Walker","Heating, Ensuite(s), Air conditioning, Ensuite, Floorboards, Alarm System, Intercom, Built in wardrobes, Internal Laundry, Pets Allowed, Study, Dishwasher, Double glazed windows, Energy efficient appliances, Balcony / Deck",https://www.domain.com.au/1-02-15-thompson-street-kensington-vic-3031-17737450
17737472,KENSINGTON,3031,530.0,2304,"Monday, 22 September 2025",2025-08-28,11,2.0,1.0,1.0,Apartment / Unit / Flat,108/62 Altona Street,-37.797504,144.92682,2025-09-09 17:01:29,17737472,,11,0,0,True,Apartment,Apartment / Unit / Flat,Areal Property - Melbourne,35843,Anna Mou,"Built in wardrobes, Internal Laundry, Heating",https://www.domain.com.au/108-62-altona-street-kensington-vic-3031-17737472
17738559,KENSINGTON,3031,400.0,1738,"Friday, 26 September 2025",2025-08-29,11,1.0,1.0,1.0,Apartment / Unit / Flat,1/86 Rankins Road,-37.791645,144.93124,2025-09-09 17:01:29,17738559,,8,0,0,False,Apartment,Apartment / Unit / Flat,McDonald Upton,11154,Isabella Grziwotz,Heating,https://www.domain.com.au/1-86-rankins-road-kensington-vic-3031-17738559
