listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16633187,KEW,3101,530,,"Friday, 19 September 2025",2025-09-02,7,2,1,,Apartment / Unit / Flat,3/27 Peel St,-37.803726,145.03304,2025-09-09 16:23:34,16633187,YG-5637-CB,5,0,0,True,Apartment,Apartment / Unit / Flat,Colin Knight Real Estate,383,Justyn Knight,"Built in wardrobes, Internal Laundry, Heating, Balcony / Deck, Dishwasher",https://www.domain.com.au/3-27-peel-st-kew-vic-3101-16633187
17682922,KEW,3101,1330,8645.0,"Saturday, 16 August 2025",2025-07-23,47,4,2,2.0,Apartment / Unit / Flat,111/140 Cotham Road,-37.80798,145.03917,2025-09-09 16:23:34,17682922,,9,0,2,False,Apartment,Apartment / Unit / Flat,RT Edgar Boroondara,3714,Nicole Woods,"Balcony / Deck, Built in wardrobes, Dishwasher, Ducted Cooling, Ducted Heating, Floorboards, Furnished, Intercom, Secure Parking",https://www.domain.com.au/111-140-cotham-road-kew-vic-3101-17682922
17684476,KEW,3101,550,2390.0,"Tuesday, 05 August 2025",2025-07-24,47,2,1,1.0,Apartment / Unit / Flat,21 Gladstone Street,-37.802,145.04031,2025-09-09 16:23:34,17684476,,26,0,0,True,Apartment,Apartment / Unit / Flat,iCare Property Pty Ltd,36127,"Anji Tao, Bobby Sung","Heating, Floorboards, Built in wardrobes, Bathtub, Balcony",https://www.domain.com.au/21-gladstone-street-kew-vic-3101-17684476
17684477,KEW,3101,550,2390.0,"Tuesday, 05 August 2025",2025-07-24,47,2,1,1.0,Apartment / Unit / Flat,21 Gladstone Street,-37.802,145.04031,2025-09-09 16:23:34,17684477,,26,0,0,True,Apartment,Apartment / Unit / Flat,ICARE Real Estate,37850,"Anji Tao, Bobby Sung","Heating, Floorboards, Built in wardrobes, Bathtub, Balcony",https://www.domain.com.au/21-gladstone-street-kew-vic-3101-17684477
17690762,KEW,3101,1400,7000.0,"Sunday, 24 August 2025",2025-07-29,42,4,2,2.0,Townhouse,6/68 Walpole Street,-37.801216,145.03262,2025-09-09 16:23:34,17690762,,16,0,0,False,Townhouse/Villa,Townhouse,Area Specialist Dynamic,38901,Radin Shojaei,"Built in wardrobes, Internal Laundry, Secure Parking, Bath, Fireplace(s), Heating, Dishwasher, Study, Balcony / Deck",https://www.domain.com.au/6-68-walpole-street-kew-vic-3101-17690762
17715377,KEW,3101,1295,7770.0,"Wednesday, 13 August 2025",2025-08-14,26,3,2,2.0,Apartment / Unit / Flat,3/103 Brougham Street,-37.801178,145.03104,2025-09-09 16:23:34,17715377,,12,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Ivanhoe,30455,Brodie Aston,,https://www.domain.com.au/3-103-brougham-street-kew-vic-3101-17715377
17716329,KEW,3101,550,2390.0,"Thursday, 14 August 2025",2025-08-14,25,2,1,1.0,Apartment / Unit / Flat,2/55 Brougham Street,-37.80453,145.03036,2025-09-09 16:23:34,17716329,,7,0,1,False,Apartment,Apartment / Unit / Flat, Jellis Craig & Company Pty Ltd,6525,Thea Toogood,"Air conditioning, Intercom",https://www.domain.com.au/2-55-brougham-street-kew-vic-3101-17716329
17731144,KEW,3101,750,3259.0,"Tuesday, 02 September 2025",2025-08-26,14,3,2,2.0,Apartment / Unit / Flat,8/278 Cotham Road,-37.80927,145.05016,2025-09-09 16:23:34,17731144,,17,0,1,False,Apartment,Apartment / Unit / Flat, Jellis Craig & Company Pty Ltd,6525,Leo Zuo,Garden / Courtyard,https://www.domain.com.au/8-278-cotham-road-kew-vic-3101-17731144
17732152,KEW,3101,630,2738.0,"Wednesday, 17 September 2025",2025-08-26,14,2,2,2.0,Apartment / Unit / Flat,13/152 Princess Street,-37.796482,145.031,2025-09-09 16:23:34,17732152,,6,0,1,False,Apartment,Apartment / Unit / Flat, Jellis Craig & Company Pty Ltd,6525,Lachie Hollamby,"Air conditioning, Intercom, Built in wardrobes, Dishwasher, Study",https://www.domain.com.au/13-152-princess-street-kew-vic-3101-17732152
17732222,KEW,3101,1300,8473.0,"Saturday, 30 August 2025",2025-08-26,14,4,2,2.0,Townhouse,2/4 Edward Street,-37.81278,145.05602,2025-09-09 16:23:34,17732222,,12,0,1,True,Townhouse/Villa,Townhouse, Jellis Craig & Company Pty Ltd,6525,Thea Toogood,"Built in wardrobes, Study",https://www.domain.com.au/2-4-edward-street-kew-vic-3101-17732222
