listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16094244,KEYSBOROUGH,3173,680.0,2955,"Wednesday, 27 August 2025",2025-08-21,19,3,2,2,House,1 Matthew Close,-37.99664,145.17088,2025-09-09 16:30:37,16094244,UJ-5975-YP,10,0,0,False,House,House,"Barry Plant Noble Park, Keysborough & Dandenong",17354,"Rental Dept - Barry Plant Noble Park, Investor Concierge Casee Heath","Built in wardrobes, Dishwasher, Gas Appliances, Ducted Heating, Split System Air Conditioning",https://www.domain.com.au/1-matthew-close-keysborough-vic-3173-16094244
16570757,KEYSBOROUGH,3173,560.0,2433,"Friday, 26 September 2025",2025-09-02,7,3,1,2,House,33 Popes Road,-37.982372,145.18854,2025-09-09 16:30:37,16570757,UH-7708-AG,13,0,0,False,House,House,"Barry Plant Noble Park, Keysborough & Dandenong",17354,Rental Dept - Barry Plant Noble Park,"Gas, Secure Parking, Balcony / Deck",https://www.domain.com.au/33-popes-road-keysborough-vic-3173-16570757
16719978,KEYSBOROUGH,3173,850.0,3693,"Monday, 01 September 2025",2025-08-21,19,4,2,2,House,11 Trebilco Avenue,-38.00031,145.17043,2025-09-09 16:30:37,16719978,YF-3928-AX,8,0,0,False,House,House,Coco Ma Real Estate,37495,"Nick Zhang, Haonan Chen","Secure Parking, Ensuite, Ducted Heating, Evaporative Cooling",https://www.domain.com.au/11-trebilco-avenue-keysborough-vic-3173-16719978
17394708,KEYSBOROUGH,3173,680.0,2955,"Tuesday, 16 September 2025",2025-08-15,25,3,2,1,House,18 Calibre Retreat,-38.010715,145.16063,2025-09-09 16:30:37,17394708,YL-0695-GC,9,0,0,False,House,House,"Barry Plant Noble Park, Keysborough & Dandenong",17354,"Rental Dept - Barry Plant Noble Park, Investor Concierge Casee Heath","Floorboards, Built in wardrobes, Dishwasher, Broadband, Gas Appliances, Split System Heating, Split System Air Conditioning, Ensuite(s), Balcony, Deck, Remote Garage",https://www.domain.com.au/18-calibre-retreat-keysborough-vic-3173-17394708
17646631,KEYSBOROUGH,3173,600.0,2607,"Tuesday, 01 July 2025",2025-07-01,70,3,1,1,House,18 Bellarine Court,-37.99108,145.1677,2025-09-09 16:30:37,17646631,,10,0,0,False,House,House,Raine & Horne Springvale,8693,"Rental Department, Brendon To","Built in wardrobes, Gas, Internal Laundry, Bath, Dishwasher",https://www.domain.com.au/18-bellarine-court-keysborough-vic-3173-17646631
17694604,KEYSBOROUGH,3173,720.0,3129,"Thursday, 31 July 2025",2025-07-31,40,3,1,4,House,9 Popes Road,-37.982094,145.18619,2025-09-09 16:30:37,17694604,,12,0,0,False,House,House,Professionals Noble Park / Springvale / Keysborough,19122,"Harvey Nhan, Hannah Luu",Heating,https://www.domain.com.au/9-popes-road-keysborough-vic-3173-17694604
17704592,KEYSBOROUGH,3173,795.0,3454,"Friday, 15 August 2025",2025-08-07,33,4,2,2,House,50 Clarendon Drive,-38.01071,145.17554,2025-09-09 16:30:37,17704592,,14,0,0,False,House,House,Buxton Keysborough,30252,"Kelly Amor, Nava Shams","Air conditioning, Split System Air Con, Built in wardrobes, Balcony / Deck, Dishwasher, Ducted Heating, Fully fenced, Remote Garage, Secure Parking",https://www.domain.com.au/50-clarendon-drive-keysborough-vic-3173-17704592
17713114,KEYSBOROUGH,3173,780.0,3389,"Tuesday, 12 August 2025",2025-08-13,27,4,3,2,House,1/13 Waterfront Way,-38.006878,145.16183,2025-09-09 16:30:37,17713114,,22,0,1,False,House,House,"Barry Plant Noble Park, Keysborough & Dandenong",17354,"Rental Dept - Barry Plant Noble Park, Investor Concierge Casee Heath","Balcony / Deck, Built in wardrobes, Dishwasher, Gas Appliances, Ducted Heating, Ducted Air Conditioning, Remote Garage",https://www.domain.com.au/1-13-waterfront-way-keysborough-vic-3173-17713114
17722825,KEYSBOROUGH,3173,800.0,3476,"Thursday, 28 August 2025",2025-08-19,20,4,3,1,House,2 Allawah Close,-37.98474,145.17055,2025-09-09 16:30:37,17722825,,14,0,1,False,House,House,Coco Ma Real Estate,37495,"Nick Zhang, Haonan Chen","Gas, Internal Laundry, Secure Parking, Shed, Balcony / Deck, Ensuite, Dishwasher, Built in wardrobes, Air-Conditioner, Split System Heating",https://www.domain.com.au/2-allawah-close-keysborough-vic-3173-17722825
17733369,KEYSBOROUGH,3173,720.0,3129,"Monday, 15 September 2025",2025-08-27,13,3,2,2,Townhouse,8/1-5 Breanne Place,-38.00288,145.14397,2025-09-09 16:30:37,17733369,,10,0,0,False,Townhouse/Villa,Townhouse,Area Specialist Keysborough,31225,Property Management,"Built in wardrobes, Internal Laundry, Secure Parking",https://www.domain.com.au/8-1-5-breanne-place-keysborough-vic-3173-17733369
