listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
14362785,KINGSBURY,3083,460,1999,"Friday, 26 September 2025",2025-08-25,14,2,1,2.0,Apartment / Unit / Flat,3/27 Highland Street,-37.716843,145.038,2025-09-09 16:53:24,14362785,,9,0,1,False,Apartment,Apartment / Unit / Flat,Darren Jones Real Estate,11759,Claire Morrow,"Split System AirCon, Split System Heating",https://www.domain.com.au/3-27-highland-street-kingsbury-vic-3083-14362785
15226729,KINGSBURY,3083,160,695,"Monday, 26 November 2018",2021-07-02,1530,8,2,,House,2 Clunes Street,-37.717068,145.04173,2025-09-09 16:53:24,15226729,LE-8413-BI,15,0,0,False,House,House,Ray White Bundoora,12449,Effie Malliaras,"Heating, Air conditioning, Built in wardrobes, Close to schools, Close to shops, Close to transport, Garden, Secure Parking, Floorboards, Separate Dining",https://www.domain.com.au/2-clunes-street-kingsbury-vic-3083-15226729
17118506,KINGSBURY,3083,670,2912,"Friday, 12 September 2025",2025-08-18,22,3,2,1.0,House,1/26 Bunker Avenue,-37.714466,145.03062,2025-09-09 16:53:24,17118506,YP-1176-TM,7,0,0,False,House,House,Ray White Wollert,38147,Agnes Fostiropoulos,"Built in wardrobes, Secure Parking, Heating",https://www.domain.com.au/1-26-bunker-avenue-kingsbury-vic-3083-17118506
17511595,KINGSBURY,3083,235,940,"Wednesday, 02 April 2025",2025-04-02,160,1,2,1.0,House,1027 Plenty Road,-37.715923,145.04312,2025-09-09 16:53:24,17511595,SA-0825-GO,5,0,0,True,House,House,Stockdale & Leggo Bundoora,12274,"Thanuja Kannangara, Raelene Stojanovic","Gas, Air conditioning, Close to schools, Close to shops, Close to transport, Furnished, Heating",https://www.domain.com.au/1027-plenty-road-kingsbury-vic-3083-17511595
17707134,KINGSBURY,3083,600,2600,"Thursday, 07 August 2025",2025-08-08,32,4,2,2.0,House,51 Dunne Street,-37.71433,145.03828,2025-09-09 16:53:24,17707134,,12,0,0,False,House,House,Ray White Bundoora,12449,"Josiah Donato, Whitney Young",,https://www.domain.com.au/51-dunne-street-kingsbury-vic-3083-17707134
17707604,KINGSBURY,3083,470,2042,"Friday, 08 August 2025",2025-08-08,32,2,1,2.0,Villa,1/16 Cash Street,-37.714836,145.042,2025-09-09 16:53:24,17707604,,10,0,0,False,Townhouse/Villa,Villa,Nicholson Real Estate,11229,Manny Tomazos,"Built in wardrobes, Gas, Internal Laundry, Secure Parking",https://www.domain.com.au/1-16-cash-street-kingsbury-vic-3083-17707604
17710341,KINGSBURY,3083,720,3129,"Thursday, 14 August 2025",2025-08-11,28,4,2,2.0,House,19 Dunne Street,-37.715847,145.04077,2025-09-09 16:53:24,17710341,,6,0,1,False,House,House,Barry Plant North Eastern Group,4902,Josh Caligiuri,"Close to transport, Close to shops, Close to schools",https://www.domain.com.au/19-dunne-street-kingsbury-vic-3083-17710341
17721964,KINGSBURY,3083,430,1868,"Thursday, 11 September 2025",2025-08-19,21,2,1,1.0,Apartment / Unit / Flat,9/1031 Plenty Road,-37.715538,145.04344,2025-09-09 16:53:24,17721964,,10,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant North Eastern Group,4902,Christian Robortella,"Internal Laundry, Heating, Balcony / Deck",https://www.domain.com.au/9-1031-plenty-road-kingsbury-vic-3083-17721964
17723366,KINGSBURY,3083,460,1999,"Friday, 12 September 2025",2025-08-20,20,2,1,2.0,House,36 Flag Street Street,-37.71598,145.03207,2025-09-09 16:53:24,17723366,,3,0,0,False,House,House,Barry Plant Reservoir,15050,Monica Dimitrijeska,"Built in wardrobes, Close to transport, Close to shops, Close to schools, Split system Air Con",https://www.domain.com.au/36-flag-street-street-kingsbury-vic-3083-17723366
17724345,KINGSBURY,3083,560,2426,"Friday, 29 August 2025",2025-08-20,20,3,1,,House,46 Dunne Street,-37.71427,145.03897,2025-09-09 16:53:24,17724345,,10,0,1,False,House,House,Ray White Bundoora,12449,"Josiah Donato, Liliana Sideras",,https://www.domain.com.au/46-dunne-street-kingsbury-vic-3083-17724345
17726526,KINGSBURY,3083,530,2303,"Thursday, 21 August 2025",2025-08-21,19,3,1,1.0,Apartment / Unit / Flat,1/34 Browning Street,-37.71824,145.03416,2025-09-09 16:53:24,17726526,,9,0,0,False,Apartment,Apartment / Unit / Flat,Ray White Bundoora,12449,"Josiah Donato, Whitney Young",,https://www.domain.com.au/1-34-browning-street-kingsbury-vic-3083-17726526
17729252,KINGSBURY,3083,540,2346,"Saturday, 20 September 2025",2025-08-25,15,2,2,1.0,Townhouse,7B Ellerslie Street,-37.717186,145.0388,2025-09-09 16:53:24,17729252,,9,0,0,False,Townhouse/Villa,Townhouse,Barry Plant Reservoir,15050,Tina Foufoulas,"Built in wardrobes, Secure Parking, Dishwasher, Close to transport, Close to shops, Close to schools, Floorboards, Split system Air Con",https://www.domain.com.au/7b-ellerslie-street-kingsbury-vic-3083-17729252
17753146,KINGSBURY,3083,530,2303,"Tuesday, 09 September 2025",2025-09-09,0,3,1,1.0,Apartment / Unit / Flat,2/34 Browning Street,-37.718235,145.03416,2025-09-09 16:53:24,17753146,,10,0,0,False,Apartment,Apartment / Unit / Flat,Ray White Bundoora,12449,"Josiah Donato, Whitney Young","Air conditioning, Heating",https://www.domain.com.au/2-34-browning-street-kingsbury-vic-3083-17753146
