listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
10731385,KINGSVILLE,3012,525,2275,"Wednesday, 28 December 2016",2025-05-15,116,2,1,1.0,Villa,2/373 Geelong Road,-37.808872,144.87473,2025-09-09 16:56:52,10731385,UJ-8465-JY,3,0,0,False,Townhouse/Villa,Villa,Lease A Property ,21230,Marc Angelone,"Air conditioning, Built in wardrobes, Internal Laundry, Bath, Heating, Garden / Courtyard, Pets Allowed",https://www.domain.com.au/2-373-geelong-road-kingsville-vic-3012-10731385
17382247,KINGSVILLE,3012,660,2868,"Wednesday, 01 October 2025",2025-09-01,8,2,2,1.0,Apartment / Unit / Flat,206/195 Geelong Road,-37.803226,144.88506,2025-09-09 16:56:52,17382247,,11,1,0,False,Apartment,Apartment / Unit / Flat,Motion Property,8551,"Mark Reading, Nirvana Kane","Floorboards, Built in wardrobes, Dishwasher, Broadband, Split System Heating, Air conditioning, Balcony, Secure Parking, City Views, Pets Allowed, Furnished",https://www.domain.com.au/206-195-geelong-road-kingsville-vic-3012-17382247
17612163,KINGSVILLE,3012,510,2216,"Tuesday, 24 June 2025",2025-06-10,91,3,1,1.0,House,17 Coronation street,-37.806034,144.88162,2025-09-09 16:56:52,17612163,,12,0,0,False,House,House,Nguyen Real Estate,19313,"Andy Toan Pham, Kevin Nguyen","Built in wardrobes, Gas, Bath, Heating",https://www.domain.com.au/17-coronation-street-kingsville-vic-3012-17612163
17710574,KINGSVILLE,3012,690,2998,"Tuesday, 09 September 2025",2025-08-12,28,4,2,,House,12 Williamstown Road,-37.803913,144.8849,2025-09-09 16:56:52,17710574,,10,0,1,False,House,House,McGrath,19308,Daniel Hamilton,,https://www.domain.com.au/12-williamstown-road-kingsville-vic-3012-17710574
17720299,KINGSVILLE,3012,750,3259,"Friday, 12 September 2025",2025-08-18,22,3,1,,House,87 Chirnside Street,-37.80823,144.88284,2025-09-09 16:56:52,17720299,,10,0,0,False,House,House,Simone Bullen,7896,Tom Russett,"Internal Laundry, Bath, Fireplace(s), Study, Balcony / Deck, Air conditioning, Floorboards, Built in wardrobes, Heating, Dishwasher, Fully fenced, Garden / Courtyard",https://www.domain.com.au/87-chirnside-street-kingsville-vic-3012-17720299
17733887,KINGSVILLE,3012,300,1304,"Wednesday, 27 August 2025",2025-08-27,13,1,1,1.0,Apartment / Unit / Flat,5/32 Edgar Street,-37.809505,144.87666,2025-09-09 16:56:52,17733887,,5,0,0,False,Apartment,Apartment / Unit / Flat,Create Real Estate,13833,Create Rentals,Built in wardrobes,https://www.domain.com.au/5-32-edgar-street-kingsville-vic-3012-17733887
17737592,KINGSVILLE,3012,510,2216,"Friday, 29 August 2025",2025-08-29,11,2,1,1.0,Apartment / Unit / Flat,4/40-42 Kingsville Street,-37.809223,144.87793,2025-09-09 16:56:52,17737592,,9,0,0,False,Apartment,Apartment / Unit / Flat,P Di Natale Real Estate,15264,Dylan Cropley,"Built in wardrobes, Split-System Air Conditioning",https://www.domain.com.au/4-40-42-kingsville-street-kingsville-vic-3012-17737592
17738742,KINGSVILLE,3012,1500,6518,"Friday, 17 October 2025",2025-08-29,11,5,3,,House,96 Wales Street,-37.81091,144.87941,2025-09-09 16:56:52,17738742,,20,0,0,False,House,House,Village Real Estate ,20880,Cassandra Hutchings,"Air conditioning, Internal Laundry, Fireplace(s), Dishwasher, Study",https://www.domain.com.au/96-wales-street-kingsville-vic-3012-17738742
17740019,KINGSVILLE,3012,450,1955,"Friday, 14 February 2025",2025-09-01,8,2,1,1.0,Apartment / Unit / Flat,8/20 Kingsville Street,-37.808193,144.8785,2025-09-09 16:56:52,17740019,,7,0,0,False,Apartment,Apartment / Unit / Flat,Nicholas Scott Real Estate,8676,Marcela Barragan,"Built in wardrobes, Gas, Internal Laundry, Bath",https://www.domain.com.au/8-20-kingsville-street-kingsville-vic-3012-17740019
17741785,KINGSVILLE,3012,450,1955,"Friday, 26 September 2025",2025-09-01,8,2,1,1.0,Apartment / Unit / Flat,5/15 Kingsville Street,-37.807713,144.87904,2025-09-09 16:56:52,17741785,,8,0,0,False,Apartment,Apartment / Unit / Flat,Belle Property St Kilda,3722,"Shari Holmes, Karina Lomanova",,https://www.domain.com.au/5-15-kingsville-street-kingsville-vic-3012-17741785
17742198,KINGSVILLE,3012,520,2259,"Monday, 01 September 2025",2025-09-02,7,2,1,1.0,Apartment / Unit / Flat,12/15 Kingsville Street,-37.807713,144.87904,2025-09-09 16:56:52,17742198,,7,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Inner West,19574,Zac Keltie,"Split System Air Con, Split System Heating, Built in wardrobes, Dishwasher, Floorboards, Secure Parking",https://www.domain.com.au/12-15-kingsville-street-kingsville-vic-3012-17742198
17753040,KINGSVILLE,3012,750,3259,"Saturday, 04 October 2025",2025-09-09,0,3,1,,House,117 Queensville Street,-37.809277,144.88348,2025-09-09 16:56:52,17753040,,11,0,1,False,House,House,Nelson Alexander Fitzroy,4718,Francesca Gulluni,"Built in wardrobes, Bath, Heating, Balcony / Deck",https://www.domain.com.au/117-queensville-street-kingsville-vic-3012-17753040
