listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
14319626,KURUNJANG,3337,400.0,1738.0,"Tuesday, 22 July 2025",2025-07-08,63,3,2,1,House,7 Hiraji Street,-37.658356,144.59235,2025-09-09 16:45:55,14319626,LF-2444-LQ,11,0,1,False,House,House,Raine & Horne Melton,22328,Karen White,"Gas, Secure Parking, Ensuite, Built in wardrobes, Pets Allowed, Bath, Heating, Dishwasher, Study",https://www.domain.com.au/7-hiraji-street-kurunjang-vic-3337-14319626
16644349,KURUNJANG,3337,410.0,1782.0,"Monday, 13 October 2025",2025-09-02,7,3,1,1,House,21 Herbal Avenue,-37.659294,144.57693,2025-09-09 16:45:55,16644349,ON-7510-CO,10,0,1,False,House,House,Ray White Point Cook,29063,"Palak Grover, Makayla Hurinui","Gas, Bath, Alarm System, Built in wardrobes, Internal Laundry, Pets Allowed, Heating, Dishwasher, Secure Parking, Solar panels",https://www.domain.com.au/21-herbal-avenue-kurunjang-vic-3337-16644349
17371147,KURUNJANG,3337,385.0,1673.0,"Thursday, 24 July 2025",2025-07-09,62,3,1,1,House,29 Parkleigh Drive,-37.657936,144.57513,2025-09-09 16:45:55,17371147,TN-0479-EG,11,0,0,False,House,House,Raine & Horne Melton,22328,"Harry Singh, Kieran Carson","Alarm System, Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher, Secure Parking, Fully fenced",https://www.domain.com.au/29-parkleigh-drive-kurunjang-vic-3337-17371147
17448057,KURUNJANG,3337,410.0,1782.0,"Friday, 22 August 2025",2025-06-06,95,3,1,1,House,37 Sirius Way,-37.6602,144.5969,2025-09-09 16:45:55,17448057,GP-9956-VL,7,0,0,False,House,House,YPA Estate Agents Bacchus Marsh,31174,Juscynta Clemens,,https://www.domain.com.au/37-sirius-way-kurunjang-vic-3337-17448057
17514580,KURUNJANG,3337,380.0,1651.0,"Monday, 14 April 2025",2025-08-28,12,3,1,1,House,6 Gunsynd Mews,-37.660545,144.59581,2025-09-09 16:45:55,17514580,TL-3477-GV,19,0,0,False,House,House,Sweeney Estate Agents Caroline Springs,7932,Diana Simic,"Secure Parking, Heating, Dishwasher",https://www.domain.com.au/6-gunsynd-mews-kurunjang-vic-3337-17514580
17532472,KURUNJANG,3337,395.0,1716.0,"Tuesday, 22 April 2025",2025-04-15,146,3,2,1,House,17 Peter Pan Crescent,-37.658985,144.58725,2025-09-09 16:45:55,17532472,HW-7008-TK,6,0,0,False,House,House,Raine & Horne Melton,22328,Kieran Carson,"Gas, Fully fenced, Ensuite",https://www.domain.com.au/17-peter-pan-crescent-kurunjang-vic-3337-17532472
17680441,KURUNJANG,3337,470.0,2037.0,"Tuesday, 05 August 2025",2025-07-22,49,4,2,2,House,130 Dalray Crescent,-37.65928,144.58401,2025-09-09 16:45:55,17680441,,4,0,0,False,House,House,Barry Plant Melton,12902,Melton Rentals,"Air conditioning, Secure Parking, Heating",https://www.domain.com.au/130-dalray-crescent-kurunjang-vic-3337-17680441
17686866,KURUNJANG,3337,445.0,1934.0,"Friday, 25 July 2025",2025-07-25,45,3,2,2,House,21 Lord Nolan Street,-37.654522,144.58989,2025-09-09 16:45:55,17686866,,8,0,0,False,House,House,YPA Estate Agents Bacchus Marsh,31174,"Juscynta Clemens, Julie Hedley","Secure Parking, Heating",https://www.domain.com.au/21-lord-nolan-street-kurunjang-vic-3337-17686866
17694781,KURUNJANG,3337,410.0,1781.0,"Monday, 11 August 2025",2025-07-31,40,2,1,1,Apartment / Unit / Flat,2/97 Dunvegan Drive,-37.662365,144.59341,2025-09-09 16:45:55,17694781,,7,0,0,False,Apartment,Apartment / Unit / Flat,OBrien Real Estate Melton,20703,Kanika Duggal,"Air conditioning, Built in wardrobes, Close to transport, Close to shops, Close to schools, Kitchenette",https://www.domain.com.au/2-97-dunvegan-drive-kurunjang-vic-3337-17694781
17701256,KURUNJANG,3337,410.0,1782.0,"Monday, 08 September 2025",2025-08-05,35,3,1,1,Apartment / Unit / Flat,1/45 Smoult Drive,-37.669697,144.5797,2025-09-09 16:45:55,17701256,,13,0,0,False,Apartment,Apartment / Unit / Flat,hockingstuart Melton,19180,"Britt Jones, Frank Giurleo","Secure Parking, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Courtyard",https://www.domain.com.au/1-45-smoult-drive-kurunjang-vic-3337-17701256
17708483,KURUNJANG,3337,450.0,1950.0,"Saturday, 16 August 2025",2025-08-11,29,3,2,2,House,68 Kurunjang Drive,-37.670048,144.59042,2025-09-09 16:45:55,17708483,,19,0,0,False,House,House,Shaw Estate Agents,30491,Sophie Shaw,,https://www.domain.com.au/68-kurunjang-drive-kurunjang-vic-3337-17708483
17720558,KURUNJANG,3337,480.0,2080.0,"Monday, 01 September 2025",2025-08-18,22,4,2,2,House,66 Centenary Avenue,-37.67456,144.58682,2025-09-09 16:45:55,17720558,,18,0,1,False,House,House,Barry Plant Melton,12902,Melton Rentals,"Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Open Fire Place, Pets Allowed, Close to schools, Ensuite, Car Parking - Surface, Creative, Openable Windows, Toilet Facilities, Floorboards, Fully fenced",https://www.domain.com.au/66-centenary-avenue-kurunjang-vic-3337-17720558
17731484,KURUNJANG,3337,390.0,1695.0,"Monday, 22 September 2025",2025-08-26,14,3,2,1,Townhouse,1/48 McBurnie Dr,-37.66886,144.57751,2025-09-09 16:45:55,17731484,,6,0,0,False,Townhouse/Villa,Townhouse,Ryder Real Estate,4585,Lachlan Kerr,"Secure Parking, Heating, Study",https://www.domain.com.au/1-48-mcburnie-dr-kurunjang-vic-3337-17731484
17735675,KURUNJANG,3337,440.0,1912.0,"Wednesday, 27 August 2025",2025-08-27,12,3,2,2,House,12 Colonus Street,-37.65413,144.58932,2025-09-09 16:45:55,17735675,,12,0,0,False,House,House,Area Specialist Melton,36985,Rae Wilson,"Gas, Internal Laundry, Dishwasher, Ensuite, Built in wardrobes, Broadband, Air-Conditioner, Ducted Heating, Intercom, Remote Garage, Secure Parking, Fully fenced",https://www.domain.com.au/12-colonus-street-kurunjang-vic-3337-17735675
17741144,KURUNJANG,3337,450.0,1955.0,"Monday, 22 September 2025",2025-09-01,8,3,2,2,House,5 Alex Court,-37.667645,144.57593,2025-09-09 16:45:55,17741144,,15,0,0,False,House,House,Ray White Point Cook,29063,"Palak Grover, Makayla Hurinui","Gas, Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/5-alex-court-kurunjang-vic-3337-17741144
17742767,KURUNJANG,3337,500.0,2173.0,"Monday, 29 September 2025",2025-09-02,7,4,2,6,House,7 Wattlebird Drive,-37.65387,144.58269,2025-09-09 16:45:55,17742767,,15,0,1,False,House,House,Area Specialist Melton,36985,Rae Wilson,"Bath, Heating, Dishwasher, Built in wardrobes, Floorboards, Broadband, Air-Conditioner, Ducted Cooling, Evaporative Cooling, Alarm, Remote Garage, Secure Parking, Outdoor Entertainment, Fully fenced",https://www.domain.com.au/7-wattlebird-drive-kurunjang-vic-3337-17742767
17747860,KURUNJANG,3337,650.0,2816.0,"Thursday, 04 September 2025",2025-09-04,5,4,2,6,House,20 Gloaming Ride,-37.666664,144.57614,2025-09-09 16:45:55,17747860,,17,0,0,False,House,House,Barry Plant Melton,12902,Melton Rentals,"Bath, Fireplace(s), Heating, Dishwasher, Shed, Air conditioning",https://www.domain.com.au/20-gloaming-ride-kurunjang-vic-3337-17747860
17748715,KURUNJANG,3337,430.0,1868.0,"Friday, 05 September 2025",2025-09-05,4,3,2,1,Apartment / Unit / Flat,2/22 Dalray Crescent,-37.656296,144.59619,2025-09-09 16:45:55,17748715,,11,0,1,False,Apartment,Apartment / Unit / Flat,First National Real Estate Melton,29678,Wendy Ruane,"Ensuite, Built in wardrobes, Air-Conditioner, Alarm, Remote Garage",https://www.domain.com.au/2-22-dalray-crescent-kurunjang-vic-3337-17748715
17751910,KURUNJANG,3337,450.0,1955.0,"Wednesday, 03 September 2025",2025-09-08,1,4,2,3,House,14 Bellbird Street,-37.6547,144.58125,2025-09-09 16:45:55,17751910,,7,0,0,False,House,House,LJ Hooker – Property Link,30303,Shubham Duhan,"Gas, Internal Laundry, Heating, Dishwasher",https://www.domain.com.au/14-bellbird-street-kurunjang-vic-3337-17751910
