listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15674689,LALOR,3075,480.0,2086.0,"Wednesday, 01 October 2025",2025-09-05,4,2,1,1.0,House,1/17 David Street,-37.672527,145.02185,2025-09-09 16:31:11,15674689,XK-4408-FL,10,0,1,False,House,House,Mint Property Management,33459,Cherelle Taylor,"Internal Laundry, Built in wardrobes, Dishwasher, Bathtub, Gas Appliances, Ducted Heating, Split System Air Conditioning, Courtyard, Remote Garage, Shed",https://www.domain.com.au/1-17-david-street-lalor-vic-3075-15674689
17696160,LALOR,3075,500.0,2173.0,"Wednesday, 28 August 2024",2025-08-01,39,3,1,2.0,Apartment / Unit / Flat,2/5 Luzon Court,-37.66128,145.03004,2025-09-09 16:31:11,17696160,,19,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant North Eastern Group,4902,"Jarrod Pearce, Matthew Clark","Internal Laundry, Bath, Heating",https://www.domain.com.au/2-5-luzon-court-lalor-vic-3075-17696160
17712059,LALOR,3075,670.0,2911.0,"Thursday, 14 August 2025",2025-08-12,28,3,2,2.0,Townhouse,1&2/20 William Street,-37.67306,145.02194,2025-09-09 16:31:11,17712059,,26,0,0,False,Townhouse/Villa,Townhouse,Ray White Mill Park,12621,"Emmanuela Kanavos, Mill Park Office","Secure Parking, Heating, Dishwasher",https://www.domain.com.au/1-2-20-william-street-lalor-vic-3075-17712059
17712109,LALOR,3075,585.0,2542.0,"Thursday, 14 August 2025",2025-08-12,28,2,1,1.0,Townhouse,3/20 William Street,-37.67306,145.02194,2025-09-09 16:31:11,17712109,,8,0,0,False,Townhouse/Villa,Townhouse,Ray White Mill Park,12621,Emmanuela Kanavos,"Secure Parking, Heating, Dishwasher, Shed",https://www.domain.com.au/3-20-william-street-lalor-vic-3075-17712109
17733819,LALOR,3075,590.0,2564.0,"Wednesday, 27 August 2025",2025-08-27,13,4,1,5.0,House,9 Canberra Grove,-37.67492,145.03972,2025-09-09 16:31:11,17733819,,16,0,0,False,House,House,Ray White Thomastown,27311,Steven Iliadis,"Built in wardrobes, Secure Parking, Heating",https://www.domain.com.au/9-canberra-grove-lalor-vic-3075-17733819
17735893,LALOR,3075,450.0,1955.0,"Thursday, 28 August 2025",2025-08-28,12,3,1,1.0,House,30 Canberra Grove,-37.675167,145.04178,2025-09-09 16:31:11,17735893,,11,0,0,False,House,House,Love & Co Thomastown,7125,Sam Dirani,"Built in wardrobes, Secure Parking, Heating",https://www.domain.com.au/30-canberra-grove-lalor-vic-3075-17735893
17736249,LALOR,3075,580.0,2520.0,"Monday, 15 September 2025",2025-08-28,12,4,1,2.0,House,18 Thornton Street,-37.662064,145.00093,2025-09-09 16:31:11,17736249,,10,0,0,False,House,House,Love & Co Mill Park,7119,Vicki Cianci,"Internal Laundry, Heating",https://www.domain.com.au/18-thornton-street-lalor-vic-3075-17736249
17740976,LALOR,3075,650.0,2824.0,"Friday, 26 September 2025",2025-09-01,8,4,2,2.0,House,72 Moffat Drive,-37.661568,144.98984,2025-09-09 16:31:11,17740976,,12,0,0,False,House,House, Love & Co  ,7123,Joe Gorkies,"Secure Parking, Heating, Dishwasher, Air conditioning, Built in wardrobes, Alarm System, Ensuite, Split System",https://www.domain.com.au/72-moffat-drive-lalor-vic-3075-17740976
17742221,LALOR,3075,600.0,2607.0,"Tuesday, 02 September 2025",2025-09-02,7,3,2,1.0,House,90 Partridge St,-37.662285,145.02779,2025-09-09 16:31:11,17742221,,12,0,0,False,House,House,Ray White Thomastown,27311,Julian Cannavo,"Air conditioning, Built in wardrobes, Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/90-partridge-st-lalor-vic-3075-17742221
17742226,LALOR,3075,450.0,1955.0,"Friday, 12 September 2025",2025-09-02,7,3,1,2.0,House,1/114 Mount View Road,-37.669846,145.00993,2025-09-09 16:31:11,17742226,,8,0,0,False,House,House,Ray White Mill Park,12621,"Emmanuela Kanavos, Mill Park Office",,https://www.domain.com.au/1-114-mount-view-road-lalor-vic-3075-17742226
17744544,LALOR,3075,550.0,2390.0,"Friday, 05 September 2025",2025-09-03,6,2,2,1.0,Apartment / Unit / Flat,1/70 Messmate Street,-37.675156,145.0238,2025-09-09 16:31:11,17744544,,12,0,0,False,Apartment,Apartment / Unit / Flat,Fletchers Canterbury,3923,"Kristian Williams, Fletchers Property Management",,https://www.domain.com.au/1-70-messmate-street-lalor-vic-3075-17744544
17744966,LALOR,3075,500.0,2173.0,"Friday, 26 September 2025",2025-09-03,6,3,1,1.0,House,12 Kanimbla Drive,-37.659718,145.00926,2025-09-09 16:31:11,17744966,,17,0,0,False,House,House, Love & Co  ,7123,Surendra Subedi,"Internal Laundry, Heating, Dishwasher, Air conditioning, Built in wardrobes",https://www.domain.com.au/12-kanimbla-drive-lalor-vic-3075-17744966
17745891,LALOR,3075,470.0,2042.0,"Wednesday, 20 August 2025",2025-09-03,6,3,1,2.0,House,241 Dalton Road,-37.66953,145.03128,2025-09-09 16:31:11,17745891,,8,0,0,False,House,House,Harcourts Rata & Co,30123,Andrew Muscat,"Internal Laundry, Secure Parking, Bath, Heating, Air conditioning, Close to transport, Close to shops, Close to schools, Openable Windows, Cooling",https://www.domain.com.au/241-dalton-road-lalor-vic-3075-17745891
17746425,LALOR,3075,480.0,2085.0,"Tuesday, 23 September 2025",2025-09-04,5,2,1,1.0,Apartment / Unit / Flat,1/189 Darebin Drive,-37.667973,145.03528,2025-09-09 16:31:11,17746425,,8,0,0,False,Apartment,Apartment / Unit / Flat,Exchanged Real Estate,29940,"Kaye McClintock, Glenn Halliday",Secure Parking,https://www.domain.com.au/1-189-darebin-drive-lalor-vic-3075-17746425
17746815,LALOR,3075,575.0,2499.0,"Thursday, 04 September 2025",2025-09-04,5,3,1,2.0,House,122 Cyprus Street,-37.67472,145.0288,2025-09-09 16:31:11,17746815,,4,0,1,False,House,House,Ray White Wollert,38147,Bassam Mansour,"Heating, Shed",https://www.domain.com.au/122-cyprus-street-lalor-vic-3075-17746815
17747029,LALOR,3075,720.0,3128.0,"Tuesday, 02 September 2025",2025-09-04,5,5,1,4.0,House,29 Burton Street,-37.666958,145.02821,2025-09-09 16:31:11,17747029,,11,0,2,False,House,House,Harcourts Rata & Co,30123,"Travis Whelan, Vanessa Vescio","Secure Parking, Heating, Close to transport, Close to shops, Close to schools, Openable Windows, Split System Cooling, Dishwasher",https://www.domain.com.au/29-burton-street-lalor-vic-3075-17747029
17747914,LALOR,3075,425.0,1847.0,"Monday, 15 September 2025",2025-09-04,5,2,1,,Apartment / Unit / Flat,3/38 Burton Street,-37.666435,145.02995,2025-09-09 16:31:11,17747914,,5,0,0,False,Apartment,Apartment / Unit / Flat,Nelson Alexander Reservoir,30296,"Eleni Kalogeropoulos, Leo Maugeri","Secure Parking, Heating",https://www.domain.com.au/3-38-burton-street-lalor-vic-3075-17747914
17748151,LALOR,3075,500.0,2173.0,"Friday, 05 September 2025",2025-09-04,4,3,2,2.0,Apartment / Unit / Flat,28/68-92 Mckimmies Road,-37.67544,145.04257,2025-09-09 16:31:11,17748151,,10,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Epping,17119,"Hala Nassar, Bethany Dontsios","Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ensuite",https://www.domain.com.au/28-68-92-mckimmies-road-lalor-vic-3075-17748151
17752830,LALOR,3075,595.0,2585.0,"Tuesday, 16 September 2025",2025-09-09,0,3,2,2.0,House,4 Hammersley Court,-37.665394,145.00021,2025-09-09 16:31:11,17752830,,13,0,0,False,House,House,Ray White Mill Park,12621,"Emmanuela Kanavos, Mill Park Office",Secure Parking,https://www.domain.com.au/4-hammersley-court-lalor-vic-3075-17752830
17753681,LALOR,3075,450.0,1955.0,"Wednesday, 01 October 2025",2025-09-09,0,2,1,1.0,Apartment / Unit / Flat,3/143 Gardenia Road,-37.66858,145.00587,2025-09-09 16:31:11,17753681,,7,0,0,False,Apartment,Apartment / Unit / Flat, Love & Co  ,7123,Joe Gorkies,"Heating, Built in wardrobes, Split System",https://www.domain.com.au/3-143-gardenia-road-lalor-vic-3075-17753681
11992368,LALOR,3075,550.0,2390.0,"Tuesday, 02 September 2025",2025-08-25,14,3,2,2.0,House,8 Vasey Avenue,-37.67101,145.02315,2025-09-09 16:31:17,11992368,GT-3671-EJ,4,0,0,False,House,House,Love & Co Thomastown,7125,John Quinonero,"Gas, Shed",https://www.domain.com.au/8-vasey-avenue-lalor-vic-3075-11992368
12854853,LALOR,3075,650.0,2831.0,"Sunday, 05 October 2025",2025-08-22,18,4,2,2.0,House,13 Zaika Close,-37.664513,144.99802,2025-09-09 16:31:17,12854853,GV-2226-ZZ,12,0,0,False,House,House,Love & Co Thomastown,7125,Sam Dirani,"Secure Parking, Heating",https://www.domain.com.au/13-zaika-close-lalor-vic-3075-12854853
13860314,LALOR,3075,,2064.0,,2019-12-31,2079,3,2,3.0,House,65 Burton St,-37.667206,145.03148,2025-09-09 16:31:17,13860314,VU-6686-PH,8,0,0,False,House,House,Melbourne Real Estate Agent,27347,Dora,"Air conditioning, Floorboards, Built in wardrobes, Furnished, Internal Laundry, Gas, Bath, Separate Dining Room, Heating, Dishwasher, Study, Fully fenced, Garden / Courtyard, Ground floor, North Facing, Energy efficient appliances, Wall / ceiling insulation",https://www.domain.com.au/65-burton-st-lalor-vic-3075-13860314
14446834,LALOR,3075,495.0,2151.0,"Monday, 14 July 2025",2025-07-10,60,3,1,3.0,House,28 Ethel Avenue,-37.667164,145.02466,2025-09-09 16:31:17,14446834,RP-6557-OV,9,0,0,False,House,House,Love & Co Thomastown,7125,John Quinonero,"Secure Parking, Bath, Heating",https://www.domain.com.au/28-ethel-avenue-lalor-vic-3075-14446834
16072126,LALOR,3075,450.0,,"Wednesday, 06 August 2025",2025-07-25,46,3,1,1.0,House,18 Cambala Avenue,-37.66971,144.99704,2025-09-09 16:31:17,16072126,ZF-7163-YU,9,0,0,False,House,House,Love & Co Thomastown,7125,Sam Dirani,"Air conditioning, Built in wardrobes, Secure Parking, Heating, Balcony / Deck",https://www.domain.com.au/18-cambala-avenue-lalor-vic-3075-16072126
17120303,LALOR,3075,510.0,2216.0,"Thursday, 18 July 2024",2024-07-18,417,3,1,2.0,House,19 Partridge Street,-37.663277,145.02019,2025-09-09 16:31:17,17120303,OE-4856-FX,1,0,0,False,House,House,Goldbank Real Estate - Pakenham,31480,"Satnam Pabla, Mona Kaur, Husena Bastawala","Air conditioning, Gas, Secure Parking, Heating",https://www.domain.com.au/19-partridge-street-lalor-vic-3075-17120303
17646574,LALOR,3075,470.0,2043.0,"Saturday, 09 August 2025",2025-07-01,70,2,1,1.0,House,25 Ash Street,-37.674324,145.02689,2025-09-09 16:31:17,17646574,,11,0,0,False,House,House,Ristic Real Estate,17959,"Jacinta Scott, Bella Torres","Built in wardrobes, Gas, Internal Laundry, Bath, Heating",https://www.domain.com.au/25-ash-street-lalor-vic-3075-17646574
17666580,LALOR,3075,520.0,2260.0,"Monday, 21 July 2025",2025-07-14,57,3,1,2.0,House,55 French Street,-37.670494,145.01993,2025-09-09 16:31:17,17666580,,6,0,0,False,House,House,Ray White Thomastown,27311,Julian Cannavo,"Heating, Air conditioning, Floorboards, Built in wardrobes, Secure Parking",https://www.domain.com.au/55-french-street-lalor-vic-3075-17666580
17682489,LALOR,3075,530.0,2303.0,"Monday, 09 May 2022",2025-07-23,48,3,2,1.0,House,13 Treska Link,-37.66519,144.98398,2025-09-09 16:31:17,17682489,,8,0,0,False,House,House,Leased and Sold Estate Agents,36316,Emily Buccella,"Secure Parking, Built in wardrobes, Dishwasher, Bathtub, Ducted Heating, Air conditioning",https://www.domain.com.au/13-treska-link-lalor-vic-3075-17682489
17693093,LALOR,3075,500.0,2173.0,"Monday, 18 August 2025",2025-07-30,41,3,1,2.0,House,313 Edgars Road,-37.666985,145.00398,2025-09-09 16:31:17,17693093,,13,0,0,False,House,House,Harcourts Rata & Co,30123,Sachi Samarasekera,"Built in wardrobes, Close to transport, Close to shops, Carpeted, Openable Windows",https://www.domain.com.au/313-edgars-road-lalor-vic-3075-17693093
17696488,LALOR,3075,520.0,2260.0,"Monday, 25 August 2025",2025-08-01,39,3,2,1.0,House,3/126 Moffat Drive,-37.66279,144.98729,2025-09-09 16:31:17,17696488,,8,0,0,False,House,House,Nelson Alexander Reservoir,30296,"Ashlyn Halford, Evie Milides","Internal Laundry, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/3-126-moffat-drive-lalor-vic-3075-17696488
17704831,LALOR,3075,550.0,2390.0,"Monday, 01 September 2025",2025-08-07,33,3,1,4.0,House,1 Buller Parade,-37.666245,145.00209,2025-09-09 16:31:17,17704831,,8,0,2,False,House,House,Harcourts Rata & Co,30123,Jennifer Wilson,"Gas, Heating, Air conditioning, Built in wardrobes, Close to transport, Close to shops, Close to schools, Car Parking - Surface, Openable Windows",https://www.domain.com.au/1-buller-parade-lalor-vic-3075-17704831
17727141,LALOR,3075,530.0,2303.0,"Monday, 22 September 2025",2025-08-22,18,3,1,1.0,House,80 French Street,-37.669716,145.02055,2025-09-09 16:31:17,17727141,,12,0,1,False,House,House,Harcourts Rata & Co,30123,Vanessa Vescio,"Gas, Heating, Fully fenced, Built in wardrobes, Close to transport, Close to shops, Close to schools, Openable Windows, Split System Cooling",https://www.domain.com.au/80-french-street-lalor-vic-3075-17727141
17728441,LALOR,3075,620.0,2694.0,"Friday, 22 August 2025",2025-08-22,18,3,2,2.0,Townhouse,3/15 Linoak Avenue,-37.664215,145.01234,2025-09-09 16:31:17,17728441,,10,0,0,False,Townhouse/Villa,Townhouse,Harcourts Rata & Co,30123,"George Stavrakis, Vanessa Vescio","Internal Laundry, Secure Parking, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ensuite, Openable Windows, Cooling, Split System Cooling",https://www.domain.com.au/3-15-linoak-avenue-lalor-vic-3075-17728441
