listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17294682,LANGWARRIN,3910,570,2477,"Monday, 13 October 2025",2025-09-08,1,3,2,2,House,15 Larch Street,-38.150635,145.17921,2025-09-09 16:41:51,17294682,LT-8025-QQ,9,0,0,False,House,House,Agents'Agency Network Partners,11919,Zebra Property Management,"Air conditioning, Built in wardrobes, Secure Parking, Heating",https://www.domain.com.au/15-larch-street-langwarrin-vic-3910-17294682
17478095,LANGWARRIN,3910,600,2600,"Monday, 08 September 2025",2025-09-08,1,3,2,4,House,329 Cranbourne-Frankston Road,-38.145134,145.20294,2025-09-09 16:41:51,17478095,PF-5039-ZS,10,0,0,False,House,House,Pioneer Real Estate ,19062,Dilan Niroshan,"Gas, Shed, Solar panels, Balcony / Deck, Ensuite",https://www.domain.com.au/329-cranbourne-frankston-road-langwarrin-vic-3910-17478095
17724057,LANGWARRIN,3910,630,2738,"Wednesday, 27 August 2025",2025-08-20,20,3,1,3,House,6 Veronica Street,-38.154102,145.18167,2025-09-09 16:41:51,17724057,,7,0,0,False,House,House,OBrien Real Estate Frankston,8547,"Matthew Challenger, Ava Limpens","Pets Allowed, Shed, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/6-veronica-street-langwarrin-vic-3910-17724057
17731352,LANGWARRIN,3910,480,2086,"Friday, 19 September 2025",2025-08-26,14,2,1,1,Apartment / Unit / Flat,5/17 Warrandyte Road,-38.15461,145.19,2025-09-09 16:41:51,17731352,,6,0,0,False,Apartment,Apartment / Unit / Flat,Fosterfroling Real Estate,5805,Leasing Team,"Secure Parking, Heating, Dishwasher",https://www.domain.com.au/5-17-warrandyte-road-langwarrin-vic-3910-17731352
17732384,LANGWARRIN,3910,630,2738,"Friday, 22 August 2025",2025-08-26,14,4,2,4,House,4 Raymond Avenue,-38.149387,145.18518,2025-09-09 16:41:51,17732384,,8,0,0,False,House,House,Ray White Frankston,17898,"Charlotte Vercoe, Hayley Weston","Ensuite, Floorboards, Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher, Garden / Courtyard",https://www.domain.com.au/4-raymond-avenue-langwarrin-vic-3910-17732384
17742231,LANGWARRIN,3910,570,2477,"Friday, 03 October 2025",2025-09-02,7,3,1,4,House,52 Warrandyte Road,-38.157093,145.1905,2025-09-09 16:41:51,17742231,,12,0,0,False,House,House,OBrien Real Estate Langwarrin,28533,Bahire Suleyman,,https://www.domain.com.au/52-warrandyte-road-langwarrin-vic-3910-17742231
17742249,LANGWARRIN,3910,740,3215,"Friday, 12 September 2025",2025-09-02,7,4,2,2,House,4 Tarwin Court,-38.137173,145.20049,2025-09-09 16:41:51,17742249,,21,0,0,False,House,House,Area Specialist Keysborough,31225,Property Management,"Air conditioning, Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/4-tarwin-court-langwarrin-vic-3910-17742249
17745375,LANGWARRIN,3910,525,2281,"Tuesday, 23 September 2025",2025-09-03,6,3,1,2,Apartment / Unit / Flat,5/160 North Road,-38.165886,145.18636,2025-09-09 16:41:51,17745375,,6,0,0,False,Apartment,Apartment / Unit / Flat,Harcourts Asap Group,29204,Reception Asap,"Air conditioning, Dishwasher",https://www.domain.com.au/5-160-north-road-langwarrin-vic-3910-17745375
17745516,LANGWARRIN,3910,625,2716,"Friday, 12 September 2025",2025-09-03,6,3,2,2,House,9 Maple Street,-38.149487,145.1778,2025-09-09 16:41:51,17745516,,7,0,1,False,House,House,Ash Marton Realty,19254,"Portia Pym, Kevin Ljungberg","Gas, Fireplace(s), Heating, Dishwasher",https://www.domain.com.au/9-maple-street-langwarrin-vic-3910-17745516
17749496,LANGWARRIN,3910,750,3259,"Thursday, 25 September 2025",2025-09-05,4,4,2,3,House,27 Bayport Drive,-38.162292,145.19278,2025-09-09 16:41:51,17749496,,14,0,1,False,House,House,Ray White Frankston,17898,"Charlotte Vercoe, Robert Carter","Secure Parking, Broadband internet access, Heating, Dishwasher, Study",https://www.domain.com.au/27-bayport-drive-langwarrin-vic-3910-17749496
17750742,LANGWARRIN,3910,520,2260,"Friday, 19 September 2025",2025-09-08,1,2,1,1,Apartment / Unit / Flat,11/10 Lemnian Court,-38.164932,145.19237,2025-09-09 16:41:51,17750742,,14,0,0,False,Apartment,Apartment / Unit / Flat,OBrien Real Estate Langwarrin,28533,"Bahire Suleyman, Ashleigh O'Brien",,https://www.domain.com.au/11-10-lemnian-court-langwarrin-vic-3910-17750742
