listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15892827,LARA,3212,500.0,2172.0,"Monday, 15 September 2025",2025-08-28,12,3.0,2.0,1.0,House,18 Bella Julia Place,-38.033894,144.40079,2025-09-09 16:44:04,15892827,QG-7335-UT,13,1,0,False,House,House,Ray White Lara,16363,Nicole Acciarito,"Heating, Air conditioning, Built in wardrobes, Secure Parking",https://www.domain.com.au/18-bella-julia-place-lara-vic-3212-15892827
17694371,LARA,3212,850.0,3693.0,"Thursday, 21 August 2025",2025-07-31,40,4.0,2.0,2.0,Acreage / Semi-Rural,25 Kiddle Drive,-38.018196,144.43735,2025-09-09 16:44:04,17694371,,19,0,0,False,Any,Acreage / Semi-Rural,Lara Real Estate,36528,Rental Department,"Fully fenced, Outdoor Entertainment Area, Remote Garage, Secure Parking, Shed, Built in wardrobes, Dishwasher, Rumpus Room, Workshop, Air conditioning, Open Fireplace, Split-System Air Conditioning, Split-System Heating, Water Tank",https://www.domain.com.au/25-kiddle-drive-lara-vic-3212-17694371
17716938,LARA,3212,595.0,2586.0,"Friday, 22 August 2025",2025-08-15,25,4.0,2.0,2.0,House,111 Wattlebird Drive,-38.010044,144.37129,2025-09-09 16:44:04,17716938,,7,0,0,False,House,House,Ray White Lara,16363,"Lachlan McCraw, Nicole Acciarito",Built in wardrobes,https://www.domain.com.au/111-wattlebird-drive-lara-vic-3212-17716938
17734306,LARA,3212,560.0,2433.0,"Friday, 26 September 2025",2025-08-27,13,3.0,2.0,2.0,House,1 Beverley Crescent,-38.02251,144.40051,2025-09-09 16:44:04,17734306,,9,0,0,False,House,House,Debonair Property Management,26232,Skye Bartlett,"Gas, Bath, Heating, Study, Air conditioning, Built in wardrobes, Dishwasher, Floorboards",https://www.domain.com.au/1-beverley-crescent-lara-vic-3212-17734306
17735906,LARA,3212,430.0,1868.0,"Monday, 06 October 2025",2025-08-28,12,3.0,1.0,1.0,House,26 Lake Road,-38.030178,144.39662,2025-09-09 16:44:04,17735906,,16,0,1,False,House,House,Ray White Lara,16363,Katherine Owen,"Gas, Internal Laundry, Dishwasher, Shed, Air conditioning, Built in wardrobes, Secure Parking",https://www.domain.com.au/26-lake-road-lara-vic-3212-17735906
17741726,LARA,3212,570.0,2476.0,"Monday, 06 October 2025",2025-09-01,8,3.0,2.0,2.0,House,2/14 Boydell Court,-38.018185,144.39069,2025-09-09 16:44:04,17741726,,16,0,0,False,House,House,Buxton Geelong North Pty Ltd,31040,"Meghan Kattwinkel, Sophie Kennedy-Rush","Gas, Built in wardrobes, Garden / Courtyard, Dishwasher, Ducted Cooling, Ducted Heating, Floorboards, Fully fenced, Remote Garage, Secure Parking, Ensuite",https://www.domain.com.au/2-14-boydell-court-lara-vic-3212-17741726
17743958,LARA,3212,670.0,2903.0,"Tuesday, 14 October 2025",2025-09-02,7,4.0,2.0,2.0,House,8 Brisbane Street,-38.016945,144.37785,2025-09-09 16:44:04,17743958,,12,1,1,False,House,House,Ray White Lara,16363,"Lachlan McCraw, Nicole Acciarito","Internal Laundry, Secure Parking, Balcony / Deck, Floorboards, Built in wardrobes, Heating, Dishwasher",https://www.domain.com.au/8-brisbane-street-lara-vic-3212-17743958
17743981,LARA,3212,600.0,2600.0,"Thursday, 04 September 2025",2025-09-02,7,4.0,2.0,2.0,House,9 Rubena Crescent,-38.027424,144.39735,2025-09-09 16:44:04,17743981,,17,1,1,False,House,House,Ray White Lara,16363,"Lachlan McCraw, Pamela Carter","Study, Air conditioning, Alarm System, Built in wardrobes, Separate Dining Room, Secure Parking",https://www.domain.com.au/9-rubena-crescent-lara-vic-3212-17743981
17744532,LARA,3212,460.0,1999.0,"Monday, 07 July 2025",2025-09-03,6,3.0,1.0,1.0,House,1/16 Plover Street,-38.03609,144.41469,2025-09-09 16:44:04,17744532,,10,0,0,False,House,House,Ray White Lara,16363,Pamela Carter,"Heating, Air conditioning, Built in wardrobes, Dishwasher, Secure Parking",https://www.domain.com.au/1-16-plover-street-lara-vic-3212-17744532
17745570,LARA,3212,450.0,,"Monday, 06 October 2025",2025-09-03,6,3.0,2.0,,Apartment / Unit / Flat,2/50 Patullos Road,-38.022846,144.39229,2025-09-09 16:44:04,17745570,,6,0,0,False,Apartment,Apartment / Unit / Flat,Buxton Newtown,14503,"Mia Griffiths, Newtown Leasing","Secure Parking, Dishwasher",https://www.domain.com.au/2-50-patullos-road-lara-vic-3212-17745570
17746513,LARA,3212,580.0,2520.0,"Thursday, 06 November 2025",2025-09-04,5,3.0,2.0,2.0,House,52 Benetti Drive,-38.03185,144.40335,2025-09-09 16:44:04,17746513,,18,0,0,False,House,House,Lara Real Estate,36528,Rental Department,"Balcony, Deck, Fully fenced, Outdoor Entertainment Area, Remote Garage, Secure Parking, Built in wardrobes, Dishwasher, Rumpus Room, Study, Air conditioning, Ducted Heating",https://www.domain.com.au/52-benetti-drive-lara-vic-3212-17746513
17746626,LARA,3212,480.0,2080.0,"Tuesday, 23 September 2025",2025-09-04,5,4.0,1.0,2.0,House,42 Patullos Road,-38.02284,144.39317,2025-09-09 16:44:04,17746626,,10,0,0,False,House,House,Lara Branch Realty,32808,"Adrian McEvoy, Karen Branch","Secure Parking, Heating",https://www.domain.com.au/42-patullos-road-lara-vic-3212-17746626
17748162,LARA,3212,600.0,2607.0,"Friday, 12 September 2025",2025-09-04,4,4.0,2.0,3.0,House,44 Ponds Drive,-38.018154,144.39827,2025-09-09 16:44:04,17748162,,7,0,0,False,House,House,McGrath Geelong | Newtown,5797,Rajesh Chaubay,"Internal Laundry, Fireplace(s), Dishwasher, Balcony / Deck, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ensuite, Car Parking - Surface, Carpeted",https://www.domain.com.au/44-ponds-drive-lara-vic-3212-17748162
17748245,LARA,3212,630.0,2738.0,"Saturday, 06 September 2025",2025-09-04,4,4.0,2.0,2.0,House,15 Brisbane Street,-38.016438,144.37744,2025-09-09 16:44:04,17748245,,17,0,0,False,House,House,OSKO Real Estate Agency,37723,Osko Rentals,"Air conditioning, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ensuite, Dishwasher",https://www.domain.com.au/15-brisbane-street-lara-vic-3212-17748245
