listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
12144253,LAVERTON,3028,525.0,2282,"Monday, 15 September 2025",2025-08-19,20,3,2,2.0,Apartment / Unit / Flat,5/1-3 Bellin Street,-37.852184,144.77692,2025-09-09 16:54:20,12144253,,8,0,0,False,Apartment,Apartment / Unit / Flat,LITTLE Real Estate Victoria,24974,"Jason King, Paula Bellomo","Car Accom: Tandem Garage, Heating: Reverse Cycle Air Conditioning, Cooling: Reverse Cycle Air Conditioning, Cooking: Gas Hotplates and Electric Oven",https://www.domain.com.au/5-1-3-bellin-street-laverton-vic-3028-12144253
15086825,LAVERTON,3028,500.0,2173,"Friday, 05 September 2025",2025-08-05,35,3,1,1.0,House,2/3 Evans Crescent,-37.85552,144.7748,2025-09-09 16:54:20,15086825,AX-9095-BC,8,1,0,False,House,House,Stockdale & Leggo Laverton / Altona / Point Cook,27481,SUNNY KUMAR,"Internal Laundry, Heating, Dishwasher, Air conditioning, Floorboards, Built in wardrobes, Secure Parking",https://www.domain.com.au/2-3-evans-crescent-laverton-vic-3028-15086825
15217092,LAVERTON,3028,410.0,1782,"Wednesday, 03 September 2025",2025-08-06,34,3,1,1.0,House,23 Williams Road,-37.860767,144.77618,2025-09-09 16:54:20,15217092,DJ-8943-IO,7,0,0,False,House,House,Xynergy Realty Altona,31396,Deny Liong,"Built in wardrobes, Heating, Shed",https://www.domain.com.au/23-williams-road-laverton-vic-3028-15217092
15663021,LAVERTON,3028,550.0,2390,"Wednesday, 24 September 2025",2025-08-27,13,3,2,2.0,House,4/64 Bladin Street,-37.85321,144.77533,2025-09-09 16:54:20,15663021,UH-8873-BJ,14,0,0,False,House,House,ACE Real Estate,19089,"Alphie Jacob, Chloe Baira","Secure Parking, Dishwasher, Balcony / Deck",https://www.domain.com.au/4-64-bladin-street-laverton-vic-3028-15663021
15770919,LAVERTON,3028,400.0,1738,"Monday, 01 September 2025",2025-09-01,8,2,1,2.0,House,34 Charlesworth Street,-37.85934,144.77322,2025-09-09 16:54:20,15770919,EO-7407-VA,7,0,0,False,House,House,ACE Real Estate,19089,"Riya Sharma, Ajitesh Arora",Shed,https://www.domain.com.au/34-charlesworth-street-laverton-vic-3028-15770919
15866333,LAVERTON,3028,540.0,2346,"Friday, 12 September 2025",2025-08-19,21,3,2,2.0,House,1/14-16 Cole Street,-37.852764,144.77168,2025-09-09 16:54:20,15866333,,11,0,0,False,House,House,Stockdale & Leggo Laverton / Altona / Point Cook,27481,SUNNY KUMAR,"Internal Laundry, Secure Parking, Heating, Shed, Ensuite",https://www.domain.com.au/1-14-16-cole-street-laverton-vic-3028-15866333
15973970,LAVERTON,3028,380.0,1651,"Tuesday, 10 June 2025",2025-06-06,95,3,1,2.0,House,42 Whittaker Avenue,-37.85264,144.77496,2025-09-09 16:54:20,15973970,NT-5092-TF,8,0,0,False,House,House,Stockdale & Leggo Laverton / Altona / Point Cook,27481,SUNNY KUMAR,"Internal Laundry, Heating",https://www.domain.com.au/42-whittaker-avenue-laverton-vic-3028-15973970
15994669,LAVERTON,3028,420.0,1825,"Thursday, 28 August 2025",2025-08-06,34,3,1,1.0,House,17 Goble Street,-37.863075,144.76883,2025-09-09 16:54:20,15994669,IJ-8852-ZB,10,0,0,False,House,House,ACE Real Estate,19089,"Riya Sharma, Ajitesh Arora",Internal Laundry,https://www.domain.com.au/17-goble-street-laverton-vic-3028-15994669
16571883,LAVERTON,3028,430.0,1868,"Friday, 05 September 2025",2025-08-04,36,3,1,2.0,House,51 Bladin Street,-37.852745,144.776,2025-09-09 16:54:20,16571883,CA-4094-SR,10,0,1,False,House,House,Stockdale & Leggo Laverton / Altona / Point Cook,27481,SUNNY KUMAR,"Gas, Internal Laundry, Shed, Air conditioning, Built in wardrobes",https://www.domain.com.au/51-bladin-street-laverton-vic-3028-16571883
16826311,LAVERTON,3028,700.0,3042,"Saturday, 28 June 2025",2025-06-25,76,4,3,2.0,House,28 Armstrong Street,-37.860226,144.77148,2025-09-09 16:54:20,16826311,RT-1687-ZE,11,0,1,False,House,House,Stockdale & Leggo Laverton / Altona / Point Cook,27481,SUNNY KUMAR,Bath,https://www.domain.com.au/28-armstrong-street-laverton-vic-3028-16826311
16833765,LAVERTON,3028,500.0,2166,"Thursday, 16 October 2025",2025-08-29,10,2,1,1.0,Apartment / Unit / Flat,8/15 Thomas Street,-37.860184,144.77156,2025-09-09 16:54:20,16833765,ZZ-9203-PJ,11,1,0,False,Apartment,Apartment / Unit / Flat,Compton Green Geelong,21762,Vicky Smith,"Gas, Air conditioning, Built in wardrobes, Internal Laundry, Heating, Dishwasher, Shed, Garden / Courtyard, Ground floor, Energy efficient appliances, Rainwater storage tank",https://www.domain.com.au/8-15-thomas-street-laverton-vic-3028-16833765
17154297,LAVERTON,3028,620.0,2694,"Monday, 01 September 2025",2025-08-26,14,3,2,1.0,House,41 Robertson Crescent,-37.84818,144.77931,2025-09-09 16:54:20,17154297,IH-8960-QP,18,0,0,False,House,House,Stockdale & Leggo Laverton / Altona / Point Cook,27481,SUNNY KUMAR,"Secure Parking, Heating",https://www.domain.com.au/41-robertson-crescent-laverton-vic-3028-17154297
17466829,LAVERTON,3028,510.0,2216,"Friday, 19 September 2025",2025-08-07,33,2,2,1.0,House,2/32 Wright Street,-37.86124,144.77174,2025-09-09 16:54:20,17466829,QJ-7974-YP,13,0,0,False,House,House,Stockdale & Leggo Laverton / Altona / Point Cook,27481,SUNNY KUMAR,"Secure Parking, Bath, Heating",https://www.domain.com.au/2-32-wright-street-laverton-vic-3028-17466829
17655994,LAVERTON,3028,520.0,2260,"Tuesday, 29 July 2025",2025-07-07,64,3,1,1.0,House,1A Wright Street,-37.86,144.77412,2025-09-09 16:54:20,17655994,,10,0,0,False,House,House,Stockdale & Leggo Laverton / Altona / Point Cook,27481,SUNNY KUMAR,"Built in wardrobes, Balcony / Deck",https://www.domain.com.au/1a-wright-street-laverton-vic-3028-17655994
17700975,LAVERTON,3028,510.0,2216,"Friday, 05 September 2025",2025-08-05,35,2,2,,House,46A Cole Street,-37.854122,144.77419,2025-09-09 16:54:20,17700975,,11,0,0,False,House,House,Stockdale & Leggo Laverton / Altona / Point Cook,27481,SUNNY KUMAR,"Built in wardrobes, Secure Parking, Heating",https://www.domain.com.au/46a-cole-street-laverton-vic-3028-17700975
17735473,LAVERTON,3028,400.0,1738,"Wednesday, 27 August 2025",2025-08-27,12,3,1,1.0,House,5 Wright Street,-37.860493,144.77412,2025-09-09 16:54:20,17735473,,12,0,0,False,House,House,ACE Real Estate,19089,"Riya Sharma, Ajitesh Arora","Built in wardrobes, Internal Laundry",https://www.domain.com.au/5-wright-street-laverton-vic-3028-17735473
17735506,LAVERTON,3028,650.0,2824,"Saturday, 30 August 2025",2025-08-27,12,4,3,2.0,House,1A Eaton Parade,-37.85317,144.77051,2025-09-09 16:54:20,17735506,,18,0,0,False,House,House,Mancini Real Estate ,11724,Verity Sattout,"Secure Parking, Bath, Heating, Shed",https://www.domain.com.au/1a-eaton-parade-laverton-vic-3028-17735506
17743677,LAVERTON,3028,450.0,1955,"Tuesday, 02 September 2025",2025-09-02,7,4,2,2.0,House,4 Butcher Crescent,-37.851135,144.7723,2025-09-09 16:54:20,17743677,,22,0,1,False,House,House,Stockdale & Leggo Laverton / Altona / Point Cook,27481,SUNNY KUMAR,"Heating, Air conditioning, Built in wardrobes, Secure Parking",https://www.domain.com.au/4-butcher-crescent-laverton-vic-3028-17743677
17744367,LAVERTON,3028,620.0,2694,"Tuesday, 02 September 2025",2025-09-03,6,3,2,2.0,Townhouse,1/42 Cropley Crescent,-37.847694,144.77776,2025-09-09 16:54:20,17744367,,19,0,1,False,Townhouse/Villa,Townhouse,Stockdale & Leggo Laverton / Altona / Point Cook,27481,SUNNY KUMAR,"Air conditioning, Built in wardrobes, Secure Parking",https://www.domain.com.au/1-42-cropley-crescent-laverton-vic-3028-17744367
17750964,LAVERTON,3028,460.0,1999,"Friday, 26 September 2025",2025-09-08,1,3,1,2.0,House,22 Evans Crescent,-37.856373,144.77562,2025-09-09 16:54:20,17750964,,10,0,0,False,House,House,Ray White Point Cook,29063,"Palak Grover, Makayla Hurinui","Air conditioning, Built in wardrobes, Internal Laundry, Heating, Dishwasher, Shed, Balcony / Deck",https://www.domain.com.au/22-evans-crescent-laverton-vic-3028-17750964
14914381,LAVERTON,3028,420.0,1825,"Friday, 23 May 2025",2025-05-23,109,3,1,1.0,House,5 Studley Court,-37.86368,144.76784,2025-09-09 16:54:25,14914381,CA-4030-VL,14,1,0,True,House,House,Xynergy Realty Altona,31396,Verrel Bramasta,,https://www.domain.com.au/5-studley-court-laverton-vic-3028-14914381
15985282,LAVERTON,3028,440.0,1912,"Friday, 06 June 2025",2025-04-16,146,4,1,2.0,House,32 Thomas Street,-37.861572,144.77069,2025-09-09 16:54:25,15985282,XB-1162-UV,17,0,0,False,House,House,Stockdale & Leggo Laverton / Altona / Point Cook,27481,SUNNY KUMAR,Internal Laundry,https://www.domain.com.au/32-thomas-street-laverton-vic-3028-15985282
16911807,LAVERTON,3028,,2043,,2024-03-06,552,3,1,1.0,House,2/3 Charlesworth Street,-37.860035,144.77576,2025-09-09 16:54:25,16911807,FW-4508-IP,13,0,0,False,House,House,ACE Real Estate,19089,"Sunny Singh, Riya Sharma","Built in wardrobes, Internal Laundry, Secure Parking, Dishwasher",https://www.domain.com.au/2-3-charlesworth-street-laverton-vic-3028-16911807
17053994,LAVERTON,3028,480.0,2086,"Tuesday, 15 July 2025",2025-06-13,88,3,1,2.0,House,46 Tyquin Street,-37.850613,144.77905,2025-09-09 16:54:25,17053994,EZ-8863-LX,20,0,0,False,House,House,Stockdale & Leggo Laverton / Altona / Point Cook,27481,SUNNY KUMAR,"Built in wardrobes, Secure Parking",https://www.domain.com.au/46-tyquin-street-laverton-vic-3028-17053994
17277807,LAVERTON,3028,,1500,,2024-10-30,314,2,1,2.0,Villa,27 Grace St,-37.8662,144.77315,2025-09-09 16:54:25,17277807,KX-5309-KS,13,0,1,False,Townhouse/Villa,Villa,RentBetter,27499,,"Air conditioning, Built in wardrobes, Dishwasher, Fully fenced, Furnished, Garden / Courtyard, Heating",https://www.domain.com.au/27-grace-st-laverton-vic-3028-17277807
