listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
11403132,LEOPOLD,3224,520,2259.0,"Thursday, 30 October 2025",2025-09-05,4,4,2,2,House,77 Village Green,-38.20284,144.46075,2025-09-09 16:25:00,11403132,,22,0,0,False,House,House,Pivotal Property Management,22838,Sharon  Childs,"Air conditioning, Ensuite, Built in wardrobes, Internal Laundry, Gas, Bath, Heating, Dishwasher, Secure Parking, Balcony / Deck",https://www.domain.com.au/77-village-green-leopold-vic-3224-11403132
14688730,LEOPOLD,3224,520,2259.0,"Thursday, 30 October 2025",2025-09-06,3,4,2,3,House,77 Village Green Drive,-38.20284,144.46075,2025-09-09 16:25:00,14688730,MH-9116-LC,22,0,0,False,House,House,Seascape RE,22931,The Manager,"Air conditioning, Built in wardrobes, Balcony / Deck, Dishwasher, Heating, Floorboards, Remote Garage",https://www.domain.com.au/77-village-green-drive-leopold-vic-3224-14688730
17555945,LEOPOLD,3224,850,7387.0,"Sunday, 04 May 2025",2025-05-04,128,3,1,2,Farm,161-169 Bawtree Rd,-38.19302,144.49207,2025-09-09 16:25:00,17555945,RM-6876-OP,11,0,1,False,Any,Farm,Weare Partners Property Group Pty Ltd,34290,Sophia Wu,"Fireplace(s), Dishwasher, Gas, Shed, Secure Parking, Fully fenced, Garden / Courtyard",https://www.domain.com.au/161-169-bawtree-rd-leopold-vic-3224-17555945
17687227,LEOPOLD,3224,485,2107.0,"Friday, 05 September 2025",2025-07-28,43,3,1,2,House,26 Cresta St,-38.190395,144.46602,2025-09-09 16:25:00,17687227,,6,0,0,False,House,House,Bellarine Property Pty Ltd,11673,Carmela Barbaro,,https://www.domain.com.au/26-cresta-st-leopold-vic-3224-17687227
17713830,LEOPOLD,3224,420,,"Monday, 18 August 2025",2025-08-13,27,2,1,1,Apartment / Unit / Flat,2/25 Vicarage Road,-38.18584,144.462,2025-09-09 16:25:00,17713830,,6,0,0,False,Apartment,Apartment / Unit / Flat,Harcourts North Geelong,26155,"Marie Harvey, Harcourts Leasing","Secure Parking, Heating",https://www.domain.com.au/2-25-vicarage-road-leopold-vic-3224-17713830
17714096,LEOPOLD,3224,510,,"Saturday, 23 August 2025",2025-08-13,27,3,2,2,House,8 Wickham Court,-38.185886,144.46608,2025-09-09 16:25:00,17714096,,7,0,0,False,House,House,Harcourts North Geelong,26155,"Marie Harvey, Harcourts Leasing","Air conditioning, Built in wardrobes, Study",https://www.domain.com.au/8-wickham-court-leopold-vic-3224-17714096
17733797,LEOPOLD,3224,550,2200.0,"Wednesday, 27 August 2025",2025-08-27,13,3,2,2,House,32 Carroll Street,-38.19234,144.47238,2025-09-09 16:25:00,17733797,,8,0,0,False,House,House,Maxwell Collins Real Estate,12185,William Doyle,"Fireplace(s), Heating, Built in wardrobes, Close to shops, Close to schools, Ensuite",https://www.domain.com.au/32-carroll-street-leopold-vic-3224-17733797
17736210,LEOPOLD,3224,500,2172.0,"Monday, 15 September 2025",2025-08-28,12,3,2,2,House,36 Vicarage Road,-38.18512,144.46222,2025-09-09 16:25:00,17736210,,9,0,0,False,House,House,Buxton Leopold Pty Ltd,31874,"Joshua Loveday, Sophie Kennedy-Rush","Air conditioning, Secure Parking, Heating",https://www.domain.com.au/36-vicarage-road-leopold-vic-3224-17736210
17736233,LEOPOLD,3224,510,2216.0,"Wednesday, 24 September 2025",2025-08-28,12,3,2,2,House,7 Pollard Drive,-38.17794,144.48131,2025-09-09 16:25:00,17736233,,14,0,1,False,House,House,Buxton Leopold Pty Ltd,31874,"Joshua Loveday, Sophie Kennedy-Rush","Secure Parking, Heating, Dishwasher",https://www.domain.com.au/7-pollard-drive-leopold-vic-3224-17736233
17738699,LEOPOLD,3224,550,2390.0,"Monday, 01 September 2025",2025-08-29,11,4,2,2,House,27 Sedna Street,-38.19918,144.4658,2025-09-09 16:25:00,17738699,,10,0,0,False,House,House,Armstrong Real Estate,26120,Britta Gleeson,"Gas, Bath, Fully fenced, Outdoor Entertainment Area, Remote Garage, Secure Parking, Built in wardrobes, Dishwasher, Floorboards, Air conditioning, Ducted Heating, Split-System Air Conditioning, Split-System Heating",https://www.domain.com.au/27-sedna-street-leopold-vic-3224-17738699
