listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17688665,LILYDALE,3140,530,2303.0,"Friday, 08 August 2025",2025-07-30,40,3,1,2,New House & Land,4/29 Maroondah Highway,-37.757416,145.33983,2025-09-09 16:34:05,17688665,8,0,0,False,House,New House & Land,Woodards Lilydale & Yarra Valley,13683,"Joseph Cascianelli, Makenzy Grigg","Built in wardrobes, Secure Parking, Bath, Heating",https://www.domain.com.au/4-29-maroondah-highway-lilydale-vic-3140-17688665
17701992,LILYDALE,3140,420,1825.0,"Friday, 22 August 2025",2025-08-05,35,1,1,1,Apartment / Unit / Flat,5 White Close,-37.760387,145.33588,2025-09-09 16:34:05,17701992,8,0,0,False,Apartment,Apartment / Unit / Flat,Schroeder& Wallis,21879,Bonny Hain,"Built in wardrobes, Internal Laundry, Heating",https://www.domain.com.au/5-white-close-lilydale-vic-3140-17701992
17724602,LILYDALE,3140,540,2346.0,"Tuesday, 30 September 2025",2025-08-20,20,2,2,1,Townhouse,2/38 The Eyrie,-37.753094,145.35928,2025-09-09 16:34:05,17724602,7,0,0,False,Townhouse/Villa,Townhouse,Barry Plant Croydon,12205,Lisa Quigley,"Internal Laundry, Secure Parking, Heating, Balcony / Deck, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ensuite, Courtyard, Dishwasher",https://www.domain.com.au/2-38-the-eyrie-lilydale-vic-3140-17724602
17725625,LILYDALE,3140,580,2510.0,"Thursday, 18 September 2025",2025-08-22,18,2,1,1,House,6 Conlan Way,-37.74659,145.33977,2025-09-09 16:34:05,17725625,8,0,0,False,House,House,Ray White Croydon,17921,Leasing ...,"Built in wardrobes, Secure Parking, Heating",https://www.domain.com.au/6-conlan-way-lilydale-vic-3140-17725625
17732715,LILYDALE,3140,450,1955.0,"Tuesday, 26 August 2025",2025-08-26,14,2,1,1,Apartment / Unit / Flat,2/5 McComb Street,-37.75188,145.34325,2025-09-09 16:34:05,17732715,10,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Yarra Ranges,38071,"Mooroolbark Rentals, Jamie Coulthard","Split System Air Con, Split System Heating, Built in wardrobes, Pets Allowed, Fully fenced, Secure Parking",https://www.domain.com.au/2-5-mccomb-street-lilydale-vic-3140-17732715
17734013,LILYDALE,3140,680,,"Thursday, 28 August 2025",2025-08-27,13,3,2,2,Townhouse,1 Chiefly Close,-37.756985,145.35497,2025-09-09 16:34:05,17734013,6,0,0,False,Townhouse/Villa,Townhouse,Noble Knight Real Estate Pty Ltd,15213,"Kim Wells, Julie Birchall","Air conditioning, Built in wardrobes, Secure Parking, Dishwasher, Balcony / Deck",https://www.domain.com.au/1-chiefly-close-lilydale-vic-3140-17734013
17734015,LILYDALE,3140,580,,"Thursday, 28 August 2025",2025-08-27,13,2,2,1,Townhouse,8 Chiefly Close,-37.757633,145.3422,2025-09-09 16:34:05,17734015,6,0,0,False,Townhouse/Villa,Townhouse,Noble Knight Real Estate Pty Ltd,15213,"Kim Wells, Julie Birchall","Air conditioning, Secure Parking, Dishwasher, Balcony / Deck",https://www.domain.com.au/8-chiefly-close-lilydale-vic-3140-17734015
17734016,LILYDALE,3140,680,,"Thursday, 28 August 2025",2025-08-27,13,3,2,2,Townhouse,2 Chiefly Close,-37.756985,145.35497,2025-09-09 16:34:05,17734016,5,0,0,False,Townhouse/Villa,Townhouse,Noble Knight Real Estate Pty Ltd,15213,"Kim Wells, Julie Birchall","Air conditioning, Built in wardrobes, Secure Parking, Dishwasher, Balcony / Deck",https://www.domain.com.au/2-chiefly-close-lilydale-vic-3140-17734016
17734017,LILYDALE,3140,580,,"Thursday, 28 August 2025",2025-08-27,13,2,2,1,Townhouse,7 Chiefly Close,-37.756985,145.35497,2025-09-09 16:34:05,17734017,6,0,0,False,Townhouse/Villa,Townhouse,Noble Knight Real Estate Pty Ltd,15213,"Kim Wells, Julie Birchall","Air conditioning, Secure Parking, Dishwasher, Balcony / Deck",https://www.domain.com.au/7-chiefly-close-lilydale-vic-3140-17734017
17737293,LILYDALE,3140,570,2476.0,"Friday, 05 September 2025",2025-08-28,11,2,2,1,Townhouse,2/17 Gardiner Street,-37.7515,145.35457,2025-09-09 16:34:05,17737293,6,0,0,False,Townhouse/Villa,Townhouse,Jellis Craig Yarra Ranges,38071,Mark Hewett,"Gas, Internal Laundry, Shed, Air conditioning, Split System Air Con, Balcony / Deck, Split System Heating, Built in wardrobes, Garden / Courtyard, Dishwasher, Floorboards, Remote Garage",https://www.domain.com.au/2-17-gardiner-street-lilydale-vic-3140-17737293
17741858,LILYDALE,3140,550,2383.0,"Monday, 15 September 2025",2025-09-01,7,3,1,1,House,1/10 Wilsons Lane,-37.7553,145.3393,2025-09-09 16:34:05,17741858,8,0,0,False,House,House,Ray White Croydon,17921,Rebecca Keatch,"Secure Parking, Heating",https://www.domain.com.au/1-10-wilsons-lane-lilydale-vic-3140-17741858
17749793,LILYDALE,3140,620,2694.0,"Monday, 08 September 2025",2025-09-05,4,3,1,2,House,87 Charles Road,-37.79341,145.35858,2025-09-09 16:34:05,17749793,10,0,0,False,House,House,NOEL JONES MAROONDAH & YARRA RANGES,6242,Kerry Lucas,"Bath, Heating, Balcony / Deck, Built in wardrobes, Close to shops, Close to schools",https://www.domain.com.au/87-charles-road-lilydale-vic-3140-17749793
17750224,LILYDALE,3140,570,2477.0,"Friday, 12 September 2025",2025-09-05,3,2,2,1,Townhouse,2 Pablo Place,-37.756985,145.35497,2025-09-09 16:34:05,17750224,9,0,0,False,Townhouse/Villa,Townhouse,McGrath Blackburn,12105,Amy Blackburn,"Internal Laundry, Secure Parking, Air conditioning, Heating, Built in wardrobes, Toilet Facilities, Window Treatments",https://www.domain.com.au/2-pablo-place-lilydale-vic-3140-17750224
17753138,LILYDALE,3140,560,2433.0,"Friday, 12 September 2025",2025-09-09,0,2,2,1,Townhouse,3/3 Nicholas Street,-37.7598,145.34137,2025-09-09 16:34:05,17753138,10,0,0,False,Townhouse/Villa,Townhouse,Barry Plant Lilydale ,15430,"Anne Johnsen, Sepi Eftekhari","Internal Laundry, Heating, Balcony / Deck, Air conditioning, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ensuite, Carpeted, Courtyard, Dishwasher",https://www.domain.com.au/3-3-nicholas-street-lilydale-vic-3140-17753138
