listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16755388,LUCKNOW,3875,575,2490,"Tuesday, 01 July 2025",2025-05-29,103,2,2,1,House,,-37.81096,147.66469,2025-09-09 16:27:08,16755388,NY-4393-MW,3,0,0,False,House,House,For Sale By Owner,20095,For Rent,,https://www.domain.com.au/lucknow-vic-3875-16755388
17625156,LUCKNOW,3875,520,2260,"Tuesday, 17 June 2025",2025-06-17,84,4,2,2,House,11 Bottlebrush Way,-37.802242,147.65253,2025-09-09 16:27:08,17625156,,12,0,0,False,House,House,King & Heath First National Bairnsdale,26483,Kristee Downey,"Gas, Internal Laundry, Bath, Heating, Dishwasher",https://www.domain.com.au/11-bottlebrush-way-lucknow-vic-3875-17625156
17656524,LUCKNOW,3875,540,2346,"Monday, 07 July 2025",2025-07-07,64,4,2,2,House,6 Messmate Mews,-37.801167,147.65613,2025-09-09 16:27:08,17656524,,9,0,0,True,House,House,King & Heath First National Bairnsdale,26483,Kristee Downey,"Gas, Secure Parking, Bath",https://www.domain.com.au/6-messmate-mews-lucknow-vic-3875-17656524
17672109,LUCKNOW,3875,540,2346,"Sunday, 20 July 2025",2025-07-16,54,4,2,2,House,14 Messmate Mews,-37.801876,147.65514,2025-09-09 16:27:08,17672109,,11,0,0,True,House,House,King & Heath First National Bairnsdale,26483,Kristee Downey,"Internal Laundry, Secure Parking, Bath",https://www.domain.com.au/14-messmate-mews-lucknow-vic-3875-17672109
17693105,LUCKNOW,3875,540,2346,"Wednesday, 30 July 2025",2025-07-30,41,4,2,2,House,12 Messmate Mews,-37.801697,147.65538,2025-09-09 16:27:08,17693105,,7,0,0,True,House,House,King & Heath First National Bairnsdale,26483,Kristee Downey,"Internal Laundry, Secure Parking, Bath, Heating, Dishwasher, Fully fenced",https://www.domain.com.au/12-messmate-mews-lucknow-vic-3875-17693105
17693615,LUCKNOW,3875,540,2346,"Thursday, 07 August 2025",2025-07-31,40,4,2,2,House,11 Mahogany Close,-37.802204,147.6539,2025-09-09 16:27:08,17693615,,9,0,0,True,House,House,King & Heath First National Bairnsdale,26483,Kristee Downey,"Secure Parking, Bath, Heating",https://www.domain.com.au/11-mahogany-close-lucknow-vic-3875-17693615
17694296,LUCKNOW,3875,520,2260,"Tuesday, 22 July 2025",2025-07-31,40,4,2,2,House,31 Silvertop Street,-37.80129,147.65506,2025-09-09 16:27:08,17694296,,8,0,0,True,House,House,King & Heath First National Bairnsdale,26483,Kristee Downey,"Internal Laundry, Dishwasher, Heating, Built in wardrobes, Ensuite",https://www.domain.com.au/31-silvertop-street-lucknow-vic-3875-17694296
17726356,LUCKNOW,3875,540,2346,"Monday, 01 September 2025",2025-08-21,19,4,2,2,House,15 Messmate Mews,-37.801964,147.65501,2025-09-09 16:27:08,17726356,,1,0,0,True,House,House,King & Heath First National Bairnsdale,26483,Kristee Downey,"Internal Laundry, Secure Parking, Bath, Heating, Fully fenced",https://www.domain.com.au/15-messmate-mews-lucknow-vic-3875-17726356
17730055,LUCKNOW,3875,540,2346,"Friday, 05 September 2025",2025-08-25,15,4,2,2,House,16 Silvertop Street,-37.801353,147.6537,2025-09-09 16:27:08,17730055,,9,0,0,False,House,House,Bill Wyndham & Co Real Estate ,7555,Maryanne McDonald,"Heating, Dishwasher, Fully fenced, Air conditioning, Built in wardrobes, Alarm System, Ensuite, Carpeted, Cooktop (GAS), Oven (ELEC), Reverse Cycle",https://www.domain.com.au/16-silvertop-street-lucknow-vic-3875-17730055
17747262,LUCKNOW,3875,540,2346,"Thursday, 04 September 2025",2025-09-04,5,4,2,2,House,16 Bottlebrush Way,-37.80195,147.65295,2025-09-09 16:27:08,17747262,,13,0,0,False,House,House,King & Heath First National Bairnsdale,26483,Kristee Downey,"Internal Laundry, Bath, Heating",https://www.domain.com.au/16-bottlebrush-way-lucknow-vic-3875-17747262
17748109,LUCKNOW,3875,540,2160,"Thursday, 04 September 2025",2025-09-04,4,4,2,2,House,2A Mahogany Close,-37.80152,147.65367,2025-09-09 16:27:08,17748109,,15,0,0,False,House,House,OBrien Real Estate Bairnsdale,15133,Sarah Smith,"Heating, Dishwasher",https://www.domain.com.au/2a-mahogany-close-lucknow-vic-3875-17748109
17749617,LUCKNOW,3875,540,2346,"Friday, 05 September 2025",2025-09-05,4,4,2,2,House,18 Messmate Mews,-37.802406,147.65479,2025-09-09 16:27:08,17749617,,8,0,0,True,House,House,King & Heath First National Bairnsdale,26483,Kristee Downey,"Internal Laundry, Secure Parking, Bath, Heating, Dishwasher, Fully fenced",https://www.domain.com.au/18-messmate-mews-lucknow-vic-3875-17749617
17749733,LUCKNOW,3875,540,2346,"Saturday, 06 September 2025",2025-09-05,4,4,2,2,House,20 Messmate Mews,-37.802258,147.65453,2025-09-09 16:27:08,17749733,,10,0,0,True,House,House,King & Heath First National Bairnsdale,26483,Kristee Downey,"Internal Laundry, Secure Parking, Bath, Heating, Dishwasher, Fully fenced",https://www.domain.com.au/20-messmate-mews-lucknow-vic-3875-17749733
