listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
13760442,LYNBROOK,3975,485,2107,"Monday, 22 September 2025",2025-08-27,13,2,1,2,House,180 Paterson Drive,-38.06231,145.25574,2025-09-09 16:30:50,13760442,LU-0124-LP,8,0,0,False,House,House,Grand Real Estate,31825,"Laleen Fernando, Yaz Yureshi","Built in wardrobes, Gas, Internal Laundry, Heating, Remote Garage, Dishwasher, Study, Air conditioning, Reverse Cycle Air Conditioning",https://www.domain.com.au/180-paterson-drive-lynbrook-vic-3975-13760442
16360935,LYNBROOK,3975,690,2990,"Wednesday, 08 March 2023",2023-03-07,917,4,2,3,Townhouse,7 Alfonso Court,-38.0463,145.2599,2025-09-09 16:30:50,16360935,YL-3268-AB,10,0,0,False,Townhouse/Villa,Townhouse,Seascape RE,22931,The Manager,"Air conditioning, Dishwasher, Heating, Floorboards, Fully fenced, Gas Hot Water Service, Outdoor Entertaining, Remote Garage, Secure Parking, Study",https://www.domain.com.au/7-alfonso-court-lynbrook-vic-3975-16360935
17375475,LYNBROOK,3975,550,2390,"Monday, 06 October 2025",2025-08-18,21,3,2,2,House,77 Aylmer Drive,-38.058544,145.25542,2025-09-09 16:30:50,17375475,AR-4830-EA,10,0,0,False,House,House,LJ Hooker Casey,19249,Monika Papdan,"Internal Laundry, Secure Parking, Dishwasher, Air conditioning, Built in wardrobes, Ensuite, Ducted Heating",https://www.domain.com.au/77-aylmer-drive-lynbrook-vic-3975-17375475
17564111,LYNBROOK,3975,850,3693,"Monday, 26 May 2025",2025-05-08,124,4,2,2,House,24 Banjo Circuit,-38.069706,145.25787,2025-09-09 16:30:50,17564111,VM-4333-IU,12,0,0,False,House,House,All Avenues Real Estate,31528,"Anu Sandhu, Yogi Patel",Bath,https://www.domain.com.au/24-banjo-circuit-lynbrook-vic-3975-17564111
17680755,LYNBROOK,3975,700,3042,"Tuesday, 22 July 2025",2025-07-22,48,4,2,2,House,11 Penton Way,-38.059666,145.255,2025-09-09 16:30:50,17680755,,1,0,0,False,House,House,Just Realty International,30731,Nick Huang,Secure Parking,https://www.domain.com.au/11-penton-way-lynbrook-vic-3975-17680755
17717578,LYNBROOK,3975,650,2824,"Thursday, 11 September 2025",2025-08-15,25,3,2,2,House,3 Henry Lawson Drive,-38.04934,145.25578,2025-09-09 16:30:50,17717578,,10,0,0,False,House,House,LJ Hooker Casey,19249,Monika Papdan,"Air conditioning, Secure Parking, Fireplace(s), Dishwasher, Shed, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ensuite, Ducted Heating",https://www.domain.com.au/3-henry-lawson-drive-lynbrook-vic-3975-17717578
17721923,LYNBROOK,3975,640,2781,"Monday, 08 September 2025",2025-08-19,21,4,2,2,House,10 Dennis Close,-38.053925,145.25842,2025-09-09 16:30:50,17721923,,6,0,0,False,House,House,Century 21 Wilson Pride,16761,Esme Wheatley,"Secure Parking, Heating, Dishwasher, Air conditioning",https://www.domain.com.au/10-dennis-close-lynbrook-vic-3975-17721923
17726394,LYNBROOK,3975,460,1999,"Monday, 22 September 2025",2025-08-21,19,2,1,2,Apartment / Unit / Flat,184 Paterson Drive,-38.062454,145.25601,2025-09-09 16:30:50,17726394,,12,0,0,False,Apartment,Apartment / Unit / Flat,LJ Hooker Casey,19249,Olivia Ferguson,"Air conditioning, Gas, Internal Laundry, Secure Parking, Bath, Dishwasher, Built in wardrobes, Close to transport, Close to shops, Close to schools, Split system, Study",https://www.domain.com.au/184-paterson-drive-lynbrook-vic-3975-17726394
17733590,LYNBROOK,3975,720,3129,"Friday, 19 September 2025",2025-08-27,13,4,2,2,House,30 Lindsay Crescent,-38.049706,145.24951,2025-09-09 16:30:50,17733590,,11,0,0,False,House,House,LJ Hooker Casey,19249,Monika Papdan,"Secure Parking, Dishwasher, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ensuite, Evaporative Cooling, Ducted Heating",https://www.domain.com.au/30-lindsay-crescent-lynbrook-vic-3975-17733590
17747249,LYNBROOK,3975,625,2716,"Thursday, 04 September 2025",2025-09-04,5,4,2,2,House,1 Bay Laurel Close,-38.04725,145.26248,2025-09-09 16:30:50,17747249,,17,0,0,False,House,House,Ray White Cranbourne,18759,"Sophie Bridges, Kevin Cabezas","Air conditioning, Secure Parking, Heating",https://www.domain.com.au/1-bay-laurel-close-lynbrook-vic-3975-17747249
17753824,LYNBROOK,3975,500,2173,"Friday, 10 October 2025",2025-09-09,0,2,2,1,House,17 Hinterland Close,-38.053703,145.2567,2025-09-09 16:30:50,17753824,,11,0,0,False,House,House,Del Real Estate,18196,Duska Maric,"Air conditioning, Built in wardrobes, Gas, Dishwasher, Balcony / Deck, Laundry",https://www.domain.com.au/17-hinterland-close-lynbrook-vic-3975-17753824
17753853,LYNBROOK,3975,680,2954,"Wednesday, 24 September 2025",2025-09-09,0,4,2,2,House,46 Olive Road,-38.045464,145.26044,2025-09-09 16:30:50,17753853,,26,0,2,False,House,House,Fateh Real Estate,39210,Carlton Paul Vaz,"Fully fenced, Built in wardrobes, Double Storey, Air conditioning, Ducted Heating",https://www.domain.com.au/46-olive-road-lynbrook-vic-3975-17753853
