listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
8443632,MACLEOD,3085,285,1238.0,"Monday, 24 September 2018",2017-04-05,3079,,1,,Studio,116-130 Main Drive,-37.71449,145.06078,2025-09-09 16:45:56,8443632,,12,0,0,False,Apartment,Studio,Student Housing Australia,11870,Nath Toutam,,https://www.domain.com.au/116-130-main-drive-macleod-vic-3085-8443632
9261840,MACLEOD,3085,285,1238.0,"Monday, 15 September 2025",2025-08-25,14,1.0,1,,Studio,77C/116-130 Main Drive,-37.71449,145.06078,2025-09-09 16:45:56,9261840,,15,0,2,False,Apartment,Studio,Student Housing Australia,11870,Nath Toutam,"Split System Heating, Split System Air Con, Built in wardrobes, Gym, Furnished, Air conditioning, Rumpus Room",https://www.domain.com.au/77c-116-130-main-drive-macleod-vic-3085-9261840
15419532,MACLEOD,3085,540,2346.0,"Thursday, 23 October 2025",2025-09-02,7,3.0,1,2.0,House,36 Gresswell Park Drive,-37.710346,145.07475,2025-09-09 16:45:56,15419532,ML-7961-DU,4,0,0,False,House,House,Darren Jones Real Estate,11759,Sally Ekman,,https://www.domain.com.au/36-gresswell-park-drive-macleod-vic-3085-15419532
16056665,MACLEOD,3085,710,3085.0,"Friday, 26 September 2025",2025-09-01,8,3.0,1,2.0,House,9 Jacka Street,-37.72878,145.06589,2025-09-09 16:45:56,16056665,QZ-3182-NZ,14,0,1,False,House,House,Ray White MacLeod,19429,"Tara Lawson, Deanne Hill","Internal Laundry, Swimming Pool, Fireplace(s), Heating, Study, Balcony / Deck",https://www.domain.com.au/9-jacka-street-macleod-vic-3085-16056665
16943736,MACLEOD,3085,570,2477.0,"Tuesday, 09 September 2025",2025-09-09,0,3.0,1,1.0,Townhouse,13/34 Glenmore Street,-37.721615,145.06604,2025-09-09 16:45:56,16943736,SY-3015-DL,7,0,1,False,Townhouse/Villa,Townhouse,Ray White MacLeod,19429,"Tara Lawson, Deanne Hill","Built in wardrobes, Gas, Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/13-34-glenmore-street-macleod-vic-3085-16943736
17672031,MACLEOD,3085,590,2564.0,"Wednesday, 23 July 2025",2025-07-16,55,3.0,2,1.0,Apartment / Unit / Flat,1/7-9 Strathallan Road,-37.72455,145.07916,2025-09-09 16:45:56,17672031,,7,0,0,False,Apartment,Apartment / Unit / Flat,Miles Real Estate Ivanhoe,6011,Geoff Fox,"Heating, Secure Parking, Air conditioning, Garden / Courtyard, Fully fenced, Built in wardrobes, Dishwasher, Gas, Ensuite",https://www.domain.com.au/1-7-9-strathallan-road-macleod-vic-3085-17672031
17703400,MACLEOD,3085,700,3042.0,"Wednesday, 06 August 2025",2025-08-06,34,4.0,2,2.0,House,113 Wungan Street,-37.721798,145.07,2025-09-09 16:45:56,17703400,,13,0,0,False,House,House,Ray White Bundoora,12449,Josiah Donato,Heating,https://www.domain.com.au/113-wungan-street-macleod-vic-3085-17703400
17723691,MACLEOD,3085,490,2129.0,"Friday, 26 September 2025",2025-08-20,20,2.0,1,1.0,Apartment / Unit / Flat,5/256 Waiora Road,-37.72887,145.06136,2025-09-09 16:45:56,17723691,,5,0,0,False,Apartment,Apartment / Unit / Flat,Miles Real Estate Ivanhoe,6011,Maggie Rough,"Internal Laundry, Heating, Shed, Secure Parking, Air conditioning, Garden / Courtyard, Built in wardrobes, Gas",https://www.domain.com.au/5-256-waiora-road-macleod-vic-3085-17723691
17731368,MACLEOD,3085,560,2433.0,"Friday, 05 September 2025",2025-08-26,14,3.0,1,2.0,House,9 Kentwood Road,-37.71982,145.09157,2025-09-09 16:45:56,17731368,,5,0,0,False,House,House,Ray White MacLeod,19429,"Tara Lawson, Deanne Hill","Built in wardrobes, Internal Laundry, Heating",https://www.domain.com.au/9-kentwood-road-macleod-vic-3085-17731368
17737988,MACLEOD,3085,620,2694.0,"Saturday, 20 September 2025",2025-08-29,11,2.0,2,2.0,House,17 Elvin Street,-37.718372,145.08453,2025-09-09 16:45:56,17737988,,7,0,0,False,House,House,Miles Real Estate Ivanhoe,6011,Estelle Riley,"Heating, Air conditioning, Balcony / Deck, Garden / Courtyard, Outdoor Entertainment Area, Fully fenced, Built in wardrobes, Dishwasher, Floorboards, Gas",https://www.domain.com.au/17-elvin-street-macleod-vic-3085-17737988
17751031,MACLEOD,3085,1200,,"Monday, 08 September 2025",2025-09-08,1,4.0,2,2.0,House,1 Everett Court,-37.716835,145.06253,2025-09-09 16:45:56,17751031,,12,0,0,False,House,House,McGrath Ivanhoe,28224,Adam Vaiano,"Gas, Internal Laundry, Secure Parking, Dishwasher, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Swimming Pool, Close to schools, Ensuite",https://www.domain.com.au/1-everett-court-macleod-vic-3085-17751031
