listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
14251798,MAIDSTONE,3012,570,2477.0,"Friday, 12 September 2025",2025-09-04,5,3,1,1.0,Townhouse,1/5 Madden Street,-37.790092,144.88206,2025-09-09 16:55:27,14251798,SY-5231-JP,9,0,0,False,Townhouse/Villa,Townhouse,Jas Stephens Real Estate,22,Jesseigh Stella,"Internal Laundry, Built in wardrobes, Dishwasher, Split System Heating, Split System Air Conditioning, Outdoor Entertainment Area, Fully fenced, Pets Allowed",https://www.domain.com.au/1-5-madden-street-maidstone-vic-3012-14251798
17291441,MAIDSTONE,3012,280,,"Thursday, 28 August 2025",2025-06-02,98,1,1,,House,1/17 Delacey Street,-37.78571,144.88177,2025-09-09 16:55:27,17291441,,17,0,1,False,House,House,Waterfront Real Estate,17081,"Charles Ealdama, Waterfront Real Estate","Gas, Internal Laundry, Furnished, Broadband internet access",https://www.domain.com.au/1-17-delacey-street-maidstone-vic-3012-17291441
17709876,MAIDSTONE,3012,730,3172.0,"Monday, 11 August 2025",2025-08-11,29,3,1,2.0,House,8 Omar Street,-37.781933,144.87056,2025-09-09 16:55:27,17709876,,9,0,0,False,House,House,P Di Natale Real Estate,15264,Taleah Donnelly,"Built in wardrobes, Dishwasher, Ducted Heating, Split-System Air Conditioning, Split-System Heating",https://www.domain.com.au/8-omar-street-maidstone-vic-3012-17709876
17715753,MAIDSTONE,3012,720,3129.0,"Friday, 15 August 2025",2025-09-08,1,4,2,1.0,House,2/6 Omar Street,-37.782112,144.87047,2025-09-09 16:55:27,17715753,,14,0,0,False,House,House,Sweeney Estate Agents Williamstown,28,Para Taneski,"Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/2-6-omar-street-maidstone-vic-3012-17715753
17720290,MAIDSTONE,3012,650,2824.0,"Monday, 29 September 2025",2025-08-18,22,3,2,2.0,Townhouse,33 Havelock Street,-37.782833,144.88008,2025-09-09 16:55:27,17720290,,13,0,1,False,Townhouse/Villa,Townhouse,BigginScott Moonee Ponds,12394,"Sam Barbour, Robert Bremner","Secure Parking, Air conditioning, Alarm System, Garden / Courtyard, Floorboards, Gas Heating, Internal Laundry",https://www.domain.com.au/33-havelock-street-maidstone-vic-3012-17720290
17720867,MAIDSTONE,3012,480,2086.0,"Friday, 12 September 2025",2025-08-18,21,2,1,1.0,Townhouse,11/85 Ballarat Road,-37.786713,144.87798,2025-09-09 16:55:27,17720867,,11,0,0,True,Townhouse/Villa,Townhouse,Areal Property - Melbourne,35843,Anna Mou,"Built in wardrobes, Secure Parking, Balcony / Deck, Dishwasher, Floorboards",https://www.domain.com.au/11-85-ballarat-road-maidstone-vic-3012-17720867
17721681,MAIDSTONE,3012,650,2825.0,"Tuesday, 19 August 2025",2025-08-19,21,4,1,2.0,House,24 Marsh Street,-37.780525,144.88193,2025-09-09 16:55:27,17721681,,6,0,0,False,House,House,Barry Plant Keilor East,27626,"Simone Shiells, Melissa Stringile","Heating, Shed, Built in wardrobes, Floorboards, Gas",https://www.domain.com.au/24-marsh-street-maidstone-vic-3012-17721681
17733839,MAIDSTONE,3012,750,3259.0,"Wednesday, 27 August 2025",2025-08-27,13,4,3,2.0,Townhouse,1/15 Renown Street,-37.78102,144.86833,2025-09-09 16:55:27,17733839,,9,0,0,False,Townhouse/Villa,Townhouse,BigginScott Moonee Ponds,12394,"Tasma Bogdanovic, Sam Barbour","Secure Parking, Study, Air conditioning, Balcony / Deck, Built in wardrobes, Dishwasher, Floorboards, Internal Laundry",https://www.domain.com.au/1-15-renown-street-maidstone-vic-3012-17733839
17737101,MAIDSTONE,3012,470,2042.0,"Monday, 15 September 2025",2025-08-28,12,2,1,1.0,Apartment / Unit / Flat,2/24 Scovell Crescent,-37.783104,144.87929,2025-09-09 16:55:27,17737101,,9,0,1,True,Apartment,Apartment / Unit / Flat,Woodards Ascot Vale,26361,Siobhan Flinn,"Built in wardrobes, Bath, Heating",https://www.domain.com.au/2-24-scovell-crescent-maidstone-vic-3012-17737101
17737765,MAIDSTONE,3012,650,2824.0,"Tuesday, 02 September 2025",2025-08-29,11,3,2,1.0,Townhouse,6/1 Clarendon Street,-37.784843,144.86711,2025-09-09 16:55:27,17737765,,14,0,1,False,Townhouse/Villa,Townhouse,Jas Stephens Real Estate,22,"Shannon Naude, Alex Boyce","Internal Laundry, Built in wardrobes, Dishwasher, Bathtub, Split System Heating, Split System Air Conditioning, Ensuite(s), Secure Parking",https://www.domain.com.au/6-1-clarendon-street-maidstone-vic-3012-17737765
