listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15481263,MALVERN,3144,795,3454.0,"Friday, 12 September 2025",2025-09-02,7,3,1,1.0,Apartment / Unit / Flat,7/15 Wheatland Road,-37.865376,145.03441,2025-09-09 16:17:51,15481263,GN-2421-YO,6,0,0,False,Apartment,Apartment / Unit / Flat,Thomson ,176,Xavier George,,https://www.domain.com.au/7-15-wheatland-road-malvern-vic-3144-15481263
17084495,MALVERN,3144,580,2520.0,"Monday, 22 September 2025",2025-09-03,6,2,1,1.0,Apartment / Unit / Flat,3/51-53 Victoria Road North,-37.869156,145.03767,2025-09-09 16:17:51,17084495,UK-6442-HX,8,0,0,False,Apartment,Apartment / Unit / Flat,The Agency Victoria,29954,Harshil Vora,"Bathtub, Split System Heating, Split System Air Conditioning",https://www.domain.com.au/3-51-53-victoria-road-north-malvern-vic-3144-17084495
17644429,MALVERN,3144,1995,11970.0,"Monday, 30 June 2025",2025-06-30,71,4,3,2.0,House,18 Hornsby Street,-37.84909,145.03958,2025-09-09 16:17:51,17644429,,15,0,1,False,House,House,Marshall White Stonnington,4450,"Renee Hewstone, Grace Morley, Kate Humphreys","Air conditioning, Alarm System, Built in wardrobes, Balcony / Deck, Dishwasher, Ducted Cooling, Ducted Heating, Floorboards, Fully fenced, Intercom, Fireplace(s), Outdoor Entertainment Area, Remote Garage, Rumpus Room, Secure Parking, Study",https://www.domain.com.au/18-hornsby-street-malvern-vic-3144-17644429
17710410,MALVERN,3144,495,2155.0,"Wednesday, 10 September 2025",2025-08-11,28,2,1,1.0,Apartment / Unit / Flat,2/19 Horace Street,-37.862545,145.03911,2025-09-09 16:17:51,17710410,,7,0,0,False,Apartment,Apartment / Unit / Flat,Woodards Camberwell,3601,Lindsay Mai,"Built in wardrobes, Internal Laundry",https://www.domain.com.au/2-19-horace-street-malvern-vic-3144-17710410
17719008,MALVERN,3144,875,3802.0,"Thursday, 18 September 2025",2025-08-18,22,2,2,2.0,Apartment / Unit / Flat,104/250-252 Wattletree Road,-37.863953,145.0385,2025-09-09 16:17:51,17719008,,7,0,1,False,Apartment,Apartment / Unit / Flat,Marshall White Stonnington,4450,"Anna Pylkkanen, Tina Jin",,https://www.domain.com.au/104-250-252-wattletree-road-malvern-vic-3144-17719008
17733572,MALVERN,3144,585,2542.0,"Saturday, 30 August 2025",2025-08-27,13,2,1,1.0,Apartment / Unit / Flat,6/6 Finlayson Street,-37.868317,145.03581,2025-09-09 16:17:51,17733572,,8,0,0,False,Apartment,Apartment / Unit / Flat, Jellis Craig & Company Pty Ltd,6525,Lachie Hollamby,"Balcony / Deck, Built in wardrobes",https://www.domain.com.au/6-6-finlayson-street-malvern-vic-3144-17733572
17740837,MALVERN,3144,480,2085.0,"Monday, 08 September 2025",2025-09-01,8,1,1,1.0,Apartment / Unit / Flat,8/27 Ewart Street,-37.869778,145.03664,2025-09-09 16:17:51,17740837,,6,0,0,False,Apartment,Apartment / Unit / Flat,The Agency Victoria,29954,Harshil Vora,"Dishwasher, Pets Allowed",https://www.domain.com.au/8-27-ewart-street-malvern-vic-3144-17740837
17741361,MALVERN,3144,1400,8000.0,"Wednesday, 01 October 2025",2025-09-01,8,3,2,2.0,House,9 Plant St,-37.85108,145.03242,2025-09-09 16:17:51,17741361,,13,0,1,False,House,House,RentBetter,27499,,"Internal Laundry, Air conditioning, Alarm System, Balcony / Deck, Built in wardrobes, Dishwasher, Fireplace(s), Fully fenced, Furnished, Garden / Courtyard, Heating, Intercom, Secure Parking, Shed",https://www.domain.com.au/9-plant-st-malvern-vic-3144-17741361
17742849,MALVERN,3144,480,1955.0,"Friday, 26 September 2025",2025-09-02,7,1,1,1.0,Apartment / Unit / Flat,3/9 Warner Street,-37.851448,145.0372,2025-09-09 16:17:51,17742849,,6,0,0,False,Apartment,Apartment / Unit / Flat,Chisholm & Gamon Elwood,308,"Trudy Kelder, Leasing Team",,https://www.domain.com.au/3-9-warner-street-malvern-vic-3144-17742849
17742942,MALVERN,3144,700,3042.0,"Friday, 12 September 2025",2025-09-02,7,1,1,1.0,Apartment / Unit / Flat,706/645 Dandenong Road,-37.86603,145.02797,2025-09-09 16:17:51,17742942,,7,0,0,False,Apartment,Apartment / Unit / Flat,McGrath,19308,"Daniel Hamilton, Shaun Broadbent","Air conditioning, Heating, Area Views, Built in wardrobes, Close to transport, Close to shops, Swimming Pool, Close to schools, Security Access, Lift Installed, Car Parking - Basement, Carpeted, Exhaust, Kitchenette, Openable Windows, Window Treatments",https://www.domain.com.au/706-645-dandenong-road-malvern-vic-3144-17742942
