listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
14798958,MALVERN EAST,3145,480.0,2085.0,"Wednesday, 08 October 2025",2025-09-08,0,1,1,1.0,Apartment / Unit / Flat,104/801 Dandenong Road,-37.873997,145.03893,2025-09-09 16:22:25,14798958,AU-7536-ZT,21,1,0,True,Apartment,Apartment / Unit / Flat,Austrump Glen Pty Ltd,31049,"Vincent Xiao, Mary Navarro","Gym, Intercom, Alarm System, Floorboards, Built in wardrobes, Dishwasher, Broadband, Air conditioning, Inside Spa, Balcony, Remote Garage",https://www.domain.com.au/104-801-dandenong-road-malvern-east-vic-3145-14798958
17158418,MALVERN EAST,3145,880.0,3824.0,"Saturday, 11 October 2025",2025-09-08,1,4,2,2.0,Townhouse,2/424 Waverley Road,-37.878548,145.0667,2025-09-09 16:22:25,17158418,QR-3827-AW,7,0,0,False,Townhouse/Villa,Townhouse,Ray White Carnegie,5958,"Dale Browning, Nick Giannopoulos","Built in wardrobes, Gas, Internal Laundry, Secure Parking, Heating, Dishwasher, Study, Balcony / Deck",https://www.domain.com.au/2-424-waverley-road-malvern-east-vic-3145-17158418
17689062,MALVERN EAST,3145,1650.0,9900.0,"Friday, 10 October 2025",2025-07-28,42,5,3,2.0,House,56 Clarence St,-37.87177,145.04243,2025-09-09 16:22:25,17689062,,8,0,1,False,House,House,RT Edgar Toorak,175,"Eliza Lamb, Taylah Cagalj","Air conditioning, Fully fenced, Dishwasher, Floorboards, Gas",https://www.domain.com.au/56-clarence-st-malvern-east-vic-3145-17689062
17701040,MALVERN EAST,3145,530.0,2303.0,"Wednesday, 27 August 2025",2025-08-05,35,2,1,1.0,Apartment / Unit / Flat,2/21 Ardrie Road,-37.877193,145.05145,2025-09-09 16:22:25,17701040,,9,0,0,False,Apartment,Apartment / Unit / Flat,Hodges Prahran South Yarra,3916,"Stephen McCleery, Prahran Leasing","Gas, Bath, Split System Air Con, Split System Heating, Intercom, Built in wardrobes, Secure Parking",https://www.domain.com.au/2-21-ardrie-road-malvern-east-vic-3145-17701040
17714000,MALVERN EAST,3145,640.0,2781.0,"Tuesday, 16 September 2025",2025-08-13,27,2,1,1.0,Apartment / Unit / Flat,2/98 Burke Road,-37.86822,145.04985,2025-09-09 16:22:25,17714000,,4,0,1,False,Apartment,Apartment / Unit / Flat,Metropole Properties Melbourne,18456,Rebecah McDowell,"Gas, Internal Laundry, Floorboards, Built in wardrobes, Dishwasher, Ducted Heating, Balcony",https://www.domain.com.au/2-98-burke-road-malvern-east-vic-3145-17714000
17718094,MALVERN EAST,3145,1110.0,4823.0,"Thursday, 28 August 2025",2025-08-15,25,5,2,2.0,House,28 Alma Street,-37.88357,145.07677,2025-09-09 16:22:25,17718094,,11,0,0,False,House,House,Jellis Craig Whitehorse,20157,Katrina George,"Air conditioning, Built in wardrobes, Bath, Heating, Dishwasher, Study",https://www.domain.com.au/28-alma-street-malvern-east-vic-3145-17718094
17722832,MALVERN EAST,3145,595.0,2585.0,"Friday, 29 August 2025",2025-08-19,20,2,1,1.0,House,3/25 Chadstone Road,-37.88476,145.07841,2025-09-09 16:22:25,17722832,,9,0,0,False,House,House,Ray White Oakleigh,12122,"Matthew Swinnerton, Tom Fulop",,https://www.domain.com.au/3-25-chadstone-road-malvern-east-vic-3145-17722832
17723748,MALVERN EAST,3145,800.0,3476.0,"Wednesday, 20 August 2025",2025-08-20,20,4,2,3.0,House,1/12 Capon Street,-37.887783,145.08641,2025-09-09 16:22:25,17723748,,9,0,0,False,House,House,James Perry Property Group,20235,"Denis Stavropoulos, James Telios",,https://www.domain.com.au/1-12-capon-street-malvern-east-vic-3145-17723748
17731891,MALVERN EAST,3145,670.0,2911.0,"Friday, 12 September 2025",2025-08-26,14,2,2,1.0,Apartment / Unit / Flat,304/881 Dandenong Road,-37.87506,145.04211,2025-09-09 16:22:25,17731891,,8,0,0,False,Apartment,Apartment / Unit / Flat,Ray White Carnegie,5958,"Dale Browning, Nick Giannopoulos","Built in wardrobes, Gas, Dishwasher, Balcony / Deck",https://www.domain.com.au/304-881-dandenong-road-malvern-east-vic-3145-17731891
17733998,MALVERN EAST,3145,450.0,1955.0,"Friday, 05 September 2025",2025-08-27,13,1,1,1.0,Apartment / Unit / Flat,17/786 Warrigal Road,-37.890102,145.0885,2025-09-09 16:22:25,17733998,,9,0,0,False,Apartment,Apartment / Unit / Flat,Love & Co Reservoir,7121,David Quattrocchi,"Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Car Parking - Surface",https://www.domain.com.au/17-786-warrigal-road-malvern-east-vic-3145-17733998
17736258,MALVERN EAST,3145,480.0,2086.0,"Thursday, 28 August 2025",2025-08-28,12,2,1,1.0,Apartment / Unit / Flat,15/806-808 Warrigal Road,-37.891666,145.08818,2025-09-09 16:22:25,17736258,,11,0,0,False,Apartment,Apartment / Unit / Flat,Buxton Camberwell,28347,"Emily Katiforis, Alex Mayne","Split System Air Con, Split System Heating, Built in wardrobes",https://www.domain.com.au/15-806-808-warrigal-road-malvern-east-vic-3145-17736258
