listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
13867125,MARIBYRNONG,3032,625,,"Monday, 29 September 2025",2025-09-02,7,3,2,2.0,House,53 Waterford Avenue,-37.772476,144.87952,2025-09-09 16:41:40,13867125,PQ-6997-CI,9,0,1,False,House,House,Moonee Valley Real Estate,11740,Rental Department,"Air conditioning, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/53-waterford-avenue-maribyrnong-vic-3032-13867125
14995058,MARIBYRNONG,3032,530,2302.0,"Monday, 06 October 2025",2025-09-08,1,2,2,1.0,Apartment / Unit / Flat,201/334-336 Gordon Street,-37.78299,144.89087,2025-09-09 16:41:40,14995058,OE-1859-EJ,10,0,1,False,Apartment,Apartment / Unit / Flat,LITTLE Real Estate Victoria,24974,Cooper Modica,"Car Accom: Single Security Parking, Heating: Reverse Cycle Air Conditioning, Cooling: Reverse Cycle Air Conditioning, Pool/Spa Count: 0",https://www.domain.com.au/201-334-336-gordon-street-maribyrnong-vic-3032-14995058
17072067,MARIBYRNONG,3032,535,2324.0,"Tuesday, 07 October 2025",2025-09-01,7,2,1,1.0,Apartment / Unit / Flat,201/66 Wests Road,-37.769848,144.88235,2025-09-09 16:41:40,17072067,JY-7220-FF,5,0,1,False,Apartment,Apartment / Unit / Flat,LITTLE Real Estate Victoria,24974,Cooper Modica,"Built in wardrobes, Internal Laundry, Intercom, Heating, Dishwasher, Balcony / Deck, Pool/Spa Count: 0",https://www.domain.com.au/201-66-wests-road-maribyrnong-vic-3032-17072067
17654625,MARIBYRNONG,3032,825,3584.0,"Monday, 14 July 2025",2025-07-04,66,3,2,1.0,Townhouse,7 Hillsdale Avenue,-37.78775,144.89641,2025-09-09 16:41:40,17654625,,8,0,1,False,Townhouse/Villa,Townhouse,Jellis Craig Kensington,20419,"Justin Jovanov, Vicki Lekanis","Internal Laundry, Split System Air Con, Split System Heating, Built in wardrobes, Garden / Courtyard, Remote Garage",https://www.domain.com.au/7-hillsdale-avenue-maribyrnong-vic-3032-17654625
17704494,MARIBYRNONG,3032,520,2259.0,"Thursday, 14 August 2025",2025-08-07,33,2,1,1.0,Apartment / Unit / Flat,4/6 Navigator Street,-37.76869,144.8982,2025-09-09 16:41:40,17704494,,10,0,0,False,Apartment,Apartment / Unit / Flat,Barbounis Real Estate,18129,Anthony Barbounis,"Gas, Internal Laundry, Bath, Built in wardrobes, Split-System Air Conditioning, Split-System Heating",https://www.domain.com.au/4-6-navigator-street-maribyrnong-vic-3032-17704494
17713537,MARIBYRNONG,3032,540,2346.0,"Friday, 05 September 2025",2025-08-13,27,2,1,1.0,Apartment / Unit / Flat,106/334 Gordon Street,-37.78299,144.89087,2025-09-09 16:41:40,17713537,,8,0,1,True,Apartment,Apartment / Unit / Flat,Woodards Ascot Vale,26361,Elizabeth Ho,"Built in wardrobes, Intercom, Heating, Dishwasher",https://www.domain.com.au/106-334-gordon-street-maribyrnong-vic-3032-17713537
17719626,MARIBYRNONG,3032,675,2933.0,"Friday, 15 August 2025",2025-08-18,22,3,2,1.0,House,8 Monash Street,-37.779854,144.9091,2025-09-09 16:41:40,17719626,,11,0,1,True,House,House,Woodards Ascot Vale,26361,Caterina Italiano,"Air conditioning, Internal Laundry, Shed",https://www.domain.com.au/8-monash-street-maribyrnong-vic-3032-17719626
17720121,MARIBYRNONG,3032,900,3911.0,"Friday, 29 August 2025",2025-08-18,22,3,2,2.0,House,5 Vista Rise,-37.786415,144.89476,2025-09-09 16:41:40,17720121,,14,0,0,False,House,House,Jas Stephens Real Estate,22,Tennille D'Avola,"Floorboards, Built in wardrobes, Dishwasher, Bathtub, Gas Appliances, Split System Heating, Split System Air Conditioning, Ensuite(s), Balcony, Courtyard, Deck, Remote Garage, Secure Parking, Fully fenced, Pets Allowed",https://www.domain.com.au/5-vista-rise-maribyrnong-vic-3032-17720121
17729408,MARIBYRNONG,3032,520,2259.0,"Wednesday, 03 September 2025",2025-08-25,15,2,1,1.0,Apartment / Unit / Flat,3/6 Navigator Street,-37.76869,144.8982,2025-09-09 16:41:40,17729408,,9,0,0,False,Apartment,Apartment / Unit / Flat,Barbounis Real Estate,18129,Alicia Barbounis,"Built in wardrobes, Gas, Internal Laundry, Bath",https://www.domain.com.au/3-6-navigator-street-maribyrnong-vic-3032-17729408
17729657,MARIBYRNONG,3032,675,2933.0,"Saturday, 01 November 2025",2025-08-25,15,2,1,1.0,Apartment / Unit / Flat,G10/55 Cumberland Drive,-37.786495,144.90082,2025-09-09 16:41:40,17729657,,8,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Kensington,20419,"Megan Reddy, Anastasia Gullotti","Built in wardrobes, Gas, Internal Laundry, Heating, Floorboards",https://www.domain.com.au/g10-55-cumberland-drive-maribyrnong-vic-3032-17729657
