listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
11438470,MCKINNON,3204,699,3042.0,"Friday, 22 August 2025",2025-08-22,18,2,2,1,Townhouse,4/119 McKinnon Road,-37.910576,145.03584,2025-09-09 17:03:32,11438470,VS-9882-YL,12,0,1,False,Townhouse/Villa,Townhouse,Century 21 Property Group,21959,Joji Cabrera-Sy,Air conditioning,https://www.domain.com.au/4-119-mckinnon-road-mckinnon-vic-3204-11438470
17441454,MCKINNON,3204,1300,,"Friday, 14 February 2025",2025-02-14,207,3,2,2,Townhouse,3/15-17 Station Avenue,-37.909008,145.03906,2025-09-09 17:03:32,17441454,,6,0,0,False,Townhouse/Villa,Townhouse,Century 21 Property Group,21959,Peter Anastas,"Secure Parking, Heating",https://www.domain.com.au/3-15-17-station-avenue-mckinnon-vic-3204-17441454
17443790,MCKINNON,3204,1300,,"Friday, 14 February 2025",2025-02-17,204,3,2,2,Townhouse,1/15-17 Station Avenue,-37.909008,145.03906,2025-09-09 17:03:32,17443790,,8,0,0,False,Townhouse/Villa,Townhouse,Century 21 Property Group,21959,Peter Anastas,"Secure Parking, Heating",https://www.domain.com.au/1-15-17-station-avenue-mckinnon-vic-3204-17443790
17697816,MCKINNON,3204,1250,5431.0,"Tuesday, 05 August 2025",2025-08-03,36,4,4,2,Townhouse,18 Adelaide Street,-37.912563,145.04248,2025-09-09 17:03:32,17697816,,15,0,0,False,Townhouse/Villa,Townhouse,Seascape RE,22931,The Manager,"Air conditioning, Built in wardrobes, Balcony / Deck, Dishwasher, Gas Hot Water Service, Intercom, Shed, Heating, Rainwater storage tank, Ensuite",https://www.domain.com.au/18-adelaide-street-mckinnon-vic-3204-17697816
17728111,MCKINNON,3204,1350,5850.0,"Saturday, 06 September 2025",2025-08-22,18,5,3,2,House,29 Lysbeth St,-37.907204,145.0309,2025-09-09 17:03:32,17728111,,14,0,1,False,House,House,RentBetter,27499,,"Gas, Study, Air conditioning, Balcony / Deck, Built in wardrobes, Dishwasher, Fully fenced, Garden / Courtyard, Heating, Pets Allowed, Rainwater storage tank, Secure Parking",https://www.domain.com.au/29-lysbeth-st-mckinnon-vic-3204-17728111
17737397,MCKINNON,3204,875,3802.0,"Tuesday, 09 September 2025",2025-08-28,11,3,2,2,Townhouse,11/170 McKinnon Rd,-37.91137,145.03947,2025-09-09 17:03:32,17737397,,15,1,1,False,Townhouse/Villa,Townhouse,    Gary Peer,30997,Zanthea Zanas,"Air conditioning, Secure Parking, Intercom, Garden / Courtyard, Built in wardrobes, Dishwasher, Internal Laundry",https://www.domain.com.au/11-170-mckinnon-rd-mckinnon-vic-3204-17737397
17737981,MCKINNON,3204,520,2260.0,"Friday, 29 August 2025",2025-08-29,11,1,1,1,Apartment / Unit / Flat,101/240 Mckinnon Road,-37.911713,145.04198,2025-09-09 17:03:32,17737981,,8,1,0,False,Apartment,Apartment / Unit / Flat,MRE,20795,Jivaan Carlyon,"Gas, Heating, Dishwasher, Balcony / Deck, Car Accom: Carport, Pool/Spa Count: 0",https://www.domain.com.au/101-240-mckinnon-road-mckinnon-vic-3204-17737981
17742543,MCKINNON,3204,1350,5866.0,"Friday, 19 September 2025",2025-09-02,7,4,3,2,Townhouse,76 Murray Rd,-37.908443,145.04277,2025-09-09 17:03:32,17742543,,15,0,0,False,Townhouse/Villa,Townhouse,Buxton Bentleigh Rentals,38227,"Sky Dobolewski, Jaryd Bray",,https://www.domain.com.au/76-murray-rd-mckinnon-vic-3204-17742543
17742552,MCKINNON,3204,1350,5866.0,"Friday, 19 September 2025",2025-09-02,7,4,3,2,Townhouse,78 Murray Rd,-37.908413,145.04279,2025-09-09 17:03:32,17742552,,15,0,0,False,Townhouse/Villa,Townhouse,Buxton Bentleigh Rentals,38227,"Sky Dobolewski, Jaryd Bray",,https://www.domain.com.au/78-murray-rd-mckinnon-vic-3204-17742552
17743046,MCKINNON,3204,680,2911.0,"Wednesday, 01 October 2025",2025-09-02,7,2,2,1,Apartment / Unit / Flat,103/2 Graham Avenue,-37.910202,145.04175,2025-09-09 17:03:32,17743046,,7,1,1,False,Apartment,Apartment / Unit / Flat,Urban Real Estate,37286,Damon Lee,"Ensuite(s), Air conditioning, Ensuite, Intercom, Built in wardrobes, Internal Laundry, Gas, Broadband internet access, Heating, Dishwasher, Secure Parking, Balcony / Deck",https://www.domain.com.au/103-2-graham-avenue-mckinnon-vic-3204-17743046
