listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17638856,MEADOW HEIGHTS,3048,530,2300.0,"Thursday, 24 July 2025",2025-06-25,76,4.0,2,1.0,House,102 Rokewood Crs,-37.653835,144.91217,2025-09-09 17:07:00,17638856,,15,0,0,False,House,House,YPA Hume City,12708,Gonul Yesilkaya,"Secure Parking, Study, Built in wardrobes, Heating, Air conditioning, Floorboards",https://www.domain.com.au/102-rokewood-crs-meadow-heights-vic-3048-17638856
17679117,MEADOW HEIGHTS,3048,450,1956.0,"Monday, 01 September 2025",2025-09-01,8,3.0,1,1.0,House,1/28 Bicentennial Crescent,-37.640713,144.92325,2025-09-09 17:07:00,17679117,,5,0,0,False,House,House,Ray White Gladstone Park,31262,Rosalyn Prattico,Bath,https://www.domain.com.au/1-28-bicentennial-crescent-meadow-heights-vic-3048-17679117
17714363,MEADOW HEIGHTS,3048,450,,"Monday, 25 August 2025",2025-08-13,26,3.0,1,2.0,House,43 Dunkeld Street,-37.65258,144.92348,2025-09-09 17:07:00,17714363,,7,0,0,False,House,House,A E Gibson & Co The Professionals Glenroy,29857,Tania Novembre,"Built in wardrobes, Bath, Heating, Dishwasher, Laundry",https://www.domain.com.au/43-dunkeld-street-meadow-heights-vic-3048-17714363
17716699,MEADOW HEIGHTS,3048,510,2216.0,"Thursday, 14 August 2025",2025-08-15,25,3.0,1,2.0,House,15 Magnolia Boulevard,-37.647392,144.91559,2025-09-09 17:07:00,17716699,,13,0,1,False,House,House,Ray White Glenroy,17825,Athanasi Triantafillou,"Built in wardrobes, Shed",https://www.domain.com.au/15-magnolia-boulevard-meadow-heights-vic-3048-17716699
17720848,MEADOW HEIGHTS,3048,550,2390.0,"Monday, 15 September 2025",2025-08-18,21,3.0,1,1.0,House,27 Melaleuca Drive,-37.646473,144.91316,2025-09-09 17:07:00,17720848,,11,0,0,False,House,House,First National Real Estate Meadow Heights,18476,Leanne Abdallah,"Balcony / Deck, Secure Parking",https://www.domain.com.au/27-melaleuca-drive-meadow-heights-vic-3048-17720848
17721073,MEADOW HEIGHTS,3048,550,2390.0,"Friday, 26 September 2025",2025-08-19,21,3.0,2,2.0,House,11 Cassinia Crescent,-37.649906,144.91344,2025-09-09 17:07:00,17721073,,7,0,0,False,House,House,YPA Hume City,12708,Payal Payal,,https://www.domain.com.au/11-cassinia-crescent-meadow-heights-vic-3048-17721073
17721549,MEADOW HEIGHTS,3048,575,2499.0,"Tuesday, 19 August 2025",2025-08-19,21,3.0,1,6.0,House,13 Gobur Court,-37.659153,144.91093,2025-09-09 17:07:00,17721549,,11,0,0,True,House,House,Ray White Glenroy,17825,Athanasi Triantafillou,"Built in wardrobes, Heating, Shed",https://www.domain.com.au/13-gobur-court-meadow-heights-vic-3048-17721549
17723222,MEADOW HEIGHTS,3048,520,2255.0,"Thursday, 18 September 2025",2025-08-20,20,3.0,1,,House,2 Munro Court,-37.653793,144.91533,2025-09-09 17:07:00,17723222,,7,0,0,False,House,House,YPA Hume City,12708,Gonul Yesilkaya,"Internal Laundry, Built in wardrobes, Close to schools, Close to shops, Close to transport, Heating",https://www.domain.com.au/2-munro-court-meadow-heights-vic-3048-17723222
17726741,MEADOW HEIGHTS,3048,650,2820.0,"Saturday, 30 August 2025",2025-08-21,19,3.0,2,1.0,House,34 Bicentennial Crescent,-37.640846,144.92372,2025-09-09 17:07:00,17726741,,13,0,0,False,House,House,YPA Hume City,12708,Ayse Tutuncu,"Gas, Secure Parking, Heating, Ensuite",https://www.domain.com.au/34-bicentennial-crescent-meadow-heights-vic-3048-17726741
17726860,MEADOW HEIGHTS,3048,480,2085.0,"Thursday, 04 September 2025",2025-08-21,18,3.0,1,1.0,Apartment / Unit / Flat,2/4 Thistle Court,-37.644146,144.92476,2025-09-09 17:07:00,17726860,,11,0,0,False,Apartment,Apartment / Unit / Flat,First National Real Estate Meadow Heights,18476,Leanne Abdallah,Secure Parking,https://www.domain.com.au/2-4-thistle-court-meadow-heights-vic-3048-17726860
17731555,MEADOW HEIGHTS,3048,520,2255.0,"Friday, 12 September 2025",2025-08-26,14,3.0,1,,Apartment / Unit / Flat,1/64 Ashleigh Crescent,-37.653645,144.91803,2025-09-09 17:07:00,17731555,,7,0,0,False,Apartment,Apartment / Unit / Flat,YPA Hume City,12708,Ayse Tutuncu,,https://www.domain.com.au/1-64-ashleigh-crescent-meadow-heights-vic-3048-17731555
17737060,MEADOW HEIGHTS,3048,520,2260.0,"Thursday, 28 August 2025",2025-08-28,12,3.0,1,1.0,House,15 Simpson Court,-37.661438,144.91136,2025-09-09 17:07:00,17737060,,8,0,0,False,House,House,First National Real Estate Meadow Heights,18476,Leanne Abdallah,Secure Parking,https://www.domain.com.au/15-simpson-court-meadow-heights-vic-3048-17737060
17741828,MEADOW HEIGHTS,3048,550,2390.0,"Monday, 15 September 2025",2025-09-01,8,4.0,1,4.0,House,60 Eucalyptus Place,-37.639893,144.92021,2025-09-09 17:07:00,17741828,,19,0,0,False,House,House,Barry Plant Reservoir,15050,Tammy Spiteri,"Internal Laundry, Secure Parking, Study, Air conditioning, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ducted Heating",https://www.domain.com.au/60-eucalyptus-place-meadow-heights-vic-3048-17741828
17744598,MEADOW HEIGHTS,3048,470,2042.0,"Wednesday, 02 July 2025",2025-09-03,6,3.0,1,1.0,House,21 Gunbower Crescent,-37.64162,144.92755,2025-09-09 17:07:00,17744598,,11,0,0,False,House,House,Harcourts Rata & Co,30123,Adriana Lagaris,"Built in wardrobes, Internal Laundry, Heating, Shed, Air conditioning, Close to transport, Close to shops, Close to schools, Carpeted, Openable Windows",https://www.domain.com.au/21-gunbower-crescent-meadow-heights-vic-3048-17744598
17745474,MEADOW HEIGHTS,3048,530,2303.0,"Monday, 15 September 2025",2025-09-03,6,3.0,2,1.0,House,10 Lubeck Court,-37.65936,144.9209,2025-09-09 17:07:00,17745474,,11,0,0,False,House,House,Barry Plant Glenroy,11897,Elly Emini,"Built in wardrobes, Secure Parking, Heating",https://www.domain.com.au/10-lubeck-court-meadow-heights-vic-3048-17745474
17750939,MEADOW HEIGHTS,3048,560,2433.0,"Thursday, 18 September 2025",2025-09-08,1,3.0,2,,House,65 Bicentennial Crescent,-37.640366,144.92355,2025-09-09 17:07:00,17750939,,13,0,0,False,House,House,Equity Estate Agents,37028,Cathy Boccia,"Ensuite, Dishwasher, Built in wardrobes, Floorboards, Ducted Heating, Fully fenced",https://www.domain.com.au/65-bicentennial-crescent-meadow-heights-vic-3048-17750939
17752389,MEADOW HEIGHTS,3048,600,2607.0,"Saturday, 13 September 2025",2025-09-08,0,4.0,2,4.0,House,5 Chilwell Court,-37.66004,144.9244,2025-09-09 17:07:00,17752389,,18,1,0,False,House,House,Ray White Craigieburn,4110,Ray White Craigieburn,"Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher, Secure Parking, Solar panels",https://www.domain.com.au/5-chilwell-court-meadow-heights-vic-3048-17752389
17752392,MEADOW HEIGHTS,3048,530,2303.0,"Wednesday, 24 September 2025",2025-09-08,0,3.0,2,1.0,House,15 Hopkins Way,-37.64129,144.92421,2025-09-09 17:07:00,17752392,,19,0,0,False,House,House,Reliance Craigieburn,36313,Sushmitha Kaparthi,Secure Parking,https://www.domain.com.au/15-hopkins-way-meadow-heights-vic-3048-17752392
17752587,MEADOW HEIGHTS,3048,550,2390.0,"Tuesday, 09 September 2025",2025-09-09,0,3.0,1,3.0,Apartment / Unit / Flat,1/45 Rokewood Crescent,-37.658405,144.90985,2025-09-09 17:07:00,17752587,,18,0,0,False,Apartment,Apartment / Unit / Flat,L&M Property Co,36956,Nicky Karaman,Built in wardrobes,https://www.domain.com.au/1-45-rokewood-crescent-meadow-heights-vic-3048-17752587
17753552,MEADOW HEIGHTS,3048,500,2173.0,"Tuesday, 09 September 2025",2025-09-09,0,3.0,1,2.0,House,93 Ashleigh Cresent,-37.653812,144.9185,2025-09-09 17:07:00,17753552,,8,0,0,False,House,House,Merri-bek Real Estate,37342,Charbel Kattoura,"Gas, Internal Laundry, Bath, Heating, Dishwasher, Built in wardrobes, Floorboards, Air-Conditioner, Courtyard",https://www.domain.com.au/93-ashleigh-cresent-meadow-heights-vic-3048-17753552
12672935,MEADOW HEIGHTS,3048,530,2300.0,"Friday, 15 August 2025",2025-07-11,60,3.0,1,1.0,House,2 Amarina Close,-37.64834,144.92657,2025-09-09 17:07:05,12672935,MC-4977-XN,1,0,0,False,House,House,YPA Hume City,12708,Payal Payal,Air conditioning,https://www.domain.com.au/2-amarina-close-meadow-heights-vic-3048-12672935
