listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17159885,MELBOURNE,3000,620,2694.0,"Wednesday, 01 October 2025",2025-09-09,0,2.0,1.0,1.0,Apartment / Unit / Flat,1906/568 Collins Street,-37.818382,144.95552,2025-09-09 16:16:40,17159885,IA-6891-RW,16,0,0,False,Apartment,Apartment / Unit / Flat,First National Avant - Box Hill,33756,Leasing Team,"Dishwasher, Gym, Inground Pool, Intercom, Sauna",https://www.domain.com.au/1906-568-collins-street-melbourne-vic-3000-17159885
17751138,MELBOURNE,3000,620,,"Saturday, 03 October 2026",2025-09-08,1,2.0,1.0,,Apartment / Unit / Flat,55/33 La Trobe Street,-37.807903,144.97034,2025-09-09 16:16:40,17751138,,15,1,1,False,Apartment,Apartment / Unit / Flat,MICM Real Estate,232,Sash (Simran) Singh,"Internal Laundry, Secure Parking, Swimming Pool, Balcony / Deck, Built in wardrobes, Gym, Intercom",https://www.domain.com.au/55-33-la-trobe-street-melbourne-vic-3000-17751138
17752433,MELBOURNE,3000,500,2173.0,"Monday, 08 September 2025",2025-09-08,0,1.0,1.0,,Apartment / Unit / Flat,905/557 Little Lonsdale St,-37.81326,144.95535,2025-09-09 16:16:40,17752433,,6,0,0,False,Apartment,Apartment / Unit / Flat,JALIN REALTY AUSTRALIA PTY LTD,24185,Winnie Yang,"Heating, Air conditioning, Intercom, Built in wardrobes, Dishwasher, Furnished",https://www.domain.com.au/905-557-little-lonsdale-st-melbourne-vic-3000-17752433
17752651,MELBOURNE,3000,650,2825.0,"Sunday, 21 September 2025",2025-09-09,0,1.0,1.0,,Apartment / Unit / Flat,205/442 Elizabeth Street,-37.80841,144.96078,2025-09-09 16:16:40,17752651,,14,0,1,False,Apartment,Apartment / Unit / Flat,Areal Property - Hawthorn,12104,Kevin Sun,"Air conditioning, Intercom, Swimming Pool, Balcony / Deck, Built in wardrobes, Dishwasher, Gym, Out door entertaining area, Furnished",https://www.domain.com.au/205-442-elizabeth-street-melbourne-vic-3000-17752651
17752741,MELBOURNE,3000,520,2260.0,"Monday, 06 October 2025",2025-09-09,0,1.0,1.0,,Apartment / Unit / Flat,2309/288 Spencer Street,-37.813812,144.95203,2025-09-09 16:16:40,17752741,,10,0,0,False,Apartment,Apartment / Unit / Flat,Lucas Real Estate,7574,"Juan Hernandez, Isabel Villa","Internal Laundry, Heating, Dishwasher, Built in wardrobes, Gym, Air-Conditioner, Swimming Pool",https://www.domain.com.au/2309-288-spencer-street-melbourne-vic-3000-17752741
17752813,MELBOURNE,3000,670,2911.0,"Monday, 15 September 2025",2025-09-09,0,2.0,1.0,,Apartment / Unit / Flat,3901/500 Elizabeth Street,-37.807095,144.96028,2025-09-09 16:16:40,17752813,,24,0,1,False,Apartment,Apartment / Unit / Flat,BRADY residential,7261,"Madison Healy, Spencer Xu","Gas, Internal Laundry, Balcony / Deck, Air conditioning, Heating, Built in wardrobes, Intercom, Gym, Inside Spa",https://www.domain.com.au/3901-500-elizabeth-street-melbourne-vic-3000-17752813
17752829,MELBOURNE,3000,750,,"Wednesday, 01 October 2025",2025-09-09,0,2.0,1.0,1.0,Apartment / Unit / Flat,409/668 Bourke Street,-37.81659,144.95421,2025-09-09 16:16:40,17752829,,16,1,2,False,Apartment,Apartment / Unit / Flat,MICM Real Estate,232,Miki Kawabuchi,"Gas, Internal Laundry, Bath, Secure Parking, Tennis Court, Swimming Pool, Air conditioning, Balcony / Deck, Built in wardrobes, Dishwasher, Gym, Intercom",https://www.domain.com.au/409-668-bourke-street-melbourne-vic-3000-17752829
17752866,MELBOURNE,3000,450,1955.0,"Friday, 10 October 2025",2025-09-09,0,,1.0,,Studio,2008/288 Spencer Street,-37.813828,144.95203,2025-09-09 16:16:40,17752866,,8,0,1,False,Apartment,Studio,Hodges South Melbourne,4311,Frazer Downes,,https://www.domain.com.au/2008-288-spencer-street-melbourne-vic-3000-17752866
17752936,MELBOURNE,3000,550,2173.0,"Tuesday, 09 September 2025",2025-09-09,0,1.0,1.0,,Apartment / Unit / Flat,2602/5 Sutherland Street,-37.81141,144.96083,2025-09-09 16:16:40,17752936,,21,0,1,False,Apartment,Apartment / Unit / Flat,BRADY residential,7261,"Maria  Huang, Sarah Absolom","Gas, Heating, Balcony / Deck, Built in wardrobes, Intercom, Gym, Inside Spa",https://www.domain.com.au/2602-5-sutherland-street-melbourne-vic-3000-17752936
17753122,MELBOURNE,3000,870,3780.0,"Wednesday, 20 August 2025",2025-09-09,0,2.0,2.0,,Apartment / Unit / Flat,3909/260 Spencer Street,-37.814274,144.95242,2025-09-09 16:16:40,17753122,,22,1,1,False,Apartment,Apartment / Unit / Flat,AZeta Real Estate,31228,Gloria Ye,"Gym, Intercom, Floorboards, Built in wardrobes, Dishwasher, Split System Heating, Split System Air Conditioning, Swimming Pool, City Views",https://www.domain.com.au/3909-260-spencer-street-melbourne-vic-3000-17753122
17753288,MELBOURNE,3000,750,3259.0,"Tuesday, 21 October 2025",2025-09-09,0,2.0,1.0,1.0,Apartment / Unit / Flat,4207/22-24 Jane Bell Lane,-37.81022,144.96626,2025-09-09 16:16:40,17753288,,8,0,1,True,Apartment,Apartment / Unit / Flat, Woodards Manningham ,21971,"Michael Talia, Manningham Rentals","Gas, Internal Laundry, Air conditioning, Balcony / Deck, Built in wardrobes, Dishwasher, Ducted Heating, Floorboards, Gym, Intercom, Outdoor Entertainment Area, Swimming Pool, Secure Parking, Ducted Cooling",https://www.domain.com.au/4207-22-24-jane-bell-lane-melbourne-vic-3000-17753288
17753557,MELBOURNE,3000,680,2955.0,"Tuesday, 09 September 2025",2025-09-09,0,1.0,1.0,,Apartment / Unit / Flat,2708/228 La Trobe Street,-37.809616,144.9623,2025-09-09 16:16:40,17753557,,9,1,1,False,Apartment,Apartment / Unit / Flat,Forge Group Australia Pty Ltd,32680,"Forge Leasing, Wayne Deng","Balcony / Deck, Swimming Pool - In Ground, Alarm System, Broadband Internet Available, Built in wardrobes, Dishwasher, Floorboards, Gym, Air conditioning, Split-System Air Conditioning, Furnished",https://www.domain.com.au/2708-228-la-trobe-street-melbourne-vic-3000-17753557
17753742,MELBOURNE,3000,480,2086.0,"Friday, 17 October 2025",2025-09-09,0,1.0,1.0,,Studio,1704/220 Spencer Street,-37.81544,144.95297,2025-09-09 16:16:40,17753742,,9,0,0,False,Apartment,Studio,Moment Group,35720,"Leasing Consultant, Jake Wang","Furnished, Gym, Heating, Balcony / Deck",https://www.domain.com.au/1704-220-spencer-street-melbourne-vic-3000-17753742
17753750,MELBOURNE,3000,500,2172.0,"Friday, 12 September 2025",2025-09-09,0,1.0,1.0,1.0,Apartment / Unit / Flat,1237/43 Therry Street,-37.807198,144.96065,2025-09-09 16:16:40,17753750,,8,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Ivanhoe,30455,Brodie Aston,"Furnished, Dishwasher",https://www.domain.com.au/1237-43-therry-street-melbourne-vic-3000-17753750
17753871,MELBOURNE,3000,475,2064.0,"Thursday, 09 October 2025",2025-09-09,0,1.0,1.0,,Apartment / Unit / Flat,101/253 Franklin Street,-37.8095,144.95667,2025-09-09 16:16:40,17753871,,7,0,1,False,Apartment,Apartment / Unit / Flat,JMRE Real Estate,24502,Molly Bradshaw,"Study, Air conditioning, Heating, Intercom, Furnished",https://www.domain.com.au/101-253-franklin-street-melbourne-vic-3000-17753871
17753990,MELBOURNE,3000,530,,"Saturday, 13 September 2025",2025-09-09,0,1.0,1.0,,Apartment / Unit / Flat,202/31 ABeckett Street,-37.80892,144.96257,2025-09-09 16:16:40,17753990,,6,0,0,False,Apartment,Apartment / Unit / Flat,MICM Real Estate,232,Billy Kwong,"Internal Laundry, Air conditioning, Balcony / Deck, Built in wardrobes, Intercom, Furnished",https://www.domain.com.au/202-31-abeckett-street-melbourne-vic-3000-17753990
17753991,MELBOURNE,3000,650,,"Monday, 22 September 2025",2025-09-09,0,1.0,1.0,1.0,Apartment / Unit / Flat,2505/155 Franklin Street,-37.808826,144.95955,2025-09-09 16:16:40,17753991,,10,0,0,False,Apartment,Apartment / Unit / Flat,MICM Real Estate,232,Sash (Simran) Singh,"Gas, Internal Laundry, Heating, Secure Parking, Swimming Pool, Air conditioning, Broadband internet access, Built in wardrobes, Dishwasher, Gym, Intercom",https://www.domain.com.au/2505-155-franklin-street-melbourne-vic-3000-17753991
17754018,MELBOURNE,3000,485,2108.0,"Friday, 10 October 2025",2025-09-09,0,1.0,1.0,,Apartment / Unit / Flat,207/243 Franklin St,-37.809772,144.957,2025-09-09 16:16:40,17754018,,6,0,0,False,Apartment,Apartment / Unit / Flat,aussieproperty.com,29831,"Alexander Gorejena, Arthur Karlis","Intercom, Built in wardrobes, Balcony / Deck",https://www.domain.com.au/207-243-franklin-st-melbourne-vic-3000-17754018
17754023,MELBOURNE,3000,780,3389.0,"Friday, 10 October 2025",2025-09-09,0,2.0,2.0,1.0,Apartment / Unit / Flat,6/143 Franklin Street,-37.808586,144.95976,2025-09-09 16:16:40,17754023,,14,0,0,False,Apartment,Apartment / Unit / Flat,McGrath,19308,Daniel Hamilton,,https://www.domain.com.au/6-143-franklin-street-melbourne-vic-3000-17754023
17754078,MELBOURNE,3000,730,,"Wednesday, 01 October 2025",2025-09-09,0,2.0,1.0,1.0,Apartment / Unit / Flat,1106/618 Lonsdale Street,-37.8145,144.95403,2025-09-09 16:16:40,17754078,,12,0,0,False,Apartment,Apartment / Unit / Flat,MICM Real Estate,232,Billy Kwong,"Air conditioning, Built in wardrobes, Gas, Internal Laundry, Broadband internet access, Heating, Swimming Pool, Gym, Furnished",https://www.domain.com.au/1106-618-lonsdale-street-melbourne-vic-3000-17754078
13973904,MELBOURNE,3000,600,2607.0,"Thursday, 09 October 2025",2025-09-08,0,1.0,1.0,,Apartment / Unit / Flat,201/36 La Trobe Street,-37.808247,144.96764,2025-09-09 16:16:46,13973904,OW-9338-XF,9,0,0,False,Apartment,Apartment / Unit / Flat,Xynergy Realty South Yarra,21571,Eric Yin,"Intercom, Built in wardrobes, Furnished",https://www.domain.com.au/201-36-la-trobe-street-melbourne-vic-3000-13973904
15926357,MELBOURNE,3000,580,2520.0,"Monday, 06 October 2025",2025-09-08,1,1.0,1.0,,Apartment / Unit / Flat,1102/263 Franklin Street,-37.80955,144.95662,2025-09-09 16:16:46,15926357,MH-1649-EL,17,1,1,True,Apartment,Apartment / Unit / Flat,Austrump Glen Pty Ltd,31049,"Tony Huang, Mary Navarro","Air conditioning, Dishwasher, Intercom, Built in wardrobes, Balcony, Furnished",https://www.domain.com.au/1102-263-franklin-street-melbourne-vic-3000-15926357
16358802,MELBOURNE,3000,750,3259.0,"Friday, 10 October 2025",2025-09-08,1,2.0,2.0,1.0,Apartment / Unit / Flat,3509/200 Spencer Street,-37.81619,144.95326,2025-09-09 16:16:46,16358802,DM-3015-AO,13,0,0,False,Apartment,Apartment / Unit / Flat,L Real Estate,32806,Mona Tang,"Intercom, Gym, Alarm System, Built in wardrobes, Dishwasher, Split System Heating, Split System Air Conditioning, Balcony, Remote Garage, Furnished",https://www.domain.com.au/3509-200-spencer-street-melbourne-vic-3000-16358802
17190524,MELBOURNE,3000,850,3693.0,"Thursday, 09 October 2025",2025-09-08,0,2.0,1.0,,Apartment / Unit / Flat,4311/371 Little Lonsdale Street,-37.81177,144.96094,2025-09-09 16:16:46,17190524,VG-4102-WA,17,1,0,True,Apartment,Apartment / Unit / Flat,Austrump Glen Pty Ltd,31049,"Gloria Huang, Kristy Zhang","Balcony / Deck, Gym, Intercom, Floorboards, Built in wardrobes, Furnished",https://www.domain.com.au/4311-371-little-lonsdale-street-melbourne-vic-3000-17190524
17666921,MELBOURNE,3000,400,1738.0,"Monday, 14 July 2025",2025-09-08,1,1.0,1.0,,Apartment / Unit / Flat,1231/43 Therry Street,-37.807198,144.96065,2025-09-09 16:16:46,17666921,,7,0,1,False,Apartment,Apartment / Unit / Flat,Melcorp Real Estate,11842,"Jordan Nunns, Leasing Team","Furnished, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Intercom, Close to schools, City Views, Security Access, Security System",https://www.domain.com.au/1231-43-therry-street-melbourne-vic-3000-17666921
