listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
14408135,MELTON,3337,360.0,1564.0,"Monday, 15 September 2025",2025-09-01,8,3.0,1.0,1.0,House,9 Kinkora Road,-37.6891,144.57097,2025-09-09 16:46:29,14408135,DX-9722-OQ,8,0,0,False,House,House,Raine & Horne Melton,22328,Meredith Verrity,"Built in wardrobes, Gas, Pets Allowed, Bath, Heating",https://www.domain.com.au/9-kinkora-road-melton-vic-3337-14408135
17165173,MELTON,3337,525.0,2281.0,"Friday, 26 September 2025",2025-08-26,14,3.0,2.0,2.0,House,9 Lakewood Blvd,-37.689426,144.58847,2025-09-09 16:46:29,17165173,WW-4750-IU,33,1,1,True,House,House,Prime Residential Property Management,31221,Sophie Pearson,"Bath, Alarm System, Dishwasher, Ducted Heating, Split System Air Conditioning, Balcony, Remote Garage, Shed, Pets Allowed",https://www.domain.com.au/9-lakewood-blvd-melton-vic-3337-17165173
17615847,MELTON,3337,420.0,1825.0,"Friday, 29 August 2025",2025-08-29,11,3.0,1.0,1.0,House,58 Vista Drive,-37.68256,144.57414,2025-09-09 16:46:29,17615847,,9,1,0,False,House,House,Barry Plant Caroline Springs,11528,"Garnet Rodrigues, Property Management","Air conditioning, Built in wardrobes, Shed, Balcony / Deck",https://www.domain.com.au/58-vista-drive-melton-vic-3337-17615847
17620488,MELTON,3337,400.0,1738.0,"Wednesday, 20 August 2025",2025-08-23,17,3.0,1.0,2.0,House,86 Barries Road,-37.687958,144.57298,2025-09-09 16:46:29,17620488,,11,0,0,False,House,House,Fletchers Melton,36340,Dhaval Gala,Internal Laundry,https://www.domain.com.au/86-barries-road-melton-vic-3337-17620488
17707359,MELTON,3337,500.0,2173.0,"Friday, 08 August 2025",2025-08-08,32,4.0,2.0,2.0,Townhouse,28 Mavi Avenue,-37.69193,144.58812,2025-09-09 16:46:29,17707359,,13,0,0,False,Townhouse/Villa,Townhouse,Reliance Real Estate Melton,28914,"Daisy Singh, Courtney Jane","Internal Laundry, Secure Parking, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/28-mavi-avenue-melton-vic-3337-17707359
17708070,MELTON,3337,435.0,1890.0,"Friday, 05 September 2025",2025-08-08,31,3.0,1.0,1.0,House,8 Lorimer Street,-37.689857,144.57323,2025-09-09 16:46:29,17708070,,21,1,1,False,House,House,Reliance Real Estate Melton,28914,"Travis Medley, Courtney Jane","Secure Parking, Air conditioning, Heating, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/8-lorimer-street-melton-vic-3337-17708070
17712335,MELTON,3337,460.0,1999.0,"Wednesday, 13 August 2025",2025-08-12,28,3.0,2.0,2.0,House,3 Cassia Road,-37.678276,144.58142,2025-09-09 16:46:29,17712335,,17,0,0,False,House,House,Ray White Rockbank,34315,"Savvy Sidhu, Reet Sarain","Air conditioning, Gas, Secure Parking, Fireplace(s), Heating, Dishwasher",https://www.domain.com.au/3-cassia-road-melton-vic-3337-17712335
17718244,MELTON,3337,440.0,1912.0,"Monday, 18 August 2025",2025-08-15,24,3.0,2.0,2.0,House,72 Gretel Grove,-37.690372,144.58167,2025-09-09 16:46:29,17718244,,7,0,0,False,House,House,The Roof Real Estate,36733,"Nitu Grewal, Rita Sehgal","Built in wardrobes, Internal Laundry, Secure Parking, Dishwasher",https://www.domain.com.au/72-gretel-grove-melton-vic-3337-17718244
17719187,MELTON,3337,450.0,,"Tuesday, 16 September 2025",2025-08-18,22,4.0,2.0,2.0,House,59 Carina Drive,-37.68327,144.56987,2025-09-09 16:46:29,17719187,,7,0,0,False,House,House,LJ Hooker – Property Link,30303,Paras Singh,"Floorboards, Built in wardrobes, Secure Parking, Shed, Fully fenced",https://www.domain.com.au/59-carina-drive-melton-vic-3337-17719187
17729490,MELTON,3337,410.0,1782.0,"Monday, 25 August 2025",2025-08-25,15,3.0,2.0,2.0,House,1 Inez Court,-37.686573,144.57957,2025-09-09 16:46:29,17729490,,4,0,0,False,House,House,Ray White West Realty,28524,"Louise Ericksen, Chantae Jones",Secure Parking,https://www.domain.com.au/1-inez-court-melton-vic-3337-17729490
