listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16625471,MELTON SOUTH,3338,415.0,1804.0,"Tuesday, 05 August 2025",2025-07-10,61,3,2,1.0,House,1/38 Equine Circuit,-37.719334,144.5735,2025-09-09 16:50:15,16625471,MW-2763-YR,11,0,0,False,House,House,Raine & Horne Melton,22328,"Harry Singh, Kieran Carson","Air conditioning, Alarm System, Built in wardrobes, Bath, Heating, Dishwasher, Secure Parking, Shed, Fully fenced",https://www.domain.com.au/1-38-equine-circuit-melton-south-vic-3338-16625471
17150531,MELTON SOUTH,3338,460.0,1995.0,"Monday, 22 September 2025",2025-08-21,19,4,2,2.0,House,8 Francis Street,-37.694324,144.57506,2025-09-09 16:50:15,17150531,ZN-0687-CT,27,0,1,False,House,House,Ray White Melton,16673,Jo Elmer,"Secure Parking, Built in wardrobes, Internal Laundry, Bath",https://www.domain.com.au/8-francis-street-melton-south-vic-3338-17150531
17613953,MELTON SOUTH,3338,450.0,1955.0,"Friday, 24 October 2025",2025-08-25,15,3,1,2.0,House,17 Kurrajong Crescent,-37.70155,144.57225,2025-09-09 16:50:15,17613953,,11,0,0,False,House,House,Ray White West Realty,28524,"Enza Rossitto, Chantae Jones","Air conditioning, Gas, Bath, Fireplace(s)",https://www.domain.com.au/17-kurrajong-crescent-melton-south-vic-3338-17613953
17660778,MELTON SOUTH,3338,420.0,1825.0,"Monday, 14 July 2025",2025-07-09,62,4,1,2.0,House,40 Neerim Street,-37.695026,144.56726,2025-09-09 16:50:15,17660778,,6,0,0,False,House,House,LJ Hooker – Property Link,30303,"Paras Singh, Rentals Property Link","Built in wardrobes, Internal Laundry, Pets Allowed, Bath, Dishwasher, Shed, Garden / Courtyard",https://www.domain.com.au/40-neerim-street-melton-south-vic-3338-17660778
17692001,MELTON SOUTH,3338,390.0,,"Tuesday, 29 July 2025",2025-07-30,41,3,1,6.0,House,20 Brennan Street,-37.704758,144.57243,2025-09-09 16:50:15,17692001,,9,0,0,False,House,House,Local Expertz,34097,"Sally Aghan, Yemu Kupfuwamhandu","Air conditioning, Built in wardrobes, Close to transport, Close to schools, Ducted Heating",https://www.domain.com.au/20-brennan-street-melton-south-vic-3338-17692001
17694445,MELTON SOUTH,3338,440.0,1912.0,"Thursday, 11 September 2025",2025-07-31,40,4,1,2.0,House,45 Kurrajong Crescent,-37.701694,144.56978,2025-09-09 16:50:15,17694445,,13,0,1,False,House,House,Ray White West Realty,28524,"Enza Rossitto, Chantae Jones","Air conditioning, Built in wardrobes, Broadband internet access, Heating, Shed",https://www.domain.com.au/45-kurrajong-crescent-melton-south-vic-3338-17694445
17697710,MELTON SOUTH,3338,450.0,1955.0,"Monday, 04 August 2025",2025-08-02,38,3,3,2.0,House,1 Songlark Street,-37.718388,144.57916,2025-09-09 16:50:15,17697710,,16,0,1,False,House,House,Pine Crest Real Estate,35920,"Vijeta Kamboj, Taran Arora",Ensuite,https://www.domain.com.au/1-songlark-street-melton-south-vic-3338-17697710
17698924,MELTON SOUTH,3338,395.0,1716.0,"Monday, 15 September 2025",2025-08-04,36,3,1,2.0,House,72 Station Road,-37.696793,144.57655,2025-09-09 16:50:15,17698924,,9,0,0,False,House,House,LJ Hooker – Property Link,30303,Rentals Property Link,"Built in wardrobes, Internal Laundry, Pets Allowed, Bath, Secure Parking, Shed, Balcony / Deck, Garden / Courtyard",https://www.domain.com.au/72-station-road-melton-south-vic-3338-17698924
17704041,MELTON SOUTH,3338,460.0,1999.0,"Monday, 06 October 2025",2025-08-06,33,4,2,2.0,House,96 Pintail Drive,-37.720173,144.57999,2025-09-09 16:50:15,17704041,,8,0,0,False,House,House,YPA Estate Agents Melton,15655,"Jessica Cash, Kimberley McLelland",Heating,https://www.domain.com.au/96-pintail-drive-melton-south-vic-3338-17704041
17706029,MELTON SOUTH,3338,400.0,1738.0,"Wednesday, 28 August 2024",2025-08-07,33,3,1,2.0,House,1 Drouin Court,-37.695843,144.56819,2025-09-09 16:50:15,17706029,,13,0,1,True,House,House,YPA Estate Agents Melton,15655,"Kimberley McLelland, Rachel Gordon","Gas, Internal Laundry, Built in wardrobes, Heating, Air conditioning, Fully fenced, Fireplace(s), Outdoor Entertaining, Secure Parking",https://www.domain.com.au/1-drouin-court-melton-south-vic-3338-17706029
