listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16661373,MENTONE,3194,500,2173,"Friday, 10 October 2025",2025-09-08,1,2,1,,Apartment / Unit / Flat,15/4 Latona Street,-37.98664,145.0584,2025-09-09 17:00:40,16661373,AW-9919-AB,13,0,0,True,Apartment,Apartment / Unit / Flat,Ray White The Bayside Group,6378,"Ildiko Orsos, Isabella Dinelli",Heating,https://www.domain.com.au/15-4-latona-street-mentone-vic-3194-16661373
17665436,MENTONE,3194,850,3693,"Friday, 01 August 2025",2025-07-11,60,3,2,1.0,House,94 Mentone Parade,-37.98483,145.065,2025-09-09 17:00:40,17665436,,6,0,0,False,House,House,HODGES MENTONE,3918,Emma Harrison,"Internal Laundry, Heating, Dishwasher",https://www.domain.com.au/94-mentone-parade-mentone-vic-3194-17665436
17679793,MENTONE,3194,360,1651,"Saturday, 26 July 2025",2025-07-22,49,1,1,,House,A/112 Nepean Highway,-37.981342,145.0699,2025-09-09 17:00:40,17679793,,5,0,0,False,House,House,HODGES MENTONE,3918,Taya Davidson,"Air conditioning, Gas",https://www.domain.com.au/a-112-nepean-highway-mentone-vic-3194-17679793
17698599,MENTONE,3194,550,2390,"Monday, 04 August 2025",2025-08-04,36,2,1,,Apartment / Unit / Flat,9/7 Venice St,-37.985237,145.06133,2025-09-09 17:00:40,17698599,,10,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Bayside,16215,Dimmy Alevizos,"Air conditioning, Internal Laundry, Secure Parking",https://www.domain.com.au/9-7-venice-st-mentone-vic-3194-17698599
17699375,MENTONE,3194,740,3215,"Monday, 08 September 2025",2025-08-04,36,3,1,3.0,House,4 Wakool Av,-37.982655,145.05339,2025-09-09 17:00:40,17699375,,14,0,0,False,House,House,Barry Plant Bayside,16215,Dimmy Alevizos,"Built in wardrobes, Gas, Heating, Dishwasher, Balcony / Deck, Remote Garage",https://www.domain.com.au/4-wakool-av-mentone-vic-3194-17699375
17707091,MENTONE,3194,700,3042,"Friday, 22 August 2025",2025-08-08,32,3,2,2.0,House,119 Patty St,-37.97797,145.06598,2025-09-09 17:00:40,17707091,,8,0,0,False,House,House,Barry Plant Bayside,16215,Dimmy Alevizos,"Internal Laundry, Dishwasher",https://www.domain.com.au/119-patty-st-mentone-vic-3194-17707091
17709686,MENTONE,3194,430,1868,"Monday, 11 August 2025",2025-08-11,29,2,1,1.0,House,C/112 Nepean Highway,-37.981342,145.0699,2025-09-09 17:00:40,17709686,,6,0,0,False,House,House,HODGES MENTONE,3918,Taya Davidson,"Air conditioning, Gas",https://www.domain.com.au/c-112-nepean-highway-mentone-vic-3194-17709686
17715344,MENTONE,3194,710,3085,"Friday, 29 August 2025",2025-08-14,26,4,1,3.0,House,13 Avenza Street,-37.981045,145.07591,2025-09-09 17:00:40,17715344,,14,0,1,False,House,House,Eleven North Property Group,33338,Wenda Chng,Internal Laundry,https://www.domain.com.au/13-avenza-street-mentone-vic-3194-17715344
17718201,MENTONE,3194,600,2607,"Wednesday, 10 September 2025",2025-08-15,25,2,2,1.0,Apartment / Unit / Flat,302/144 Collins Street,-37.981026,145.0691,2025-09-09 17:00:40,17718201,,6,0,0,False,Apartment,Apartment / Unit / Flat,Buxton Real Estate Mentone,3937,Chloe Maud,"Built in wardrobes, Secure Parking, Intercom, Heating, Dishwasher",https://www.domain.com.au/302-144-collins-street-mentone-vic-3194-17718201
17725262,MENTONE,3194,410,1782,"Thursday, 21 August 2025",2025-08-21,19,1,1,1.0,Apartment / Unit / Flat,4/18 Collins Street,-37.979183,145.05547,2025-09-09 17:00:40,17725262,,8,0,1,False,Apartment,Apartment / Unit / Flat,Ray White Northcote,37294,"Sophie Bilias, George Boutsiavaras",,https://www.domain.com.au/4-18-collins-street-mentone-vic-3194-17725262
17726180,MENTONE,3194,450,1955,"Friday, 26 September 2025",2025-08-21,19,1,1,1.0,Apartment / Unit / Flat,11/2-4 Davies St,-37.981956,145.06213,2025-09-09 17:00:40,17726180,,7,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Bayside,16215,Dimmy Alevizos,"Internal Laundry, Heating",https://www.domain.com.au/11-2-4-davies-st-mentone-vic-3194-17726180
17730709,MENTONE,3194,850,3693,"Friday, 05 September 2025",2025-08-25,15,3,1,2.0,Apartment / Unit / Flat,1/68 Balcombe Road,-37.981277,145.06647,2025-09-09 17:00:40,17730709,,8,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Mentone & Chelsea,23619,"Damien Sienkiewicz, Tania Souki","Gas, Internal Laundry, Air conditioning, Split System Air Con, Split System Heating, Built in wardrobes, Outdoor Entertainment Area, Dishwasher, Secure Parking",https://www.domain.com.au/1-68-balcombe-road-mentone-vic-3194-17730709
17733729,MENTONE,3194,600,2824,"Wednesday, 27 August 2025",2025-08-27,13,2,1,1.0,Apartment / Unit / Flat,3/7 Rogers Street,-37.982334,145.06851,2025-09-09 17:00:40,17733729,,6,0,0,False,Apartment,Apartment / Unit / Flat,HODGES MENTONE,3918,"Jeff Cowan, Taya Davidson",,https://www.domain.com.au/3-7-rogers-street-mentone-vic-3194-17733729
17743904,MENTONE,3194,600,2607,"Wednesday, 01 October 2025",2025-09-02,7,2,1,,Apartment / Unit / Flat,10/58 Beach Road,-37.98749,145.05757,2025-09-09 17:00:40,17743904,,6,0,0,False,Apartment,Apartment / Unit / Flat,HODGES MENTONE,3918,Emma Harrison,"Built in wardrobes, Gas, Bath, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/10-58-beach-road-mentone-vic-3194-17743904
17746175,MENTONE,3194,475,2064,"Wednesday, 01 October 2025",2025-09-03,5,1,1,1.0,Apartment / Unit / Flat,104/135 Lower Dandenong Road,-37.983524,145.08583,2025-09-09 17:00:40,17746175,,16,0,1,False,Apartment,Apartment / Unit / Flat,Aquire,23741,"Emily Dowel Aquire Leasing, Emily Dowel","Gas, Internal Laundry, Intercom, Heating, Dishwasher, Study",https://www.domain.com.au/104-135-lower-dandenong-road-mentone-vic-3194-17746175
17750131,MENTONE,3194,900,3911,"Tuesday, 16 September 2025",2025-09-05,3,3,1,2.0,House,145 Balcombe Road,-37.980778,145.05887,2025-09-09 17:00:40,17750131,,12,0,1,False,House,House,Belle Property Sandringham,3720,"Mark Zammit, Danni Cipriano","Built in wardrobes, Close to transport, Close to shops, Close to schools, Floorboards, Window Treatments, Dishwasher, Study",https://www.domain.com.au/145-balcombe-road-mentone-vic-3194-17750131
17751166,MENTONE,3194,530,2303,"Saturday, 11 October 2025",2025-09-08,1,2,1,1.0,Apartment / Unit / Flat,2/69 Nepean HighWay,-37.97855,145.06876,2025-09-09 17:00:40,17751166,,6,0,1,False,Apartment,Apartment / Unit / Flat,LongView Real Estate,7797,Alison Ball,"Internal Laundry, Secure Parking, Built in wardrobes, Bathtub, Split System Heating, Split System Air Conditioning, Courtyard",https://www.domain.com.au/2-69-nepean-highway-mentone-vic-3194-17751166
17752252,MENTONE,3194,850,3693,"Friday, 12 September 2025",2025-09-08,1,3,2,2.0,Apartment / Unit / Flat,4/183-187 Lower Dandenong Road,-37.983864,145.09154,2025-09-09 17:00:40,17752252,,0,0,0,False,Apartment,Apartment / Unit / Flat,Ray White The Bayside Group,6378,"Ildiko Orsos, Isabella Dinelli","Air conditioning, Secure Parking, Balcony / Deck",https://www.domain.com.au/4-183-187-lower-dandenong-road-mentone-vic-3194-17752252
17752377,MENTONE,3194,395,1716,"Friday, 19 September 2025",2025-09-08,0,1,1,1.0,Apartment / Unit / Flat,13/11 Stawell Street,-37.98497,145.06964,2025-09-09 17:00:40,17752377,,6,0,0,False,Apartment,Apartment / Unit / Flat,Colella,36975,Tracey Walters,"Air conditioning, Built in wardrobes, Heating, Dishwasher",https://www.domain.com.au/13-11-stawell-street-mentone-vic-3194-17752377
17753458,MENTONE,3194,550,2389,"Monday, 15 September 2025",2025-09-09,0,2,1,1.0,Apartment / Unit / Flat,5/57 Collins Street,-37.979298,145.05905,2025-09-09 17:00:40,17753458,,6,0,0,False,Apartment,Apartment / Unit / Flat,HODGES MENTONE,3918,Emma Harrison,"Built in wardrobes, Gas, Secure Parking, Bath",https://www.domain.com.au/5-57-collins-street-mentone-vic-3194-17753458
17648245,MENTONE,3194,550,2390,"Tuesday, 01 July 2025",2025-07-01,69,2,1,,House,190 Warrigal Road,-37.97538,145.07297,2025-09-09 17:00:44,17648245,,8,0,1,False,House,House,LEWIN REAL ESTATE - KINGSTON/BAYSIDE,33543,Lisa Devola,,https://www.domain.com.au/190-warrigal-road-mentone-vic-3194-17648245
17666911,MENTONE,3194,500,2173,"Monday, 11 August 2025",2025-07-14,57,2,1,1.0,Apartment / Unit / Flat,5/8 Latrobe St,-37.97381,145.05542,2025-09-09 17:00:44,17666911,,5,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Bayside,16215,Dimmy Alevizos,"Built in wardrobes, Internal Laundry, Bath, Heating",https://www.domain.com.au/5-8-latrobe-st-mentone-vic-3194-17666911
17715415,MENTONE,3194,785,3411,"Saturday, 06 September 2025",2025-08-14,26,3,2,2.0,Townhouse,10/8 Salmon Street,-37.979088,145.06279,2025-09-09 17:00:44,17715415,,8,0,0,False,Townhouse/Villa,Townhouse,Jellis Craig Mentone & Chelsea,23619,Zoe Deftereos-Brennan,"Internal Laundry, Split System Air Con, Split System Heating, Balcony / Deck, Built in wardrobes, Dishwasher, Remote Garage, Floorboards",https://www.domain.com.au/10-8-salmon-street-mentone-vic-3194-17715415
17728801,MENTONE,3194,695,3020,"Saturday, 30 August 2025",2025-08-22,17,2,1,,Apartment / Unit / Flat,10/30 Collins Street,-37.979424,145.05687,2025-09-09 17:00:44,17728801,,11,0,1,True,Apartment,Apartment / Unit / Flat,Belle Property Sandringham,3720,"Danni Cipriano, Stella Patselis","Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Alarm System, Pets Allowed, Close to schools, Security Access, Floorboards, Courtyard, Window Treatments, Dishwasher",https://www.domain.com.au/10-30-collins-street-mentone-vic-3194-17728801
17732740,MENTONE,3194,690,2998,"Friday, 26 September 2025",2025-08-26,14,3,1,4.0,House,65 Beach Road,-37.988148,145.059,2025-09-09 17:00:44,17732740,,9,0,0,False,House,House,Belle Property Mentone,3717,Jayson Filomeno,"Air conditioning, Built in wardrobes, Courtyard, Fully fenced, Secure Parking, Dishwasher",https://www.domain.com.au/65-beach-road-mentone-vic-3194-17732740
17737128,MENTONE,3194,850,3693,"Friday, 05 September 2025",2025-08-28,12,3,2,2.0,Townhouse,6/11 Williams Street,-37.979286,145.06773,2025-09-09 17:00:44,17737128,,7,0,1,False,Townhouse/Villa,Townhouse,Ash Marton Realty,19254,"Portia Pym, Kevin Ljungberg","Internal Laundry, Secure Parking, Heating, Balcony / Deck",https://www.domain.com.au/6-11-williams-street-mentone-vic-3194-17737128
17739512,MENTONE,3194,450,1900,"Monday, 15 September 2025",2025-08-31,9,1,1,1.0,Apartment / Unit / Flat,19/5 Brindisi St,-37.983852,145.06158,2025-09-09 17:00:44,17739512,,15,0,1,False,Apartment,Apartment / Unit / Flat,For Sale By Owner,20095,For Rent,"Air conditioning, Bath, Heating, Modern Kitchen, Renovated, Renovated Bathroom, Renovated Kitchen, Security Lights, Close to Parklands, Close to schools, Close to shops, Close to transport, Near Waterfront, Quiet Location, Gas Enabled, Internal Laundry, Balcony, Courtyard, Living Area",https://www.domain.com.au/19-5-brindisi-st-mentone-vic-3194-17739512
17742883,MENTONE,3194,395,1716,"Monday, 01 September 2025",2025-09-02,7,1,1,1.0,Apartment / Unit / Flat,5/3 Lower Dandenong Rd,-37.982166,145.07416,2025-09-09 17:00:44,17742883,,7,0,0,False,Apartment,Apartment / Unit / Flat,All About Rentals,18245,Brodie Bambridge,"Gas, Bath, Heating",https://www.domain.com.au/5-3-lower-dandenong-rd-mentone-vic-3194-17742883
