listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15176966,MERNDA,3754,635,2759.0,"Friday, 05 September 2025",2025-09-04,5,4,2,2,House,4 Hatfield Drive,-37.59851,145.09428,2025-09-09 17:12:59,15176966,IB-6791-WA,16,0,0,False,House,House,Bricks and Mortar RE,31967,William Postlethwaite,"Study, Solar panels, Balcony / Deck, Intercom, Floorboards, Built in wardrobes, Dishwasher, Gas Appliances, Split System Heating, Split System Air Conditioning, Outdoor Entertainment Area, Courtyard, Secure Parking, Pets Allowed",https://www.domain.com.au/4-hatfield-drive-mernda-vic-3754-15176966
16029750,MERNDA,3754,520,2260.0,"Friday, 19 September 2025",2025-09-03,6,3,2,2,House,10 Hopkins Street,-37.61316,145.09471,2025-09-09 17:12:59,16029750,WJ-1545-PQ,6,0,0,False,House,House,Ray White South Morang,12623,Ishan Jinadasa,"Heating, Balcony / Deck, Air conditioning, Built in wardrobes, Secure Parking",https://www.domain.com.au/10-hopkins-street-mernda-vic-3754-16029750
16306842,MERNDA,3754,550,2390.0,"Monday, 06 October 2025",2025-09-04,5,4,2,2,House,50 Waterwheel Grove,-37.585487,145.08076,2025-09-09 17:12:59,16306842,XT-2783-AL,11,0,0,False,House,House,Bricks and Mortar RE,31967,Warrick Vanderbilt,"Pets Allowed, Built in wardrobes, Dishwasher, Bathtub, Gas Appliances, Ducted Heating, Split System Air Conditioning, Ensuite(s), Remote Garage, Secure Parking, Fully fenced",https://www.domain.com.au/50-waterwheel-grove-mernda-vic-3754-16306842
17610113,MERNDA,3754,560,2433.0,"Thursday, 25 September 2025",2025-09-04,5,4,2,1,House,4 Toolern Drive,-37.60449,145.06117,2025-09-09 17:12:59,17610113,,11,0,2,False,House,House,Leap Real Estate,26670,Lachlan Castelow,"Internal Laundry, Heating, Alarm System, Rumpus Room, Built in wardrobes, Dishwasher, Bathtub, Gas Appliances, Remote Garage, Fully fenced, Pets Allowed",https://www.domain.com.au/4-toolern-drive-mernda-vic-3754-17610113
17720502,MERNDA,3754,540,2346.0,"Tuesday, 09 September 2025",2025-08-18,22,4,2,2,House,44 Brandybuck Lane,-37.60623,145.06245,2025-09-09 17:12:59,17720502,,12,0,0,False,House,House,RESIDER Real Estate,17427,Safina Buksh,"Gas, Internal Laundry, Secure Parking, Heating, Study",https://www.domain.com.au/44-brandybuck-lane-mernda-vic-3754-17720502
17721113,MERNDA,3754,470,2042.0,"Wednesday, 03 September 2025",2025-08-19,21,3,2,1,House,4 Jetstream Drive,-37.58499,145.07834,2025-09-09 17:12:59,17721113,,8,0,0,False,House,House,Ray White Mill Park,12621,"Emmanuela Kanavos, Mill Park Office","Built in wardrobes, Secure Parking, Heating",https://www.domain.com.au/4-jetstream-drive-mernda-vic-3754-17721113
17723944,MERNDA,3754,535,2325.0,"Thursday, 21 August 2025",2025-08-20,20,4,2,1,House,19 Brandybuck Lane,-37.60711,145.06465,2025-09-09 17:12:59,17723944,,5,0,0,False,House,House,Shine Real Estate Pty Ltd,27453,Rental Department,"Built in wardrobes, Secure Parking, Heating",https://www.domain.com.au/19-brandybuck-lane-mernda-vic-3754-17723944
17742297,MERNDA,3754,520,2260.0,"Tuesday, 02 September 2025",2025-09-02,7,3,2,1,Townhouse,3 Gosling Street,-37.606384,145.06335,2025-09-09 17:12:59,17742297,,9,1,2,False,Townhouse/Villa,Townhouse,Leap Real Estate,26670,Lachlan Castelow,"Internal Laundry, Alarm System, Floorboards, Built in wardrobes, Dishwasher, Bathtub, Gas Appliances, Remote Garage, Fully fenced, Pets Allowed",https://www.domain.com.au/3-gosling-street-mernda-vic-3754-17742297
17742469,MERNDA,3754,520,2260.0,"Tuesday, 02 September 2025",2025-09-02,7,3,2,2,Townhouse,6 Cavender Street,-37.605633,145.06342,2025-09-09 17:12:59,17742469,,10,1,2,False,Townhouse/Villa,Townhouse,Leap Real Estate,26670,Lachlan Castelow,"Built in wardrobes, Dishwasher, Bathtub, Gas Appliances, Remote Garage, Fully fenced, Pets Allowed",https://www.domain.com.au/6-cavender-street-mernda-vic-3754-17742469
17742719,MERNDA,3754,640,2780.0,"Monday, 08 September 2025",2025-09-02,7,4,3,4,House,1 Waterview Drive,-37.613148,145.0926,2025-09-09 17:12:59,17742719,,10,0,0,False,House,House,Ray White Mernda,33841,Rental Department Mernda,Built in wardrobes,https://www.domain.com.au/1-waterview-drive-mernda-vic-3754-17742719
