listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15084223,MICKLEHAM,3064,440,1912.0,"Monday, 29 September 2025",2025-09-05,4,2.0,1.0,1.0,House,35 Bisham Street,-37.541626,144.9142,2025-09-09 17:29:24,15084223,UQ-2185-BS,15,0,0,True,House,House,Stockdale & Leggo Craigieburn/Mickleham,31877,"Daniel Morlacci-Fortuna, Lauren Vicary","Floorboards, Built in wardrobes, Heating, Dishwasher, Secure Parking",https://www.domain.com.au/35-bisham-street-mickleham-vic-3064-15084223
15187226,MICKLEHAM,3064,520,2260.0,"Monday, 22 September 2025",2025-08-15,25,4.0,2.0,2.0,House,16 Lemongrass Drive,-37.54329,144.88947,2025-09-09 17:29:24,15187226,YZ-7324-BB,13,0,0,False,House,House,Ray White Mernda,33841,Rental Department Mernda,"Internal Laundry, Air conditioning, Ensuite, Built in wardrobes, Bath, Heating, Dishwasher, Secure Parking, Fully fenced",https://www.domain.com.au/16-lemongrass-drive-mickleham-vic-3064-15187226
15818633,MICKLEHAM,3064,470,2042.0,"Sunday, 24 August 2025",2025-08-19,21,4.0,2.0,2.0,House,21 Nightingale Road,-37.528904,144.89948,2025-09-09 17:29:24,15818633,KD-1195-KD,10,0,0,False,House,House,ACE Real Estate,19089,"Julie  Strnak, Pooja Sharma","Internal Laundry, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/21-nightingale-road-mickleham-vic-3064-15818633
15982660,MICKLEHAM,3064,570,2477.0,"Friday, 03 October 2025",2025-08-22,18,4.0,2.0,2.0,House,25 Blackmore Road,-37.52698,144.89919,2025-09-09 17:29:24,15982660,AT-8576-DC,17,1,0,False,House,House,Bombay Real Estate Pty Ltd,29247,Amandeep Kaur,"Internal Laundry, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/25-blackmore-road-mickleham-vic-3064-15982660
17026488,MICKLEHAM,3064,595,2578.0,"Saturday, 09 August 2025",2025-09-06,3,4.0,2.0,2.0,House,13 Primrose Crescent,-37.533222,144.90303,2025-09-09 17:29:24,17026488,JP-6389-QO,7,0,0,False,House,House,Raine & Horne Blackburn,29609,"Patrick Mane, Rupa Mane",Ensuite,https://www.domain.com.au/13-primrose-crescent-mickleham-vic-3064-17026488
17061257,MICKLEHAM,3064,510,2216.0,"Monday, 08 September 2025",2025-08-11,29,3.0,2.0,1.0,House,13 Montague Street,-37.529198,144.90392,2025-09-09 17:29:24,17061257,SD-3558-KI,15,0,1,False,House,House,Bombay Real Estate Pty Ltd,29247,Samantha Ashley,"Internal Laundry, Bath, Heating, Balcony / Deck",https://www.domain.com.au/13-montague-street-mickleham-vic-3064-17061257
17072308,MICKLEHAM,3064,500,2173.0,"Monday, 22 September 2025",2025-08-22,18,3.0,2.0,1.0,House,19 Arlington Park Parade,-37.53945,144.91338,2025-09-09 17:29:24,17072308,MJ-8293-XT,11,0,0,False,House,House,Stockdale & Leggo Craigieburn/Mickleham,31877,"Ebony Montebello, Lauren Vicary","Secure Parking, Ensuite, Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher",https://www.domain.com.au/19-arlington-park-parade-mickleham-vic-3064-17072308
17558448,MICKLEHAM,3064,550,2383.0,"Monday, 08 September 2025",2025-09-08,1,4.0,2.0,2.0,House,35 Lemongrass Drive,-37.54354,144.88815,2025-09-09 17:29:24,17558448,EG-2222-WB,10,0,0,False,House,House,KLK Real Estate,38371,Leila Khaled,"Heating, Air conditioning, Floorboards, Alarm System, Built in wardrobes, Dishwasher, Secure Parking",https://www.domain.com.au/35-lemongrass-drive-mickleham-vic-3064-17558448
17702463,MICKLEHAM,3064,490,2129.0,"Monday, 11 August 2025",2025-08-06,34,4.0,2.0,2.0,House,9 Camrose Street,-37.545284,144.89853,2025-09-09 17:29:24,17702463,,10,0,0,False,House,House,Harcourts Rata & Co,30123,Sachi Samarasekera,"Gas, Heating, Ensuite, Openable Windows, Split System Cooling, Dishwasher",https://www.domain.com.au/9-camrose-street-mickleham-vic-3064-17702463
17708855,MICKLEHAM,3064,590,2564.0,"Thursday, 04 September 2025",2025-08-11,29,4.0,2.0,2.0,House,15 Potter Circuit,-37.54039,144.88982,2025-09-09 17:29:24,17708855,,19,0,1,False,House,House,Empyrean Property Group,37197,"Kylie Sanders, Rhys Gargano","Secure Parking, Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher, Study",https://www.domain.com.au/15-potter-circuit-mickleham-vic-3064-17708855
