listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
14567233,MILL PARK,3082,540,2346,"Friday, 12 September 2025",2025-09-09,0,3,2,2.0,House,30 DUNLOP CRESCENT,-37.65377,145.05702,2025-09-09 16:22:48,14567233,KC-5454-SG,9,0,1,False,House,House,Millership & Co,18340,Ingrid Elliott,"Fully fenced, Outdoor Entertainment Area, Remote Garage, Built in wardrobes, Dishwasher, Floorboards, Ducted Heating, Evaporative Cooling",https://www.domain.com.au/30-dunlop-crescent-mill-park-vic-3082-14567233
15381471,MILL PARK,3082,500,2173,"Monday, 01 September 2025",2025-08-19,21,3,1,1.0,Apartment / Unit / Flat,1/53 Jacaranda Drive,-37.6746,145.05785,2025-09-09 16:22:48,15381471,GP-5548-PF,10,0,0,False,Apartment,Apartment / Unit / Flat,Ray White Mill Park,12621,"Emmanuela Kanavos, Mill Park Office","Built in wardrobes, Secure Parking, Heating",https://www.domain.com.au/1-53-jacaranda-drive-mill-park-vic-3082-15381471
15678008,MILL PARK,3082,540,2346,"Monday, 08 September 2025",2025-08-12,28,4,2,2.0,House,275 Childs Road,-37.66371,145.05617,2025-09-09 16:22:48,15678008,PZ-1259-EA,7,0,0,False,House,House,Ray White Mill Park,12621,"Emmanuela Kanavos, Mill Park Office","Built in wardrobes, Floorboards",https://www.domain.com.au/275-childs-road-mill-park-vic-3082-15678008
15833110,MILL PARK,3082,540,2346,"Friday, 05 September 2025",2025-08-06,34,3,2,1.0,House,85 Moorhead Drive,-37.659027,145.05867,2025-09-09 16:22:48,15833110,LQ-9855-YA,9,0,0,False,House,House,Ray White Mill Park,12621,"Emmanuela Kanavos, Mill Park Office","Gas, Heating",https://www.domain.com.au/85-moorhead-drive-mill-park-vic-3082-15833110
16854396,MILL PARK,3082,460,1999,"Monday, 22 September 2025",2025-09-09,0,2,1,1.0,Apartment / Unit / Flat,1/11 Rule Close,-37.659195,145.07353,2025-09-09 16:22:48,16854396,ZC-6494-EY,10,1,0,False,Apartment,Apartment / Unit / Flat,Ray White Mill Park,12621,"Emmanuela Kanavos, Mill Park Office","Built in wardrobes, Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/1-11-rule-close-mill-park-vic-3082-16854396
17001374,MILL PARK,3082,530,2303,"Thursday, 26 September 2024",2025-09-05,4,3,1,4.0,House,53 Hinkler Drive,-37.65807,145.06343,2025-09-09 16:22:48,17001374,PJ-3016-NG,6,0,0,False,House,House,Leased and Sold Estate Agents,36316,Emily Buccella,"Gas, Internal Laundry, Secure Parking, Floorboards, Built in wardrobes, Ducted Heating, Split System Air Conditioning, Shed, Fully fenced",https://www.domain.com.au/53-hinkler-drive-mill-park-vic-3082-17001374
17323819,MILL PARK,3082,670,2911,"Wednesday, 17 September 2025",2025-09-03,6,4,2,2.0,House,11 Gardenview Close,-37.666275,145.0736,2025-09-09 16:22:48,17323819,QZ-5075-RL,8,1,0,False,House,House,Ray White Mill Park,12621,"Emmanuela Kanavos, Mill Park Office",,https://www.domain.com.au/11-gardenview-close-mill-park-vic-3082-17323819
17598094,MILL PARK,3082,570,2477,"Saturday, 07 June 2025",2025-09-05,4,3,1,2.0,House,3 Essue Court,-37.65366,145.04684,2025-09-09 16:22:48,17598094,,8,0,1,False,House,House,Barry Plant North Eastern Group,4902,"Jarrod Pearce, Matthew Clark","Air conditioning, Built in wardrobes, Pets Allowed, Dishwasher",https://www.domain.com.au/3-essue-court-mill-park-vic-3082-17598094
17712909,MILL PARK,3082,560,2433,"Wednesday, 27 August 2025",2025-08-15,25,3,2,2.0,House,53 Veronica Crescent,-37.672375,145.07263,2025-09-09 16:22:48,17712909,,9,0,0,False,House,House,Ray White Mill Park,12621,"Stephen Kouvas, Mill Park Office","Air conditioning, Heating, Shed",https://www.domain.com.au/53-veronica-crescent-mill-park-vic-3082-17712909
17743206,MILL PARK,3082,530,2303,"Tuesday, 23 September 2025",2025-09-02,7,3,1,2.0,House,259 Betula Avenue,-37.673405,145.05853,2025-09-09 16:22:48,17743206,,6,0,0,False,House,House,Leased and Sold Estate Agents,36316,Emily Buccella,"Built in wardrobes, Gas, Internal Laundry, Heating, Bathtub",https://www.domain.com.au/259-betula-avenue-mill-park-vic-3082-17743206
17749999,MILL PARK,3082,470,2042,"Monday, 22 September 2025",2025-09-05,3,2,2,1.0,Apartment / Unit / Flat,312/40 Bush Boulevard,-37.65322,145.07686,2025-09-09 16:22:48,17749999,,8,0,1,False,Apartment,Apartment / Unit / Flat,Love & Co Mill Park,7119,Paige Campbell,"Secure Parking, Heating, Balcony / Deck",https://www.domain.com.au/312-40-bush-boulevard-mill-park-vic-3082-17749999
17750784,MILL PARK,3082,820,3563,"Wednesday, 01 October 2025",2025-09-08,1,4,2,2.0,House,9 Redgum Court,-37.665222,145.0749,2025-09-09 16:22:48,17750784,,12,0,1,False,House,House,Millership & Co,18340,Ingrid Elliott,"Fireplace(s), Fully fenced, Outdoor Entertainment Area, Remote Garage, Shed, Alarm System, Built in wardrobes, Dishwasher, Floorboards, Ducted Heating, Evaporative Cooling",https://www.domain.com.au/9-redgum-court-mill-park-vic-3082-17750784
17750980,MILL PARK,3082,510,2216,"Tuesday, 30 September 2025",2025-09-08,1,3,1,2.0,House,6 Mimosa Road,-37.674133,145.05544,2025-09-09 16:22:48,17750980,,13,0,1,False,House,House,RESIDER Real Estate,17427,Safina Buksh,"Secure Parking, Broadband internet access, Bath, Fireplace(s), Dishwasher, Shed, Solar panels, Balcony / Deck, Heating, Built in wardrobes, Close to transport, Close to shops, Open Fire Place, Close to schools",https://www.domain.com.au/6-mimosa-road-mill-park-vic-3082-17750980
17751156,MILL PARK,3082,600,2607,"Wednesday, 03 September 2025",2025-09-08,1,4,2,2.0,House,19 Boyle Crescent,-37.668385,145.05711,2025-09-09 16:22:48,17751156,,12,0,0,False,House,House,Barry Plant North Eastern Group,4902,"Peter Mac, Matthew Clark","Bath, Heating",https://www.domain.com.au/19-boyle-crescent-mill-park-vic-3082-17751156
17751721,MILL PARK,3082,420,1825,"Saturday, 04 October 2025",2025-09-08,1,1,1,1.0,Apartment / Unit / Flat,113/40 Bush Boulevard,-37.65322,145.07686,2025-09-09 16:22:48,17751721,,8,0,0,False,Apartment,Apartment / Unit / Flat,RESIDER Real Estate,17427,Safina Buksh,"Built in wardrobes, Internal Laundry, Balcony / Deck, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/113-40-bush-boulevard-mill-park-vic-3082-17751721
17752372,MILL PARK,3082,475,2064,"Monday, 06 October 2025",2025-09-08,0,2,2,2.0,Townhouse,9 Sharp Circuit,-37.652534,145.07986,2025-09-09 16:22:48,17752372,,8,0,0,False,Townhouse/Villa,Townhouse,hockingstuart Preston,2630,Jessica Lovelace,"Built in wardrobes, Gas, Internal Laundry, Secure Parking, Dishwasher, Balcony / Deck",https://www.domain.com.au/9-sharp-circuit-mill-park-vic-3082-17752372
17752710,MILL PARK,3082,750,3259,"Tuesday, 09 September 2025",2025-09-09,0,5,3,2.0,House,361 Childs Road,-37.668835,145.06178,2025-09-09 16:22:48,17752710,,15,0,0,False,House,House,Ray White Mill Park,12621,"Emmanuela Kanavos, Mill Park Office","Secure Parking, Heating, Balcony / Deck",https://www.domain.com.au/361-childs-road-mill-park-vic-3082-17752710
17752799,MILL PARK,3082,610,2651,"Wednesday, 01 October 2025",2025-09-09,0,4,2,4.0,House,94 Manning Clark Road,-37.651028,145.06293,2025-09-09 16:22:48,17752799,,11,0,0,False,House,House,Harcourts Rata & Co,30123,Monique Di Domenica,"Gas, Secure Parking, Broadband internet access, Heating, Air conditioning, Close to transport, Close to schools, Ensuite, Openable Windows",https://www.domain.com.au/94-manning-clark-road-mill-park-vic-3082-17752799
17752985,MILL PARK,3082,500,2173,"Tuesday, 09 September 2025",2025-09-09,0,2,2,1.0,Apartment / Unit / Flat,303/40 Bush Boulevard,-37.653236,145.07686,2025-09-09 16:22:48,17752985,,11,0,0,False,Apartment,Apartment / Unit / Flat,Harcourts Rata & Co,30123,"Travis Whelan, Monique Di Domenica","Gas, Heating, Balcony / Deck, Air conditioning, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ensuite, Openable Windows, Cooling, Split System Cooling, Dishwasher",https://www.domain.com.au/303-40-bush-boulevard-mill-park-vic-3082-17752985
17753351,MILL PARK,3082,530,2303,"Monday, 13 October 2025",2025-09-09,0,3,1,1.0,House,1 Bugatti Court,-37.65611,145.06955,2025-09-09 16:22:48,17753351,,6,0,0,False,House,House,Ristic Real Estate,17959,"Jacinta Scott, Jessica Dossis","Built in wardrobes, Secure Parking, Bath, Heating",https://www.domain.com.au/1-bugatti-court-mill-park-vic-3082-17753351
9958007,MILL PARK,3082,510,2216,"Monday, 22 September 2025",2025-08-05,35,3,1,2.0,Townhouse,3/4 Buick Crescent,-37.65474,145.068,2025-09-09 16:22:52,9958007,UN-8777-EE,2,0,0,False,Townhouse/Villa,Townhouse,Love & Co Mill Park,7119,Vicki Cianci,,https://www.domain.com.au/3-4-buick-crescent-mill-park-vic-3082-9958007
13720641,MILL PARK,3082,500,2173,"Tuesday, 05 August 2025",2025-07-23,48,3,1,,House,24 Crampton Crescent,-37.664722,145.04593,2025-09-09 16:22:52,13720641,QS-2582-SX,5,0,0,False,House,House,Love & Co Mill Park,7119,Merve Ozer,"Built in wardrobes, Shed",https://www.domain.com.au/24-crampton-crescent-mill-park-vic-3082-13720641
14950415,MILL PARK,3082,660,2868,"Monday, 22 September 2025",2025-08-04,36,4,2,2.0,House,3 Devlin Court,-37.663086,145.04901,2025-09-09 16:22:52,14950415,IF-0247-JM,10,0,0,False,House,House,Love & Co Mill Park,7119,Vicki Cianci,"Air conditioning, Heating, Dishwasher, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/3-devlin-court-mill-park-vic-3082-14950415
16312174,MILL PARK,3082,575,2499,"Friday, 19 September 2025",2025-09-02,7,4,2,2.0,House,11 Phar Lap Close,-37.67523,145.06384,2025-09-09 16:22:52,16312174,VP-5697-PZ,9,0,0,False,House,House,Ray White Mill Park,12621,"Emmanuela Kanavos, Mill Park Office",,https://www.domain.com.au/11-phar-lap-close-mill-park-vic-3082-16312174
16730101,MILL PARK,3082,580,2520,"Saturday, 20 September 2025",2025-09-02,7,3,1,3.0,House,55 Garden Grove Drive,-37.670334,145.05286,2025-09-09 16:22:52,16730101,FM-3603-QN,10,0,0,False,House,House,Barry Plant North Eastern Group,4902,"Jarrod Pearce, Matthew Clark","Bath, Solar panels",https://www.domain.com.au/55-garden-grove-drive-mill-park-vic-3082-16730101
16926936,MILL PARK,3082,650,2824,"Saturday, 06 September 2025",2025-09-02,7,4,2,2.0,House,20 Ester Drive,-37.655746,145.04141,2025-09-09 16:22:52,16926936,GH-3585-BS,17,0,0,False,House,House,Grand Real Estate,31825,"Laleen Fernando, Anura Kulasekara","Furnished, Dishwasher, Air conditioning, Ducted Heating, Ensuite",https://www.domain.com.au/20-ester-drive-mill-park-vic-3082-16926936
17678758,MILL PARK,3082,300,1200,"Monday, 21 July 2025",2025-07-21,49,1,1,,House,Room 1-8/333 Childs Road,-37.667374,145.05933,2025-09-09 16:22:52,17678758,,10,1,0,False,House,House,Eighth Quarter Real Estate,22013,Jane Huang,"Gas, Internal Laundry, Furnished, Broadband internet access, Heating, Air conditioning, Built in wardrobes",https://www.domain.com.au/room-1-8-333-childs-road-mill-park-vic-3082-17678758
17691149,MILL PARK,3082,520,2260,"Sunday, 10 August 2025",2025-07-29,41,3,2,2.0,House,10 Tebbutt Court,-37.65941,145.06189,2025-09-09 16:22:52,17691149,,2,0,0,False,House,House,Love & Co Mill Park,7119,Vicki Cianci,"Internal Laundry, Bath",https://www.domain.com.au/10-tebbutt-court-mill-park-vic-3082-17691149
17706859,MILL PARK,3082,500,2173,"Friday, 08 August 2025",2025-08-08,32,2,1,1.0,Townhouse,11 Olsen Walk,-37.65288,145.0776,2025-09-09 16:22:52,17706859,,8,0,0,False,Townhouse/Villa,Townhouse,Harcourts Rata & Co,30123,"Travis Whelan, Vanessa Vescio","Gas, Secure Parking, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ensuite, Carpeted, Openable Windows, Cooling, Split System Cooling, Dishwasher",https://www.domain.com.au/11-olsen-walk-mill-park-vic-3082-17706859
17712259,MILL PARK,3082,850,3693,"Saturday, 13 September 2025",2025-08-12,28,4,2,2.0,House,2 Fishburn Court,-37.656467,145.05017,2025-09-09 16:22:52,17712259,,16,0,0,False,House,House,Barry Plant North Eastern Group,4902,Ashleigh Rhodes,"Secure Parking, Study, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Carpeted",https://www.domain.com.au/2-fishburn-court-mill-park-vic-3082-17712259
17713567,MILL PARK,3082,530,2303,"Wednesday, 17 September 2025",2025-08-13,27,4,2,,House,1 Mary Bryant Court,-37.65985,145.05212,2025-09-09 16:22:52,17713567,,11,0,0,False,House,House,Ristic Real Estate,17959,"Jacinta Scott, Bella Torres","Bath, Heating, Dishwasher",https://www.domain.com.au/1-mary-bryant-court-mill-park-vic-3082-17713567
