listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16462217,MITCHAM,3132,540,2346.0,"Monday, 29 September 2025",2025-08-22,18,3,1,2,House,202 Mitcham Road,-37.803364,145.18808,2025-09-09 16:43:36,16462217,AM-7794-SE,7,0,0,False,House,House,Biggin Scott Glen Waverley,24636,"Leasing Team, Tianer Zhou",Secure Parking,https://www.domain.com.au/202-mitcham-road-mitcham-vic-3132-16462217
16931193,MITCHAM,3132,600,2694.0,"Thursday, 09 October 2025",2025-09-08,1,2,2,1,Townhouse,2/15 Mckeon Rd,-37.808258,145.19655,2025-09-09 16:43:36,16931193,MT-7324-UJ,9,0,0,False,Townhouse/Villa,Townhouse,Biggin & Scott Mitcham,15914,"Tammy Tse, Peng Chung","Ensuite, Air conditioning, Secure Parking, Balcony / Deck, Built in wardrobes, Dishwasher, Floorboards, Internal Laundry",https://www.domain.com.au/2-15-mckeon-rd-mitcham-vic-3132-16931193
17243679,MITCHAM,3132,480,2086.0,"Friday, 29 August 2025",2025-08-29,11,1,1,1,Apartment / Unit / Flat,410A/1 Colombo Street,-37.81756,145.19214,2025-09-09 16:43:36,17243679,ZH-4577-AV,10,0,1,False,Apartment,Apartment / Unit / Flat,Ray White Ferntree Gully,7876,Ray White Rental Centre,"Gas, Internal Laundry, Intercom, Balcony / Deck, Built in wardrobes, Dishwasher",https://www.domain.com.au/410a-1-colombo-street-mitcham-vic-3132-17243679
17244985,MITCHAM,3132,490,2129.0,"Wednesday, 17 September 2025",2025-09-02,7,2,1,1,Apartment / Unit / Flat,329B/1 Colombo Street,-37.81756,145.19214,2025-09-09 16:43:36,17244985,WW-3870-ZG,11,0,0,False,Apartment,Apartment / Unit / Flat,Biggin Scott Glen Waverley,24636,"Leasing Team, Thanasi Mallios","Built in wardrobes, Gas, Internal Laundry, Intercom, Heating, Dishwasher",https://www.domain.com.au/329b-1-colombo-street-mitcham-vic-3132-17244985
17628176,MITCHAM,3132,750,3258.0,"Thursday, 19 June 2025",2025-06-19,82,3,2,2,Townhouse,18/20 Harrison Street,-37.81405,145.19884,2025-09-09 16:43:36,17628176,,7,0,0,False,Townhouse/Villa,Townhouse,Jellis Craig Whitehorse,20157,"Hayley Cleeman, Naomi Henderson","Secure Parking, Air conditioning",https://www.domain.com.au/18-20-harrison-street-mitcham-vic-3132-17628176
17628188,MITCHAM,3132,799,3471.0,"Thursday, 19 June 2025",2025-06-19,82,4,3,2,Townhouse,15/20 Harrison Street,-37.81405,145.19884,2025-09-09 16:43:36,17628188,,7,0,0,False,Townhouse/Villa,Townhouse,Jellis Craig Whitehorse,20157,"Hayley Cleeman, Naomi Henderson",Secure Parking,https://www.domain.com.au/15-20-harrison-street-mitcham-vic-3132-17628188
17653762,MITCHAM,3132,650,2824.0,"Monday, 29 September 2025",2025-09-09,0,3,2,2,Apartment / Unit / Flat,3/6 Price Street,-37.82129,145.20284,2025-09-09 16:43:36,17653762,,3,0,1,False,Apartment,Apartment / Unit / Flat,Barry Plant Manningham,7015,"Tayla Opitz, Emily Moore","Secure Parking, Heating, Bathtub",https://www.domain.com.au/3-6-price-street-mitcham-vic-3132-17653762
17704673,MITCHAM,3132,460,1999.0,"Friday, 08 August 2025",2025-09-01,8,2,1,1,Apartment / Unit / Flat,2/494 Mitcham Road,-37.82286,145.19379,2025-09-09 16:43:36,17704673,,8,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Manningham,7015,"Tayla Opitz, Tiana Johnson","Built in wardrobes, Secure Parking, Bath, Gas Heating",https://www.domain.com.au/2-494-mitcham-road-mitcham-vic-3132-17704673
17710701,MITCHAM,3132,760,3302.0,"Friday, 19 September 2025",2025-08-12,28,4,2,2,House,10 Prince Edward Avenue,-37.81503,145.21246,2025-09-09 16:43:36,17710701,,13,0,0,False,House,House,Jellis Craig Whitehorse,20157,"Hayley Cleeman, Karen Boltadzija","Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/10-prince-edward-avenue-mitcham-vic-3132-17710701
17713411,MITCHAM,3132,760,3302.0,"Tuesday, 23 September 2025",2025-08-13,27,3,2,2,Townhouse,4/27 Percy Street,-37.820328,145.19557,2025-09-09 16:43:36,17713411,,7,0,0,False,Townhouse/Villa,Townhouse,Jellis Craig Whitehorse,20157,"Hayley Cleeman, Charlotte Li","Gas, Internal Laundry, Secure Parking, Dishwasher, Ducted Heating, Evaporative Cooling, Built in wardrobes",https://www.domain.com.au/4-27-percy-street-mitcham-vic-3132-17713411
