listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
10801345,MOE,3825,33.0,132.0,"Tuesday, 30 August 2016",2016-08-30,3297,1,1,,House,14-16 Bubb Street,-38.169792,146.25783,2025-09-09 16:56:20,10801345,HN-5413-MN,3,0,0,False,House,House,Harcourts Moe - Newborough,11770,,,https://www.domain.com.au/14-16-bubb-street-moe-vic-3825-10801345
15954947,MOE,3825,,1400.0,"Thursday, 30 June 2022",2022-06-27,1170,3,1,1.0,House,3 Trentham Street,-38.187317,146.242,2025-09-09 16:56:20,15954947,DJ-3241-OX,7,0,0,False,House,House,Harcourts Moe - Newborough,11770,Alysha Maher,"Bath, Heating, Internal Laundry",https://www.domain.com.au/3-trentham-street-moe-vic-3825-15954947
16470761,MOE,3825,385.0,1673.0,"Friday, 08 August 2025",2025-08-05,35,3,1,,House,71 Wirraway Street,-38.18864,146.2544,2025-09-09 16:56:20,16470761,OL-3044-IV,11,0,0,False,House,House,Harcourts Moe - Newborough,11770,"Sarah Olsen, Alysha Maher","Broadband internet access, Floorboards, Pets Allowed, Gas, Bath, Heating",https://www.domain.com.au/71-wirraway-street-moe-vic-3825-16470761
16953139,MOE,3825,390.0,1690.0,"Friday, 06 June 2025",2025-05-23,109,3,1,2.0,House,16 Haigh St,-38.173134,146.26598,2025-09-09 16:56:20,16953139,QD-0866-JI,10,0,0,False,House,House,The Property Group,27434,Adele Henry,"Gas, Internal Laundry, Pets Allowed, Bath, Heating, Dishwasher, Study",https://www.domain.com.au/16-haigh-st-moe-vic-3825-16953139
17536546,MOE,3825,470.0,2042.0,"Thursday, 24 April 2025",2025-04-17,144,4,2,4.0,House,27 Margaret Street,-38.192036,146.25078,2025-09-09 16:56:20,17536546,LI-8223-ME,19,0,0,False,House,House,CHENZ REALTY,18609,Tayla Gillespie,Study,https://www.domain.com.au/27-margaret-street-moe-vic-3825-17536546
17665404,MOE,3825,470.0,2042.0,"Thursday, 25 September 2025",2025-07-11,60,4,2,1.0,House,22 Gregory Street,-38.192005,146.25426,2025-09-09 16:56:20,17665404,,12,0,0,False,House,House,OBrien Real Estate Clark,15886,Barbra Darvell,"Secure Parking, Built in wardrobes, Ensuite",https://www.domain.com.au/22-gregory-street-moe-vic-3825-17665404
17713145,MOE,3825,250.0,1086.0,"Wednesday, 13 August 2025",2025-08-13,27,1,1,1.0,House,28/48 Haigh Street,-38.172638,146.26231,2025-09-09 16:56:20,17713145,,7,0,0,False,House,House,Elders GPG,12437,Jess Barr,Built in wardrobes,https://www.domain.com.au/28-48-haigh-street-moe-vic-3825-17713145
17713741,MOE,3825,380.0,,"Wednesday, 13 August 2025",2025-08-13,27,2,1,,House,18 Railway Cres,-38.18122,146.26863,2025-09-09 16:56:20,17713741,,7,0,0,False,House,House,FIRST NATIONAL REAL ESTATE CENTRAL KW,15017,Property Management,"Gas, Internal Laundry",https://www.domain.com.au/18-railway-cres-moe-vic-3825-17713741
17724241,MOE,3825,310.0,1347.0,"Friday, 22 August 2025",2025-08-20,20,2,1,,House,47 Prince Street,-38.19026,146.24968,2025-09-09 16:56:20,17724241,,11,0,0,False,House,House,Harcourts Moe - Newborough,11770,"Sarah Olsen, Bianca Harris","Broadband internet access, Heating, Dishwasher",https://www.domain.com.au/47-prince-street-moe-vic-3825-17724241
17725670,MOE,3825,390.0,1695.0,"Thursday, 21 August 2025",2025-08-21,19,3,1,1.0,House,30 Service Road,-38.185215,146.2562,2025-09-09 16:56:20,17725670,,9,0,0,False,House,House,First National Real Estate Latrobe,3227,First National Real Estate Latrobe,"Internal Laundry, Dishwasher",https://www.domain.com.au/30-service-road-moe-vic-3825-17725670
17737189,MOE,3825,400.0,1733.0,"Thursday, 28 August 2025",2025-08-28,12,3,1,1.0,House,21 Kent Street,-38.187824,146.24902,2025-09-09 16:56:20,17737189,,1,0,0,False,House,House,Ross Maddaluno Real Estate,6924,,Secure Parking,https://www.domain.com.au/21-kent-street-moe-vic-3825-17737189
17742330,MOE,3825,400.0,1738.0,"Wednesday, 17 September 2025",2025-09-02,7,3,1,1.0,House,59 Elizabeth Street,-38.188656,146.2485,2025-09-09 16:56:20,17742330,,7,0,1,False,House,House,CHENZ REALTY,18609,"Di Ronaldson, Tayla Gillespie","Built in wardrobes, Gas, Bath, Heating",https://www.domain.com.au/59-elizabeth-street-moe-vic-3825-17742330
17742892,MOE,3825,570.0,2470.0,"Wednesday, 10 September 2025",2025-09-02,7,4,2,2.0,House,14 Aurora Drive,-38.1845,146.24,2025-09-09 16:56:20,17742892,,22,0,2,False,House,House,Stockdale & Leggo La Trobe Valley,6114,Morwell Property Management,"Secure Parking, Heating, Ensuite",https://www.domain.com.au/14-aurora-drive-moe-vic-3825-17742892
17744217,MOE,3825,490.0,2129.0,"Friday, 03 October 2025",2025-09-02,6,4,2,1.0,House,35 Abbott Street,-38.188793,146.24092,2025-09-09 16:56:20,17744217,,2,0,0,False,House,House,Ray White Drouin,38969,Chloe Downie,"Air conditioning, Internal Laundry, Pets Allowed, Heating, Study, Shed",https://www.domain.com.au/35-abbott-street-moe-vic-3825-17744217
17754275,MOE,3825,240.0,1040.0,"Tuesday, 09 September 2025",2025-09-09,0,1,1,1.0,Apartment / Unit / Flat,2/49 Langford Street,-38.17877,146.25983,2025-09-09 16:56:20,17754275,,5,0,0,False,Apartment,Apartment / Unit / Flat,Latrobe Valley Real Estate,25996,Rachel Mustoe,"Built in wardrobes, Internal Laundry",https://www.domain.com.au/2-49-langford-street-moe-vic-3825-17754275
