listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15989921,MONT ALBERT,3127,750,3259,"Friday, 10 October 2025",2025-09-05,4,3,2,2.0,Apartment / Unit / Flat,103/801 Whitehorse Road,-37.816296,145.1115,2025-09-09 16:25:55,15989921,BO-1592-YB,6,1,1,False,Apartment,Apartment / Unit / Flat,Motion Property,8551,Mark Reading,"Intercom, Floorboards, Built in wardrobes, Dishwasher, Balcony",https://www.domain.com.au/103-801-whitehorse-road-mont-albert-vic-3127-15989921
16459431,MONT ALBERT,3127,415,1803,"Friday, 18 July 2025",2023-05-10,853,1,1,,Apartment / Unit / Flat,Apartments/770 Whitehorse Road,-37.81683,145.11246,2025-09-09 16:25:55,16459431,,8,0,0,False,Apartment,Apartment / Unit / Flat,Woodards Blackburn,3599,"Amy Hu, Angelica Martinez","Air conditioning, Furnished, Balcony / Deck",https://www.domain.com.au/apartments-770-whitehorse-road-mont-albert-vic-3127-16459431
17679848,MONT ALBERT,3127,775,3368,"Wednesday, 27 August 2025",2025-07-22,49,4,3,2.0,Townhouse,3/3 Manniche Avenue,-37.81602,145.1077,2025-09-09 16:25:55,17679848,,7,0,0,False,Townhouse/Villa,Townhouse,The Hopkins Group,17841,Nadine Cotsaris,,https://www.domain.com.au/3-3-manniche-avenue-mont-albert-vic-3127-17679848
17684868,MONT ALBERT,3127,850,3693,"Thursday, 31 July 2025",2025-07-24,46,3,2,1.0,House,742 Whitehorse Road,-37.81642,145.10916,2025-09-09 16:25:55,17684868,,8,0,0,False,House,House,Fletchers Canterbury,3923,"Julia Zorzut, Fletchers Property Management",,https://www.domain.com.au/742-whitehorse-road-mont-albert-vic-3127-17684868
17710369,MONT ALBERT,3127,560,2433,"Thursday, 14 August 2025",2025-08-11,28,2,1,1.0,Apartment / Unit / Flat,1/764 Whitehorse Road,-37.816635,145.11157,2025-09-09 16:25:55,17710369,,8,0,1,False,Apartment,Apartment / Unit / Flat,Barry Plant Manningham,7015,"Freya Semera, Brian Jeon","Built in wardrobes, Internal Laundry, Intercom, Gas Heating",https://www.domain.com.au/1-764-whitehorse-road-mont-albert-vic-3127-17710369
17733671,MONT ALBERT,3127,450,1955,"Tuesday, 16 September 2025",2025-08-27,13,1,1,,House,101/770 Whitehorse Road,-37.816742,145.11249,2025-09-09 16:25:55,17733671,,9,0,0,False,House,House,Woodards Blackburn,3599,"Amy Hu, Angelica Martinez","Furnished, Air conditioning, Intercom, Balcony / Deck, Dishwasher",https://www.domain.com.au/101-770-whitehorse-road-mont-albert-vic-3127-17733671
17735038,MONT ALBERT,3127,550,2390,"Friday, 03 October 2025",2025-08-27,13,2,1,1.0,Apartment / Unit / Flat,6/7 Leopold Crescent,-37.822567,145.10258,2025-09-09 16:25:55,17735038,,5,0,0,False,Apartment,Apartment / Unit / Flat, Jellis Craig & Company Pty Ltd,6525,Lachie Hollamby,"Alarm System, Garden / Courtyard, Dishwasher, Floorboards",https://www.domain.com.au/6-7-leopold-crescent-mont-albert-vic-3127-17735038
17735480,MONT ALBERT,3127,580,2520,"Wednesday, 01 October 2025",2025-08-27,12,2,1,2.0,Apartment / Unit / Flat,3/22 View Street,-37.824196,145.11034,2025-09-09 16:25:55,17735480,,13,0,0,False,Apartment,Apartment / Unit / Flat,Woodards Blackburn,3599,"Amy Hu, Angelica Martinez","Built in wardrobes, Internal Laundry, Secure Parking, Heating, Air conditioning, Garden / Courtyard",https://www.domain.com.au/3-22-view-street-mont-albert-vic-3127-17735480
17751370,MONT ALBERT,3127,750,3259,"Wednesday, 10 September 2025",2025-09-08,1,3,2,1.0,House,2 Blenheim Avenue,-37.82379,145.11299,2025-09-09 16:25:55,17751370,,10,0,0,False,House,House,McGrath Blackburn,12105,Ashleigh King,"Built in wardrobes, Secure Parking, Heating, Balcony / Deck, Air conditioning",https://www.domain.com.au/2-blenheim-avenue-mont-albert-vic-3127-17751370
17752765,MONT ALBERT,3127,560,2434,"Tuesday, 09 September 2025",2025-09-09,0,2,1,1.0,House,50 Zetland Road,-37.81776,145.11275,2025-09-09 16:25:55,17752765,,13,0,0,False,House,House,Rolling Realty,39457,"Diana Qiao, Steven Tan","Internal Laundry, Air conditioning, Built in wardrobes, Furnished, Secure Parking, Garden / Courtyard, Balcony / Deck",https://www.domain.com.au/50-zetland-road-mont-albert-vic-3127-17752765
