listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
7117948,MOONEE PONDS,3039,500,2173.0,"Friday, 19 September 2025",2025-09-06,3,2,1,1.0,Apartment / Unit / Flat,7/64 Holmes Road,-37.766006,144.91553,2025-09-09 16:36:55,7117948,,7,0,0,False,Apartment,Apartment / Unit / Flat,Simone Bullen,7896,Ebonnie Reid,Ground floor,https://www.domain.com.au/7-64-holmes-road-moonee-ponds-vic-3039-7117948
17319794,MOONEE PONDS,3039,685,2976.0,"Friday, 08 August 2025",2025-07-15,56,2,1,1.0,Apartment / Unit / Flat,3/24 Ardmillan Road,-37.762947,144.91507,2025-09-09 16:36:55,17319794,WH-5615-OY,18,0,1,False,Apartment,Apartment / Unit / Flat,VIP Consulting Real Estate & Smart Property Manager,26667,"David Melatti, John Melatti","Internal Laundry, Courtyard, Fully fenced, Outdoor Entertainment Area, Secure Parking, Broadband Internet Available, Built in wardrobes, Dishwasher, Floorboards, Study, Ducted Cooling, Ducted Heating, Ensuite",https://www.domain.com.au/3-24-ardmillan-road-moonee-ponds-vic-3039-17319794
17693460,MOONEE PONDS,3039,730,3172.0,"Friday, 22 August 2025",2025-07-30,40,3,1,,House,326 Ascot Vale Road,-37.76999,144.92468,2025-09-09 16:36:55,17693460,,7,0,1,False,House,House,Jellis Craig Kensington,20419,"Justin Jovanov, Vicki Lekanis","Internal Laundry, Study, Shed, Split System Heating",https://www.domain.com.au/326-ascot-vale-road-moonee-ponds-vic-3039-17693460
17698708,MOONEE PONDS,3039,520,2260.0,"Monday, 01 September 2025",2025-08-04,36,1,1,1.0,Apartment / Unit / Flat,803/33-35 Hall Street,-37.76629,144.92198,2025-09-09 16:36:55,17698708,,11,1,1,False,Apartment,Apartment / Unit / Flat,Bricks and Mortar RE,31967,Juliet Gallen,"Internal Laundry, Intercom, Study, Floorboards, Built in wardrobes, Dishwasher, Gas Appliances, Split System Heating, Split System Air Conditioning, Outdoor Entertainment Area, Balcony, City Views, Greywater system, Pets Allowed",https://www.domain.com.au/803-33-35-hall-street-moonee-ponds-vic-3039-17698708
17726678,MOONEE PONDS,3039,1250,5431.0,"Thursday, 28 August 2025",2025-08-21,19,4,2,2.0,House,6 Addison Street,-37.77026,144.92691,2025-09-09 16:36:55,17726678,,18,0,1,False,House,House,Jellis Craig Kensington,20419,"Justin Jovanov, Vicki Lekanis","Built in wardrobes, Internal Laundry, Secure Parking, Study, Dishwasher, Split System Air Con, Ducted Heating",https://www.domain.com.au/6-addison-street-moonee-ponds-vic-3039-17726678
17732802,MOONEE PONDS,3039,525,2282.0,"Monday, 15 September 2025",2025-08-26,14,2,1,1.0,Apartment / Unit / Flat,204/535 Mt Alexander Rd,-37.770115,144.92574,2025-09-09 16:36:55,17732802,,8,0,0,False,Apartment,Apartment / Unit / Flat,Woodards Essendon,2743,Ashleigh Owens,"Built in wardrobes, Secure Parking, Intercom, Air conditioning, Balcony / Deck, Dishwasher",https://www.domain.com.au/204-535-mt-alexander-rd-moonee-ponds-vic-3039-17732802
17734287,MOONEE PONDS,3039,510,2210.0,"Wednesday, 27 August 2025",2025-08-27,13,1,1,1.0,House,1/2 Alexander Avenue,-37.76672,144.92566,2025-09-09 16:36:55,17734287,,16,0,0,False,House,House, Sweeney Estate Agents St. Albans,18290,"Phillip Lam, Administration St Albans","Air conditioning, Built in wardrobes, Internal Laundry, Secure Parking, Intercom",https://www.domain.com.au/1-2-alexander-avenue-moonee-ponds-vic-3039-17734287
17735933,MOONEE PONDS,3039,900,3910.0,"Friday, 26 September 2025",2025-08-28,12,4,2,1.0,House,41 Darling Street,-37.76791,144.91055,2025-09-09 16:36:55,17735933,,14,0,1,False,House,House,Jellis Craig Kensington,20419,"Justin Jovanov, Vicki Lekanis","Internal Laundry, Balcony / Deck, Ducted Heating",https://www.domain.com.au/41-darling-street-moonee-ponds-vic-3039-17735933
17740029,MOONEE PONDS,3039,525,2281.0,"Thursday, 25 September 2025",2025-09-01,8,1,1,,Apartment / Unit / Flat,409/10 Young Street,-37.767918,144.92357,2025-09-09 16:36:55,17740029,,13,0,1,True,Apartment,Apartment / Unit / Flat,Woodards Ascot Vale,26361,Caterina Italiano,"Built in wardrobes, Gym, Dishwasher, Balcony / Deck",https://www.domain.com.au/409-10-young-street-moonee-ponds-vic-3039-17740029
17746736,MOONEE PONDS,3039,490,2129.0,"Saturday, 06 September 2025",2025-09-04,5,1,1,1.0,Apartment / Unit / Flat,108/533 Mt Alexander Road,-37.770126,144.92572,2025-09-09 16:36:55,17746736,,10,0,0,False,Apartment,Apartment / Unit / Flat,Whiting & Co,3960,Dianne Smith,"Split Cooling, Split Heating, Kitchen, Built in wardrobes, Balcony, Air conditioning, Dishwasher, Intercom, Laundry",https://www.domain.com.au/108-533-mt-alexander-road-moonee-ponds-vic-3039-17746736
