listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15174288,MOOROOLBARK,3138,670,2900,"Thursday, 25 September 2025",2025-08-22,18,4,2,2.0,House,14 Saxon Drive,-37.78317,145.33409,2025-09-09 16:49:21,15174288,UT-5786-YX,4,1,1,False,House,House,Ray White Croydon,17921,Leasing ...,"Gas, Secure Parking, Study, Floorboards, Built in wardrobes, Ducted Heating",https://www.domain.com.au/14-saxon-drive-mooroolbark-vic-3138-15174288
15279867,MOOROOLBARK,3138,830,3600,"Friday, 18 July 2025",2025-06-23,78,5,2,3.0,House,21 Meadowlark Lane,-37.77374,145.31808,2025-09-09 16:49:21,15279867,JL-3518-QY,15,1,1,False,House,House,Ray White Croydon,17921,Leasing ...,"Bath, Heating, Floorboards, Built in wardrobes, Separate Dining Room, Secure Parking",https://www.domain.com.au/21-meadowlark-lane-mooroolbark-vic-3138-15279867
16131507,MOOROOLBARK,3138,750,3259,"Thursday, 18 September 2025",2025-08-25,15,4,2,1.0,Townhouse,6 Primary Street,-37.788303,145.3097,2025-09-09 16:49:21,16131507,ZW-0789-EI,10,0,0,False,Townhouse/Villa,Townhouse,Ray White Ferntree Gully,7876,Ray White Rental Centre,"Heating, Dishwasher",https://www.domain.com.au/6-primary-street-mooroolbark-vic-3138-16131507
17070336,MOOROOLBARK,3138,635,2751,"Monday, 28 July 2025",2025-07-21,50,3,2,2.0,Townhouse,28 Taylor Road,-37.78591,145.3235,2025-09-09 16:49:21,17070336,FP-0481-VO,12,0,0,False,Townhouse/Villa,Townhouse,Jeena & Saacs Real Estate Pty Ltd,18585,Thoraya Jeena,,https://www.domain.com.au/28-taylor-road-mooroolbark-vic-3138-17070336
17347048,MOOROOLBARK,3138,600,2607,"Wednesday, 11 December 2024",2025-08-11,29,2,1,1.0,House,3/7 Wimbledon Court,-37.780857,145.33366,2025-09-09 16:49:21,17347048,ZL-8103-CO,8,0,0,False,House,House,Barry Plant Manningham,7015,"Katerina Fountas, Anthony Viney","Secure Parking, Heating, Dishwasher",https://www.domain.com.au/3-7-wimbledon-court-mooroolbark-vic-3138-17347048
17447332,MOOROOLBARK,3138,700,3041,"Wednesday, 04 June 2025",2025-02-19,202,4,2,3.0,House,12 Larnook Crescent,-37.78016,145.31589,2025-09-09 16:49:21,17447332,II-9364-ZM,12,0,0,False,House,House,Jellis Craig Yarra Ranges,38071,Chantelle Petty,"Gas, Secure Parking, Study, Ducted Heating, Fully fenced, Reverse Cycle Air Con, Built in wardrobes",https://www.domain.com.au/12-larnook-crescent-mooroolbark-vic-3138-17447332
17716472,MOOROOLBARK,3138,720,3129,"Friday, 29 August 2025",2025-08-14,25,4,2,2.0,House,149A Manchester Rd,-37.77536,145.31267,2025-09-09 16:49:21,17716472,,17,0,0,False,House,House,Woodards Croydon,37225,Wendy Steel,"Heating, Solar panels, Secure Parking, Garden / Courtyard, Fully fenced, Built in wardrobes, Dishwasher, Gas",https://www.domain.com.au/149a-manchester-rd-mooroolbark-vic-3138-17716472
17721388,MOOROOLBARK,3138,650,2824,"Friday, 12 September 2025",2025-08-19,21,3,2,1.0,House,52B Newman Road,-37.78405,145.30551,2025-09-09 16:49:21,17721388,,7,0,0,False,House,House,Barry Plant Lilydale ,15430,"Anne Johnsen, Sepi Eftekhari","Secure Parking, Close to transport, Close to shops, Close to schools, Ensuite, Carpeted, Courtyard, Dishwasher",https://www.domain.com.au/52b-newman-road-mooroolbark-vic-3138-17721388
17722645,MOOROOLBARK,3138,760,3303,"Friday, 12 September 2025",2025-08-19,21,4,2,2.0,Townhouse,1/6 Hartwell Court,-37.78379,145.32071,2025-09-09 16:49:21,17722645,,7,0,0,False,Townhouse/Villa,Townhouse,Barry Plant Lilydale ,15430,Sepi Eftekhari,"Internal Laundry, Secure Parking, Heating, Balcony / Deck",https://www.domain.com.au/1-6-hartwell-court-mooroolbark-vic-3138-17722645
17725618,MOOROOLBARK,3138,615,2672,"Friday, 26 September 2025",2025-08-21,19,3,2,2.0,House,10 Delville Street,-37.782936,145.31386,2025-09-09 16:49:21,17725618,,10,0,0,False,House,House,hockingstuart Ringwood,12997,Samantha O'Regan,"Internal Laundry, Secure Parking, Bath, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/10-delville-street-mooroolbark-vic-3138-17725618
17732340,MOOROOLBARK,3138,595,2579,"Friday, 03 October 2025",2025-08-26,14,2,1,1.0,Apartment / Unit / Flat,3/34 Winyard Drive,-37.783897,145.31377,2025-09-09 16:49:21,17732340,,9,0,1,False,Apartment,Apartment / Unit / Flat,BRODA,39439,Amy March,"Ensuite(s), Air conditioning, Ensuite, Floorboards, Internal Laundry, Heating, Study, Balcony / Deck, Fully fenced, Secure Parking, Built in wardrobes, Dishwasher",https://www.domain.com.au/3-34-winyard-drive-mooroolbark-vic-3138-17732340
17735056,MOOROOLBARK,3138,680,2946,"Friday, 19 September 2025",2025-08-27,13,3,2,2.0,Apartment / Unit / Flat,6/213 Cambridge Road,-37.799515,145.33095,2025-09-09 16:49:21,17735056,,6,0,0,False,Apartment,Apartment / Unit / Flat,Ray White Ferntree Gully,7876,Ray White Bayswater Rentals,"Gas, Internal Laundry, Secure Parking, Heating, Shed, Balcony / Deck",https://www.domain.com.au/6-213-cambridge-road-mooroolbark-vic-3138-17735056
17735727,MOOROOLBARK,3138,600,2607,"Friday, 05 September 2025",2025-08-28,12,3,2,6.0,House,7 Jean Ct,-37.76589,145.31265,2025-09-09 16:49:21,17735727,,19,0,0,False,House,House,Woodards Croydon,37225,Wendy Steel,"Secure Parking, Heating, Air conditioning, Balcony / Deck, Fully fenced, Floorboards, Gas",https://www.domain.com.au/7-jean-ct-mooroolbark-vic-3138-17735727
17738902,MOOROOLBARK,3138,700,3041,"Friday, 29 August 2025",2025-08-29,11,3,2,2.0,Townhouse,1/5 Keats Road,-37.787212,145.3258,2025-09-09 16:49:21,17738902,,5,0,0,False,Townhouse/Villa,Townhouse,Jellis Craig Yarra Ranges,38071,"Mark Hewett, Mooroolbark Rentals","Gas, Bath, Study, Air conditioning, Split System Air Con, Split System Heating, Built in wardrobes, Garden / Courtyard, Balcony / Deck, Dishwasher, Outdoor Entertainment Area, Remote Garage",https://www.domain.com.au/1-5-keats-road-mooroolbark-vic-3138-17738902
17746466,MOOROOLBARK,3138,630,2730,"Friday, 19 September 2025",2025-09-04,5,3,1,,House,12 Meadowlark Lane,-37.774593,145.31854,2025-09-09 16:49:21,17746466,,11,0,0,False,House,House,Ray White Croydon,17921,Leasing ...,Heating,https://www.domain.com.au/12-meadowlark-lane-mooroolbark-vic-3138-17746466
17751197,MOOROOLBARK,3138,750,3259,"Friday, 19 September 2025",2025-09-08,1,4,2,2.0,House,40 Lansell Rd,-37.776577,145.32324,2025-09-09 16:49:21,17751197,,10,0,0,False,House,House,JPP Buyer Advocates,21076,"Courtney Thursfield, Sam James","Built in wardrobes, Internal Laundry, Bath, Heating, Solar panels, Balcony / Deck",https://www.domain.com.au/40-lansell-rd-mooroolbark-vic-3138-17751197
17752065,MOOROOLBARK,3138,570,2470,"Wednesday, 15 October 2025",2025-09-08,1,3,1,,House,17 Winifred Road,-37.782303,145.33038,2025-09-09 16:49:21,17752065,,11,1,0,False,House,House,Ray White Croydon,17921,Leasing ...,"Bath, Heating, Dishwasher, Floorboards, Built in wardrobes, Separate Dining Room, Secure Parking",https://www.domain.com.au/17-winifred-road-mooroolbark-vic-3138-17752065
17752569,MOOROOLBARK,3138,670,2911,"Friday, 10 October 2025",2025-09-09,0,3,2,2.0,Townhouse,3/33 Highland Cres,-37.792095,145.31268,2025-09-09 16:49:21,17752569,,15,0,0,False,Townhouse/Villa,Townhouse,Woodards Croydon,37225,Wendy Steel,"Heating, Secure Parking, Air conditioning, Garden / Courtyard, Shed, Fully fenced, Built in wardrobes, Dishwasher, Floorboards, Gas, Ensuite",https://www.domain.com.au/3-33-highland-cres-mooroolbark-vic-3138-17752569
17753308,MOOROOLBARK,3138,570,2477,"Thursday, 25 September 2025",2025-09-09,0,2,2,2.0,House,12 Recess Concourse,-37.78863,145.30893,2025-09-09 16:49:21,17753308,,10,0,2,False,House,House,hockingstuart Ringwood,12997,Samantha O'Regan,"Secure Parking, Balcony / Deck, Study",https://www.domain.com.au/12-recess-concourse-mooroolbark-vic-3138-17753308
17753713,MOOROOLBARK,3138,610,2651,"Monday, 08 September 2025",2025-09-09,0,3,1,2.0,House,16 Croydondale Drive,-37.779667,145.32458,2025-09-09 16:49:21,17753713,,10,0,0,False,House,House,Barry Plant Lilydale ,15430,"Anne Johnsen, Sepi Eftekhari",,https://www.domain.com.au/16-croydondale-drive-mooroolbark-vic-3138-17753713
17005864,MOOROOLBARK,3138,430,1868,"Monday, 13 May 2024",2024-05-09,488,3,1,,House,38 Winyard Drive,-37.78391,145.31424,2025-09-09 16:49:26,17005864,ED-5523-FI,6,0,0,False,House,House,Jellis Craig Maroondah,4081,,"Air conditioning, Gas, Bath, Heating, Shed, Laundry",https://www.domain.com.au/38-winyard-drive-mooroolbark-vic-3138-17005864
17579310,MOOROOLBARK,3138,650,2824,"Saturday, 07 June 2025",2025-05-19,113,3,2,4.0,House,25 Kipling Avenue,-37.78681,145.32275,2025-09-09 16:49:26,17579310,LZ-0964-NR,12,0,0,False,House,House,Jellis Craig Yarra Ranges,38071,Mooroolbark Rentals,"Bath, Heating",https://www.domain.com.au/25-kipling-avenue-mooroolbark-vic-3138-17579310
17665573,MOOROOLBARK,3138,550,2390,"Friday, 18 July 2025",2025-07-11,59,3,1,,House,39 Diane Crescent,-37.78223,145.30727,2025-09-09 16:49:26,17665573,,5,0,0,False,House,House,Barry Plant Manningham,7015,"Katerina Fountas, Deep Sareen","Built in wardrobes, Gas, Balcony / Deck",https://www.domain.com.au/39-diane-crescent-mooroolbark-vic-3138-17665573
