listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
14358888,MOOROOPNA,3629,380,1646.0,"Friday, 08 August 2025",2025-07-11,60,3,1,1,House,44 McKean Street,-36.386448,145.35864,2025-09-09 16:52:28,14358888,SK-9119-FU,9,0,0,False,House,House,Gagliardi Scott Real Estate,8642,Natalie Smyth,"Air conditioning, Pets Allowed, Bath, Heating, Shed, Laundry",https://www.domain.com.au/44-mckean-street-mooroopna-vic-3629-14358888
16046099,MOOROOPNA,3629,250,1083.0,"Thursday, 09 October 2025",2025-09-04,4,1,1,1,Apartment / Unit / Flat,9/8 Elizabeth Street,-36.392044,145.36382,2025-09-09 16:52:28,16046099,NH-9792-LL,12,1,0,True,Apartment,Apartment / Unit / Flat,Shepparton Real Estate,27371,Rental Department,Heating,https://www.domain.com.au/9-8-elizabeth-street-mooroopna-vic-3629-16046099
16996944,MOOROOPNA,3629,340,1473.0,"Tuesday, 29 July 2025",2025-07-08,63,1,1,1,Apartment / Unit / Flat,4/28 Alexandra Street,-36.39294,145.35689,2025-09-09 16:52:28,16996944,KY-1257-BT,8,0,0,False,Apartment,Apartment / Unit / Flat,Gagliardi Scott Real Estate,8642,Thomas Favaro,"Built in wardrobes, Pets Allowed, Heating, Laundry",https://www.domain.com.au/4-28-alexandra-street-mooroopna-vic-3629-16996944
17657227,MOOROOPNA,3629,550,2383.0,"Monday, 21 July 2025",2025-07-07,63,3,2,2,House,11 Mooredge Place,-36.402107,145.34404,2025-09-09 16:52:28,17657227,,15,0,0,False,House,House,Gagliardi Scott Real Estate,8642,Chloe Earle,"Gas, Pets Allowed, Secure Parking, Bath, Heating, Dishwasher, Laundry",https://www.domain.com.au/11-mooredge-place-mooroopna-vic-3629-17657227
17700862,MOOROOPNA,3629,530,,"Monday, 11 August 2025",2025-08-05,35,3,2,2,House,70 Elsie Jones Drive,-36.392696,145.34567,2025-09-09 16:52:28,17700862,,15,0,0,False,House,House,Cardamone Real Estate,24072,"Joanna Ferraro, Rental Team",Laundry,https://www.domain.com.au/70-elsie-jones-drive-mooroopna-vic-3629-17700862
17714875,MOOROOPNA,3629,600,2600.0,"Monday, 01 September 2025",2025-08-14,26,4,2,2,House,22 Tylabelle Terrace,-36.392708,145.33858,2025-09-09 16:52:28,17714875,,15,1,0,False,House,House,Ray Dobson Real Estate,16716,Rentals,"Pets Allowed, Secure Parking, Heating",https://www.domain.com.au/22-tylabelle-terrace-mooroopna-vic-3629-17714875
17721522,MOOROOPNA,3629,340,1473.0,"Tuesday, 16 September 2025",2025-08-19,21,1,1,1,Apartment / Unit / Flat,2/30 Alexandra Street,-36.39297,145.35667,2025-09-09 16:52:28,17721522,,6,0,0,False,Apartment,Apartment / Unit / Flat,Gagliardi Scott Real Estate,8642,Thomas Favaro,"Built in wardrobes, Internal Laundry, Broadband internet access, Heating",https://www.domain.com.au/2-30-alexandra-street-mooroopna-vic-3629-17721522
17724864,MOOROOPNA,3629,600,2600.0,"Friday, 19 September 2025",2025-08-20,19,4,2,2,House,55 Chivalry Drive,-36.37126,145.33754,2025-09-09 16:52:28,17724864,,18,0,0,False,House,House,Gagliardi Scott Real Estate,8642,Chloe Earle,"Built in wardrobes, Gas, Pets Allowed, Bath, Heating, Dishwasher, Shed",https://www.domain.com.au/55-chivalry-drive-mooroopna-vic-3629-17724864
17731195,MOOROOPNA,3629,550,2383.0,"Monday, 08 September 2025",2025-08-26,14,3,2,2,House,34 Pell Crescent,-36.39071,145.34377,2025-09-09 16:52:28,17731195,,16,0,0,False,House,House,Shepparton Real Estate,27371,Rental Department,"Secure Parking, Bath, Heating, Study",https://www.domain.com.au/34-pell-crescent-mooroopna-vic-3629-17731195
17731701,MOOROOPNA,3629,600,,"Monday, 08 September 2025",2025-08-26,14,4,2,2,House,44 Chivalry Drive,-36.372643,145.33768,2025-09-09 16:52:28,17731701,,12,0,0,False,House,House,Cardamone Real Estate,24072,Chloe Bagley,"Secure Parking, Shed, Laundry",https://www.domain.com.au/44-chivalry-drive-mooroopna-vic-3629-17731701
17732371,MOOROOPNA,3629,380,,"Friday, 19 September 2025",2025-08-26,14,2,1,1,Apartment / Unit / Flat,4/27 Alexandra Street,-36.393223,145.35732,2025-09-09 16:52:28,17732371,,9,0,1,False,Apartment,Apartment / Unit / Flat,Cardamone Real Estate,24072,Amy Mason,"Air conditioning, Laundry, Gas Hot Water",https://www.domain.com.au/4-27-alexandra-street-mooroopna-vic-3629-17732371
17737659,MOOROOPNA,3629,340,1473.0,"Tuesday, 16 September 2025",2025-08-29,11,1,1,1,Apartment / Unit / Flat,1/28 Alexandra Street,-36.39294,145.35689,2025-09-09 16:52:28,17737659,,7,0,0,False,Apartment,Apartment / Unit / Flat,Gagliardi Scott Real Estate,8642,Thomas Favaro,"Built in wardrobes, Internal Laundry, Pets Allowed, Heating",https://www.domain.com.au/1-28-alexandra-street-mooroopna-vic-3629-17737659
17745582,MOOROOPNA,3629,590,,"Monday, 15 September 2025",2025-09-03,6,3,2,2,House,70 Windlass Avenue,-36.37109,145.33852,2025-09-09 16:52:28,17745582,,13,0,0,False,House,House,Cardamone Real Estate,24072,Chloe Bagley,"Secure Parking, Heating, Laundry",https://www.domain.com.au/70-windlass-avenue-mooroopna-vic-3629-17745582
17746256,MOOROOPNA,3629,520,2259.0,"Friday, 17 October 2025",2025-09-03,5,3,1,2,House,46 Helmer Street,-36.397686,145.34227,2025-09-09 16:52:28,17746256,,11,0,0,False,House,House,Stockdale & Leggo Shepparton,22369,"Property Management Team, Mia Beks","Built in wardrobes, Gas, Bath, Heating, Dishwasher",https://www.domain.com.au/46-helmer-street-mooroopna-vic-3629-17746256
17750543,MOOROOPNA,3629,600,2607.0,"Monday, 08 September 2025",2025-09-08,1,4,2,1,House,10 Feather Drive,-36.372196,145.33882,2025-09-09 16:52:28,17750543,,15,0,0,False,House,House,Cardamone Real Estate,24072,Chloe Bagley,"Secure Parking, Laundry",https://www.domain.com.au/10-feather-drive-mooroopna-vic-3629-17750543
