listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17466311,MORDIALLOC,3195,930,4128.0,"Friday, 14 March 2025",2025-03-04,189,4,2,2,Townhouse,4/62 White Street,-37.999805,145.09326,2025-09-09 16:55:03,17466311,NS-1578-SB,12,0,0,False,Townhouse/Villa,Townhouse,Jellis Craig Mentone & Chelsea,23619,Tania Souki,"Gas, Secure Parking, Heating, Study",https://www.domain.com.au/4-62-white-street-mordialloc-vic-3195-17466311
17679579,MORDIALLOC,3195,850,,"Saturday, 06 December 2025",2025-07-22,49,3,1,5,House,73 McDonald street,-38.00187,145.09314,2025-09-09 16:55:03,17679579,,8,0,0,False,House,House,No Agent Property ,20869,No Agent Property - VIC,"Air conditioning, Pets Allowed, Fully fenced",https://www.domain.com.au/73-mcdonald-street-mordialloc-vic-3195-17679579
17699488,MORDIALLOC,3195,470,2042.0,"Monday, 04 August 2025",2025-08-04,36,2,1,1,Apartment / Unit / Flat,13/214 Beach Rd,-38.00859,145.0859,2025-09-09 16:55:03,17699488,,8,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Bayside,16215,Dimmy Alevizos,"Internal Laundry, Heating",https://www.domain.com.au/13-214-beach-rd-mordialloc-vic-3195-17699488
17710978,MORDIALLOC,3195,530,2303.0,"Sunday, 21 September 2025",2025-08-12,28,2,1,1,Apartment / Unit / Flat,10/18 Chute St,-38.007942,145.09258,2025-09-09 16:55:03,17710978,,10,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Bayside,16215,Dimmy Alevizos,"Internal Laundry, Secure Parking, Bath, Pets Allowed",https://www.domain.com.au/10-18-chute-st-mordialloc-vic-3195-17710978
17725316,MORDIALLOC,3195,450,1955.0,"Monday, 22 September 2025",2025-08-21,19,2,1,1,Apartment / Unit / Flat,3/7 Governor Rd,-38.00954,145.09341,2025-09-09 16:55:03,17725316,,8,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Bayside,16215,Dimmy Alevizos,"Internal Laundry, Balcony / Deck",https://www.domain.com.au/3-7-governor-rd-mordialloc-vic-3195-17725316
17730864,MORDIALLOC,3195,850,3693.0,"Monday, 01 September 2025",2025-08-25,14,4,2,2,House,22 Kokoda Place,-38.008194,145.08911,2025-09-09 16:55:03,17730864,,16,0,0,False,House,House,A Dot Realty VIC,38737,"Clark Guan, Tony Huang","Secure Parking, Furnished",https://www.domain.com.au/22-kokoda-place-mordialloc-vic-3195-17730864
17731599,MORDIALLOC,3195,450,1955.0,"Monday, 22 September 2025",2025-08-26,14,2,1,1,Apartment / Unit / Flat,4/94 Albert Street,-38.009106,145.09142,2025-09-09 16:55:03,17731599,,10,0,0,False,Apartment,Apartment / Unit / Flat,Ray White The Bayside Group,6378,"Ildiko Orsos, Isabella Dinelli","Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/4-94-albert-street-mordialloc-vic-3195-17731599
17744795,MORDIALLOC,3195,1150,4600.0,"Wednesday, 01 October 2025",2025-09-03,6,4,2,2,Townhouse,13a Ashmore Avenue,-38.00093,145.08559,2025-09-09 16:55:03,17744795,,13,0,0,False,Townhouse/Villa,Townhouse,HODGES MENTONE,3918,Taya Davidson,"Built in wardrobes, Internal Laundry, Secure Parking, Intercom, Heating, Balcony / Deck",https://www.domain.com.au/13a-ashmore-avenue-mordialloc-vic-3195-17744795
17745938,MORDIALLOC,3195,490,2129.0,"Wednesday, 03 September 2025",2025-09-03,6,2,1,1,Apartment / Unit / Flat,5/11 Hall Mark Rd,-38.00224,145.09782,2025-09-09 16:55:03,17745938,,8,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Bayside,16215,Dimmy Alevizos,"Built in wardrobes, Gas, Bath, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/5-11-hall-mark-rd-mordialloc-vic-3195-17745938
17749108,MORDIALLOC,3195,899,3600.0,"Sunday, 31 August 2025",2025-09-05,4,4,1,3,House,49 Chute street,-38.00174,145.09334,2025-09-09 16:55:03,17749108,,9,0,0,False,House,House,No Agent Property ,20869,No Agent Property - VIC,"Gas, Air conditioning, Floorboards, Pets Allowed, Study, Secure Parking",https://www.domain.com.au/49-chute-street-mordialloc-vic-3195-17749108
