listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
14866098,MORNINGTON,3931,520,2260,"Saturday, 13 September 2025",2025-08-27,13,2,1,1,House,1/11 Mitchell Street,-38.234955,145.03473,2025-09-09 16:59:24,14866098,8,0,0,False,House,House,Abode Peninsula,20607,Jodie Harwood,"Secure Parking, Air conditioning, Floorboards, Built in wardrobes, Fully fenced, Garden / Courtyard",https://www.domain.com.au/1-11-mitchell-street-mornington-vic-3931-14866098
17610403,MORNINGTON,3931,600,2607,"Friday, 05 September 2025",2025-09-02,7,3,1,2,House,39 Richardson Drive,-38.23021,145.05508,2025-09-09 16:59:24,17610403,6,0,0,False,House,House,Barry Plant Mornington,20786,Jo Allen,"Internal Laundry, Built in wardrobes, Close to transport, Close to shops, Close to schools, Fully fenced",https://www.domain.com.au/39-richardson-drive-mornington-vic-3931-17610403
17692481,MORNINGTON,3931,530,2303,"Friday, 08 August 2025",2025-07-30,41,2,1,1,Apartment / Unit / Flat,5/15 Lucerne Avenue,-38.22196,145.05148,2025-09-09 16:59:24,17692481,8,0,2,False,Apartment,Apartment / Unit / Flat,OBrien Real Estate Mornington,25904,Mark Bryant,"Secure Parking, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Carpeted, Courtyard",https://www.domain.com.au/5-15-lucerne-avenue-mornington-vic-3931-17692481
17699045,MORNINGTON,3931,730,3172,"Monday, 01 September 2025",2025-08-04,36,3,2,3,House,53 Dorothy Crescent,-38.23419,145.0463,2025-09-09 16:59:24,17699045,10,0,1,False,House,House,Jellis Craig Mount Martha,30876,"Lauren Dyson, Maya Turner","Air conditioning, Secure Parking, Heating, Dishwasher, Built in wardrobes, Fully fenced, Shed",https://www.domain.com.au/53-dorothy-crescent-mornington-vic-3931-17699045
17701456,MORNINGTON,3931,800,3476,"Tuesday, 30 September 2025",2025-08-05,35,3,2,2,House,6 Wensley Close,-38.240234,145.04477,2025-09-09 16:59:24,17701456,14,0,1,False,House,House,Barry Plant Mornington,20786,Jo Allen,"Air conditioning, Internal Laundry, Secure Parking, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ensuite, Dishwasher, Fully fenced",https://www.domain.com.au/6-wensley-close-mornington-vic-3931-17701456
17703796,MORNINGTON,3931,640,2781,"Wednesday, 06 August 2025",2025-08-06,34,3,1,1,Apartment / Unit / Flat,2/26 Main Street,-38.21739,145.0374,2025-09-09 16:59:24,17703796,7,0,1,False,Apartment,Apartment / Unit / Flat,Jacobs & Lowe Mornington,4541,Property Management Department,,https://www.domain.com.au/2-26-main-street-mornington-vic-3931-17703796
17724120,MORNINGTON,3931,1100,4780,"Saturday, 08 November 2025",2025-08-20,20,5,2,2,House,7 Lynn Close,-38.24126,145.0666,2025-09-09 16:59:24,17724120,16,0,1,False,House,House,Warlimont & Nutt Pty Ltd,8510,Sally Jones,"Secure Parking, Dishwasher, Swimming Pool",https://www.domain.com.au/7-lynn-close-mornington-vic-3931-17724120
17732316,MORNINGTON,3931,530,2303,"Tuesday, 26 August 2025",2025-08-26,14,2,1,1,Apartment / Unit / Flat,1/33 Spray Street,-38.22678,145.04485,2025-09-09 16:59:24,17732316,6,0,0,False,Apartment,Apartment / Unit / Flat,Jacobs & Lowe Mornington,4541,Property Management Department,"Built in wardrobes, Gas, Dishwasher",https://www.domain.com.au/1-33-spray-street-mornington-vic-3931-17732316
17733418,MORNINGTON,3931,730,3172,"Tuesday, 02 September 2025",2025-08-27,13,4,2,1,House,24 Melinga Cres,-38.22784,145.05643,2025-09-09 16:59:24,17733418,13,0,0,False,House,House,Moment Group,35720,Leasing Consultant,"Pets Allowed, Furnished",https://www.domain.com.au/24-melinga-cres-mornington-vic-3931-17733418
17734010,MORNINGTON,3931,550,2390,"Monday, 15 September 2025",2025-08-27,13,3,1,2,House,1/70 Prince Street,-38.237057,145.03128,2025-09-09 16:59:24,17734010,7,0,0,False,House,House,OBrien Real Estate Mornington,25904,Mark Bryant,"Bath, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Carpeted, Courtyard, Fully fenced",https://www.domain.com.au/1-70-prince-street-mornington-vic-3931-17734010
