listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15916872,MORWELL,3840,545,2368.0,"Friday, 03 October 2025",2025-09-03,6,4,2,2.0,House,84 Mary Street,-38.230877,146.38493,2025-09-09 17:05:24,15916872,ES-9890-WM,10,0,0,False,House,House,Harcourts Moe - Newborough,11770,"Sarah Olsen, Alysha Maher","Air conditioning, Built in wardrobes, Internal Laundry, Pets Allowed, Gas, Bath, Heating, Dishwasher, Secure Parking, Fully fenced",https://www.domain.com.au/84-mary-street-morwell-vic-3840-15916872
16237363,MORWELL,3840,330,1430.0,"Friday, 15 August 2025",2025-09-05,4,2,1,,Apartment / Unit / Flat,1/63 Hoyle Street,-38.233105,146.40347,2025-09-09 17:05:24,16237363,IZ-2648-IU,4,0,0,False,Apartment,Apartment / Unit / Flat,BJ Bennett & Co Real Estate,15039,Rental Department,Laundry,https://www.domain.com.au/1-63-hoyle-street-morwell-vic-3840-16237363
16925864,MORWELL,3840,480,2086.0,"Saturday, 06 September 2025",2025-09-01,8,3,2,2.0,House,2 Melanie Court,-38.22881,146.39305,2025-09-09 17:05:24,16925864,ZO-7444-LW,9,0,0,False,House,House,Keith Williams Real Estate,12967,,"Gas, Bath, Dishwasher",https://www.domain.com.au/2-melanie-court-morwell-vic-3840-16925864
17688948,MORWELL,3840,290,1257.0,"Friday, 05 September 2025",2025-07-28,43,2,1,1.0,Apartment / Unit / Flat,2/3 Henry Street,-38.229095,146.4058,2025-09-09 17:05:24,17688948,,13,0,0,False,Apartment,Apartment / Unit / Flat,Ross Maddaluno Real Estate,6924,,,https://www.domain.com.au/2-3-henry-street-morwell-vic-3840-17688948
17725121,MORWELL,3840,275,,"Thursday, 21 August 2025",2025-08-21,19,1,1,,Studio,73B Hoyle St,-38.232758,146.40417,2025-09-09 17:05:24,17725121,,5,0,0,False,Apartment,Studio,FIRST NATIONAL REAL ESTATE CENTRAL KW,15017,Property Management,"Gas, Dishwasher",https://www.domain.com.au/73b-hoyle-st-morwell-vic-3840-17725121
17730213,MORWELL,3840,340,,"Monday, 25 August 2025",2025-08-25,15,2,1,,House,11 Kokoda St,-38.235706,146.41864,2025-09-09 17:05:24,17730213,,8,0,0,False,House,House,FIRST NATIONAL REAL ESTATE CENTRAL KW,15017,Property Management,"Gas, Internal Laundry",https://www.domain.com.au/11-kokoda-st-morwell-vic-3840-17730213
17745454,MORWELL,3840,550,2383.0,"Sunday, 12 October 2025",2025-09-03,6,3,2,3.0,House,2 Ensay Court,-38.223564,146.43712,2025-09-09 17:05:24,17745454,,32,0,2,False,House,House,Stockdale & Leggo La Trobe Valley,6114,Morwell Property Management,"Air conditioning, Broadband internet access, Built in wardrobes, Dishwasher, Heating, Fully fenced, Gas Hot Water Service, Outdoor Entertaining, Outdoor Entertainment Area, Remote Garage, Secure Parking, Shed, Solar panels, Study, Ensuite",https://www.domain.com.au/2-ensay-court-morwell-vic-3840-17745454
17746174,MORWELL,3840,450,,"Wednesday, 03 September 2025",2025-09-03,5,4,2,5.0,House,8 Latrobe Rd,-38.234806,146.39502,2025-09-09 17:05:24,17746174,,8,0,0,False,House,House,FIRST NATIONAL REAL ESTATE CENTRAL KW,15017,Property Management,"Built in wardrobes, Bath, Dishwasher",https://www.domain.com.au/8-latrobe-rd-morwell-vic-3840-17746174
17747183,MORWELL,3840,440,1906.0,"Sunday, 12 October 2025",2025-09-04,5,3,1,1.0,House,282 Commercial Road,-38.239883,146.40587,2025-09-09 17:05:24,17747183,,21,0,0,False,House,House,Stockdale & Leggo La Trobe Valley,6114,Morwell Property Management,"Secure Parking, Balcony / Deck",https://www.domain.com.au/282-commercial-road-morwell-vic-3840-17747183
17747205,MORWELL,3840,510,2216.0,"Friday, 05 September 2025",2025-09-04,5,4,2,2.0,House,1 Robert Street,-38.221416,146.42358,2025-09-09 17:05:24,17747205,,7,0,0,False,House,House,Keith Williams Real Estate,12967,,"Heating, Balcony / Deck",https://www.domain.com.au/1-robert-street-morwell-vic-3840-17747205
