listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16999212,MOUNT MARTHA,3934,1095.0,1950.0,"Monday, 09 June 2025",2025-07-03,68,3,2,4.0,House,14 Hooper Grove,-38.282585,145.00708,2025-09-09 16:40:03,16999212,HA-7803-HZ,28,0,1,False,House,House,For Sale By Owner,20095,For Rent (VIC),"Air conditioning, Balcony/Patio/Terrace, Bath, Built in wardrobes, Ensuite, Fireplace(s), Furnished, Heating, Modern Bathroom, Modern Kitchen, Pay TV Enabled, Floorboards, Renovated, Renovated Bathroom, Renovated Kitchen, Separate Dining Room, BBQ, Entertainment Area, Garden, Garden Shed, Level Lawn, Pets Allowed, Shower Facilities, Close to Parklands, Close to schools, Close to shops, Close to transport, Near Waterfront, Quiet Location, Views, Beach/Coastal Property, Non Smoking, Gas Enabled, Internal Laundry, Storage Area, Remote Garage, Study, Broadband, Dishwasher, Balcony, Courtyard, Workshop, Secure Parking, Living Area, Rumpus Room, Deck, Fully fenced",https://www.domain.com.au/14-hooper-grove-mount-martha-vic-3934-16999212
17191067,MOUNT MARTHA,3934,,3500.0,,2024-09-03,371,4,2,1.0,House,9 McLeod Rd,-38.28177,144.999,2025-09-09 16:40:03,17191067,VB-7988-UJ,13,0,0,False,House,House,Spencer Property Management,32951,Spencer Proeprty Management,"Floorboards, Built in wardrobes, Furnished, Internal Laundry, Gas, Bath, Separate Dining Room, Heating, Ground floor, Garden / Courtyard, Balcony / Deck",https://www.domain.com.au/9-mcleod-rd-mount-martha-vic-3934-17191067
17334722,MOUNT MARTHA,3934,750.0,3259.0,"Friday, 31 October 2025",2024-12-03,280,3,2,6.0,House,96 Dominion Road,-38.27392,145.02342,2025-09-09 16:40:03,17334722,YC-3166-BQ,29,0,0,False,House,House,Warlimont & Nutt Pty Ltd,8510,Sally Jones,"Air conditioning, Internal Laundry, Built in wardrobes, Garden / Courtyard, Heating, Furnished, Secure Parking, Ensuite",https://www.domain.com.au/96-dominion-road-mount-martha-vic-3934-17334722
17449696,MOUNT MARTHA,3934,,,"Thursday, 20 February 2025",2025-02-20,201,3,2,5.0,House,106 Dominion Road,-38.27242,145.0247,2025-09-09 16:40:03,17449696,VT-0580-AT,18,0,0,False,House,House,Sale by Home Owner ,31710,,Furnished,https://www.domain.com.au/106-dominion-road-mount-martha-vic-3934-17449696
17551700,MOUNT MARTHA,3934,825.0,,"Friday, 16 May 2025",2025-05-01,131,3,3,2.0,House,32 Somerset Dr,-38.287518,145.019,2025-09-09 16:40:03,17551700,VP-4613-CU,15,0,1,False,House,House,Peninsula Sales & Leasing,35026,"Melissa Sarmiento, Belinda Lowe","Secure Parking, Bath, Heating, Air conditioning, Balcony / Deck, Garden / Courtyard, Shed, Built in wardrobes, Out door entertaining area",https://www.domain.com.au/32-somerset-dr-mount-martha-vic-3934-17551700
17555213,MOUNT MARTHA,3934,2250.0,2500.0,"Friday, 20 June 2025",2025-07-03,68,5,3,5.0,House,72 Kilburn Grove,-38.27724,145.00946,2025-09-09 16:40:03,17555213,WZ-5346-WX,31,0,1,False,House,House,For Sale By Owner,20095,For Rent (VIC),"Air conditioning, Balcony/Patio/Terrace, Bath, Built in wardrobes, Ensuite, Fireplace(s), Formal Lounge, Furnished, Heating, Modern Bathroom, Modern Kitchen, Pay TV Enabled, Floorboards, Renovated, Renovated Bathroom, Renovated Kitchen, Vacuum System, BBQ, Entertainment Area, Garden, Garden Shed, Level Lawn, Pets Allowed, Shower Facilities, Spa Bath/Jacuzzi, Swimming/Lap Pool, Alarm System, Intercom, Security Lights, Security Windows, Swipe Card, Close to Parklands, Close to schools, Close to shops, Near Waterfront, Quiet Location, Views, Beach/Coastal Property, Nature Property, Prestige Property, Resort Property, Gas Enabled, Internal Laundry, Sauna, Storage Area, Newly Built Property, Study, Broadband, Dishwasher, Balcony, Courtyard, Workshop, Secure Parking, Greywater system, Solar panels, Solar hot water, Living Area, Deck, Fully fenced",https://www.domain.com.au/72-kilburn-grove-mount-martha-vic-3934-17555213
17668315,MOUNT MARTHA,3934,2700.0,11732.0,"Friday, 01 August 2025",2025-07-15,56,4,3,2.0,House,7 Watson Road,-38.266815,145.01532,2025-09-09 16:40:03,17668315,,24,0,1,False,House,House,Jellis Craig Mount Martha,30876,"Lauren Dyson, Maya Turner","Fireplace(s), Heating, Balcony / Deck, Alarm System, Secure Parking, Dishwasher, Swimming Pool, Remote Garage, Furnished",https://www.domain.com.au/7-watson-road-mount-martha-vic-3934-17668315
17691742,MOUNT MARTHA,3934,700.0,3042.0,"Friday, 19 September 2025",2025-07-30,41,4,1,4.0,House,53 Grandview Terrace,-38.302525,144.99953,2025-09-09 16:40:03,17691742,,10,0,1,False,House,House,Warlimont & Nutt Pty Ltd,8510,Courtney Wade,"Internal Laundry, Bath, Heating",https://www.domain.com.au/53-grandview-terrace-mount-martha-vic-3934-17691742
17699190,MOUNT MARTHA,3934,620.0,2694.0,"Monday, 11 August 2025",2025-08-04,36,3,2,,House,6 Newton Street,-38.262486,145.02533,2025-09-09 16:40:03,17699190,,11,0,0,False,House,House,Warlimont & Nutt Pty Ltd,8510,Jane Ferlazzo,"Air conditioning, Built in wardrobes, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/6-newton-street-mount-martha-vic-3934-17699190
17719415,MOUNT MARTHA,3934,1050.0,,"Friday, 19 September 2025",2025-08-18,22,5,2,2.0,House,11 Glenisla Drive,-38.271866,145.0124,2025-09-09 16:40:03,17719415,,16,0,0,False,House,House,Jellis Craig Mount Martha,30876,"Lauren Dyson, Maya Turner","Fireplace(s), Dishwasher, Fully fenced",https://www.domain.com.au/11-glenisla-drive-mount-martha-vic-3934-17719415
17725261,MOUNT MARTHA,3934,1200.0,7200.0,"Wednesday, 01 October 2025",2025-08-21,19,4,3,4.0,House,128 Bradford Rd,-38.29881,144.99924,2025-09-09 16:40:03,17725261,,9,0,1,False,House,House, Exclusive Property Management,37735,Caroline Masik,"Air conditioning, Heating",https://www.domain.com.au/128-bradford-rd-mount-martha-vic-3934-17725261
17726177,MOUNT MARTHA,3934,590.0,2564.0,"Monday, 08 September 2025",2025-08-21,19,3,2,2.0,House,2 Moonah Way,-38.251617,145.04018,2025-09-09 16:40:03,17726177,,6,0,0,False,House,House,Jacobs & Lowe Mornington,4541,Property Management Department,"Secure Parking, Bath, Heating, Dishwasher",https://www.domain.com.au/2-moonah-way-mount-martha-vic-3934-17726177
17727999,MOUNT MARTHA,3934,880.0,3824.0,"Monday, 01 September 2025",2025-08-22,18,4,2,2.0,House,13 Raymond Street,-38.28457,144.9957,2025-09-09 16:40:03,17727999,,12,0,1,False,House,House,Performance Asset Management Melbourne,35595,Leasing Concierge,"Built in wardrobes, Dishwasher, Bathtub, Gas Appliances, Split System Heating, Split System Air Conditioning, Ensuite(s), Outdoor Entertainment Area, Balcony, Deck, Solar panels",https://www.domain.com.au/13-raymond-street-mount-martha-vic-3934-17727999
17744052,MOUNT MARTHA,3934,900.0,3911.0,"Friday, 05 September 2025",2025-09-02,6,3,2,4.0,House,11 Sheoak Grove,-38.296024,144.99231,2025-09-09 16:40:03,17744052,,11,0,1,False,House,House,Warlimont & Nutt Pty Ltd,8510,Sally Jones,"Internal Laundry, Heating, Shed, Balcony / Deck",https://www.domain.com.au/11-sheoak-grove-mount-martha-vic-3934-17744052
17752534,MOUNT MARTHA,3934,650.0,2824.0,"Saturday, 20 September 2025",2025-09-08,0,3,1,2.0,House,5 Kerry Ave,-38.245564,145.03885,2025-09-09 16:40:03,17752534,,6,0,0,False,House,House, Exclusive Property Management,37735,Caroline Masik,Secure Parking,https://www.domain.com.au/5-kerry-ave-mount-martha-vic-3934-17752534
17753816,MOUNT MARTHA,3934,1050.0,4562.0,"Saturday, 20 September 2025",2025-09-09,0,4,3,2.0,House,8 Asquith Avenue,-38.29744,144.99207,2025-09-09 16:40:03,17753816,,7,0,2,True,House,House,Belle Property Mornington & Mount Eliza,3810,"Gayle Christoforou, Rachel  Double","Fireplace(s), Balcony / Deck, Area Views, Built in wardrobes, Swimming Pool, Ensuite, Ocean Views, Dishwasher, Study",https://www.domain.com.au/8-asquith-avenue-mount-martha-vic-3934-17753816
