listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
14357167,MOUNT WAVERLEY,3149,720.0,3075.0,"Wednesday, 24 September 2025",2025-09-01,8,2,2,1.0,Townhouse,2/2 Ross Court,-37.893394,145.14131,2025-09-09 16:49:31,14357167,AR-9938-GT,10,0,0,False,Townhouse/Villa,Townhouse,Seascape RE,22931,The Manager,"Air conditioning, Built in wardrobes, Garden / Courtyard, Balcony / Deck, Dishwasher, Floorboards, Fully fenced, Gas Hot Water Service, Intercom, Remote Garage, Secure Parking, Shed, Solar hot water, Heating, Study",https://www.domain.com.au/2-2-ross-court-mount-waverley-vic-3149-14357167
14799583,MOUNT WAVERLEY,3149,550.0,2390.0,"Saturday, 27 September 2025",2025-08-29,11,2,1,1.0,Apartment / Unit / Flat,2/1 Leigh Street,-37.87538,145.1148,2025-09-09 16:49:31,14799583,OB-3454-MN,5,0,0,False,Apartment,Apartment / Unit / Flat,LongView Real Estate,7797,Stephanie Wallace,"Built in wardrobes, Internal Laundry, Heating, Floorboards",https://www.domain.com.au/2-1-leigh-street-mount-waverley-vic-3149-14799583
15562200,MOUNT WAVERLEY,3149,870.0,3770.0,"Friday, 05 September 2025",2025-08-21,19,4,2,1.0,Townhouse,3/4 Catherine Avenue,-37.89424,145.11536,2025-09-09 16:49:31,15562200,JP-8375-RU,11,0,0,False,Townhouse/Villa,Townhouse,Ray White Oakleigh,12122,"Matthew Swinnerton, Allan Wilkinson","Built in wardrobes, Internal Laundry, Heating, Dishwasher, Secure Parking, Garden / Courtyard",https://www.domain.com.au/3-4-catherine-avenue-mount-waverley-vic-3149-15562200
16620473,MOUNT WAVERLEY,3149,555.0,2412.0,"Monday, 13 October 2025",2025-09-01,8,3,1,1.0,Apartment / Unit / Flat,2/42 Doynton Parade,-37.881416,145.14467,2025-09-09 16:49:31,16620473,TI-1520-RY,7,0,0,False,Apartment,Apartment / Unit / Flat,Biggin Scott Glen Waverley,24636,"Leasing Team, Shadae Lester","Air conditioning, Gas, Internal Laundry, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/2-42-doynton-parade-mount-waverley-vic-3149-16620473
16807603,MOUNT WAVERLEY,3149,485.0,2107.0,"Thursday, 11 September 2025",2025-08-27,13,2,1,1.0,Apartment / Unit / Flat,2/232 Waverley Road,-37.88342,145.11322,2025-09-09 16:49:31,16807603,TH-4342-AY,7,0,0,False,Apartment,Apartment / Unit / Flat,Biggin Scott Glen Waverley,24636,"Leasing Team, Alex Kostoglou","Built in wardrobes, Internal Laundry, Heating",https://www.domain.com.au/2-232-waverley-road-mount-waverley-vic-3149-16807603
16808468,MOUNT WAVERLEY,3149,700.0,3042.0,"Friday, 10 October 2025",2025-08-22,18,3,1,2.0,House,328 Highbury Road,-37.857746,145.13086,2025-09-09 16:49:31,16808468,JL-8043-IR,11,0,0,False,House,House,Biggin Scott Glen Waverley,24636,"Leasing Team, Davis  Fung",Heating,https://www.domain.com.au/328-highbury-road-mount-waverley-vic-3149-16808468
17694443,MOUNT WAVERLEY,3149,895.0,3889.0,"Tuesday, 16 September 2025",2025-07-31,40,4,3,2.0,Townhouse,1/9 Catherine Ave,-37.893814,145.11624,2025-09-09 16:49:31,17694443,,7,0,0,False,Townhouse/Villa,Townhouse,Weare Partners Property Group Pty Ltd,34290,"Sophia Wu, Dixon Lim","Heating, Air conditioning, Floorboards, Built in wardrobes, Internal Laundry, Gas, Bath, Dishwasher, Secure Parking, Fully fenced, Shed, Garden / Courtyard",https://www.domain.com.au/1-9-catherine-ave-mount-waverley-vic-3149-17694443
17702617,MOUNT WAVERLEY,3149,760.0,,"Thursday, 21 August 2025",2025-08-06,34,3,2,2.0,House,18 Walton Heath Crescent,-37.894085,145.11961,2025-09-09 16:49:31,17702617,,18,0,0,False,House,House,Century 21 Property Group,21959,Irene Kotsa,"Internal Laundry, Bath, Heating, Balcony / Deck, Air conditioning",https://www.domain.com.au/18-walton-heath-crescent-mount-waverley-vic-3149-17702617
17709392,MOUNT WAVERLEY,3149,1150.0,6900.0,"Thursday, 18 September 2025",2025-08-11,29,4,3,2.0,Townhouse,70A Price Avenue,-37.87544,145.1456,2025-09-09 16:49:31,17709392,,8,0,0,False,Townhouse/Villa,Townhouse,Jellis Craig Mount Waverley ,17805,"Jocelyn  Leong, Jane Yuan","Gas, Bath, Ducted Cooling, Ducted Heating, Remote Garage, Built in wardrobes",https://www.domain.com.au/70a-price-avenue-mount-waverley-vic-3149-17709392
17732355,MOUNT WAVERLEY,3149,640.0,2781.0,"Wednesday, 27 August 2025",2025-08-26,14,3,1,2.0,House,13 Headingley Rd,-37.86311,145.13635,2025-09-09 16:49:31,17732355,,11,0,0,False,House,House,Ray White (Box Hill),34590,Jerry Bao,"Internal Laundry, Heating",https://www.domain.com.au/13-headingley-rd-mount-waverley-vic-3149-17732355
