listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
11438267,MULGRAVE,3170,650,2820,"Monday, 21 July 2025",2025-07-06,65,3,,5,House,32 Withers Avenue,-37.93374,145.17596,2025-09-09 16:19:40,11438267,VX-0137-VD,7,0,0,False,House,House,Paul Jones Realty,27217,"Paul Vazirianis, Tina Athanasiou","Study, Floorboards, Built in wardrobes, Internal Laundry, Gas, Bath, Heating, Dishwasher, Ground floor, Secure Parking, Garden / Courtyard, Fully fenced, Rumpus Room",https://www.domain.com.au/32-withers-avenue-mulgrave-vic-3170-11438267
12643533,MULGRAVE,3170,870,3780,"Thursday, 18 September 2025",2025-08-19,20,4,2.0,2,Townhouse,12 Marylebone Drive,-37.92656,145.188,2025-09-09 16:19:40,12643533,EI-2282-LU,7,1,0,False,Townhouse/Villa,Townhouse,Barry Plant (Waverley),18349,Anna Koutroumanis,"Internal Laundry, Heating",https://www.domain.com.au/12-marylebone-drive-mulgrave-vic-3170-12643533
14283280,MULGRAVE,3170,625,2716,"Saturday, 27 September 2025",2025-09-03,5,3,1.0,2,Apartment / Unit / Flat,1/50 Lebanon Crescent,-37.931602,145.15767,2025-09-09 16:19:40,14283280,SP-2422-FJ,10,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant (Waverley),18349,Anna Koutroumanis,"Built in wardrobes, Internal Laundry, Heating",https://www.domain.com.au/1-50-lebanon-crescent-mulgrave-vic-3170-14283280
15874309,MULGRAVE,3170,780,3389,"Wednesday, 18 June 2025",2025-05-07,124,4,2.0,1,Townhouse,2/50 Lebanon Crescent,-37.931633,145.15797,2025-09-09 16:19:40,15874309,SP-1591-LG,20,1,0,False,Townhouse/Villa,Townhouse,Barry Plant (Waverley),18349,Anna Koutroumanis,"Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/2-50-lebanon-crescent-mulgrave-vic-3170-15874309
16667638,MULGRAVE,3170,670,2911,"Friday, 17 October 2025",2025-09-09,0,3,2.0,2,Townhouse,11 O'Shannasy Street,-37.930614,145.19046,2025-09-09 16:19:40,16667638,WD-4038-MZ,9,0,0,False,Townhouse/Villa,Townhouse,Biggin Scott Glen Waverley,24636,"Leasing Team, Davis  Fung",Secure Parking,https://www.domain.com.au/11-o-shannasy-street-mulgrave-vic-3170-16667638
16688434,MULGRAVE,3170,475,2064,"Thursday, 09 October 2025",2025-09-09,0,2,1.0,1,Apartment / Unit / Flat,2/3 Wilma Avenue,-37.926113,145.15152,2025-09-09 16:19:40,16688434,KA-3836-QV,5,0,0,False,Apartment,Apartment / Unit / Flat,Biggin Scott Glen Waverley,24636,"Leasing Team, Elaine Chen","Air conditioning, Gas",https://www.domain.com.au/2-3-wilma-avenue-mulgrave-vic-3170-16688434
17695312,MULGRAVE,3170,610,2651,"Monday, 08 September 2025",2025-07-31,39,3,1.0,2,House,28 Tiverton Drive,-37.92508,145.17781,2025-09-09 16:19:40,17695312,,7,1,0,True,House,House,Jellis Craig Glen Waverley,5378,"Jocelyn  Leong, Sylvia Budiman","Built in wardrobes, Gas, Internal Laundry, Heating, Shed",https://www.domain.com.au/28-tiverton-drive-mulgrave-vic-3170-17695312
17696340,MULGRAVE,3170,850,3694,"Friday, 08 August 2025",2025-08-01,39,4,3.0,2,House,8C Stadium Circuit,-37.92412,145.1887,2025-09-09 16:19:40,17696340,,12,0,0,False,House,House,Ray White (Judd White Group),17402,David Yang,"Air conditioning, Gas, Secure Parking, Heating, Dishwasher, Study, Balcony / Deck",https://www.domain.com.au/8c-stadium-circuit-mulgrave-vic-3170-17696340
17710395,MULGRAVE,3170,550,2390,"Thursday, 04 September 2025",2025-08-11,28,3,1.0,1,House,14 Carson Street,-37.92883,145.16165,2025-09-09 16:19:40,17710395,,8,0,0,False,House,House,Jellis Craig Mount Waverley ,17805,"Stephanie Petrakis, Andrea How","Internal Laundry, Bath",https://www.domain.com.au/14-carson-street-mulgrave-vic-3170-17710395
17713800,MULGRAVE,3170,660,2860,"Thursday, 28 August 2025",2025-08-13,27,3,2.0,2,House,1/375 Police Road,-37.93759,145.1962,2025-09-09 16:19:40,17713800,,13,0,1,False,House,House,Ray White Ferntree Gully,7876,Ray White Rental Centre,"Air conditioning, Gas, Secure Parking, Heating, Dishwasher, Shed, Solar panels",https://www.domain.com.au/1-375-police-road-mulgrave-vic-3170-17713800
17716867,MULGRAVE,3170,700,3042,"Monday, 15 September 2025",2025-08-15,25,3,2.0,1,House,5 Newcastle Drive,-37.93122,145.19199,2025-09-09 16:19:40,17716867,,8,0,0,True,House,House,Jellis Craig Glen Waverley,5378,"Jocelyn  Leong, Athena Leung","Gas, Internal Laundry, Bath, Remote Garage, Garden / Courtyard, Built in wardrobes, Dishwasher, Ducted Heating, Ducted Cooling",https://www.domain.com.au/5-newcastle-drive-mulgrave-vic-3170-17716867
17721648,MULGRAVE,3170,680,2955,"Thursday, 18 September 2025",2025-08-19,21,3,2.0,1,House,17 Southampton Drive,-37.927784,145.18573,2025-09-09 16:19:40,17721648,,6,0,0,True,House,House,Jellis Craig Glen Waverley,5378,"Zahra Sharifi, Andre Barker","Gas, Internal Laundry, Remote Garage, Split System Air Con, Dishwasher, Ducted Heating, Built in wardrobes, Close to transport, Floorboards, Formal Lounge",https://www.domain.com.au/17-southampton-drive-mulgrave-vic-3170-17721648
17726030,MULGRAVE,3170,650,2824,"Friday, 29 August 2025",2025-08-21,19,3,1.0,2,House,4 Anora Crescent,-37.921116,145.17015,2025-09-09 16:19:40,17726030,,6,0,0,False,House,House,Hall & Partners First National Dandenong,17903,Tracy Hynd,"Built in wardrobes, Secure Parking, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/4-anora-crescent-mulgrave-vic-3170-17726030
17730519,MULGRAVE,3170,670,2911,"Thursday, 25 September 2025",2025-08-25,15,3,2.0,1,Townhouse,28 Windy Hill Drive,-37.93066,145.18788,2025-09-09 16:19:40,17730519,,7,0,0,False,Townhouse/Villa,Townhouse,Barry Plant Pakenham - Officer,18278,"Barry Plant South Eastern Group, Barry Plant Pakenham","Air conditioning, Heating",https://www.domain.com.au/28-windy-hill-drive-mulgrave-vic-3170-17730519
17731219,MULGRAVE,3170,820,3563,"Friday, 26 September 2025",2025-08-26,14,4,2.0,2,House,2 Somerset Court,-37.93044,145.18028,2025-09-09 16:19:40,17731219,,8,0,0,False,House,House,Jellis Craig Mount Waverley ,17805,"Jayden Hong, Leighanne Chong","Bath, Ducted Heating, Evaporative Cooling, Built in wardrobes, Shed",https://www.domain.com.au/2-somerset-court-mulgrave-vic-3170-17731219
17733776,MULGRAVE,3170,985,4280,"Wednesday, 27 August 2025",2025-08-27,13,5,2.0,2,House,1 Excelsior Circuit,-37.931767,145.1912,2025-09-09 16:19:40,17733776,,9,0,1,True,House,House,Jellis Craig Glen Waverley,5378,"Jayden  Hong, Tamanna Duggal","Air conditioning, Gas, Remote Garage, Balcony / Deck, Floorboards, Dishwasher, Ducted Heating",https://www.domain.com.au/1-excelsior-circuit-mulgrave-vic-3170-17733776
17737426,MULGRAVE,3170,600,2607,"Thursday, 28 August 2025",2025-08-28,11,3,2.0,2,House,871 Springvale Road,-37.929504,145.1562,2025-09-09 16:19:40,17737426,,7,0,0,False,House,House,Jellis Craig Glen Waverley,5378,"Zahra Sharifi, Trent Dickson, MinMin Winand","Gas, Internal Laundry, Secure Parking, Heating, Dishwasher, Air conditioning, Rumpus Room, Built in wardrobes",https://www.domain.com.au/871-springvale-road-mulgrave-vic-3170-17737426
