listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
14717528,MURRUMBEENA,3163,440.0,1906,"Wednesday, 03 September 2025",2025-08-06,34,1,1,1,Apartment / Unit / Flat,7/8 Dunoon Street,-37.891537,145.06763,2025-09-09 16:31:06,14717528,QV-7872-AT,6,0,0,False,Apartment,Apartment / Unit / Flat,James Perry Property Group,20235,"Denis Stavropoulos, James Telios","Ensuite, Built in wardrobes",https://www.domain.com.au/7-8-dunoon-street-murrumbeena-vic-3163-14717528
15341516,MURRUMBEENA,3163,1250.0,5431,"Friday, 19 September 2025",2025-09-05,4,4,3,3,House,6 Kangaroo Road,-37.897503,145.06616,2025-09-09 16:31:06,15341516,UU-9351-SI,11,1,0,False,House,House,Ray White Carnegie,5958,Dale Browning,"Gas, Internal Laundry, Heating, Dishwasher, Air conditioning, Floorboards, Alarm System, Built in wardrobes, Separate Dining Room, Secure Parking",https://www.domain.com.au/6-kangaroo-road-murrumbeena-vic-3163-15341516
15560904,MURRUMBEENA,3163,550.0,2389,"Thursday, 11 September 2025",2025-09-03,5,2,1,1,Apartment / Unit / Flat,6/13 Melbourne st,-37.88924,145.06815,2025-09-09 16:31:06,15560904,YP-8828-EA,6,0,0,False,Apartment,Apartment / Unit / Flat,Inner Real Estate,15712,Andrew Lew,"Built in wardrobes, Internal Laundry, Bath, Secure Parking",https://www.domain.com.au/6-13-melbourne-st-murrumbeena-vic-3163-15560904
16958855,MURRUMBEENA,3163,880.0,3824,"Saturday, 11 October 2025",2025-09-09,0,3,2,2,Townhouse,1/32 Rosella Street,-37.89461,145.07425,2025-09-09 16:31:06,16958855,GQ-0186-SV,10,1,0,False,Townhouse/Villa,Townhouse,Ray White Carnegie,5958,"Dale Browning, Nick Giannopoulos","Air conditioning, Gas, Internal Laundry, Bath, Heating, Dishwasher, Secure Parking",https://www.domain.com.au/1-32-rosella-street-murrumbeena-vic-3163-16958855
17141220,MURRUMBEENA,3163,540.0,2346,"Tuesday, 16 September 2025",2025-08-12,28,2,1,1,Apartment / Unit / Flat,7/1214 Dandenong Road,-37.88498,145.06918,2025-09-09 16:31:06,17141220,JJ-8520-LB,7,0,0,False,Apartment,Apartment / Unit / Flat,Biggin Scott Glen Waverley,24636,"Leasing Team, Davis  Fung","Built in wardrobes, Internal Laundry, Furnished",https://www.domain.com.au/7-1214-dandenong-road-murrumbeena-vic-3163-17141220
17167628,MURRUMBEENA,3163,775.0,3358,"Friday, 05 September 2025",2025-07-29,42,3,1,1,House,27 Victory Street,-37.90332,145.0659,2025-09-09 16:31:06,17167628,DK-9251-DM,10,0,0,False,House,House,James Perry Property Group,20235,"Denis Stavropoulos, James Telios",,https://www.domain.com.au/27-victory-street-murrumbeena-vic-3163-17167628
17689510,MURRUMBEENA,3163,450.0,1955,"Sunday, 10 August 2025",2025-07-29,42,1,1,1,Apartment / Unit / Flat,5/3C Innellan Road,-37.893772,145.06749,2025-09-09 16:31:06,17689510,,5,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Carnegie,30115,Daniel Biviano,"Gas, Bath, Heating, Balcony / Deck",https://www.domain.com.au/5-3c-innellan-road-murrumbeena-vic-3163-17689510
17703341,MURRUMBEENA,3163,525.0,2281,"Wednesday, 10 September 2025",2025-08-06,34,2,1,1,Apartment / Unit / Flat,3/20 Gerald Street,-37.89572,145.06975,2025-09-09 16:31:06,17703341,,9,0,1,False,Apartment,Apartment / Unit / Flat,Jellis Craig Carnegie,30115,Daniel Biviano,"Built in wardrobes, Gas, Bath, Heating",https://www.domain.com.au/3-20-gerald-street-murrumbeena-vic-3163-17703341
17715597,MURRUMBEENA,3163,485.0,2107,"Friday, 15 August 2025",2025-08-14,26,1,1,1,Apartment / Unit / Flat,8/110 Murrumbeena Road,-37.891747,145.06635,2025-09-09 16:31:06,17715597,,7,0,0,False,Apartment,Apartment / Unit / Flat,Flare Real Estate,8251,"Carly Zarras, Leasing Agent","Split System Air Con, Split System Heating, Built in wardrobes",https://www.domain.com.au/8-110-murrumbeena-road-murrumbeena-vic-3163-17715597
17718286,MURRUMBEENA,3163,600.0,2607,"Tuesday, 16 September 2025",2025-08-15,24,2,2,1,Apartment / Unit / Flat,103/41 Murrumbeena Road,-37.888214,145.06657,2025-09-09 16:31:06,17718286,,11,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Carnegie,30115,Daniel Biviano,"Internal Laundry, Intercom, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/103-41-murrumbeena-road-murrumbeena-vic-3163-17718286
17724422,MURRUMBEENA,3163,750.0,3259,"Friday, 22 August 2025",2025-08-20,20,3,1,2,House,16 Second Avenue,-37.898754,145.06712,2025-09-09 16:31:06,17724422,,9,0,1,False,House,House,Jellis Craig Carnegie,30115,"Susan Johnston, Oscar Reynolds","Air conditioning, Internal Laundry, Heating",https://www.domain.com.au/16-second-avenue-murrumbeena-vic-3163-17724422
17737221,MURRUMBEENA,3163,1250.0,5432,"Friday, 05 September 2025",2025-08-28,12,4,2,2,Townhouse,1B Irving Avenue,-37.906017,145.06862,2025-09-09 16:31:06,17737221,,17,0,0,True,Townhouse/Villa,Townhouse,Jellis Craig Carnegie,30115,"Adrian Biondo, Daniel Biviano","Built in wardrobes, Internal Laundry, Intercom, Heating, Solar panels",https://www.domain.com.au/1b-irving-avenue-murrumbeena-vic-3163-17737221
17743518,MURRUMBEENA,3163,380.0,1651,"Tuesday, 02 September 2025",2025-09-02,7,2,1,1,Apartment / Unit / Flat,2/1A First Avenue,-37.897827,145.06654,2025-09-09 16:31:06,17743518,,12,0,0,False,Apartment,Apartment / Unit / Flat,Hall & Partners First National Dandenong,17903,Jackie Lyons,"Built in wardrobes, Bath",https://www.domain.com.au/2-1a-first-avenue-murrumbeena-vic-3163-17743518
17745534,MURRUMBEENA,3163,450.0,1955,"Saturday, 06 September 2025",2025-09-03,6,1,1,1,Apartment / Unit / Flat,5/17 Railway Parade,-37.89155,145.06937,2025-09-09 16:31:06,17745534,,9,1,1,False,Apartment,Apartment / Unit / Flat,   Gary Peer,26354,Zoe Swinnerton,"Air conditioning, Secure Parking, Intercom, Garden / Courtyard, Fully fenced, Built in wardrobes, Dishwasher, Floorboards, Internal Laundry",https://www.domain.com.au/5-17-railway-parade-murrumbeena-vic-3163-17745534
17745728,MURRUMBEENA,3163,780.0,3389,"Wednesday, 03 September 2025",2025-09-03,6,3,2,2,Apartment / Unit / Flat,2/9 Packer Street,-37.890728,145.07602,2025-09-09 16:31:06,17745728,,11,0,0,False,Apartment,Apartment / Unit / Flat,First National Burwood,36821,John Zhang,"Built in wardrobes, Dishwasher, Ducted Heating, Remote Garage",https://www.domain.com.au/2-9-packer-street-murrumbeena-vic-3163-17745728
17746788,MURRUMBEENA,3163,1200.0,5214,"Thursday, 25 September 2025",2025-09-04,5,4,3,2,Townhouse,3B Irving Avenue,-37.90593,145.0683,2025-09-09 16:31:06,17746788,,12,0,1,False,Townhouse/Villa,Townhouse,Beck & Small Property,32041,Bradley Small,,https://www.domain.com.au/3b-irving-avenue-murrumbeena-vic-3163-17746788
17748459,MURRUMBEENA,3163,375.0,1629,"Friday, 12 September 2025",2025-09-05,4,1,1,1,Apartment / Unit / Flat,6/18 Bute St,-37.89372,145.07051,2025-09-09 16:31:06,17748459,,6,1,1,True,Apartment,Apartment / Unit / Flat,   Gary Peer,26354,Kellie Finlayson,"Air conditioning, Built in wardrobes",https://www.domain.com.au/6-18-bute-st-murrumbeena-vic-3163-17748459
17748964,MURRUMBEENA,3163,385.0,1673,"Saturday, 13 September 2025",2025-09-05,4,1,1,1,Apartment / Unit / Flat,3/9 Toward Street,-37.892326,145.06955,2025-09-09 16:31:06,17748964,,7,0,1,False,Apartment,Apartment / Unit / Flat,   Gary Peer,26354,Zoe Swinnerton,"Air conditioning, Built in wardrobes, Floorboards, Internal Laundry",https://www.domain.com.au/3-9-toward-street-murrumbeena-vic-3163-17748964
17749276,MURRUMBEENA,3163,550.0,2390,"Monday, 08 September 2025",2025-09-05,4,2,1,1,Apartment / Unit / Flat,1/14 Toward Street,-37.89291,145.06984,2025-09-09 16:31:06,17749276,,7,1,1,False,Apartment,Apartment / Unit / Flat,   Gary Peer,26354,Robert Litinetsky,"Air conditioning, Intercom, Built in wardrobes, Dishwasher, Floorboards, Out door entertaining area, Internal Laundry",https://www.domain.com.au/1-14-toward-street-murrumbeena-vic-3163-17749276
17752077,MURRUMBEENA,3163,430.0,1869,"Monday, 06 October 2025",2025-09-08,1,1,1,1,Apartment / Unit / Flat,5/8 Dunoon Street,-37.891525,145.06763,2025-09-09 16:31:06,17752077,,5,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Carnegie,30115,Daniel Biviano,"Air conditioning, Built in wardrobes, Bath, Heating, Dishwasher, Balcony / Deck",https://www.domain.com.au/5-8-dunoon-street-murrumbeena-vic-3163-17752077
17154389,MURRUMBEENA,3163,,2651,,2024-08-09,396,2,2,1,Apartment / Unit / Flat,105/115-125 Poath Road,-37.89541,145.0764,2025-09-09 16:31:12,17154389,,7,1,0,False,Apartment,Apartment / Unit / Flat,Ray White Carnegie,5958,Lachie Whitehead,"Gas, Secure Parking, Intercom, Heating, Dishwasher, Air conditioning, Built in wardrobes, Balcony / Deck",https://www.domain.com.au/105-115-125-poath-road-murrumbeena-vic-3163-17154389
17603584,MURRUMBEENA,3163,1295.0,6475,"Tuesday, 22 July 2025",2025-06-03,98,4,3,3,House,4 Burns Avenue,-37.895813,145.06671,2025-09-09 16:31:12,17603584,,15,0,0,False,House,House,Biggin & Scott Stonnington,3276,Tom Koller,"Built in wardrobes, Floorboards, Furnished, Study",https://www.domain.com.au/4-burns-avenue-murrumbeena-vic-3163-17603584
17619487,MURRUMBEENA,3163,420.0,2042,"Wednesday, 30 July 2025",2025-06-13,88,1,1,1,Apartment / Unit / Flat,9/25 Rosella Street,-37.894173,145.07216,2025-09-09 16:31:12,17619487,,8,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Carnegie,30115,Daniel Biviano,"Built in wardrobes, Heating",https://www.domain.com.au/9-25-rosella-street-murrumbeena-vic-3163-17619487
17647470,MURRUMBEENA,3163,850.0,3693,"Monday, 28 July 2025",2025-07-01,70,4,3,2,Townhouse,1/1248 Dandenong Road,-37.885555,145.07262,2025-09-09 16:31:12,17647470,,12,0,0,False,Townhouse/Villa,Townhouse,Buxton Oakleigh,18667,Emily Katiforis,"Built in wardrobes, Garden / Courtyard, Dishwasher, Ducted Heating, Evaporative Cooling, Floorboards, Ensuite",https://www.domain.com.au/1-1248-dandenong-road-murrumbeena-vic-3163-17647470
17688811,MURRUMBEENA,3163,400.0,1738,"Friday, 01 August 2025",2025-07-28,43,1,1,1,Apartment / Unit / Flat,1/173 Murrumbeena Road,-37.896538,145.06502,2025-09-09 16:31:12,17688811,,13,1,1,False,Apartment,Apartment / Unit / Flat,   Gary Peer,26354,Angela Skarlatos,"Air conditioning, Intercom, Built in wardrobes, Internal Laundry",https://www.domain.com.au/1-173-murrumbeena-road-murrumbeena-vic-3163-17688811
17709070,MURRUMBEENA,3163,475.0,2064,"Friday, 12 September 2025",2025-08-11,29,1,1,1,Apartment / Unit / Flat,202/17 Railway Parade,-37.89155,145.06937,2025-09-09 16:31:12,17709070,,11,0,1,False,Apartment,Apartment / Unit / Flat,Belle Property Armadale,3703,Xavier Sukra,,https://www.domain.com.au/202-17-railway-parade-murrumbeena-vic-3163-17709070
17713828,MURRUMBEENA,3163,795.0,3454,"Tuesday, 09 September 2025",2025-08-13,27,3,2,2,Townhouse,5/27 Gerald St,-37.89636,145.06866,2025-09-09 16:31:12,17713828,,13,0,0,False,Townhouse/Villa,Townhouse,Buxton Bentleigh Rentals,38227,"Hwee-Ching Hall, Jaryd Bray",,https://www.domain.com.au/5-27-gerald-st-murrumbeena-vic-3163-17713828
