listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
14799620,NARRE WARREN,3805,570.0,2477.0,"Saturday, 13 September 2025",2025-09-08,1,4,1,4.0,House,29 Fountain Drive,-38.013954,145.29489,2025-09-09 16:20:39,14799620,KA-0171-SG,7,0,0,False,House,House,Grand Real Estate,31825,"Laleen Fernando, Yaz Yureshi","Secure Parking, Dishwasher, Ducted Heating, Reverse Cycle Air Conditioning",https://www.domain.com.au/29-fountain-drive-narre-warren-vic-3805-14799620
17687651,NARRE WARREN,3805,580.0,2513.0,"Wednesday, 10 September 2025",2025-07-28,43,3,2,2.0,House,2 Sundown Court,-38.01516,145.29239,2025-09-09 16:20:39,17687651,,17,0,1,False,House,House,Gr8 Est8 Agents,30606,"Dash Muaremov, Fi Selimi","Pets Allowed, Fireplace(s), Deck, Secure Parking, Built in wardrobes, Dishwasher, Floorboards, Air conditioning, Gas Heating, Split-System Air Conditioning, Ensuite",https://www.domain.com.au/2-sundown-court-narre-warren-vic-3805-17687651
17722347,NARRE WARREN,3805,640.0,2954.0,"Tuesday, 16 September 2025",2025-08-19,21,4,2,2.0,House,8 Sidney Court,-37.997246,145.30861,2025-09-09 16:20:39,17722347,,17,0,0,False,House,House,Barry Plant Narre Warren,17478,"Madisson Akers, Nicole Robertson","Heating, Dishwasher, Study",https://www.domain.com.au/8-sidney-court-narre-warren-vic-3805-17722347
17724812,NARRE WARREN,3805,670.0,2911.0,"Friday, 29 August 2025",2025-08-20,19,4,3,1.0,Townhouse,2/10 Kialoa Court,-38.006863,145.30893,2025-09-09 16:20:39,17724812,,11,0,0,False,Townhouse/Villa,Townhouse,Sovereign Properties,22845,Jonathan Walker,"Air conditioning, Ensuite",https://www.domain.com.au/2-10-kialoa-court-narre-warren-vic-3805-17724812
17726629,NARRE WARREN,3805,610.0,2650.0,"Sunday, 14 September 2025",2025-08-21,19,3,2,2.0,House,28 Duncraig Court,-38.00169,145.29984,2025-09-09 16:20:39,17726629,,14,0,0,False,House,House,Barry Plant Narre Warren,17478,"Madisson Akers, Nicole Robertson","Gas, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/28-duncraig-court-narre-warren-vic-3805-17726629
17732143,NARRE WARREN,3805,500.0,2173.0,"Tuesday, 26 August 2025",2025-08-26,14,2,2,1.0,House,10 Hansford Court,-38.03762,145.31133,2025-09-09 16:20:39,17732143,,9,0,0,False,House,House,Top Estate Agents,37270,"Jagjeet Singh, Karan Singh","Air conditioning, Gas, Heating",https://www.domain.com.au/10-hansford-court-narre-warren-vic-3805-17732143
17734304,NARRE WARREN,3805,650.0,2824.0,"Friday, 05 September 2025",2025-08-27,13,4,2,2.0,House,159 Maramba Drive,-37.99996,145.29779,2025-09-09 16:20:39,17734304,,19,0,0,False,House,House,Ray White Dandenong,8878,Rentals Dandenong,"Gas, Internal Laundry, Secure Parking, Bath",https://www.domain.com.au/159-maramba-drive-narre-warren-vic-3805-17734304
17736692,NARRE WARREN,3805,635.0,2759.0,"Friday, 19 September 2025",2025-08-28,12,3,2,2.0,Townhouse,3 Allusive Walk,-38.00706,145.29387,2025-09-09 16:20:39,17736692,,8,0,1,False,Townhouse/Villa,Townhouse,LJ Hooker Pakenham,18713,"Chloe Deayton, Debra Deayton","Internal Laundry, Ensuite, Air conditioning, Courtyard, Garden, Dishwasher, Ducted Heating, Split System AC, Outdoor Entertaining, Fully fenced, Remote Garage, Built in wardrobes",https://www.domain.com.au/3-allusive-walk-narre-warren-vic-3805-17736692
17737721,NARRE WARREN,3805,525.0,2281.0,"Monday, 29 September 2025",2025-08-29,11,3,2,2.0,House,57 Anaconda Road,-38.00294,145.31029,2025-09-09 16:20:39,17737721,,8,0,0,False,House,House,OBrien Real Estate Narre Warren,18745,"Fehim Zimmermann, Josh Barbut","Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Ensuite, Carpeted",https://www.domain.com.au/57-anaconda-road-narre-warren-vic-3805-17737721
17737872,NARRE WARREN,3805,550.0,2390.0,"Saturday, 27 September 2025",2025-08-29,11,3,2,2.0,House,5 Tamarisk Road,-38.037678,145.31606,2025-09-09 16:20:39,17737872,,17,0,0,False,House,House,Peake Real Estate,8709,Naomie Starkey,"Deck, Ducted Heating, Ensuite, Pets Allowed, Split System AirCon",https://www.domain.com.au/5-tamarisk-road-narre-warren-vic-3805-17737872
