listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17627847,NEWBOROUGH,3825,230,997,"Wednesday, 18 June 2025",2025-06-18,82,1,1,1.0,Apartment / Unit / Flat,4/302 Old Sale Road,-38.180405,146.29457,2025-09-09 16:47:06,17627847,4,0,0,False,Apartment,Apartment / Unit / Flat,Ross Maddaluno Real Estate,6924,,"Built in wardrobes, Internal Laundry",https://www.domain.com.au/4-302-old-sale-road-newborough-vic-3825-17627847
17660938,NEWBOROUGH,3825,260,1040,"Sunday, 20 July 2025",2025-07-09,62,1,1,,House,2/17 Balfour Street,-38.18697,146.29077,2025-09-09 16:47:06,17660938,5,0,0,False,House,House,Elders GPG,12437,Jess Barr,Built in wardrobes,https://www.domain.com.au/2-17-balfour-street-newborough-vic-3825-17660938
17712857,NEWBOROUGH,3825,500,2166,"Wednesday, 13 August 2025",2025-08-13,27,4,2,2.0,House,8 Strzelecki Road,-38.175476,146.27716,2025-09-09 16:47:06,17712857,10,0,0,False,House,House,Elders GPG,12437,Jess Barr,"Built in wardrobes, Secure Parking, Fully fenced",https://www.domain.com.au/8-strzelecki-road-newborough-vic-3825-17712857
17713864,NEWBOROUGH,3825,650,2824,"Wednesday, 13 August 2025",2025-08-13,27,4,2,2.0,House,29 Ollerton Avenue,-38.178127,146.2849,2025-09-09 16:47:06,17713864,14,0,0,False,House,House,Elders GPG,12437,Jess Barr,"Secure Parking, Shed",https://www.domain.com.au/29-ollerton-avenue-newborough-vic-3825-17713864
17715418,NEWBOROUGH,3825,440,1906,"Wednesday, 03 September 2025",2025-08-14,26,3,1,2.0,House,11 Balfour Street,-38.18716,146.2902,2025-09-09 16:47:06,17715418,9,0,0,False,House,House,Stockdale & Leggo La Trobe Valley,6114,Morwell Property Management,"Built in wardrobes, Gas, Secure Parking, Bath, Heating, Dishwasher",https://www.domain.com.au/11-balfour-street-newborough-vic-3825-17715418
17733826,NEWBOROUGH,3825,495,2151,"Friday, 19 September 2025",2025-08-27,13,4,1,2.0,House,7 Childers Street,-38.18078,146.2981,2025-09-09 16:47:06,17733826,11,0,0,False,House,House,Harcourts Moe - Newborough,11770,"Sarah Olsen, Alysha Maher","Air conditioning, Secure Parking, Broadband internet access, Shed, Balcony / Deck, Built in wardrobes, Pets Allowed, Bath, Heating, Dishwasher",https://www.domain.com.au/7-childers-street-newborough-vic-3825-17733826
17739182,NEWBOROUGH,3825,230,997,"Friday, 29 August 2025",2025-08-29,10,1,1,1.0,Apartment / Unit / Flat,1/302 Old Sale Road,-38.180405,146.29457,2025-09-09 16:47:06,17739182,4,0,0,False,Apartment,Apartment / Unit / Flat,Ross Maddaluno Real Estate,6924,,Heating,https://www.domain.com.au/1-302-old-sale-road-newborough-vic-3825-17739182
17747295,NEWBOROUGH,3825,360,1560,"Wednesday, 01 October 2025",2025-09-04,5,3,1,3.0,House,19 Stearman Street,-38.173954,146.28789,2025-09-09 16:47:06,17747295,9,0,0,False,House,House,Stockdale & Leggo La Trobe Valley,6114,Morwell Property Management,"Built in wardrobes, Internal Laundry, Secure Parking, Bath, Heating, Dishwasher",https://www.domain.com.au/19-stearman-street-newborough-vic-3825-17747295
17748275,NEWBOROUGH,3825,600,2607,"Saturday, 20 September 2025",2025-09-04,4,4,2,2.0,House,34 Gleneagles Drive,-38.18263,146.30629,2025-09-09 16:47:06,17748275,11,0,0,False,House,House,Avenue West Real Estate,34866,"Girish Chekuri, Patrick Chaudhary",,https://www.domain.com.au/34-gleneagles-drive-newborough-vic-3825-17748275
17751080,NEWBOROUGH,3825,560,2434,"Saturday, 27 September 2025",2025-09-08,1,4,2,2.0,House,10 Gleneagles Drive,-38.181572,146.30324,2025-09-09 16:47:06,17751080,9,0,0,False,House,House,Elders GPG,12437,Jess Barr,Ensuite,https://www.domain.com.au/10-gleneagles-drive-newborough-vic-3825-17751080
