listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17375204,NEWCOMB,3219,430,1868,"Thursday, 18 September 2025",2025-08-21,19,2,1,1,House,40 Wilton Av,-38.1671,144.38928,2025-09-09 16:51:43,17375204,IN-4454-DL,9,0,0,False,House,House,Barry Plant Belmont,27306,Belmont Inspections,"Bath, Built in wardrobes, Dishwasher, Split-System Air Con, Split-System Heating, Pets Allowed",https://www.domain.com.au/40-wilton-av-newcomb-vic-3219-17375204
17675725,NEWCOMB,3219,480,2085,"Wednesday, 06 August 2025",2025-07-18,53,3,1,1,House,24 Richard Street,-38.165756,144.39615,2025-09-09 16:51:43,17675725,,6,0,1,False,House,House,McGrath Geelong | Newtown,5797,Rajesh Chaubay,"Bath, Dishwasher, Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Openable Windows, Security System",https://www.domain.com.au/24-richard-street-newcomb-vic-3219-17675725
17712811,NEWCOMB,3219,450,1955,"Friday, 22 August 2025",2025-08-13,27,3,1,2,House,70 Watsons Road,-38.165276,144.39188,2025-09-09 16:51:43,17712811,,9,0,0,False,House,House,Buxton Geelong East Pty Ltd,22460,"Klarissa Dixon, Sophie Kennedy-Rush","Air conditioning, Built in wardrobes, Internal Laundry, Heating",https://www.domain.com.au/70-watsons-road-newcomb-vic-3219-17712811
17718923,NEWCOMB,3219,550,2390,"Friday, 19 September 2025",2025-08-18,22,3,1,2,House,14 Anthony Street,-38.1671,144.39824,2025-09-09 16:51:43,17718923,,8,0,0,False,House,House,Geelong Real Estate Co.,35120,"Ted Arthurson, Reece Fidler","Bath, Heating, Dishwasher",https://www.domain.com.au/14-anthony-street-newcomb-vic-3219-17718923
17729544,NEWCOMB,3219,460,1993,"Friday, 03 October 2025",2025-08-25,15,3,1,1,House,8 Bellarine Highway,-38.169155,144.38535,2025-09-09 16:51:43,17729544,,8,0,0,False,House,House,Buxton Geelong East Pty Ltd,22460,"Carly Charles, Sophie Kennedy-Rush","Secure Parking, Heating, Air conditioning, Shed, Fully fenced, Balcony / Deck",https://www.domain.com.au/8-bellarine-highway-newcomb-vic-3219-17729544
17731607,NEWCOMB,3219,300,1303,"Tuesday, 26 August 2025",2025-08-26,14,2,1,1,Apartment / Unit / Flat,5/10 Portarlington Road,-38.157337,144.38771,2025-09-09 16:51:43,17731607,,8,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Geelong Sales,5005,Geelong Leasing,"Internal Laundry, Heating",https://www.domain.com.au/5-10-portarlington-road-newcomb-vic-3219-17731607
17732793,NEWCOMB,3219,450,1955,"Monday, 08 September 2025",2025-08-26,14,3,1,2,House,131 Wilsons Road,-38.17131,144.39166,2025-09-09 16:51:43,17732793,,8,0,0,False,House,House,Jellis Craig Geelong,18039,Anna Vines,"Internal Laundry, Dishwasher, Split System Air Con, Floorboards, Fully fenced",https://www.domain.com.au/131-wilsons-road-newcomb-vic-3219-17732793
17738376,NEWCOMB,3219,450,1955,"Wednesday, 01 October 2025",2025-08-29,11,2,1,1,House,76 Wilsons Road,-38.165417,144.3922,2025-09-09 16:51:43,17738376,,16,0,0,False,House,House,Buxton Geelong East Pty Ltd,22460,"Klarissa Dixon, Sophie Kennedy-Rush","Gas, Internal Laundry, Bath, Air conditioning, Split System Air Con, Split System Heating, Built in wardrobes, Fully fenced, Outdoor Entertainment Area, Reverse Cycle Air Con, Secure Parking",https://www.domain.com.au/76-wilsons-road-newcomb-vic-3219-17738376
17746025,NEWCOMB,3219,650,2824,"Friday, 19 September 2025",2025-09-03,6,4,1,6,House,19 Coulter Street,-38.168438,144.40198,2025-09-09 16:51:43,17746025,,19,0,1,False,House,House,Buxton Newtown,14503,"Mia Griffiths, Sophie Kennedy-Rush","Gas, Split System Air Con, Split System Heating, Study, Built in wardrobes, Garden / Courtyard, Dishwasher, Fully fenced, Outdoor Entertainment Area, Rumpus Room, Shed",https://www.domain.com.au/19-coulter-street-newcomb-vic-3219-17746025
17748994,NEWCOMB,3219,350,1521,"Friday, 12 September 2025",2025-09-05,4,1,1,1,Apartment / Unit / Flat,3/14-16 Lindsay Street,-38.164467,144.39325,2025-09-09 16:51:43,17748994,,8,0,0,False,Apartment,Apartment / Unit / Flat,Geelong Real Estate Co.,35120,"Keely Borg, Reece Fidler","Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/3-14-16-lindsay-street-newcomb-vic-3219-17748994
17750344,NEWCOMB,3219,490,2129,"Thursday, 11 September 2025",2025-09-06,2,3,1,2,House,36 Brayshay Road,-38.161972,144.39163,2025-09-09 16:51:43,17750344,,10,0,0,False,House,House,ANDREWS ESTATE AGENTS,31119,Fran Welsh,"Air conditioning, Heating, Close to transport, Close to shops, Close to schools, Carpeted",https://www.domain.com.au/36-brayshay-road-newcomb-vic-3219-17750344
