listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
13329754,NEWPORT,3015,370,1608,"Wednesday, 01 October 2025",2025-09-01,7,1,1,1.0,Apartment / Unit / Flat,6/33 Newcastle Street,-37.840523,144.88014,2025-09-09 16:18:24,13329754,BJ-4291-RT,1,0,0,False,Apartment,Apartment / Unit / Flat,Williams Real Estate,16021,Williams Real Estate,,https://www.domain.com.au/6-33-newcastle-street-newport-vic-3015-13329754
14289119,NEWPORT,3015,535,2325,"Saturday, 18 October 2025",2025-09-01,7,2,1,1.0,House,4/203 Mason Street,-37.84105,144.86519,2025-09-09 16:18:24,14289119,IT-0308-FH,9,0,0,False,House,House,Raine & Horne Williamstown,27263,Iman Hasan,,https://www.domain.com.au/4-203-mason-street-newport-vic-3015-14289119
15550227,NEWPORT,3015,390,1695,"Monday, 13 October 2025",2025-09-09,0,2,1,1.0,Apartment / Unit / Flat,9/15 Speight Street,-37.842968,144.87846,2025-09-09 16:18:24,15550227,AK-7964-OC,9,0,0,False,Apartment,Apartment / Unit / Flat,Jas Stephens Real Estate,22,Sarah McCracken,"Internal Laundry, Bath, Ducted Heating, Reverse Cycle Air Conditioning, Balcony",https://www.domain.com.au/9-15-speight-street-newport-vic-3015-15550227
16228657,NEWPORT,3015,540,2347,"Tuesday, 23 September 2025",2025-08-28,12,2,1,1.0,Townhouse,224 Douglas Parade,-37.849262,144.89369,2025-09-09 16:18:24,16228657,YB-7563-QD,11,0,1,False,Townhouse/Villa,Townhouse,VIP Consulting Real Estate & Smart Property Manager,26667,Smart Property Manager,"Built in wardrobes, Gas, Internal Laundry, Fully fenced, Courtyard, Floorboards, Air conditioning, Split-System Air Conditioning, Split-System Heating, Pets Allowed",https://www.domain.com.au/224-douglas-parade-newport-vic-3015-16228657
16718214,NEWPORT,3015,820,3563,"Thursday, 11 September 2025",2025-08-18,22,3,2,2.0,Townhouse,2/42 Rosshire Road,-37.847816,144.86362,2025-09-09 16:18:24,16718214,SJ-8118-SG,14,0,1,False,Townhouse/Villa,Townhouse,Biggin & Scott Altona North,31641,Mick Abdou,"Secure Parking, Intercom, Heating, Study, Ensuite",https://www.domain.com.au/2-42-rosshire-road-newport-vic-3015-16718214
16772080,NEWPORT,3015,650,2824,"Thursday, 18 September 2025",2025-09-09,0,2,2,2.0,Townhouse,40 Laurie Street,-37.84164,144.87102,2025-09-09 16:18:24,16772080,IC-2442-TR,10,0,1,False,Townhouse/Villa,Townhouse,Biggin & Scott Altona North,31641,Mick Abdou,"Internal Laundry, Floorboards, Built in wardrobes, Bath, Heating, Dishwasher, Study, Secure Parking, Shed, Fully fenced, Rainwater storage tank",https://www.domain.com.au/40-laurie-street-newport-vic-3015-16772080
17412966,NEWPORT,3015,700,3042,"Monday, 06 October 2025",2025-09-09,0,3,3,2.0,Townhouse,14 Fittis Street,-37.83382,144.8709,2025-09-09 16:18:24,17412966,HZ-3313-BR,17,0,0,False,Townhouse/Villa,Townhouse,Biggin & Scott Altona North,31641,Mick Abdou,"Secure Parking, Ensuite",https://www.domain.com.au/14-fittis-street-newport-vic-3015-17412966
17708826,NEWPORT,3015,650,2824,"Wednesday, 10 September 2025",2025-08-11,29,3,1,2.0,House,2/33 North Road,-37.84531,144.89131,2025-09-09 16:18:24,17708826,,8,0,0,False,House,House,Gotham Property,32563,Carolina  Hernandez,,https://www.domain.com.au/2-33-north-road-newport-vic-3015-17708826
17729148,NEWPORT,3015,1100,4780,"Monday, 22 September 2025",2025-08-25,15,4,3,2.0,House,72 Gordon Street,-37.83482,144.86769,2025-09-09 16:18:24,17729148,,19,0,1,False,House,House,Jas Stephens Real Estate,22,"Tennille D'Avola, Alex Boyce","Fireplace(s), Solar panels, Study, Floorboards, Built in wardrobes, Dishwasher, Bathtub, Gas Appliances, Ducted Heating, Ducted Air Conditioning, Ensuite(s), Outdoor Entertainment Area, Courtyard, Deck, Remote Garage, Secure Parking, Pets Allowed",https://www.domain.com.au/72-gordon-street-newport-vic-3015-17729148
17729770,NEWPORT,3015,800,3476,"Monday, 25 August 2025",2025-08-25,15,3,2,2.0,House,19 Wilkins Street,-37.84699,144.89037,2025-09-09 16:18:24,17729770,,8,0,1,False,House,House,Williams Real Estate,16021,Williams Real Estate,"Heating, Balcony / Deck",https://www.domain.com.au/19-wilkins-street-newport-vic-3015-17729770
