listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16893607,NEWTOWN,3220,430,1720.0,"Monday, 18 August 2025",2025-07-28,43,2.0,1,1.0,Apartment / Unit / Flat,8/138 West Fyans Street,-38.158432,144.3389,2025-09-09 16:23:47,16893607,LS-7182-RS,6,0,1,False,Apartment,Apartment / Unit / Flat,Kardinia Property,32708,Kardinia Property,Air conditioning,https://www.domain.com.au/8-138-west-fyans-street-newtown-vic-3220-16893607
16916036,NEWTOWN,3220,390,1560.0,"Sunday, 31 August 2025",2025-08-28,12,1.0,9,8.0,House,258 Latrobe Terrace,-38.14817,144.3522,2025-09-09 16:23:47,16916036,AO-6395-HR,24,0,0,False,House,House,Fresh Property Management Group,27517,Jack Wirth,"Air conditioning, Built in wardrobes, Gas, Broadband internet access, Heating, Dishwasher, Balcony / Deck, Ensuite(s), room",https://www.domain.com.au/258-latrobe-terrace-newtown-vic-3220-16916036
17027842,NEWTOWN,3220,3300,13200.0,"Thursday, 06 June 2024",2024-05-23,474,9.0,9,8.0,House,,-38.148174,144.35228,2025-09-09 16:23:47,17027842,,16,0,1,False,House,House,Fresh Property Management Group,27517,Jack Wirth,"Heating, Dishwasher, Ensuite(s), house",https://www.domain.com.au/newtown-vic-3220-17027842
17559618,NEWTOWN,3220,1000,4345.0,"Friday, 11 July 2025",2025-05-06,126,5.0,2,2.0,House,34 Buckland Ave,-38.15135,144.34805,2025-09-09 16:23:47,17559618,KD-9951-BA,15,0,1,False,House,House,Geelong Property Managers,32238,Ngaire Farnsworth,"Air conditioning, Secure Parking, Garden / Courtyard, Shed, Fully fenced, Built in wardrobes, Dishwasher, Gas Heating, Study, Out door entertaining area, Rumpus Room, Internal Laundry",https://www.domain.com.au/34-buckland-ave-newtown-vic-3220-17559618
17561418,NEWTOWN,3220,450,1955.0,"Wednesday, 11 June 2025",2025-05-07,125,3.0,1,1.0,Apartment / Unit / Flat,1/37-39 Clarke Street,-38.15357,144.34866,2025-09-09 16:23:47,17561418,PP-2965-CF,9,1,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Geelong,18039,Tim Callander,"Internal Laundry, Bath, Gas, Floorboards, Built in wardrobes, Pets Allowed",https://www.domain.com.au/1-37-39-clarke-street-newtown-vic-3220-17561418
17594425,NEWTOWN,3220,420,1825.0,"Wednesday, 02 July 2025",2025-05-28,104,2.0,1,1.0,Apartment / Unit / Flat,8/272 Latrobe Tce,-38.149223,144.35208,2025-09-09 16:23:47,17594425,SE-3739-WP,8,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Belmont,27306,Belmont Inspections,"Secure Parking, Bath, Air conditioning, Broadband Internet available, Built in wardrobes, Ducted Heating, Study",https://www.domain.com.au/8-272-latrobe-tce-newtown-vic-3220-17594425
17696610,NEWTOWN,3220,590,2563.0,"Monday, 08 September 2025",2025-08-01,39,3.0,2,2.0,Apartment / Unit / Flat,3/41 Percy Street,-38.15868,144.34187,2025-09-09 16:23:47,17696610,,11,0,0,False,Apartment,Apartment / Unit / Flat,Barry Plant Geelong Sales,5005,Geelong Leasing,Secure Parking,https://www.domain.com.au/3-41-percy-street-newtown-vic-3220-17696610
17716872,NEWTOWN,3220,460,1993.0,"Monday, 18 August 2025",2025-08-15,25,3.0,1,1.0,Duplex,2/18 Frank Street,-38.15694,144.33682,2025-09-09 16:23:47,17716872,,12,0,0,False,Any,Duplex,Charles Stewart Real Estate Colac,21617,Sarah Higgs,,https://www.domain.com.au/2-18-frank-street-newtown-vic-3220-17716872
17725133,NEWTOWN,3220,415,1803.0,"Wednesday, 01 October 2025",2025-08-21,19,2.0,1,1.0,Apartment / Unit / Flat,3/184 Noble Street,-38.15241,144.33543,2025-09-09 16:23:47,17725133,,11,0,0,False,Apartment,Apartment / Unit / Flat,Geelong Real Estate Co.,35120,"Ted Arthurson, Reece Fidler","Built in wardrobes, Secure Parking, Bath, Heating, Dishwasher",https://www.domain.com.au/3-184-noble-street-newtown-vic-3220-17725133
17726503,NEWTOWN,3220,550,2389.0,"Friday, 19 September 2025",2025-08-21,19,3.0,2,2.0,Townhouse,1/100/108 West Fyans Street,-38.159065,144.34218,2025-09-09 16:23:47,17726503,,5,0,0,False,Townhouse/Villa,Townhouse,Stockdale & Leggo South Barwon,25535,Julianne Anderson,"Secure Parking, Bath, Dishwasher",https://www.domain.com.au/1-100-108-west-fyans-street-newtown-vic-3220-17726503
