listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15827722,NOBLE PARK,3174,650.0,2815.0,"Thursday, 04 September 2025",2025-09-04,5,3,2,2.0,Townhouse,1A Lee Street,-37.97386,145.19102,2025-09-09 16:35:00,15827722,LB-7621-GG,8,1,0,False,Townhouse/Villa,Townhouse,Ray White Noble Park | Springvale,6380,"Joseph Taranto, Bahara Rezai","Built in wardrobes, Heating, Ensuite",https://www.domain.com.au/1a-lee-street-noble-park-vic-3174-15827722
16077188,NOBLE PARK,3174,580.0,2515.0,"Tuesday, 26 August 2025",2025-08-26,13,3,1,1.0,House,6 Pamela Street,-37.97308,145.18736,2025-09-09 16:35:00,16077188,KI-4903-UI,5,1,0,False,House,House,Ray White Noble Park | Springvale,6380,"Bahara Rezai, Mohammad Nawed","Gas, Heating, Air conditioning, Built in wardrobes, Secure Parking",https://www.domain.com.au/6-pamela-street-noble-park-vic-3174-16077188
16254789,NOBLE PARK,3174,350.0,1520.0,"Saturday, 06 September 2025",2025-09-05,4,1,1,1.0,Apartment / Unit / Flat,3/30 Lawn Road,-37.960358,145.16275,2025-09-09 16:35:00,16254789,HK-0015-IS,5,1,0,False,Apartment,Apartment / Unit / Flat,Ray White Noble Park | Springvale,6380,"Bahara Rezai, Mohammad Nawed","Gas, Internal Laundry, Heating",https://www.domain.com.au/3-30-lawn-road-noble-park-vic-3174-16254789
16378322,NOBLE PARK,3174,550.0,2390.0,"Tuesday, 07 October 2025",2025-09-08,1,3,1,2.0,House,25 Liege Avenue,-37.969696,145.19177,2025-09-09 16:35:00,16378322,EY-8173-SS,10,0,1,False,House,House,Professionals First & Co,29341,Jing Chong,"Gas, Heating, Dishwasher, Shed",https://www.domain.com.au/25-liege-avenue-noble-park-vic-3174-16378322
16653693,NOBLE PARK,3174,500.0,2170.0,"Friday, 22 September 2023",2025-09-05,4,2,1,1.0,Apartment / Unit / Flat,3/44 Noble Street,-37.96867,145.1706,2025-09-09 16:35:00,16653693,VX-8645-YC,8,1,1,False,Apartment,Apartment / Unit / Flat,Ray White Noble Park | Springvale,6380,"Mohammad Nawed, Bahara Rezai","Built in wardrobes, Gas, Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/3-44-noble-street-noble-park-vic-3174-16653693
17278904,NOBLE PARK,3174,330.0,1434.0,"Saturday, 12 October 2024",2024-10-31,313,1,1,,Studio,68 Coolavin Road,-37.95659,145.1972,2025-09-09 16:35:00,17278904,,13,1,0,False,Apartment,Studio,Dynamic Estate Group,23759,Rental Dynamic,Furnished,https://www.domain.com.au/68-coolavin-road-noble-park-vic-3174-17278904
17565558,NOBLE PARK,3174,550.0,2385.0,"Wednesday, 01 October 2025",2025-09-08,1,2,2,1.0,Townhouse,3/8 Carter Street,-37.971214,145.1877,2025-09-09 16:35:00,17565558,JI-3951-UP,9,1,0,False,Townhouse/Villa,Townhouse,Ray White Noble Park | Springvale,6380,"Joseph Taranto, Bahara Rezai","Secure Parking, Ensuite",https://www.domain.com.au/3-8-carter-street-noble-park-vic-3174-17565558
17696852,NOBLE PARK,3174,580.0,2513.0,"Friday, 15 August 2025",2025-08-01,39,3,2,2.0,House,1 Shepreth Avenue,-37.97105,145.18079,2025-09-09 16:35:00,17696852,,6,0,0,False,House,House,Ray White Ferntree Gully,7876,Ray White Rental Centre,"Air conditioning, Gas, Internal Laundry, Heating, Dishwasher, Shed, Balcony / Deck",https://www.domain.com.au/1-shepreth-avenue-noble-park-vic-3174-17696852
17710880,NOBLE PARK,3174,600.0,2600.0,"Tuesday, 12 August 2025",2025-08-12,28,3,1,2.0,House,28 Wall Street,-37.96979,145.17078,2025-09-09 16:35:00,17710880,,9,0,0,False,House,House,Ray White Noble Park | Springvale,6380,"Mohammad Nawed, Joseph Taranto","Gas, Secure Parking, Air conditioning, Floorboards, Built in wardrobes, Internal Laundry, Heating, Dishwasher, Shed, Fully fenced, Garden / Courtyard",https://www.domain.com.au/28-wall-street-noble-park-vic-3174-17710880
17712339,NOBLE PARK,3174,450.0,1955.0,"Friday, 05 September 2025",2025-09-05,4,3,1,1.0,House,1/1 Mather Road,-37.973976,145.1792,2025-09-09 16:35:00,17712339,,8,0,0,False,House,House,Century 21 Wilson Pride,16761,Justin Wright,"Built in wardrobes, Internal Laundry, Secure Parking, Bath, Heating",https://www.domain.com.au/1-1-mather-road-noble-park-vic-3174-17712339
17712847,NOBLE PARK,3174,450.0,1955.0,"Tuesday, 09 September 2025",2025-08-13,27,2,1,1.0,Apartment / Unit / Flat,5/15 Leonard Avenue,-37.96894,145.17607,2025-09-09 16:35:00,17712847,,6,0,0,False,Apartment,Apartment / Unit / Flat,Buxton Ashburton,15987,Lynn Xu,Built in wardrobes,https://www.domain.com.au/5-15-leonard-avenue-noble-park-vic-3174-17712847
17718083,NOBLE PARK,3174,650.0,2824.0,"Friday, 22 August 2025",2025-08-15,25,4,2,1.0,House,265 Corrigan Road,-37.97903,145.16602,2025-09-09 16:35:00,17718083,,13,0,1,False,House,House,Buxton Keysborough,30252,"Kelly Amor, Nava Shams","Built in wardrobes, Secure Parking, Fully fenced",https://www.domain.com.au/265-corrigan-road-noble-park-vic-3174-17718083
17722005,NOBLE PARK,3174,475.0,2064.0,"Tuesday, 19 August 2025",2025-08-19,21,2,1,1.0,Apartment / Unit / Flat,5/160 Corrigan Road,-37.96841,145.16705,2025-09-09 16:35:00,17722005,,6,0,0,False,Apartment,Apartment / Unit / Flat,James Perry Property Group,20235,"Denis Stavropoulos, James Telios",,https://www.domain.com.au/5-160-corrigan-road-noble-park-vic-3174-17722005
17724261,NOBLE PARK,3174,380.0,1651.0,"Thursday, 21 August 2025",2025-09-05,4,2,1,,Apartment / Unit / Flat,14/13 Larbert Road,-37.95855,145.17513,2025-09-09 16:35:00,17724261,,7,0,0,False,Apartment,Apartment / Unit / Flat,Century 21 Wilson Pride,16761,Kris Gajdobranski - Rentals,"Built in wardrobes, Secure Parking, Air conditioning",https://www.domain.com.au/14-13-larbert-road-noble-park-vic-3174-17724261
17728347,NOBLE PARK,3174,500.0,2173.0,"Monday, 25 August 2025",2025-08-22,18,2,2,1.0,Apartment / Unit / Flat,1/29 Stella Avenue,-37.97449,145.1774,2025-09-09 16:35:00,17728347,,10,0,0,False,Apartment,Apartment / Unit / Flat,Professionals Noble Park / Springvale / Keysborough,19122,"Harvey Nhan, Hannah Luu","Built in wardrobes, Gas, Floorboards, Internal Laundry, Heating",https://www.domain.com.au/1-29-stella-avenue-noble-park-vic-3174-17728347
17741912,NOBLE PARK,3174,630.0,2738.0,"Monday, 22 September 2025",2025-09-01,7,2,2,1.0,Townhouse,1/20 Theodore Avenue,-37.97489,145.16768,2025-09-09 16:35:00,17741912,,15,0,0,False,Townhouse/Villa,Townhouse,Area Specialist Keysborough,31225,David Kuoch,"Gas, Dishwasher, Air-Conditioner, Split System Heating, Solar panels, Water Tank",https://www.domain.com.au/1-20-theodore-avenue-noble-park-vic-3174-17741912
17744580,NOBLE PARK,3174,600.0,2607.0,"Wednesday, 22 October 2025",2025-09-03,6,3,1,1.0,Apartment / Unit / Flat,1/64 Buckley Street,-37.969677,145.17369,2025-09-09 16:35:00,17744580,,14,0,0,False,Apartment,Apartment / Unit / Flat,"Barry Plant Noble Park, Keysborough & Dandenong",17354,Rental Dept - Barry Plant Noble Park,"Built in wardrobes, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/1-64-buckley-street-noble-park-vic-3174-17744580
17746617,NOBLE PARK,3174,520.0,2259.0,"Saturday, 06 September 2025",2025-09-04,5,3,1,2.0,House,4 Agana Avenue,-37.98265,145.17761,2025-09-09 16:35:00,17746617,,9,0,0,False,House,House,Century 21 Wilson Pride,16761,Joe Van Staden,"Built in wardrobes, Internal Laundry, Air conditioning",https://www.domain.com.au/4-agana-avenue-noble-park-vic-3174-17746617
17750004,NOBLE PARK,3174,560.0,2433.0,"Monday, 08 September 2025",2025-09-05,3,3,1,1.0,House,4 Shirley Street,-37.960594,145.16644,2025-09-09 16:35:00,17750004,,6,0,0,False,House,House,Just Realty International,30731,Nick Huang,Built in wardrobes,https://www.domain.com.au/4-shirley-street-noble-park-vic-3174-17750004
17751958,NOBLE PARK,3174,560.0,2430.0,"Tuesday, 09 September 2025",2025-09-08,1,3,1,1.0,Apartment / Unit / Flat,1/44 Mather Road,-37.974537,145.18301,2025-09-09 16:35:00,17751958,,11,1,0,False,Apartment,Apartment / Unit / Flat,Ray White Noble Park | Springvale,6380,"Mohammad Nawed, Joseph Taranto","Gas, Secure Parking, Dishwasher, Air conditioning",https://www.domain.com.au/1-44-mather-road-noble-park-vic-3174-17751958
15223751,NOBLE PARK,3174,520.0,2260.0,"Tuesday, 09 September 2025",2025-08-22,18,3,1,2.0,House,6 Ellendale Rd,-37.96525,145.18222,2025-09-09 16:35:06,15223751,AH-5973-YB,9,0,0,False,House,House,Leyton Real Estate,17482,Diane Nguyen,"Air conditioning, Balcony / Deck, Garden / Courtyard, Fully fenced, Built in wardrobes, Floorboards, Gas Heating, Internal Laundry",https://www.domain.com.au/6-ellendale-rd-noble-park-vic-3174-15223751
15654153,NOBLE PARK,3174,550.0,2390.0,"Tuesday, 30 September 2025",2025-09-02,7,2,2,1.0,Townhouse,3/1 Norris Street,-37.972782,145.18092,2025-09-09 16:35:06,15654153,QG-5506-RB,10,0,0,False,Townhouse/Villa,Townhouse,"Barry Plant Noble Park, Keysborough & Dandenong",17354,"Rental Dept - Barry Plant Noble Park, Investor Concierge Casee Heath","Built in wardrobes, Dishwasher, Gas Appliances, Split System Heating, Split System Air Conditioning, Ensuite(s), Courtyard, Remote Garage",https://www.domain.com.au/3-1-norris-street-noble-park-vic-3174-15654153
15728452,NOBLE PARK,3174,450.0,1955.0,"Friday, 29 September 2023",2025-09-02,7,2,1,,Apartment / Unit / Flat,1A Percy Street,-37.9682,145.16376,2025-09-09 16:35:06,15728452,,7,0,0,False,Apartment,Apartment / Unit / Flat,"Barry Plant Noble Park, Keysborough & Dandenong",17354,"Rental Dept - Barry Plant Noble Park, Investor Concierge Casee Heath",Heating,https://www.domain.com.au/1a-percy-street-noble-park-vic-3174-15728452
